time,Cleveland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. T. Thompson (L. James gains possession),,,,Jump ball: D. Cousins vs. T. Thompson (L. James gains possession)
11:40.0,J. Smith misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. Cousins
11:23.0,,,0-0,,D. Collison misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by K. Love,,0-0,,
11:11.0,K. Love makes 2-pt shot from 5 ft,2,2-0,,
10:54.0,,,2-2,2,D. Cousins makes 2-pt shot from 2 ft
10:39.0,K. Love misses 2-pt shot from 6 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by D. Collison
10:26.0,,,2-2,,Shooting foul by T. Thompson (drawn by D. Cousins)
10:26.0,,,2-3,1,D. Cousins makes free throw 1 of 2
10:26.0,,,2-4,1,D. Cousins makes free throw 2 of 2
10:14.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,4-4,,
10:09.0,,,4-4,,Turnover by R. Rondo (bad pass)
10:01.0,Shooting foul by Q. Acy (drawn by T. Thompson),,4-4,,
10:01.0,T. Thompson misses free throw 1 of 2,,4-4,,
10:01.0,Offensive rebound by Team,,4-4,,
10:01.0,T. Thompson makes free throw 2 of 2,1,5-4,,
9:47.0,,,5-6,2,R. Rondo makes 2-pt shot from 6 ft
9:40.0,K. Irving misses 2-pt shot from 4 ft (block by D. Collison),,5-6,,
9:39.0,,,5-6,,Defensive rebound by R. Gay
9:29.0,,,5-6,,R. Gay misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by L. James,,5-6,,
9:21.0,L. James makes 2-pt shot from 2 ft,2,7-6,,
9:01.0,,,7-8,2,Q. Acy makes 2-pt shot at rim (assist by D. Cousins)
8:38.0,K. Irving makes 3-pt shot from 24 ft,3,10-8,,
8:19.0,,,10-8,,D. Cousins misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by J. Smith,,10-8,,
8:08.0,K. Love misses 2-pt shot from 4 ft (block by Q. Acy),,10-8,,
8:08.0,Offensive rebound by Team,,10-8,,
7:58.0,K. Love misses 3-pt shot from 24 ft,,10-8,,
7:57.0,,,10-8,,Defensive rebound by Team
7:41.0,,,10-10,2,R. Gay makes 2-pt shot from 2 ft (assist by D. Collison)
7:26.0,K. Irving makes 2-pt shot from 9 ft,2,12-10,,
7:11.0,,,12-10,,R. Gay misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by L. James,,12-10,,
7:06.0,Shooting foul by R. Gay (drawn by K. Love),,12-10,,
7:06.0,K. Love makes free throw 1 of 2,1,13-10,,
7:06.0,K. Love makes free throw 2 of 2,1,14-10,,
6:48.0,,,14-10,,Turnover by D. Cousins (lost ball; steal by J. Smith)
6:35.0,Turnover by K. Love (lost ball; steal by R. Gay),,14-10,,
6:30.0,,,14-10,,R. Rondo misses 2-pt shot from 2 ft
6:29.0,Defensive rebound by K. Love,,14-10,,
6:19.0,K. Irving misses 3-pt shot from 23 ft,,14-10,,
6:19.0,,,14-10,,Defensive rebound by D. Cousins
6:11.0,,,14-10,,Turnover by D. Cousins (lost ball; steal by K. Irving)
6:02.0,Turnover by K. Love (lost ball; steal by D. Cousins),,14-10,,
5:56.0,,,14-12,2,Q. Acy makes 2-pt shot at rim (assist by R. Gay)
5:56.0,Cleveland full timeout,,14-12,,
5:56.0,,,14-12,,W. Cauley-Stein enters the game for Q. Acy
5:42.0,T. Thompson misses 2-pt shot from 18 ft,,14-12,,
5:40.0,,,14-12,,Defensive rebound by R. Gay
5:37.0,,,14-14,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
5:22.0,I. Shumpert enters the game for J. Smith,,14-14,,
5:13.0,I. Shumpert misses 3-pt shot from 23 ft,,14-14,,
5:12.0,Offensive rebound by L. James,,14-14,,
5:08.0,L. James makes 2-pt shot from 10 ft,2,16-14,,
4:52.0,,,16-14,,D. Collison misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by T. Thompson,,16-14,,
