time,Chicago,pts.away,score,pts.home,LA Lakers
2:53.0,E. Moore makes 2-pt shot from 20 ft (assist by D. McDermott),2,107-83,,
2:33.0,,,107-83,,Shooting foul by D. McDermott (drawn by R. Kelly)
2:33.0,Official timeout,,107-83,,
2:33.0,,,107-84,1,R. Kelly makes free throw 1 of 2
2:33.0,,,107-84,,R. Kelly misses free throw 2 of 2
2:31.0,Defensive rebound by T. Snell,,107-84,,
2:22.0,,,107-84,,Personal foul by T. Black (drawn by C. Bairstow)
2:16.0,D. McDermott makes 2-pt shot at rim (assist by C. Bairstow),2,109-84,,
2:08.0,,,109-84,,A. Brown misses 2-pt shot from 10 ft
2:08.0,Defensive rebound by Team,,109-84,,
2:08.0,,,109-84,,Loose ball foul by T. Black (drawn by C. Felicio)
2:08.0,C. Felicio misses free throw 1 of 2,,109-84,,
2:08.0,Offensive rebound by Team,,109-84,,
2:08.0,C. Felicio makes free throw 2 of 2,1,110-84,,
1:53.0,,,110-84,,A. Brown misses 2-pt shot from 2 ft
1:52.0,Defensive rebound by C. Bairstow,,110-84,,
1:45.0,C. Bairstow makes 2-pt shot from 15 ft (assist by E. Moore),2,112-84,,
1:31.0,,,112-86,2,R. Kelly makes 2-pt shot from 19 ft (assist by M. Huertas)
1:21.0,T. Snell makes 2-pt shot from 1 ft (assist by C. Felicio),2,114-86,,
1:05.0,,,114-88,2,R. Kelly makes 2-pt shot from 19 ft (assist by M. Huertas)
0:55.0,Turnover by T. Snell (bad pass; steal by T. Black),,114-88,,
0:53.0,,,114-88,,Shooting foul by T. Snell (drawn by T. Black)
0:53.0,,,114-89,1,T. Black makes free throw 1 of 2
0:53.0,,,114-90,1,T. Black makes free throw 2 of 2
0:46.0,Offensive charge foul by C. Bairstow,,114-90,,
0:46.0,Turnover by C. Bairstow (offensive foul),,114-90,,
0:34.0,,,114-90,,T. Black misses 2-pt shot at rim
0:31.0,,,114-90,,Offensive rebound by R. Kelly
0:29.0,Personal foul by C. Bairstow (drawn by R. Kelly),,114-90,,
0:29.0,,,114-90,,R. Kelly misses free throw 1 of 2
0:29.0,,,114-90,,Offensive rebound by Team
0:29.0,,,114-91,1,R. Kelly makes free throw 2 of 2
0:03.0,D. McDermott misses 2-pt shot from 14 ft,,114-91,,
0:02.0,,,114-91,,Defensive rebound by M. Huertas
0:01.0,,,114-91,,M. Huertas misses 3-pt shot from 40 ft
0:00.0,,,114-91,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
