time,Chicago,pts.away,score,pts.home,LA Lakers
1:13.0,J. Butler makes 2-pt shot from 1 ft,2,30-12,,
1:13.0,,,30-12,,LA Lakers full timeout
0:55.0,,,30-12,,L. Nance misses 2-pt shot at rim
0:51.0,Defensive rebound by P. Gasol,,30-12,,
0:38.0,J. Butler misses 2-pt shot from 13 ft,,30-12,,
0:35.0,,,30-12,,Defensive rebound by N. Young
0:31.0,,,30-15,3,J. Clarkson makes 3-pt shot from 25 ft
0:14.0,D. McDermott makes 2-pt shot from 14 ft (assist by A. Brooks),2,32-15,,
0:10.0,Personal foul by J. Butler (drawn by D. Russell),,32-15,,
0:01.0,,,32-15,,J. Clarkson misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by Team,,32-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-15,,Turnover by D. Russell (traveling)
11:35.0,D. McDermott makes 3-pt shot from 24 ft (assist by D. Rose),3,35-15,,
11:12.0,,,35-15,,D. Russell misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by B. Portis,,35-15,,
10:56.0,D. Rose makes 2-pt shot from 4 ft,2,37-15,,
10:42.0,,,37-18,3,N. Young makes 3-pt shot from 24 ft (assist by D. Russell)
10:29.0,D. Rose makes 2-pt shot from 15 ft,2,39-18,,
10:07.0,,,39-20,2,L. Nance makes 2-pt shot from 10 ft (assist by B. Bass)
9:53.0,A. Brooks misses 3-pt shot from 24 ft,,39-20,,
9:51.0,,,39-20,,Defensive rebound by L. Nance
9:47.0,Personal foul by D. McDermott (drawn by N. Young),,39-20,,
9:47.0,,,39-20,,K. Bryant enters the game for A. Brown
9:47.0,E. Moore enters the game for A. Brooks,,39-20,,
9:35.0,,,39-22,2,N. Young makes 2-pt shot from 11 ft
9:15.0,B. Portis misses 2-pt shot from 17 ft,,39-22,,
9:14.0,,,39-22,,Defensive rebound by D. Russell
9:06.0,,,39-22,,B. Bass misses 2-pt shot from 17 ft
9:04.0,Defensive rebound by Team,,39-22,,
8:46.0,D. Rose makes 2-pt shot from 8 ft,2,41-22,,
8:31.0,,,41-24,2,K. Bryant makes 2-pt shot from 11 ft
8:15.0,D. Rose misses 3-pt shot from 23 ft,,41-24,,
8:14.0,,,41-24,,Defensive rebound by D. Russell
8:13.0,Violation by T. Gibson (kicked ball),,41-24,,
8:13.0,Official timeout,,41-24,,
8:05.0,,,41-24,,Turnover by L. Nance (lost ball; steal by B. Portis)
7:59.0,D. McDermott makes 2-pt shot at rim (assist by B. Portis),2,43-24,,
7:46.0,,,43-24,,Shooting foul by B. Portis (drawn by L. Nance)
7:46.0,,,43-25,1,L. Nance makes free throw 1 of 2
7:46.0,,,43-25,,L. Nance misses free throw 2 of 2
7:45.0,Defensive rebound by D. McDermott,,43-25,,
7:29.0,D. McDermott misses 3-pt shot from 22 ft,,43-25,,
7:28.0,,,43-25,,Defensive rebound by K. Bryant
7:16.0,,,43-27,2,B. Bass makes 2-pt shot at rim (assist by D. Russell)
7:01.0,T. Gibson misses 2-pt shot from 16 ft,,43-27,,
7:00.0,,,43-27,,Defensive rebound by K. Bryant
6:56.0,,,43-27,,Turnover by K. Bryant (bad pass; steal by T. Gibson)
6:49.0,Turnover by T. Gibson (lost ball; steal by K. Bryant),,43-27,,
6:42.0,,,43-30,3,N. Young makes 3-pt shot from 23 ft (assist by B. Bass)
6:42.0,Chicago full timeout,,43-30,,
6:42.0,,,43-30,,J. Randle enters the game for L. Nance
6:42.0,J. Butler enters the game for D. McDermott,,43-30,,
