time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Valanciunas (J. Johnson gains possession),,,,Jump ball: R. Lopez vs. J. Valanciunas (J. Johnson gains possession)
11:40.0,Turnover by K. Lowry (lost ball; steal by R. Lopez),,0-0,,
11:34.0,,,0-0,,A. Afflalo misses 2-pt shot from 10 ft
11:33.0,Defensive rebound by D. DeRozan,,0-0,,
11:26.0,K. Lowry misses 3-pt shot from 25 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by C. Anthony
11:08.0,,,0-0,,J. Calderon misses 2-pt shot from 2 ft (block by J. Valanciunas)
11:07.0,Defensive rebound by J. Valanciunas,,0-0,,
11:00.0,K. Lowry misses 2-pt shot from 1 ft,,0-0,,
10:59.0,Offensive rebound by K. Lowry,,0-0,,
10:56.0,K. Lowry misses 2-pt shot from 3 ft (block by A. Afflalo),,0-0,,
10:55.0,Offensive rebound by K. Lowry,,0-0,,
10:44.0,J. Johnson misses 2-pt shot from 16 ft,,0-0,,
10:43.0,,,0-0,,Defensive rebound by A. Afflalo
10:30.0,,,0-0,,K. Porzingis misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by K. Lowry,,0-0,,
10:09.0,D. DeRozan makes 2-pt shot from 2 ft,2,2-0,,
9:50.0,,,2-0,,Turnover by J. Calderon (lost ball; steal by L. Scola)
9:34.0,D. DeRozan misses 2-pt shot from 21 ft,,2-0,,
9:33.0,,,2-0,,Defensive rebound by J. Calderon
9:25.0,,,2-2,2,R. Lopez makes 2-pt shot at rim (assist by K. Porzingis)
9:08.0,J. Valanciunas misses 2-pt shot from 6 ft,,2-2,,
9:07.0,,,2-2,,Defensive rebound by J. Calderon
9:00.0,,,2-2,,J. Calderon misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by Team,,2-2,,
8:46.0,D. DeRozan makes 2-pt shot from 11 ft,2,4-2,,
8:30.0,,,4-4,2,C. Anthony makes 2-pt shot from 15 ft
8:19.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,6-4,,
8:19.0,Shooting foul by R. Lopez (drawn by J. Valanciunas),,6-4,,
8:19.0,J. Valanciunas makes free throw 1 of 1,1,7-4,,
8:05.0,,,7-7,3,K. Porzingis makes 3-pt shot from 22 ft (assist by C. Anthony)
7:41.0,L. Scola misses 3-pt shot from 23 ft,,7-7,,
7:40.0,Offensive rebound by K. Lowry,,7-7,,
7:32.0,L. Scola makes 2-pt shot from 4 ft (assist by K. Lowry),2,9-7,,
7:13.0,,,9-7,,K. Porzingis misses 2-pt shot from 12 ft
7:12.0,,,9-7,,Offensive rebound by R. Lopez
7:11.0,,,9-7,,R. Lopez misses 2-pt shot from 1 ft (block by J. Valanciunas)
7:10.0,,,9-7,,Offensive rebound by R. Lopez
7:10.0,,,9-9,2,R. Lopez makes 2-pt shot from 1 ft
6:47.0,Shooting foul by J. Calderon (drawn by K. Lowry),,9-9,,
6:47.0,K. Lowry makes free throw 1 of 2,1,10-9,,
6:47.0,K. Lowry makes free throw 2 of 2,1,11-9,,
6:31.0,,,11-11,2,R. Lopez makes 2-pt shot from 4 ft (assist by A. Afflalo)
6:21.0,D. DeRozan misses 2-pt shot from 2 ft,,11-11,,
6:20.0,,,11-11,,Defensive rebound by K. Porzingis
6:15.0,,,11-11,,C. Anthony misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by Team,,11-11,,
6:07.0,,,11-11,,Personal foul by A. Afflalo
6:01.0,Shooting foul by C. Anthony (drawn by J. Johnson),,11-11,,
6:01.0,J. Johnson makes free throw 1 of 2,1,12-11,,
6:01.0,J. Johnson makes free throw 2 of 2,1,13-11,,
5:43.0,,,13-11,,A. Afflalo misses 3-pt shot from 23 ft
5:42.0,Defensive rebound by L. Scola,,13-11,,
5:33.0,Turnover by J. Valanciunas (3 sec),,13-11,,
5:33.0,,,13-11,,New York full timeout
5:33.0,,,13-11,,L. Thomas enters the game for K. Porzingis
5:18.0,,,13-11,,L. Thomas misses 2-pt shot from 7 ft (block by J. Valanciunas)
5:17.0,Defensive rebound by L. Scola,,13-11,,
5:11.0,J. Johnson makes 2-pt shot from 2 ft (assist by L. Scola),2,15-11,,
5:00.0,,,15-11,,C. Anthony misses 2-pt shot from 14 ft
4:59.0,Defensive rebound by J. Valanciunas,,15-11,,
4:44.0,L. Scola makes 2-pt shot from 2 ft,2,17-11,,
4:25.0,,,17-13,2,R. Lopez makes 2-pt shot at rim (assist by C. Anthony)
4:03.0,Turnover by K. Lowry (bad pass),,17-13,,
4:03.0,,,17-13,,L. Galloway enters the game for J. Calderon
