time,Charlotte,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. C. Zeller (P. Millsap gains possession),,,,Jump ball: A. Horford vs. C. Zeller (P. Millsap gains possession)
11:43.0,,,0-2,2,K. Bazemore makes 2-pt shot at rim (assist by J. Teague)
11:16.0,K. Walker misses 2-pt shot from 20 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by A. Horford
11:06.0,,,0-4,2,P. Millsap makes 2-pt shot from 13 ft (assist by A. Horford)
10:49.0,C. Lee misses 2-pt shot from 1 ft,,0-4,,
10:48.0,,,0-4,,Defensive rebound by A. Horford
10:24.0,,,0-4,,A. Horford misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by M. Williams,,0-4,,
10:15.0,M. Williams misses 3-pt shot from 24 ft,,0-4,,
10:13.0,,,0-4,,Defensive rebound by A. Horford
10:01.0,,,0-4,,Turnover by J. Teague (bad pass; steal by N. Batum)
9:48.0,K. Walker makes 2-pt shot from 1 ft,2,2-4,,
9:41.0,,,2-4,,Turnover by J. Teague (bad pass; steal by N. Batum)
9:35.0,Shooting foul by K. Korver (drawn by C. Lee),,2-4,,
9:35.0,C. Lee makes free throw 1 of 2,1,3-4,,
9:35.0,C. Lee makes free throw 2 of 2,1,4-4,,
9:23.0,,,4-6,2,P. Millsap makes 2-pt shot from 15 ft (assist by J. Teague)
9:11.0,N. Batum misses 2-pt shot from 14 ft,,4-6,,
9:10.0,,,4-6,,Defensive rebound by A. Horford
8:51.0,,,4-6,,J. Teague misses 2-pt shot from 15 ft
8:48.0,Defensive rebound by N. Batum,,4-6,,
8:39.0,C. Zeller misses 2-pt shot from 7 ft,,4-6,,
8:38.0,,,4-6,,Defensive rebound by Team
8:22.0,,,4-8,2,A. Horford makes 2-pt shot from 2 ft
8:03.0,N. Batum misses 3-pt shot from 24 ft,,4-8,,
8:02.0,,,4-8,,Defensive rebound by K. Korver
7:56.0,,,4-8,,P. Millsap misses 3-pt shot from 25 ft
7:54.0,Defensive rebound by C. Zeller,,4-8,,
7:42.0,C. Zeller misses 2-pt shot from 1 ft,,4-8,,
7:40.0,,,4-8,,Defensive rebound by A. Horford
7:26.0,,,4-8,,P. Millsap misses 2-pt shot from 8 ft
7:24.0,Defensive rebound by C. Zeller,,4-8,,
7:14.0,K. Walker misses 3-pt shot from 23 ft,,4-8,,
7:13.0,,,4-8,,Defensive rebound by P. Millsap
7:00.0,,,4-10,2,K. Korver makes 2-pt shot at rim (assist by A. Horford)
6:43.0,M. Williams misses 3-pt shot from 24 ft,,4-10,,
6:41.0,,,4-10,,Defensive rebound by Team
6:41.0,,,4-10,,M. Muscala enters the game for A. Horford
6:41.0,,,4-10,,Atlanta full timeout
6:33.0,Personal foul by C. Lee (drawn by K. Korver),,4-10,,
6:33.0,A. Jefferson enters the game for C. Zeller,,4-10,,
6:27.0,,,4-10,,Turnover by J. Teague (bad pass)
6:04.0,M. Williams misses 2-pt shot from 1 ft (block by P. Millsap),,4-10,,
6:02.0,,,4-10,,Defensive rebound by K. Bazemore
5:44.0,,,4-10,,J. Teague misses 3-pt shot from 24 ft
5:42.0,,,4-10,,Offensive rebound by M. Muscala
5:40.0,,,4-12,2,M. Muscala makes 2-pt shot at rim
5:21.0,M. Williams misses 2-pt shot from 1 ft,,4-12,,
5:18.0,,,4-12,,Defensive rebound by M. Muscala
5:07.0,,,4-14,2,K. Bazemore makes 2-pt shot at rim (assist by J. Teague)
4:45.0,K. Walker misses 3-pt shot from 24 ft,,4-14,,
4:42.0,,,4-14,,Defensive rebound by K. Korver
4:35.0,,,4-14,,Offensive foul by M. Muscala
4:35.0,,,4-14,,Turnover by M. Muscala (offensive foul)
4:35.0,,,4-14,,T. Hardaway enters the game for K. Korver
4:35.0,,,4-14,,D. Schroder enters the game for J. Teague
4:35.0,,,4-14,,T. Sefolosha enters the game for K. Bazemore
4:35.0,J. Lin enters the game for N. Batum,,4-14,,
4:22.0,Turnover by M. Williams (bad pass; steal by M. Muscala),,4-14,,
4:09.0,,,4-16,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by M. Muscala)
3:59.0,Charlotte full timeout,,4-16,,
3:41.0,A. Jefferson misses 2-pt shot from 17 ft,,4-16,,
3:40.0,,,4-16,,Defensive rebound by T. Hardaway
3:26.0,,,4-16,,T. Sefolosha misses 2-pt shot from 21 ft
3:25.0,Defensive rebound by M. Williams,,4-16,,
3:08.0,J. Lin misses 3-pt shot from 24 ft,,4-16,,
3:07.0,,,4-16,,Defensive rebound by Team
3:07.0,,,4-16,,A. Horford enters the game for P. Millsap
3:07.0,F. Kaminsky enters the game for M. Williams,,4-16,,
2:58.0,,,4-16,,D. Schroder misses 2-pt shot from 14 ft
2:56.0,,,4-16,,Offensive rebound by M. Muscala
2:47.0,,,4-16,,T. Sefolosha misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by K. Walker,,4-16,,
2:28.0,C. Lee misses 2-pt shot from 14 ft,,4-16,,
2:24.0,,,4-16,,Defensive rebound by A. Horford
2:22.0,,,4-16,,Shooting foul by J. Lin (drawn by D. Schroder)
2:22.0,,,4-17,1,D. Schroder makes free throw 1 of 2
2:22.0,J. Lamb enters the game for C. Lee,,4-17,,
2:22.0,,,4-17,,M. Scott enters the game for M. Muscala
2:22.0,,,4-17,,D. Schroder misses free throw 2 of 2
2:21.0,Defensive rebound by A. Jefferson,,4-17,,
2:10.0,K. Walker misses 2-pt shot from 1 ft,,4-17,,
2:09.0,,,4-17,,Defensive rebound by M. Scott
2:03.0,,,4-17,,A. Horford misses 2-pt shot from 15 ft
2:01.0,Defensive rebound by J. Lin,,4-17,,
1:46.0,F. Kaminsky misses 3-pt shot from 23 ft,,4-17,,
1:44.0,,,4-17,,Defensive rebound by A. Horford
1:36.0,,,4-20,3,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder)
1:08.0,Shooting foul by A. Horford (drawn by J. Lin),,4-20,,
1:08.0,J. Lin makes free throw 1 of 2,1,5-20,,
1:08.0,J. Lin makes free throw 2 of 2,1,6-20,,
0:53.0,,,6-22,2,D. Schroder makes 2-pt shot from 21 ft (assist by A. Horford)
0:41.0,F. Kaminsky misses 3-pt shot from 23 ft,,6-22,,
0:40.0,Offensive rebound by K. Walker,,6-22,,
0:38.0,J. Lin makes 3-pt shot from 23 ft (assist by K. Walker),3,9-22,,
0:28.0,,,9-22,,Turnover by A. Horford (lost ball)
0:03.0,A. Jefferson misses 2-pt shot from 7 ft,,9-22,,
0:01.0,,,9-22,,Defensive rebound by A. Horford
0:00.0,,,9-25,3,T. Hardaway makes 3-pt shot from 41 ft (assist by A. Horford)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by A. Horford (drawn by A. Jefferson),,9-25,,
11:45.0,A. Jefferson misses free throw 1 of 2,,9-25,,
11:45.0,Offensive rebound by Team,,9-25,,
11:45.0,A. Jefferson misses free throw 2 of 2,,9-25,,
11:44.0,,,9-25,,Defensive rebound by A. Horford
11:30.0,,,9-27,2,A. Horford makes 2-pt shot from 16 ft (assist by T. Sefolosha)
11:09.0,J. Lamb makes 2-pt shot from 20 ft (assist by F. Kaminsky),2,11-27,,
10:44.0,,,11-27,,Turnover by T. Sefolosha (bad pass; steal by J. Lamb)
10:41.0,Shooting foul by T. Hardaway (drawn by J. Lamb),,11-27,,
10:41.0,J. Lamb misses free throw 1 of 2,,11-27,,
10:41.0,Offensive rebound by Team,,11-27,,
10:41.0,,,11-27,,P. Millsap enters the game for A. Horford
10:41.0,J. Lamb misses free throw 2 of 2,,11-27,,
10:40.0,Offensive rebound by F. Kaminsky,,11-27,,
10:38.0,Shooting foul by P. Millsap (drawn by J. Lin),,11-27,,
10:38.0,J. Lin misses free throw 1 of 2,,11-27,,
10:38.0,Offensive rebound by Team,,11-27,,
10:38.0,J. Lin makes free throw 2 of 2,1,12-27,,
10:23.0,,,12-27,,Shooting foul by J. Lin (drawn by D. Schroder)
10:23.0,,,12-29,2,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap)
10:23.0,,,12-30,1,D. Schroder makes free throw 1 of 1
10:06.0,J. Lin misses 2-pt shot from 1 ft,,12-30,,
10:04.0,,,12-30,,Defensive rebound by M. Scott
9:53.0,Personal foul by F. Kaminsky (drawn by M. Scott),,12-30,,
