time,Memphis,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. A. Horford (J. Teague gains possession),,,,Jump ball: R. Hollins vs. A. Horford (J. Teague gains possession)
11:41.0,,,0-0,,J. Teague misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by J. Green,,0-0,,
11:22.0,T. Allen makes 2-pt shot from 19 ft,2,2-0,,
11:08.0,,,2-2,2,K. Korver makes 2-pt shot from 16 ft (assist by J. Teague)
10:56.0,T. Allen misses 2-pt shot from 1 ft,,2-2,,
10:55.0,Offensive rebound by T. Allen,,2-2,,
10:43.0,J. Green misses 2-pt shot from 19 ft,,2-2,,
10:42.0,Offensive rebound by Team,,2-2,,
10:42.0,,,2-2,,Loose ball foul by P. Millsap
10:35.0,,,2-2,,Personal foul by A. Horford
10:27.0,T. Allen makes 2-pt shot from 1 ft (assist by R. Hollins),2,4-2,,
10:13.0,,,4-4,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
9:58.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Weber),3,7-4,,
9:41.0,,,7-7,3,J. Teague makes 3-pt shot from 24 ft (assist by K. Korver)
9:24.0,B. Weber misses 2-pt shot from 21 ft,,7-7,,
9:22.0,,,7-7,,Defensive rebound by P. Millsap
9:13.0,Personal foul by B. Weber,,7-7,,
9:03.0,,,7-9,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
8:49.0,J. Green misses 2-pt shot from 8 ft,,7-9,,
8:48.0,,,7-9,,Defensive rebound by K. Bazemore
8:43.0,,,7-9,,Turnover by P. Millsap (lost ball; steal by M. Barnes)
8:37.0,M. Barnes misses 2-pt shot at rim,,7-9,,
8:36.0,,,7-9,,Defensive rebound by P. Millsap
8:27.0,,,7-9,,K. Bazemore misses 3-pt shot from 24 ft
8:25.0,,,7-9,,Offensive rebound by J. Teague
8:19.0,,,7-9,,P. Millsap misses 3-pt shot from 23 ft
8:16.0,Defensive rebound by M. Barnes,,7-9,,
8:08.0,T. Allen makes 2-pt shot from 1 ft,2,9-9,,
7:43.0,,,9-11,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
7:36.0,T. Allen misses 2-pt shot at rim,,9-11,,
7:35.0,Offensive rebound by T. Allen,,9-11,,
7:35.0,T. Allen misses 2-pt shot at rim (block by J. Teague),,9-11,,
7:35.0,Offensive rebound by T. Allen,,9-11,,
7:31.0,J. Green misses 2-pt shot from 1 ft (block by K. Korver),,9-11,,
7:28.0,Offensive rebound by J. Green,,9-11,,
7:28.0,J. Green misses 2-pt shot from 1 ft (block by K. Korver),,9-11,,
7:26.0,,,9-11,,Defensive rebound by K. Korver
7:16.0,,,9-11,,J. Teague misses 2-pt shot from 1 ft (block by B. Weber)
7:14.0,Defensive rebound by B. Weber,,9-11,,
7:08.0,M. Barnes makes 3-pt shot from 24 ft,3,12-11,,
6:55.0,,,12-11,,K. Bazemore misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by T. Allen,,12-11,,
6:47.0,R. Hollins misses 2-pt shot at rim,,12-11,,
6:46.0,,,12-11,,Defensive rebound by P. Millsap
6:35.0,,,12-11,,K. Korver misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by J. Green,,12-11,,
6:17.0,Turnover by M. Barnes (lost ball; steal by K. Bazemore),,12-11,,
6:12.0,,,12-11,,P. Millsap misses 2-pt shot at rim
6:11.0,Defensive rebound by M. Barnes,,12-11,,
6:04.0,B. Weber misses 3-pt shot from 24 ft,,12-11,,
6:04.0,,,12-11,,Defensive rebound by Team
6:04.0,Loose ball foul by J. Green,,12-11,,
6:04.0,,,12-11,,Atlanta full timeout
6:04.0,,,12-11,,K. Humphries enters the game for A. Horford
6:04.0,,,12-11,,T. Sefolosha enters the game for K. Bazemore
6:04.0,J. Martin enters the game for J. Green,,12-11,,
5:47.0,,,12-11,,J. Teague misses 2-pt shot from 17 ft
5:45.0,Defensive rebound by R. Hollins,,12-11,,
5:26.0,J. Martin misses 2-pt shot from 4 ft (block by J. Teague),,12-11,,
5:25.0,Offensive rebound by B. Weber,,12-11,,
5:21.0,B. Weber makes 2-pt shot from 15 ft,2,14-11,,
5:07.0,,,14-13,2,K. Korver makes 2-pt shot from 19 ft (assist by J. Teague)
4:39.0,J. Martin misses 2-pt shot from 20 ft,,14-13,,
4:37.0,,,14-13,,Defensive rebound by T. Sefolosha
4:24.0,,,14-15,2,P. Millsap makes 2-pt shot from 11 ft
4:11.0,M. Barnes misses 3-pt shot from 25 ft,,14-15,,
4:09.0,,,14-15,,Defensive rebound by K. Korver
3:46.0,,,14-15,,Turnover by P. Millsap (lost ball; steal by T. Allen)
3:39.0,M. Barnes misses 3-pt shot from 23 ft,,14-15,,
3:37.0,,,14-15,,Defensive rebound by K. Humphries
3:27.0,,,14-15,,J. Teague misses 2-pt shot from 13 ft
