time,Atlanta,pts.away,score,pts.home,Miami
2:12.0,Shooting foul by J. McRoberts (drawn by T. Splitter),,10-23,,
2:12.0,T. Splitter misses free throw 1 of 2,,10-23,,
2:12.0,Offensive rebound by Team,,10-23,,
2:12.0,T. Splitter makes free throw 2 of 2,1,11-23,,
2:04.0,,,11-23,,Turnover by B. Udrih (bad pass; steal by T. Splitter)
1:53.0,K. Bazemore makes 2-pt shot from 1 ft,2,13-23,,
1:30.0,,,13-25,2,B. Udrih makes 2-pt shot from 15 ft (assist by C. Bosh)
1:17.0,M. Scott enters the game for T. Splitter,,13-25,,
1:11.0,,,13-25,,Personal foul by C. Bosh (drawn by P. Millsap)
1:05.0,D. Schroder misses 2-pt shot from 19 ft,,13-25,,
1:04.0,,,13-25,,Defensive rebound by G. Green
0:51.0,,,13-27,2,J. Winslow makes 2-pt shot from 1 ft
0:39.0,D. Schroder makes 2-pt shot from 2 ft,2,15-27,,
0:18.0,,,15-27,,G. Green misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by K. Bazemore,,15-27,,
0:00.0,K. Bazemore makes 2-pt shot from 1 ft,2,17-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,17-27,,Turnover by J. Winslow (bad pass; steal by K. Bazemore)
11:46.0,,,17-27,,Personal foul by J. Winslow (drawn by T. Hardaway)
11:36.0,,,17-27,,Personal foul by B. Udrih (drawn by D. Schroder)
11:28.0,D. Schroder makes 2-pt shot from 2 ft,2,19-27,,
11:13.0,,,19-27,,Turnover by B. Udrih (traveling)
11:04.0,D. Schroder misses 2-pt shot from 9 ft,,19-27,,
11:03.0,,,19-27,,Defensive rebound by J. Winslow
10:58.0,,,19-29,2,J. Winslow makes 2-pt shot from 9 ft
10:33.0,T. Hardaway misses 3-pt shot from 24 ft,,19-29,,
10:32.0,,,19-29,,Defensive rebound by J. McRoberts
10:25.0,,,19-29,,C. Bosh misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by K. Bazemore,,19-29,,
10:19.0,Turnover by K. Bazemore (bad pass),,19-29,,
10:19.0,A. Horford enters the game for P. Millsap,,19-29,,
10:19.0,T. Sefolosha enters the game for K. Bazemore,,19-29,,
10:12.0,Personal foul by M. Scott (drawn by C. Bosh),,19-29,,
9:57.0,,,19-29,,Shooting foul by M. Scott (drawn by J. McRoberts)
9:57.0,,,19-30,1,J. McRoberts makes free throw 1 of 3
9:57.0,,,19-31,1,J. McRoberts makes free throw 2 of 3
9:57.0,,,19-32,1,J. McRoberts makes free throw 3 of 3
9:47.0,T. Hardaway misses 2-pt shot from 6 ft (block by J. Winslow),,19-32,,
9:45.0,,,19-32,,G. Dragic enters the game for B. Udrih
9:45.0,Jump ball: T. Hardaway vs. J. Winslow (G. Dragic gains possession),,,,Jump ball: T. Hardaway vs. J. Winslow (G. Dragic gains possession)
9:45.0,,,19-32,,Offensive rebound by Team
9:39.0,,,19-34,2,G. Dragic makes 2-pt shot from 2 ft
9:19.0,Turnover by D. Schroder (bad pass; steal by G. Dragic),,19-34,,
9:16.0,,,19-34,,Shooting foul by D. Schroder (drawn by G. Dragic)
9:16.0,Atlanta full timeout,,19-34,,
9:16.0,K. Korver enters the game for M. Scott,,19-34,,
9:16.0,,,19-34,,G. Dragic misses free throw 1 of 2
9:16.0,,,19-34,,Offensive rebound by Team
9:16.0,,,19-35,1,G. Dragic makes free throw 2 of 2
9:00.0,K. Korver misses 2-pt shot from 16 ft,,19-35,,
8:58.0,,,19-35,,Defensive rebound by G. Dragic
8:49.0,,,19-37,2,J. Winslow makes 2-pt shot from 2 ft (assist by C. Bosh)
8:30.0,D. Schroder misses 3-pt shot from 24 ft,,19-37,,
8:29.0,,,19-37,,Defensive rebound by G. Green
8:17.0,,,19-37,,G. Green misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by A. Horford,,19-37,,
8:05.0,Shooting foul by G. Dragic (drawn by D. Schroder),,19-37,,
8:05.0,D. Schroder makes free throw 1 of 2,1,20-37,,
8:05.0,,,20-37,,L. Deng enters the game for J. McRoberts
8:05.0,P. Millsap enters the game for T. Hardaway,,20-37,,
8:05.0,D. Schroder makes free throw 2 of 2,1,21-37,,
7:44.0,,,21-39,2,G. Green makes 2-pt shot from 16 ft (assist by L. Deng)
7:29.0,D. Schroder makes 2-pt shot from 18 ft,2,23-39,,
7:12.0,,,23-39,,C. Bosh misses 2-pt shot from 18 ft
7:11.0,,,23-39,,Offensive rebound by J. Winslow
6:59.0,,,23-39,,G. Dragic misses 3-pt shot from 25 ft
6:58.0,,,23-39,,Offensive rebound by Team
6:58.0,,,23-39,,D. Wade enters the game for G. Green
6:58.0,,,23-39,,A. Stoudemire enters the game for C. Bosh
6:36.0,,,23-39,,J. Winslow misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by Team,,23-39,,
6:34.0,J. Teague enters the game for D. Schroder,,23-39,,
6:22.0,J. Teague misses 2-pt shot from 4 ft (block by A. Stoudemire),,23-39,,
6:21.0,,,23-39,,Defensive rebound by L. Deng
6:15.0,,,23-41,2,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic)
6:05.0,Shooting foul by L. Deng (drawn by P. Millsap),,23-41,,
6:05.0,P. Millsap makes free throw 1 of 2,1,24-41,,
6:05.0,P. Millsap makes free throw 2 of 2,1,25-41,,
5:54.0,,,25-43,2,A. Stoudemire makes 2-pt shot from 3 ft (assist by D. Wade)
5:42.0,P. Millsap misses 2-pt shot from 4 ft,,25-43,,
5:41.0,,,25-43,,Defensive rebound by D. Wade
5:33.0,,,25-45,2,D. Wade makes 2-pt shot from 3 ft
5:31.0,Atlanta full timeout,,25-45,,
5:31.0,Atlanta full timeout,,25-45,,
5:31.0,K. Bazemore enters the game for T. Sefolosha,,25-45,,
5:31.0,,,25-45,,G. Green enters the game for J. Winslow
5:18.0,P. Millsap misses 3-pt shot from 24 ft,,25-45,,
5:17.0,,,25-45,,Defensive rebound by D. Wade
5:13.0,,,25-45,,L. Deng misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by K. Korver,,25-45,,
5:04.0,Turnover by A. Horford (bad pass; steal by L. Deng),,25-45,,
4:56.0,,,25-45,,G. Green misses 2-pt shot from 16 ft
4:55.0,Defensive rebound by A. Horford,,25-45,,
4:45.0,J. Teague misses 3-pt shot from 23 ft,,25-45,,
4:44.0,,,25-45,,Defensive rebound by Team
4:44.0,Loose ball foul by J. Teague (drawn by D. Wade),,25-45,,
4:33.0,,,25-45,,D. Wade misses 2-pt shot from 17 ft
4:32.0,Defensive rebound by K. Bazemore,,25-45,,
4:18.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague),2,27-45,,
3:51.0,,,27-45,,L. Deng misses 3-pt shot from 22 ft
3:50.0,Defensive rebound by P. Millsap,,27-45,,
3:37.0,A. Horford makes 3-pt shot from 23 ft (assist by P. Millsap),3,30-45,,
3:37.0,,,30-45,,Miami full timeout
3:37.0,,,30-45,,C. Bosh enters the game for A. Stoudemire
3:22.0,,,30-45,,Shooting foul by A. Horford (drawn by D. Wade)
3:22.0,,,30-46,1,D. Wade makes free throw 1 of 2
3:22.0,,,30-46,,J. Winslow enters the game for G. Green
3:22.0,,,30-47,1,D. Wade makes free throw 2 of 2
3:12.0,Shooting foul by J. Winslow (drawn by P. Millsap),,30-47,,
3:12.0,P. Millsap makes free throw 1 of 2,1,31-47,,
3:12.0,P. Millsap makes free throw 2 of 2,1,32-47,,
2:46.0,,,32-47,,D. Wade misses 2-pt shot from 16 ft
2:45.0,Defensive rebound by K. Bazemore,,32-47,,
2:29.0,A. Horford misses 2-pt shot from 14 ft,,32-47,,
2:28.0,Offensive rebound by P. Millsap,,32-47,,
2:12.0,P. Millsap misses 2-pt shot from 8 ft (block by D. Wade),,32-47,,
2:11.0,Offensive rebound by Team,,32-47,,
2:08.0,Turnover by P. Millsap (lost ball),,32-47,,
1:57.0,,,32-47,,G. Dragic misses 2-pt shot from 10 ft
1:56.0,Defensive rebound by P. Millsap,,32-47,,
1:50.0,P. Millsap misses 2-pt shot from 2 ft,,32-47,,
1:49.0,,,32-47,,Defensive rebound by J. Winslow
1:36.0,,,32-47,,C. Bosh misses 2-pt shot from 10 ft
1:33.0,,,32-47,,Offensive rebound by J. Winslow
1:24.0,,,32-47,,Turnover by D. Wade (bad pass)
1:24.0,,,32-47,,G. Green enters the game for G. Dragic
1:24.0,,,32-47,,B. Udrih enters the game for J. Winslow
1:12.0,,,32-47,,Personal foul by B. Udrih (drawn by A. Horford)
1:12.0,A. Horford makes free throw 1 of 2,1,33-47,,
1:12.0,A. Horford makes free throw 2 of 2,1,34-47,,
0:51.0,,,34-47,,Turnover by D. Wade (lost ball; steal by P. Millsap)
0:38.0,Turnover by A. Horford (bad pass; steal by D. Wade),,34-47,,
0:30.0,,,34-47,,B. Udrih misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by K. Bazemore,,34-47,,
0:23.0,K. Bazemore misses 3-pt shot from 24 ft,,34-47,,
0:21.0,,,34-47,,Defensive rebound by C. Bosh
0:17.0,,,34-47,,Miami full timeout
0:17.0,T. Sefolosha enters the game for A. Horford,,34-47,,
0:17.0,T. Splitter enters the game for K. Korver,,34-47,,
0:17.0,D. Schroder enters the game for J. Teague,,34-47,,
0:03.0,,,34-47,,C. Bosh misses 2-pt shot from 4 ft
0:02.0,,,34-47,,Offensive rebound by L. Deng
0:02.0,,,34-47,,L. Deng misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by T. Splitter,,34-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,34-49,2,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic)
11:29.0,Shooting foul by G. Dragic (drawn by J. Teague),,34-49,,
11:29.0,J. Teague makes free throw 1 of 2,1,35-49,,
11:29.0,J. Teague makes free throw 2 of 2,1,36-49,,
11:16.0,Personal foul by J. Teague (drawn by G. Dragic),,36-49,,
11:08.0,,,36-49,,G. Dragic misses 2-pt shot from 18 ft (block by J. Teague)
11:07.0,,,36-49,,Offensive rebound by L. Deng
10:59.0,,,36-52,3,C. Bosh makes 3-pt shot from 23 ft (assist by G. Dragic)
10:45.0,J. Teague misses 3-pt shot from 23 ft,,36-52,,
10:44.0,,,36-52,,Defensive rebound by A. Stoudemire
10:31.0,,,36-52,,D. Wade misses 2-pt shot from 19 ft
10:30.0,Defensive rebound by K. Korver,,36-52,,
10:21.0,A. Horford misses 2-pt shot from 17 ft,,36-52,,
10:20.0,,,36-52,,Defensive rebound by C. Bosh
