time,Portland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Plumlee (T. Parker gains possession),,,,Jump ball: T. Duncan vs. M. Plumlee (T. Parker gains possession)
11:47.0,Personal foul by A. Aminu (drawn by K. Leonard),,0-0,,
11:33.0,,,0-2,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
11:16.0,C. Kaman misses 2-pt shot from 19 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by K. Leonard
11:02.0,,,0-2,,L. Aldridge misses 2-pt shot from 13 ft
11:01.0,Defensive rebound by D. Lillard,,0-2,,
10:53.0,Turnover by A. Aminu (bad pass; steal by K. Leonard),,0-2,,
10:39.0,,,0-2,,Shooting foul by D. Lillard (drawn by T. Parker)
10:39.0,,,0-3,1,T. Parker makes free throw 1 of 2
10:39.0,,,0-4,1,T. Parker makes free throw 2 of 2
10:21.0,A. Aminu misses 2-pt shot from 4 ft,,0-4,,
10:20.0,Offensive rebound by C. Kaman,,0-4,,
10:07.0,A. Aminu misses 3-pt shot from 24 ft,,0-4,,
10:06.0,,,0-4,,Defensive rebound by L. Aldridge
9:43.0,,,0-4,,Turnover by T. Duncan (lost ball; steal by M. Plumlee)
9:28.0,C. Kaman misses 2-pt shot at rim (block by L. Aldridge),,0-4,,
9:26.0,,,0-4,,Defensive rebound by T. Duncan
9:19.0,,,0-6,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
8:58.0,,,0-6,,Personal foul by K. Leonard (drawn by M. Plumlee)
8:50.0,C. Kaman misses 2-pt shot from 18 ft,,0-6,,
8:49.0,,,0-6,,Defensive rebound by L. Aldridge
8:38.0,,,0-6,,T. Duncan misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by M. Plumlee,,0-6,,
8:30.0,Shooting foul by L. Aldridge (drawn by M. Plumlee),,0-6,,
8:30.0,M. Plumlee makes free throw 1 of 2,1,1-6,,
8:30.0,M. Plumlee makes free throw 2 of 2,1,2-6,,
8:16.0,,,2-6,,L. Aldridge misses 2-pt shot from 14 ft
8:14.0,Defensive rebound by Team,,2-6,,
8:00.0,D. Lillard misses 2-pt shot from 18 ft,,2-6,,
7:59.0,Offensive rebound by D. Lillard,,2-6,,
7:57.0,D. Lillard makes 2-pt shot from 2 ft,2,4-6,,
7:40.0,,,4-6,,T. Parker misses 2-pt shot from 14 ft
7:39.0,Defensive rebound by M. Plumlee,,4-6,,
7:24.0,C. McCollum makes 2-pt shot from 17 ft (assist by C. Kaman),2,6-6,,
7:08.0,,,6-6,,K. Leonard misses 2-pt shot from 12 ft
7:08.0,,,6-6,,Offensive rebound by L. Aldridge
6:56.0,,,6-6,,D. Green misses 3-pt shot from 26 ft
6:55.0,,,6-6,,Offensive rebound by K. Leonard
6:38.0,,,6-6,,T. Duncan misses 2-pt shot from 20 ft
6:37.0,Defensive rebound by D. Lillard,,6-6,,
6:27.0,A. Aminu misses 2-pt shot from 2 ft (block by T. Duncan),,6-6,,
6:26.0,,,6-6,,Defensive rebound by T. Duncan
6:20.0,,,6-6,,D. Green misses 3-pt shot from 22 ft
6:19.0,Defensive rebound by Team,,6-6,,
6:05.0,D. Lillard makes 2-pt shot at rim,2,8-6,,
6:05.0,,,8-6,,San Antonio full timeout
6:05.0,,,8-6,,M. Ginobili enters the game for D. Green
5:47.0,,,8-6,,K. Leonard misses 2-pt shot from 10 ft
5:46.0,,,8-6,,Offensive rebound by T. Duncan
5:42.0,,,8-6,,M. Ginobili misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by D. Lillard,,8-6,,
5:32.0,C. McCollum makes 2-pt shot from 14 ft,2,10-6,,
5:07.0,,,10-6,,T. Parker misses 2-pt shot from 16 ft
5:06.0,,,10-6,,Offensive rebound by T. Duncan
5:01.0,,,10-6,,L. Aldridge misses 2-pt shot from 18 ft
5:00.0,Defensive rebound by D. Lillard,,10-6,,
4:54.0,Turnover by D. Lillard (bad pass; steal by T. Parker),,10-6,,
4:48.0,,,10-8,2,K. Leonard makes 2-pt shot at rim (assist by M. Ginobili)
4:29.0,C. McCollum misses 3-pt shot from 25 ft,,10-8,,
4:27.0,,,10-8,,Defensive rebound by Team
4:27.0,A. Crabbe enters the game for C. McCollum,,10-8,,
4:27.0,E. Davis enters the game for M. Plumlee,,10-8,,
4:27.0,,,10-8,,P. Mills enters the game for T. Parker
4:27.0,,,10-8,,B. Diaw enters the game for T. Duncan
4:17.0,,,10-10,2,P. Mills makes 2-pt shot from 20 ft (assist by M. Ginobili)
4:02.0,Turnover by D. Lillard (bad pass; steal by K. Leonard),,10-10,,
4:02.0,Personal foul by A. Aminu (drawn by K. Leonard),,10-10,,
4:02.0,,,10-10,,D. West enters the game for L. Aldridge
4:02.0,M. Harkless enters the game for C. Kaman,,10-10,,
4:02.0,N. Vonleh enters the game for A. Aminu,,10-10,,
4:02.0,,,10-10,,R. Butler enters the game for K. Leonard
3:47.0,,,10-10,,D. West misses 2-pt shot from 8 ft
3:46.0,Defensive rebound by N. Vonleh,,10-10,,
3:38.0,E. Davis misses 2-pt shot from 3 ft (block by M. Ginobili),,10-10,,
3:36.0,,,10-10,,Defensive rebound by B. Diaw
3:27.0,Personal foul by N. Vonleh (drawn by B. Diaw),,10-10,,
3:18.0,,,10-12,2,D. West makes 2-pt shot from 19 ft (assist by M. Ginobili)
3:07.0,D. Lillard misses 2-pt shot from 2 ft,,10-12,,
3:06.0,,,10-12,,Defensive rebound by Team
2:52.0,,,10-12,,D. West misses 2-pt shot from 18 ft
2:51.0,,,10-12,,Offensive rebound by B. Diaw
2:36.0,,,10-12,,R. Butler misses 2-pt shot from 14 ft
2:36.0,,,10-12,,Offensive rebound by B. Diaw
2:31.0,,,10-14,2,B. Diaw makes 2-pt shot from 4 ft
2:31.0,Portland full timeout,,10-14,,
2:11.0,D. Lillard misses 2-pt shot from 1 ft (block by D. West),,10-14,,
2:09.0,,,10-14,,Defensive rebound by B. Diaw
2:04.0,,,10-14,,M. Ginobili misses 2-pt shot from 6 ft
2:02.0,Defensive rebound by E. Davis,,10-14,,
1:53.0,Turnover by E. Davis (bad pass; steal by R. Butler),,10-14,,
