time,LA Clippers,pts.away,score,pts.home,Portland
1:48.0,J. Crawford makes 2-pt shot from 18 ft (assist by W. Johnson),2,29-16,,
1:30.0,,,29-16,,Turnover by M. Leonard (bad pass; steal by J. Crawford)
1:23.0,J. Crawford misses 2-pt shot from 19 ft,,29-16,,
1:22.0,,,29-16,,Defensive rebound by M. Leonard
1:16.0,Violation by C. Aldrich (kicked ball),,29-16,,
1:05.0,,,29-16,,G. Henderson misses 2-pt shot from 4 ft (block by W. Johnson)
1:04.0,Defensive rebound by J. Crawford,,29-16,,
1:00.0,W. Johnson misses 3-pt shot from 23 ft,,29-16,,
0:58.0,Offensive rebound by C. Aldrich,,29-16,,
0:55.0,W. Johnson misses 2-pt shot from 21 ft,,29-16,,
0:52.0,,,29-16,,Defensive rebound by E. Davis
0:45.0,,,29-16,,G. Henderson misses 3-pt shot from 23 ft
0:45.0,Defensive rebound by A. Rivers,,29-16,,
0:36.0,A. Rivers makes 2-pt shot from 20 ft,2,31-16,,
0:29.0,,,31-16,,D. Lillard misses 2-pt shot from 6 ft
0:28.0,Defensive rebound by P. Prigioni,,31-16,,
0:06.0,J. Crawford misses 2-pt shot from 20 ft,,31-16,,
0:05.0,,,31-16,,Defensive rebound by M. Leonard
0:00.0,,,31-16,,A. Crabbe misses 3-pt shot from 24 ft
0:00.0,,,31-16,,Offensive rebound by E. Davis
0:00.0,,,31-18,2,E. Davis makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,31-18,,G. Henderson misses 2-pt shot from 18 ft
11:33.0,,,31-18,,Offensive rebound by M. Harkless
11:32.0,,,31-18,,Shooting foul by C. Aldrich (drawn by M. Harkless)
11:32.0,,,31-18,,M. Harkless misses free throw 1 of 2
11:32.0,,,31-18,,Offensive rebound by Team
11:32.0,,,31-18,,M. Harkless misses free throw 2 of 2
11:30.0,Defensive rebound by W. Johnson,,31-18,,
11:14.0,W. Johnson misses 3-pt shot from 25 ft,,31-18,,
11:12.0,,,31-18,,Defensive rebound by E. Davis
11:03.0,,,31-20,2,D. Lillard makes 2-pt shot from 1 ft
10:49.0,C. Aldrich misses 2-pt shot from 4 ft,,31-20,,
10:47.0,,,31-20,,Defensive rebound by M. Leonard
10:43.0,Personal foul by P. Prigioni (drawn by D. Lillard),,31-20,,
10:43.0,,,31-20,,T. Frazier enters the game for D. Lillard
10:32.0,,,31-23,3,M. Leonard makes 3-pt shot from 24 ft (assist by G. Henderson)
10:15.0,J. Crawford makes 3-pt shot from 25 ft,3,34-23,,
10:15.0,Shooting foul by M. Harkless (drawn by J. Crawford),,34-23,,
10:15.0,J. Crawford makes free throw 1 of 1,1,35-23,,
9:50.0,,,35-23,,T. Frazier misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by W. Johnson,,35-23,,
9:35.0,A. Rivers makes 2-pt shot from 20 ft,2,37-23,,
9:14.0,,,37-23,,E. Davis misses 2-pt shot from 5 ft
9:13.0,,,37-23,,Offensive rebound by M. Leonard
9:13.0,,,37-23,,M. Leonard misses 2-pt shot from 1 ft
9:12.0,,,37-23,,Offensive rebound by E. Davis
9:12.0,,,37-25,2,E. Davis makes 2-pt shot at rim
8:58.0,A. Rivers makes 3-pt shot from 25 ft,3,40-25,,
8:39.0,,,40-25,,Shooting foul by P. Prigioni (drawn by E. Davis)
8:39.0,Official timeout,,40-25,,
8:39.0,,,40-26,1,E. Davis makes free throw 1 of 2
8:39.0,,,40-27,1,E. Davis makes free throw 2 of 2
8:20.0,A. Rivers makes 3-pt shot from 24 ft,3,43-27,,
7:54.0,,,43-27,,G. Henderson misses 3-pt shot from 23 ft
7:53.0,,,43-27,,Offensive rebound by E. Davis
7:52.0,,,43-29,2,E. Davis makes 2-pt shot at rim
7:36.0,,,43-29,,A. Aminu enters the game for M. Leonard
7:31.0,Shooting foul by E. Davis (drawn by C. Aldrich),,43-29,,
7:31.0,C. Aldrich makes free throw 1 of 2,1,44-29,,
7:31.0,C. Aldrich makes free throw 2 of 2,1,45-29,,
7:10.0,,,45-31,2,T. Frazier makes 2-pt shot from 12 ft (assist by E. Davis)
6:51.0,Turnover by J. Crawford (lost ball; steal by M. Harkless),,45-31,,
6:38.0,,,45-31,,Shooting foul by P. Prigioni (drawn by A. Aminu)
6:38.0,,,45-32,1,A. Aminu makes free throw 1 of 2
6:38.0,C. Paul enters the game for P. Prigioni,,45-32,,
6:38.0,,,45-32,,A. Aminu misses free throw 2 of 2
6:36.0,Defensive rebound by W. Johnson,,45-32,,
6:23.0,J. Crawford misses 2-pt shot from 19 ft,,45-32,,
6:23.0,Offensive rebound by C. Aldrich,,45-32,,
6:10.0,,,45-32,,Personal foul by T. Frazier (drawn by C. Paul)
6:10.0,D. Jordan enters the game for C. Aldrich,,45-32,,
6:10.0,,,45-32,,D. Lillard enters the game for G. Henderson
6:03.0,A. Rivers misses 2-pt shot from 18 ft,,45-32,,
6:03.0,Offensive rebound by Team,,45-32,,
6:03.0,,,45-32,,Loose ball foul by E. Davis (drawn by D. Jordan)
6:03.0,,,45-32,,M. Plumlee enters the game for E. Davis
5:53.0,J. Crawford makes 2-pt shot from 4 ft (assist by C. Paul),2,47-32,,
5:29.0,,,47-32,,D. Lillard misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by D. Jordan,,47-32,,
5:20.0,Shooting foul by T. Frazier (drawn by W. Johnson),,47-32,,
5:20.0,,,47-32,,Portland full timeout
5:20.0,J. Redick enters the game for J. Crawford,,47-32,,
5:20.0,,,47-32,,A. Crabbe enters the game for M. Harkless
5:20.0,W. Johnson makes free throw 1 of 2,1,48-32,,
5:20.0,W. Johnson makes free throw 2 of 2,1,49-32,,
5:00.0,,,49-34,2,D. Lillard makes 2-pt shot from 12 ft (assist by M. Plumlee)
4:33.0,C. Paul makes 2-pt shot from 15 ft,2,51-34,,
