time,Orlando,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: A. Len vs. N. Vucevic (C. Frye gains possession)
11:42.0,T. Harris misses 3-pt shot from 23 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by E. Bledsoe
11:31.0,,,0-0,,B. Knight misses 2-pt shot from 5 ft
11:27.0,Defensive rebound by E. Payton,,0-0,,
11:23.0,C. Frye misses 3-pt shot from 24 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by P. Tucker
11:17.0,,,0-0,,P. Tucker misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by N. Vucevic,,0-0,,
11:09.0,T. Harris misses 2-pt shot from 1 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by Team
10:54.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 11 ft
10:36.0,E. Fournier makes 2-pt shot from 16 ft (assist by N. Vucevic),2,2-2,,
10:23.0,,,2-4,2,J. Leuer makes 2-pt shot from 17 ft (assist by E. Bledsoe)
10:06.0,N. Vucevic misses 2-pt shot from 14 ft,,2-4,,
10:03.0,,,2-4,,Defensive rebound by E. Bledsoe
9:57.0,,,2-6,2,P. Tucker makes 2-pt shot from 5 ft
9:35.0,,,2-6,,Def 3 sec tech foul by E. Bledsoe
9:35.0,N. Vucevic makes technical free throw,1,3-6,,
9:27.0,T. Harris makes 2-pt shot from 16 ft (assist by E. Payton),2,5-6,,
9:16.0,,,5-6,,Turnover by E. Bledsoe (lost ball; steal by E. Payton)
9:06.0,N. Vucevic misses 2-pt shot from 12 ft,,5-6,,
9:04.0,,,5-6,,Defensive rebound by J. Leuer
8:54.0,,,5-6,,J. Leuer misses 2-pt shot from 16 ft
8:53.0,Defensive rebound by N. Vucevic,,5-6,,
8:39.0,Turnover by E. Fournier (lost ball; steal by B. Knight),,5-6,,
8:35.0,,,5-8,2,B. Knight makes 2-pt shot from 1 ft
8:25.0,E. Payton makes 2-pt shot from 8 ft,2,7-8,,
8:13.0,,,7-8,,P. Tucker misses 3-pt shot from 23 ft
8:11.0,,,7-8,,Offensive rebound by A. Len
8:09.0,,,7-8,,Turnover by A. Len (lost ball; steal by T. Harris)
8:03.0,T. Harris misses 2-pt shot from 1 ft,,7-8,,
8:00.0,,,7-8,,Defensive rebound by B. Knight
7:56.0,,,7-8,,Shooting foul by E. Fournier (drawn by J. Leuer)
7:56.0,,,7-9,1,J. Leuer makes free throw 1 of 2
7:56.0,,,7-10,1,J. Leuer makes free throw 2 of 2
7:41.0,N. Vucevic misses 2-pt shot from 8 ft,,7-10,,
7:37.0,,,7-10,,Defensive rebound by J. Leuer
7:36.0,,,7-12,2,A. Len makes 2-pt shot at rim (assist by B. Knight)
7:15.0,E. Fournier misses 3-pt shot from 25 ft,,7-12,,
7:13.0,,,7-12,,Defensive rebound by P. Tucker
7:00.0,,,7-12,,J. Leuer misses 2-pt shot from 18 ft
