time,Atlanta,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. Z. Pachulia (D. Nowitzki gains possession),,,,Jump ball: A. Horford vs. Z. Pachulia (D. Nowitzki gains possession)
11:43.0,,,0-0,,D. Nowitzki misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by T. Sefolosha,,0-0,,
11:29.0,A. Horford makes 2-pt shot at rim (assist by P. Millsap),2,2-0,,
11:10.0,,,2-0,,D. Nowitzki misses 2-pt shot from 18 ft
11:09.0,Defensive rebound by J. Teague,,2-0,,
11:01.0,A. Horford misses 3-pt shot from 24 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by Team
10:43.0,,,2-0,,W. Matthews misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by P. Millsap,,2-0,,
10:30.0,A. Horford misses 2-pt shot from 16 ft,,2-0,,
10:29.0,,,2-0,,Defensive rebound by W. Matthews
10:19.0,,,2-0,,D. Williams misses 2-pt shot from 1 ft (block by A. Horford)
10:17.0,Defensive rebound by A. Horford,,2-0,,
10:08.0,J. Teague misses 2-pt shot from 10 ft,,2-0,,
10:07.0,,,2-0,,Defensive rebound by Z. Pachulia
9:49.0,,,2-0,,D. Nowitzki misses 2-pt shot from 13 ft
9:49.0,Defensive rebound by A. Horford,,2-0,,
9:40.0,Turnover by K. Korver (bad pass),,2-0,,
9:19.0,,,2-3,3,D. Williams makes 3-pt shot from 22 ft (assist by R. Felton)
9:12.0,,,2-3,,Personal block foul by D. Williams (drawn by J. Teague)
9:01.0,K. Korver misses 3-pt shot from 27 ft,,2-3,,
9:00.0,Offensive rebound by A. Horford,,2-3,,
8:57.0,A. Horford makes 2-pt shot at rim,2,4-3,,
8:37.0,,,4-5,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams)
8:15.0,T. Sefolosha makes 3-pt shot from 24 ft (assist by A. Horford),3,7-5,,
