time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. K. Towns,,,,Jump ball: D. Howard vs. K. Towns
12:00.0,Violation by Team (jump ball),,0-0,,
11:51.0,,,0-0,,Turnover by J. Harden (bad pass; steal by K. Towns)
11:35.0,A. Wiggins misses 2-pt shot from 15 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by T. Ariza
11:29.0,,,0-0,,Turnover by J. Harden (lost ball; steal by R. Rubio)
11:18.0,K. Towns makes 2-pt shot from 6 ft,2,2-0,,
10:58.0,Personal foul by N. Pekovic (drawn by D. Howard),,2-0,,
10:42.0,,,2-0,,J. Harden misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by K. Towns,,2-0,,
10:32.0,N. Pekovic makes 2-pt shot from 6 ft (assist by R. Rubio),2,4-0,,
10:12.0,,,4-0,,Turnover by D. Howard (bad pass; steal by K. Towns)
10:06.0,K. Towns misses 2-pt shot from 1 ft,,4-0,,
10:05.0,,,4-0,,Defensive rebound by T. Ariza
9:58.0,,,4-0,,T. Ariza misses 3-pt shot from 24 ft
9:57.0,,,4-0,,Offensive rebound by Team
9:55.0,Personal foul by R. Rubio (drawn by T. Ariza),,4-0,,
9:47.0,,,4-2,2,T. Ariza makes 2-pt shot from 17 ft (assist by J. Terry)
9:22.0,K. Towns makes 3-pt shot from 24 ft (assist by A. Wiggins),3,7-2,,
9:02.0,,,7-2,,Shooting foul by N. Pekovic (drawn by J. Terry)
9:02.0,,,7-3,1,J. Terry makes free throw 1 of 2
9:02.0,,,7-4,1,J. Terry makes free throw 2 of 2
8:48.0,K. Towns misses 2-pt shot from 10 ft,,7-4,,
8:47.0,Offensive rebound by N. Pekovic,,7-4,,
8:47.0,N. Pekovic misses 2-pt shot at rim,,7-4,,
8:45.0,,,7-4,,Defensive rebound by J. Harden
8:36.0,,,7-6,2,J. Harden makes 2-pt shot from 17 ft
8:16.0,Turnover by N. Pekovic (lost ball; steal by J. Harden),,7-6,,
