time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. I. Mahinmi (G. Hill gains possession),,,,Jump ball: P. Gasol vs. I. Mahinmi (G. Hill gains possession)
11:31.0,,,0-0,,M. Ellis misses 3-pt shot from 27 ft
11:31.0,Defensive rebound by N. Mirotic,,0-0,,
11:16.0,T. Snell misses 3-pt shot from 25 ft,,0-0,,
11:15.0,Offensive rebound by N. Mirotic,,0-0,,
11:02.0,Shooting foul by I. Mahinmi (drawn by P. Gasol),,0-0,,
11:02.0,P. Gasol makes free throw 1 of 2,1,1-0,,
11:02.0,P. Gasol misses free throw 2 of 2,,1-0,,
11:02.0,,,1-0,,Defensive rebound by C. Miles
10:48.0,,,1-0,,P. George misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by T. Snell,,1-0,,
10:36.0,T. Snell misses 2-pt shot from 19 ft,,1-0,,
10:35.0,Offensive rebound by Team,,1-0,,
10:29.0,P. Gasol makes 2-pt shot at rim,2,3-0,,
10:11.0,,,3-0,,M. Ellis misses 2-pt shot from 1 ft
10:11.0,,,3-0,,Offensive rebound by I. Mahinmi
10:06.0,,,3-2,2,I. Mahinmi makes 2-pt shot from 1 ft
9:55.0,P. Gasol misses 2-pt shot from 19 ft,,3-2,,
9:54.0,Offensive rebound by Team,,3-2,,
9:54.0,,,3-2,,Loose ball foul by C. Miles (drawn by N. Mirotic)
9:48.0,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol),2,5-2,,
9:36.0,,,5-2,,P. George misses 2-pt shot from 7 ft
9:35.0,Defensive rebound by P. Gasol,,5-2,,
9:26.0,P. Gasol makes 2-pt shot from 2 ft (assist by J. Butler),2,7-2,,
9:10.0,,,7-4,2,C. Miles makes 2-pt shot from 11 ft (assist by I. Mahinmi)
8:57.0,D. Rose misses 3-pt shot from 26 ft,,7-4,,
8:56.0,,,7-4,,Defensive rebound by G. Hill
8:46.0,,,7-4,,P. George misses 3-pt shot from 25 ft
8:46.0,,,7-4,,Offensive rebound by I. Mahinmi
8:41.0,,,7-6,2,I. Mahinmi makes 2-pt shot from 2 ft
8:36.0,Turnover by T. Snell (step out of bounds),,7-6,,
8:23.0,,,7-8,2,C. Miles makes 2-pt shot from 21 ft
8:15.0,Turnover by D. Rose (bad pass),,7-8,,
8:09.0,,,7-10,2,P. George makes 2-pt shot from 2 ft
7:53.0,Turnover by D. Rose (bad pass; steal by I. Mahinmi),,7-10,,
7:45.0,,,7-10,,G. Hill misses 2-pt shot from 3 ft
7:45.0,,,7-10,,Offensive rebound by M. Ellis
7:44.0,,,7-13,3,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis)
7:44.0,Chicago full timeout,,7-13,,
7:29.0,N. Mirotic makes 2-pt shot from 1 ft (assist by P. Gasol),2,9-13,,
7:16.0,,,9-15,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis)
7:03.0,T. Snell misses 2-pt shot from 21 ft,,9-15,,
7:02.0,,,9-15,,Defensive rebound by P. George
