time,Toronto,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Valanciunas,,,,Jump ball: R. Gobert vs. J. Valanciunas
12:00.0,Loose ball foul by J. Valanciunas (drawn by R. Gobert),,0-0,,
11:43.0,,,0-2,2,R. Neto makes 2-pt shot from 2 ft
11:29.0,L. Scola misses 2-pt shot from 15 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by D. Favors
11:11.0,,,0-4,2,D. Favors makes 2-pt shot from 13 ft (assist by R. Neto)
10:45.0,L. Scola makes 2-pt shot from 18 ft (assist by K. Lowry),2,2-4,,
10:26.0,,,2-6,2,R. Gobert makes 2-pt shot at rim (assist by R. Neto)
10:03.0,J. Valanciunas makes 2-pt shot from 1 ft,2,4-6,,
9:40.0,,,4-6,,G. Hayward misses 2-pt shot from 18 ft
9:39.0,Defensive rebound by K. Lowry,,4-6,,
9:25.0,D. DeRozan makes 2-pt shot from 10 ft,2,6-6,,
9:13.0,,,6-6,,R. Gobert misses 2-pt shot from 3 ft (block by J. Valanciunas)
9:11.0,Defensive rebound by D. Carroll,,6-6,,
9:03.0,L. Scola makes 2-pt shot from 15 ft,2,8-6,,
8:42.0,,,8-6,,Turnover by R. Gobert (lost ball; steal by D. Carroll)
8:27.0,L. Scola makes 2-pt shot from 19 ft (assist by K. Lowry),2,10-6,,
8:09.0,,,10-8,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
7:43.0,D. DeRozan misses 2-pt shot from 15 ft,,10-8,,
7:42.0,,,10-8,,Defensive rebound by R. Gobert
7:29.0,,,10-8,,R. Neto misses 3-pt shot from 23 ft
7:28.0,Defensive rebound by L. Scola,,10-8,,
7:18.0,J. Valanciunas misses 2-pt shot from 6 ft,,10-8,,
7:18.0,Offensive rebound by J. Valanciunas,,10-8,,
7:05.0,K. Lowry makes 3-pt shot from 24 ft (assist by L. Scola),3,13-8,,
6:42.0,,,13-10,2,D. Favors makes 2-pt shot at rim
6:37.0,Turnover by K. Lowry (bad pass; steal by D. Favors),,13-10,,
6:29.0,,,13-12,2,R. Hood makes 2-pt shot from 19 ft
6:07.0,L. Scola misses 2-pt shot from 18 ft,,13-12,,
6:07.0,,,13-12,,Defensive rebound by R. Hood
5:52.0,,,13-14,2,G. Hayward makes 2-pt shot from 2 ft (assist by R. Hood)
5:46.0,Toronto full timeout,,13-14,,
5:36.0,D. DeRozan misses 2-pt shot from 9 ft,,13-14,,
5:35.0,,,13-14,,Defensive rebound by R. Hood
5:24.0,,,13-16,2,G. Hayward makes 2-pt shot from 14 ft
5:15.0,,,13-16,,Personal foul by G. Hayward (drawn by D. DeRozan)
5:08.0,D. Carroll misses 3-pt shot from 24 ft,,13-16,,
5:07.0,,,13-16,,Defensive rebound by D. Favors
4:50.0,,,13-16,,R. Hood misses 2-pt shot from 11 ft
4:50.0,Defensive rebound by D. Carroll,,13-16,,
4:43.0,Turnover by D. Carroll (bad pass; steal by R. Neto),,13-16,,
4:37.0,,,13-18,2,R. Neto makes 2-pt shot from 1 ft
4:18.0,K. Lowry misses 3-pt shot from 24 ft,,13-18,,
4:17.0,Offensive rebound by L. Scola,,13-18,,
4:13.0,L. Scola misses 2-pt shot from 5 ft,,13-18,,
4:12.0,,,13-18,,Defensive rebound by R. Gobert
3:54.0,,,13-18,,R. Hood misses 3-pt shot from 24 ft
3:53.0,,,13-18,,Offensive rebound by R. Gobert
3:52.0,Personal foul by D. DeRozan (drawn by R. Gobert),,13-18,,
3:52.0,,,13-18,,T. Burke enters the game for R. Neto
3:52.0,,,13-18,,A. Burks enters the game for R. Hood
3:52.0,C. Joseph enters the game for D. Carroll,,13-18,,
3:52.0,P. Patterson enters the game for L. Scola,,13-18,,
3:47.0,,,13-18,,Shooting foul by D. DeRozan (drawn by G. Hayward)
3:47.0,,,13-19,1,G. Hayward makes free throw 1 of 2
3:47.0,,,13-19,,T. Booker enters the game for D. Favors
