time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. K. Towns (K. Garnett gains possession),,,,Jump ball: N. Jokic vs. K. Towns (K. Garnett gains possession)
11:40.0,,,0-2,2,R. Rubio makes 2-pt shot from 20 ft (assist by K. Towns)
11:14.0,K. Faried makes 2-pt shot at rim (assist by N. Jokic),2,2-2,,
10:50.0,,,2-5,3,R. Rubio makes 3-pt shot from 24 ft (assist by K. Garnett)
10:36.0,D. Gallinari makes 3-pt shot from 25 ft (assist by N. Jokic),3,5-5,,
10:13.0,,,5-7,2,K. Garnett makes 2-pt shot from 8 ft (assist by R. Rubio)
9:50.0,Shooting foul by K. Garnett (drawn by K. Faried),,5-7,,
9:50.0,K. Faried misses free throw 1 of 2,,5-7,,
9:50.0,Offensive rebound by Team,,5-7,,
9:50.0,K. Faried makes free throw 2 of 2,1,6-7,,
9:37.0,,,6-7,,A. Wiggins misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by K. Faried,,6-7,,
9:30.0,G. Harris makes 2-pt shot from 22 ft (assist by J. Nelson),2,8-7,,
9:14.0,,,8-9,2,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio)
8:51.0,K. Faried misses 2-pt shot from 7 ft,,8-9,,
8:50.0,,,8-9,,Defensive rebound by K. Garnett
8:39.0,,,8-9,,A. Wiggins misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by N. Jokic,,8-9,,
8:36.0,,,8-9,,Personal foul by R. Rubio (drawn by J. Nelson)
8:25.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson),3,11-9,,
8:04.0,,,11-12,3,R. Rubio makes 3-pt shot from 23 ft (assist by T. Prince)
7:48.0,G. Harris misses 3-pt shot from 24 ft,,11-12,,
7:47.0,,,11-12,,Defensive rebound by Team
7:36.0,,,11-12,,A. Wiggins misses 2-pt shot from 2 ft
7:35.0,Defensive rebound by K. Faried,,11-12,,
7:29.0,,,11-12,,Violation by K. Garnett (kicked ball)
7:25.0,Shooting foul by K. Garnett (drawn by D. Gallinari),,11-12,,
7:25.0,D. Gallinari makes free throw 1 of 2,1,12-12,,
7:25.0,D. Gallinari misses free throw 2 of 2,,12-12,,
7:25.0,,,12-12,,Defensive rebound by K. Towns
7:10.0,,,12-14,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
6:48.0,Turnover by D. Gallinari (traveling),,12-14,,
6:34.0,,,12-16,2,K. Towns makes 2-pt shot from 2 ft (assist by K. Garnett)
6:31.0,Denver full timeout,,12-16,,
6:31.0,,,12-16,,G. Dieng enters the game for K. Garnett
6:14.0,D. Gallinari misses 2-pt shot from 1 ft,,12-16,,
6:13.0,Offensive rebound by N. Jokic,,12-16,,
6:08.0,K. Faried misses 2-pt shot from 1 ft (block by T. Prince),,12-16,,
6:06.0,,,12-16,,Defensive rebound by K. Towns
5:50.0,,,12-16,,A. Wiggins misses 2-pt shot from 5 ft
5:49.0,Defensive rebound by K. Faried,,12-16,,
5:45.0,,,12-16,,Personal foul by K. Towns (drawn by N. Jokic)
5:35.0,J. Nelson makes 3-pt shot from 25 ft (assist by D. Gallinari),3,15-16,,
5:19.0,,,15-16,,R. Rubio misses 2-pt shot from 19 ft
5:17.0,Defensive rebound by N. Jokic,,15-16,,
5:03.0,J. Nelson misses 2-pt shot from 2 ft,,15-16,,
5:01.0,,,15-16,,Defensive rebound by Team
4:37.0,,,15-16,,K. Towns misses 2-pt shot from 6 ft
4:36.0,,,15-16,,Offensive rebound by Team
4:36.0,,,15-16,,Turnover by Team (shot clock)
4:25.0,Offensive foul by D. Gallinari,,15-16,,
4:25.0,Turnover by D. Gallinari (offensive foul),,15-16,,
4:25.0,,,15-16,,N. Pekovic enters the game for K. Towns
4:25.0,D. Arthur enters the game for K. Faried,,15-16,,
4:03.0,,,15-18,2,N. Pekovic makes 2-pt shot from 2 ft (assist by G. Dieng)
3:54.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nelson),2,17-18,,
3:35.0,,,17-18,,N. Pekovic misses 2-pt shot from 8 ft
3:34.0,Defensive rebound by D. Gallinari,,17-18,,
3:25.0,D. Gallinari makes 2-pt shot from 1 ft,2,19-18,,
3:07.0,,,19-18,,Turnover by A. Wiggins (bad pass)
3:07.0,,,19-18,,S. Muhammad enters the game for A. Wiggins
3:07.0,J. Nurkic enters the game for N. Jokic,,19-18,,
2:47.0,J. Nelson misses 2-pt shot from 17 ft,,19-18,,
2:46.0,,,19-18,,Defensive rebound by G. Dieng
