time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez (S. Vujacic gains possession),,,,Jump ball: M. Gortat vs. R. Lopez (S. Vujacic gains possession)
11:39.0,K. Porzingis misses 2-pt shot from 5 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by M. Gortat
11:32.0,,,0-0,,O. Porter misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by R. Lopez,,0-0,,
11:24.0,J. Calderon makes 2-pt shot from 18 ft,2,2-0,,
11:09.0,,,2-2,2,M. Morris makes 2-pt shot from 19 ft (assist by M. Gortat)
10:52.0,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Anthony),2,4-2,,
10:43.0,,,4-4,2,M. Morris makes 2-pt shot from 20 ft (assist by J. Wall)
10:21.0,J. Calderon misses 2-pt shot from 19 ft,,4-4,,
10:20.0,,,4-4,,Defensive rebound by J. Wall
10:11.0,,,4-4,,J. Wall misses 2-pt shot from 15 ft
10:10.0,Defensive rebound by C. Anthony,,4-4,,
9:56.0,C. Anthony makes 2-pt shot from 15 ft (assist by K. Porzingis),2,6-4,,
9:42.0,,,6-4,,M. Gortat misses 2-pt shot from 12 ft
9:41.0,Defensive rebound by C. Anthony,,6-4,,
9:30.0,Turnover by K. Porzingis (lost ball; steal by M. Morris),,6-4,,
9:20.0,,,6-4,,O. Porter misses 3-pt shot from 23 ft
9:19.0,Defensive rebound by K. Porzingis,,6-4,,
9:07.0,C. Anthony makes 2-pt shot from 19 ft (assist by S. Vujacic),2,8-4,,
8:57.0,,,8-4,,B. Beal misses 2-pt shot at rim (block by R. Lopez)
8:55.0,Defensive rebound by S. Vujacic,,8-4,,
8:34.0,K. Porzingis makes 2-pt shot from 17 ft (assist by C. Anthony),2,10-4,,
8:09.0,,,10-4,,M. Morris misses 2-pt shot from 14 ft (block by K. Porzingis)
8:06.0,Defensive rebound by S. Vujacic,,10-4,,
7:44.0,Turnover by S. Vujacic (lost ball),,10-4,,
7:33.0,,,10-4,,O. Porter misses 2-pt shot from 19 ft
7:32.0,Defensive rebound by C. Anthony,,10-4,,
7:23.0,C. Anthony misses 2-pt shot from 16 ft,,10-4,,
7:22.0,Offensive rebound by R. Lopez,,10-4,,
7:21.0,R. Lopez makes 2-pt shot from 1 ft,2,12-4,,
7:15.0,,,12-4,,Washington full timeout
6:58.0,,,12-4,,O. Porter misses 2-pt shot from 8 ft
6:57.0,Defensive rebound by R. Lopez,,12-4,,
6:50.0,C. Anthony misses 2-pt shot from 15 ft,,12-4,,
6:49.0,,,12-4,,Defensive rebound by O. Porter
6:40.0,,,12-7,3,J. Wall makes 3-pt shot from 24 ft
6:11.0,R. Lopez misses 2-pt shot from 12 ft,,12-7,,
6:10.0,,,12-7,,Defensive rebound by M. Gortat
6:07.0,,,12-7,,Turnover by J. Wall (offensive foul)
6:07.0,,,12-7,,Offensive charge foul by J. Wall
5:57.0,J. Calderon makes 2-pt shot from 21 ft (assist by R. Lopez),2,14-7,,
5:46.0,,,14-10,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:25.0,K. Porzingis makes 2-pt shot at rim (assist by J. Calderon),2,16-10,,
5:13.0,,,16-10,,Turnover by M. Morris (lost ball; steal by C. Anthony)
5:02.0,K. Porzingis misses 2-pt shot from 6 ft,,16-10,,
5:01.0,Offensive rebound by R. Lopez,,16-10,,
4:54.0,K. Porzingis misses 2-pt shot from 16 ft,,16-10,,
4:53.0,,,16-10,,Defensive rebound by M. Gortat
4:43.0,,,16-10,,J. Wall misses 2-pt shot from 1 ft (block by R. Lopez)
4:41.0,,,16-10,,Offensive rebound by M. Gortat
4:38.0,,,16-10,,O. Porter misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by S. Vujacic,,16-10,,
4:17.0,C. Anthony misses 2-pt shot from 14 ft,,16-10,,
4:16.0,,,16-10,,Defensive rebound by M. Gortat
4:11.0,,,16-12,2,J. Wall makes 2-pt shot from 2 ft (assist by M. Gortat)
4:00.0,New York full timeout,,16-12,,
4:00.0,A. Afflalo enters the game for S. Vujacic,,16-12,,
4:00.0,,,16-12,,A. Anderson enters the game for O. Porter
4:00.0,,,16-12,,G. Temple enters the game for B. Beal
4:00.0,D. Williams enters the game for K. Porzingis,,16-12,,
3:46.0,C. Anthony makes 2-pt shot from 17 ft,2,18-12,,
3:28.0,,,18-12,,A. Anderson misses 3-pt shot from 25 ft
3:27.0,Defensive rebound by J. Calderon,,18-12,,
3:13.0,A. Afflalo makes 2-pt shot from 16 ft (assist by D. Williams),2,20-12,,
2:58.0,,,20-12,,M. Morris misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by D. Williams,,20-12,,
2:49.0,Turnover by D. Williams (traveling),,20-12,,
2:49.0,,,20-12,,J. Dudley enters the game for M. Morris
2:36.0,,,20-15,3,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall)
2:19.0,R. Lopez makes 2-pt shot from 12 ft (assist by C. Anthony),2,22-15,,
2:05.0,,,22-15,,Turnover by M. Gortat (3 sec)
2:05.0,,,22-15,,N. Hilario enters the game for M. Gortat
2:05.0,K. Seraphin enters the game for R. Lopez,,22-15,,
1:53.0,J. Calderon makes 3-pt shot from 26 ft,3,25-15,,
1:40.0,,,25-17,2,J. Wall makes 2-pt shot at rim
1:28.0,K. Seraphin makes 2-pt shot from 18 ft (assist by J. Calderon),2,27-17,,
1:07.0,,,27-17,,A. Anderson misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by A. Afflalo,,27-17,,
0:56.0,D. Williams misses 2-pt shot from 1 ft,,27-17,,
0:55.0,,,27-17,,Defensive rebound by G. Temple
0:49.0,,,27-19,2,J. Wall makes 2-pt shot from 5 ft
0:39.0,K. Seraphin misses 2-pt shot from 14 ft,,27-19,,
0:38.0,,,27-19,,Defensive rebound by G. Temple
0:33.0,,,27-19,,Shooting foul by K. Seraphin (drawn by N. Hilario)
0:33.0,,,27-19,,N. Hilario misses free throw 1 of 2
0:33.0,,,27-19,,Offensive rebound by Team
0:33.0,L. Galloway enters the game for J. Calderon,,27-19,,
0:33.0,,,27-19,,R. Sessions enters the game for J. Wall
0:33.0,,,27-20,1,N. Hilario makes free throw 2 of 2
0:20.0,C. Anthony makes 2-pt shot at rim (assist by A. Afflalo),2,29-20,,
0:06.0,,,29-20,,R. Sessions misses 2-pt shot from 11 ft (block by L. Galloway)
0:04.0,,,29-20,,Offensive rebound by N. Hilario
0:01.0,,,29-20,,J. Dudley misses 3-pt shot from 26 ft
0:00.0,,,29-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by L. Galloway,,29-20,,
11:42.0,,,29-20,,B. Beal misses 2-pt shot from 11 ft
