time,Indiana,pts.away,score,pts.home,Sacramento
0:45.0,Offensive rebound by J. Hill,,23-31,,
0:45.0,J. Hill makes 2-pt shot from 1 ft,2,25-31,,
0:33.0,,,25-31,,K. Koufos misses 2-pt shot from 8 ft
0:32.0,Defensive rebound by M. Turner,,25-31,,
0:18.0,J. Hill misses 2-pt shot from 7 ft,,25-31,,
0:17.0,,,25-31,,Defensive rebound by D. Cousins
0:06.0,Personal foul by J. Young,,25-31,,
0:06.0,C. Miles enters the game for P. George,,25-31,,
0:00.0,,,25-31,,D. Cousins misses 2-pt shot from 19 ft
0:00.0,,,25-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Turner misses 2-pt shot from 22 ft,,25-31,,
11:46.0,,,25-31,,Defensive rebound by J. Anderson
11:31.0,,,25-31,,D. Cousins misses 2-pt shot from 4 ft
11:31.0,Defensive rebound by G. Hill,,25-31,,
11:12.0,M. Turner makes 2-pt shot from 3 ft (assist by G. Hill),2,27-31,,
11:01.0,Personal foul by G. Hill (drawn by M. Belinelli),,27-31,,
10:48.0,,,27-33,2,D. Cousins makes 2-pt shot from 2 ft
10:38.0,,,27-33,,Personal foul by K. Koufos (drawn by G. Hill)
10:34.0,J. Young misses 3-pt shot from 24 ft,,27-33,,
10:33.0,,,27-33,,Defensive rebound by D. Cousins
10:25.0,,,27-33,,Turnover by D. Collison (bad pass; steal by G. Hill)
10:06.0,C. Miles misses 2-pt shot from 9 ft,,27-33,,
10:04.0,,,27-33,,Defensive rebound by Team
9:51.0,,,27-33,,Turnover by M. Belinelli (offensive foul)
9:51.0,,,27-33,,Offensive charge foul by M. Belinelli
9:51.0,,,27-33,,W. Cauley-Stein enters the game for K. Koufos
9:38.0,C. Miles misses 2-pt shot from 20 ft,,27-33,,
9:37.0,,,27-33,,Defensive rebound by W. Cauley-Stein
9:30.0,,,27-33,,D. Collison misses 2-pt shot from 6 ft (block by M. Turner)
9:29.0,,,27-33,,Offensive rebound by W. Cauley-Stein
9:23.0,,,27-35,2,D. Cousins makes 2-pt shot from 4 ft
9:08.0,M. Turner misses 2-pt shot from 19 ft,,27-35,,
9:08.0,Offensive rebound by L. Allen,,27-35,,
9:06.0,L. Allen makes 2-pt shot from 5 ft,2,29-35,,
8:50.0,,,29-35,,D. Cousins misses 2-pt shot from 5 ft (block by L. Allen)
8:50.0,,,29-35,,Offensive rebound by Team
8:50.0,Official timeout,,29-35,,
8:46.0,,,29-37,2,M. Belinelli makes 2-pt shot from 19 ft (assist by D. Collison)
8:29.0,,,29-37,,Personal foul by J. Anderson (drawn by G. Hill)
8:21.0,J. Young makes 2-pt shot from 16 ft,2,31-37,,
8:07.0,,,31-37,,M. Belinelli misses 2-pt shot from 19 ft
8:06.0,Defensive rebound by M. Turner,,31-37,,
7:58.0,C. Miles misses 3-pt shot from 27 ft,,31-37,,
7:58.0,,,31-37,,Defensive rebound by W. Cauley-Stein
7:43.0,,,31-37,,D. Cousins misses 2-pt shot from 10 ft
7:42.0,,,31-37,,Offensive rebound by W. Cauley-Stein
7:31.0,,,31-37,,D. Cousins misses 2-pt shot from 7 ft
7:29.0,Defensive rebound by L. Allen,,31-37,,
7:26.0,Turnover by J. Young (bad pass),,31-37,,
7:26.0,,,31-37,,R. Rondo enters the game for J. Anderson
7:06.0,,,31-37,,D. Collison misses 2-pt shot from 6 ft (block by M. Turner)
7:04.0,Defensive rebound by L. Allen,,31-37,,
6:57.0,C. Miles misses 2-pt shot from 10 ft,,31-37,,
6:56.0,,,31-37,,Defensive rebound by D. Cousins
6:50.0,,,31-39,2,D. Cousins makes 2-pt shot from 3 ft
6:30.0,J. Young misses 3-pt shot from 23 ft,,31-39,,
6:30.0,,,31-39,,Defensive rebound by R. Rondo
6:17.0,,,31-39,,Turnover by M. Belinelli (lost ball)
6:03.0,M. Turner makes 2-pt shot from 21 ft (assist by J. Young),2,33-39,,
5:45.0,,,33-41,2,D. Cousins makes 2-pt shot at rim
5:44.0,Indiana full timeout,,33-41,,
5:44.0,M. Ellis enters the game for G. Hill,,33-41,,
5:44.0,,,33-41,,O. Casspi enters the game for M. Belinelli
5:30.0,C. Miles misses 3-pt shot from 25 ft,,33-41,,
5:29.0,,,33-41,,Defensive rebound by D. Cousins
5:14.0,,,33-43,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Rondo)
4:51.0,M. Turner makes 2-pt shot from 7 ft,2,35-43,,
4:31.0,,,35-45,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
4:31.0,,,35-45,,Shooting foul by M. Turner (drawn by D. Cousins)
4:31.0,J. Hill enters the game for M. Turner,,35-45,,
4:31.0,,,35-45,,B. McLemore enters the game for D. Collison
4:31.0,P. George enters the game for C. Miles,,35-45,,
4:31.0,,,35-46,1,D. Cousins makes free throw 1 of 1
4:18.0,J. Young misses 2-pt shot from 12 ft,,35-46,,
4:17.0,,,35-46,,Defensive rebound by W. Cauley-Stein
4:07.0,,,35-46,,Offensive charge foul by D. Cousins
4:07.0,,,35-46,,Turnover by D. Cousins (offensive foul)
3:56.0,M. Ellis makes 2-pt shot from 22 ft,2,37-46,,
3:46.0,,,37-46,,D. Cousins misses 2-pt shot from 9 ft (block by P. George)
3:46.0,,,37-46,,Offensive rebound by Team
3:32.0,,,37-46,,W. Cauley-Stein misses 2-pt shot from 7 ft
3:31.0,Defensive rebound by J. Hill,,37-46,,
3:18.0,J. Young misses 2-pt shot from 18 ft,,37-46,,
3:17.0,Offensive rebound by L. Allen,,37-46,,
3:11.0,P. George misses 3-pt shot from 24 ft,,37-46,,
3:10.0,,,37-46,,Defensive rebound by O. Casspi
2:55.0,,,37-46,,D. Cousins misses 3-pt shot from 25 ft
2:55.0,,,37-46,,Offensive rebound by R. Rondo
2:55.0,,,37-46,,Shooting foul by M. Ellis (drawn by R. Rondo)
2:55.0,,,37-46,,Sacramento full timeout
2:55.0,G. Hill enters the game for J. Young,,37-46,,
2:55.0,,,37-47,1,R. Rondo makes free throw 1 of 2
2:55.0,,,37-48,1,R. Rondo makes free throw 2 of 2
2:39.0,Turnover by P. George (bad pass; steal by R. Rondo),,37-48,,
2:34.0,,,37-48,,Turnover by O. Casspi (lost ball; steal by M. Ellis)
2:26.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,40-48,,
2:08.0,Personal foul by J. Hill (drawn by D. Cousins),,40-48,,
1:59.0,,,40-48,,Turnover by R. Rondo (traveling)
1:49.0,L. Allen makes 2-pt shot from 1 ft (assist by M. Ellis),2,42-48,,
1:28.0,,,42-48,,O. Casspi misses 3-pt shot from 26 ft
1:26.0,,,42-48,,Offensive rebound by B. McLemore
1:26.0,,,42-50,2,B. McLemore makes 2-pt shot from 2 ft
1:00.0,G. Hill misses 2-pt shot from 10 ft,,42-50,,
1:00.0,Offensive rebound by L. Allen,,42-50,,
0:46.0,Shooting foul by W. Cauley-Stein (drawn by J. Hill),,42-50,,
0:46.0,J. Hill misses free throw 1 of 2,,42-50,,
0:46.0,Offensive rebound by Team,,42-50,,
0:46.0,,,42-50,,K. Koufos enters the game for D. Cousins
0:46.0,J. Hill makes free throw 2 of 2,1,43-50,,
0:33.0,,,43-50,,B. McLemore misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by M. Ellis,,43-50,,
0:28.0,G. Hill makes 2-pt shot at rim (assist by M. Ellis),2,45-50,,
0:02.0,,,45-50,,R. Rondo misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by J. Hill,,45-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,P. George misses 2-pt shot from 19 ft,,45-50,,
11:36.0,,,45-50,,Defensive rebound by D. Cousins
11:27.0,,,45-50,,B. McLemore misses 2-pt shot from 7 ft (block by P. George)
11:25.0,,,45-50,,Offensive rebound by W. Cauley-Stein
11:25.0,,,45-52,2,W. Cauley-Stein makes 2-pt shot at rim
11:25.0,,,45-52,,Technical foul by Team
11:25.0,P. George makes technical free throw,1,46-52,,
11:11.0,L. Allen makes 2-pt shot from 6 ft (assist by M. Ellis),2,48-52,,
10:59.0,,,48-52,,Shooting foul by J. Hill (drawn by D. Cousins)
10:59.0,,,48-53,1,D. Cousins makes free throw 1 of 2
10:59.0,,,48-53,,D. Cousins misses free throw 2 of 2
10:58.0,Defensive rebound by J. Hill,,48-53,,
10:47.0,,,48-53,,Personal foul by B. McLemore (drawn by G. Robinson)
10:41.0,Shooting foul by B. McLemore (drawn by M. Ellis),,48-53,,
10:41.0,M. Ellis makes 2-pt shot from 20 ft (assist by J. Hill),2,50-53,,
10:41.0,M. Ellis misses free throw 1 of 1,,50-53,,
10:40.0,,,50-53,,Defensive rebound by W. Cauley-Stein
10:26.0,,,50-55,2,O. Casspi makes 2-pt shot from 6 ft
10:11.0,L. Allen misses 2-pt shot from 16 ft,,50-55,,
10:11.0,,,50-55,,Defensive rebound by W. Cauley-Stein
9:58.0,,,50-55,,B. McLemore misses 2-pt shot from 2 ft
9:58.0,Defensive rebound by J. Hill,,50-55,,
9:47.0,J. Hill makes 2-pt shot at rim (assist by L. Allen),2,52-55,,
9:35.0,,,52-55,,D. Cousins misses 2-pt shot from 4 ft
9:34.0,,,52-55,,Offensive rebound by D. Cousins
9:28.0,,,52-55,,B. McLemore misses 2-pt shot from 2 ft
9:27.0,Defensive rebound by J. Hill,,52-55,,
9:19.0,P. George misses 3-pt shot from 25 ft,,52-55,,
9:18.0,,,52-55,,Defensive rebound by O. Casspi
9:12.0,Violation by J. Hill (kicked ball),,52-55,,
9:03.0,,,52-57,2,D. Cousins makes 2-pt shot from 5 ft (assist by R. Rondo)
8:43.0,J. Hill makes 2-pt shot at rim (assist by P. George),2,54-57,,
8:25.0,,,54-59,2,D. Cousins makes 2-pt shot from 13 ft
8:25.0,,,54-59,,Violation by Team (jump ball)
8:14.0,,,54-59,,Personal foul by W. Cauley-Stein (drawn by J. Hill)
7:59.0,J. Hill misses 2-pt shot from 13 ft,,54-59,,
7:59.0,Offensive rebound by Team,,54-59,,
7:59.0,Turnover by Team (shot clock),,54-59,,
7:51.0,,,54-59,,B. McLemore misses 3-pt shot from 23 ft
7:51.0,,,54-59,,Offensive rebound by W. Cauley-Stein
