time,Indiana,pts.away,score,pts.home,Sacramento
4:37.0,,,86-95,1,D. Cousins makes free throw 1 of 2
4:37.0,,,86-95,,D. Collison enters the game for M. Belinelli
4:37.0,,,86-95,,D. Cousins misses free throw 2 of 2
4:36.0,Defensive rebound by J. Hill,,86-95,,
4:23.0,P. George makes 3-pt shot from 24 ft,3,89-95,,
4:04.0,,,89-97,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
3:49.0,Shooting foul by O. Casspi (drawn by P. George),,89-97,,
3:49.0,P. George makes free throw 1 of 2,1,90-97,,
3:49.0,,,90-97,,J. Anderson enters the game for O. Casspi
3:49.0,P. George makes free throw 2 of 2,1,91-97,,
3:27.0,,,91-97,,D. Collison misses 2-pt shot from 20 ft
3:26.0,Defensive rebound by L. Allen,,91-97,,
3:15.0,P. George misses 2-pt shot from 3 ft,,91-97,,
3:13.0,,,91-97,,Defensive rebound by R. Rondo
3:08.0,,,91-99,2,D. Collison makes 2-pt shot from 2 ft (assist by R. Rondo)
2:55.0,G. Hill misses 2-pt shot from 20 ft,,91-99,,
2:54.0,,,91-99,,Defensive rebound by D. Cousins
2:50.0,,,91-99,,W. Cauley-Stein misses 2-pt shot from 3 ft
2:48.0,,,91-99,,Offensive rebound by D. Collison
2:48.0,,,91-101,2,D. Collison makes 2-pt shot from 2 ft
2:48.0,Indiana full timeout,,91-101,,
2:48.0,Official timeout,,91-101,,
2:48.0,M. Turner enters the game for J. Hill,,91-101,,
2:33.0,M. Ellis misses 3-pt shot from 23 ft,,91-101,,
2:32.0,,,91-101,,Defensive rebound by W. Cauley-Stein
2:11.0,,,91-101,,D. Cousins misses 2-pt shot from 4 ft (block by M. Turner)
2:10.0,Defensive rebound by L. Allen,,91-101,,
2:04.0,M. Turner misses 2-pt shot from 3 ft,,91-101,,
2:03.0,,,91-101,,Defensive rebound by R. Rondo
2:00.0,Personal foul by L. Allen (drawn by D. Cousins),,91-101,,
2:00.0,,,91-102,1,D. Cousins makes free throw 1 of 2
2:00.0,,,91-102,,D. Cousins misses free throw 2 of 2
1:59.0,Defensive rebound by L. Allen,,91-102,,
1:38.0,M. Turner misses 3-pt shot from 24 ft,,91-102,,
1:37.0,,,91-102,,Defensive rebound by D. Cousins
1:23.0,,,91-102,,Turnover by D. Cousins (step out of bounds)
1:23.0,,,91-102,,Technical foul by D. Cousins
1:23.0,P. George misses technical free throw,,91-102,,
1:23.0,Offensive rebound by Team,,91-102,,
1:09.0,,,91-102,,Shooting block foul by D. Cousins (drawn by L. Allen)
1:09.0,L. Allen makes free throw 1 of 2,1,92-102,,
1:09.0,L. Allen misses free throw 2 of 2,,92-102,,
1:07.0,,,92-102,,Defensive rebound by D. Cousins
0:45.0,,,92-102,,Turnover by Team (shot clock)
0:45.0,Indiana full timeout,,92-102,,
0:37.0,Shooting foul by J. Anderson (drawn by P. George),,92-102,,
0:37.0,P. George makes free throw 1 of 3,1,93-102,,
0:37.0,P. George makes free throw 2 of 3,1,94-102,,
0:37.0,P. George misses free throw 3 of 3,,94-102,,
0:37.0,,,94-102,,Defensive rebound by R. Rondo
0:31.0,Personal foul by M. Ellis (drawn by R. Rondo),,94-102,,
0:31.0,,,94-102,,R. Rondo misses free throw 1 of 2
0:31.0,,,94-102,,Offensive rebound by Team
0:31.0,,,94-103,1,R. Rondo makes free throw 2 of 2
0:31.0,Indiana full timeout,,94-103,,
0:31.0,J. Young enters the game for L. Allen,,94-103,,
0:28.0,P. George misses 3-pt shot from 23 ft,,94-103,,
0:28.0,,,94-103,,Defensive rebound by Team
0:28.0,Loose ball foul by P. George (drawn by D. Cousins),,94-103,,
0:28.0,,,94-104,1,D. Cousins makes free throw 1 of 2
0:28.0,C. Miles enters the game for P. George,,94-104,,
0:28.0,L. Allen enters the game for M. Ellis,,94-104,,
0:28.0,,,94-104,,D. Cousins misses free throw 2 of 2
0:27.0,,,94-104,,Offensive rebound by W. Cauley-Stein
0:25.0,,,94-104,,Turnover by W. Cauley-Stein (bad pass; steal by C. Miles)
0:21.0,G. Hill makes 3-pt shot from 25 ft (assist by C. Miles),3,97-104,,
0:20.0,Personal foul by J. Young,,97-104,,
0:20.0,,,97-105,1,D. Cousins makes free throw 1 of 2
0:20.0,J. Hill enters the game for L. Allen,,97-105,,
0:20.0,,,97-106,1,D. Cousins makes free throw 2 of 2
0:19.0,Turnover by J. Hill (bad pass; steal by R. Rondo),,97-106,,
0:18.0,Personal foul by G. Hill (drawn by R. Rondo),,97-106,,
0:18.0,,,97-107,1,R. Rondo makes free throw 1 of 2
0:18.0,,,97-107,,K. Koufos enters the game for D. Cousins
0:18.0,,,97-107,,B. McLemore enters the game for W. Cauley-Stein
0:18.0,,,97-108,1,R. Rondo makes free throw 2 of 2
0:10.0,J. Young misses 2-pt shot from 20 ft,,97-108,,
0:10.0,,,97-108,,Defensive rebound by D. Collison
0:00.0,End of 4th quarter,,,,End of 4th quarter
