time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. McCullough vs. L. Nogueira (H. Sims gains possession),,,,Jump ball: C. McCullough vs. L. Nogueira (H. Sims gains possession)
11:43.0,,,0-2,2,S. Larkin makes 2-pt shot from 11 ft (assist by B. Bogdanovic)
11:26.0,J. Thompson misses 3-pt shot from 24 ft,,0-2,,
11:25.0,Offensive rebound by D. Wright,,0-2,,
11:15.0,B. Caboclo misses 3-pt shot from 25 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by C. McCullough
10:56.0,,,0-2,,Shooting foul by D. Wright (drawn by W. Ellington)
10:56.0,,,0-3,1,W. Ellington makes free throw 1 of 3
10:56.0,,,0-4,1,W. Ellington makes free throw 2 of 3
10:56.0,,,0-5,1,W. Ellington makes free throw 3 of 3
10:37.0,J. Thompson misses 2-pt shot from 2 ft (block by H. Sims),,0-5,,
10:36.0,,,0-5,,Defensive rebound by H. Sims
10:23.0,,,0-5,,B. Bogdanovic misses 2-pt shot from 3 ft
10:22.0,Defensive rebound by L. Nogueira,,0-5,,
10:10.0,B. Caboclo misses 3-pt shot from 23 ft,,0-5,,
10:09.0,Offensive rebound by L. Nogueira,,0-5,,
10:08.0,L. Nogueira misses 2-pt shot from 2 ft,,0-5,,
10:07.0,,,0-5,,Defensive rebound by Team
9:55.0,,,0-5,,Turnover by S. Larkin (lost ball; steal by B. Caboclo)
9:39.0,Turnover by L. Nogueira (lost ball; steal by C. McCullough),,0-5,,
9:30.0,,,0-5,,C. McCullough misses 3-pt shot from 27 ft
9:29.0,,,0-5,,Offensive rebound by H. Sims
9:28.0,,,0-7,2,H. Sims makes 2-pt shot from 2 ft
9:07.0,L. Nogueira misses 2-pt shot from 2 ft,,0-7,,
9:06.0,,,0-7,,Defensive rebound by H. Sims
8:55.0,Def 3 sec tech foul by B. Caboclo,,0-7,,
8:55.0,,,0-8,1,B. Bogdanovic makes technical free throw
8:51.0,,,0-10,2,H. Sims makes 2-pt shot from 1 ft (assist by S. Larkin)
8:46.0,Toronto full timeout,,0-10,,
8:36.0,N. Powell misses 2-pt shot from 18 ft,,0-10,,
8:35.0,,,0-10,,Defensive rebound by B. Bogdanovic
8:23.0,,,0-10,,B. Bogdanovic misses 3-pt shot from 23 ft
8:22.0,Defensive rebound by J. Thompson,,0-10,,
8:18.0,,,0-10,,Personal foul by W. Ellington
8:07.0,D. Wright misses 3-pt shot from 27 ft,,0-10,,
8:06.0,,,0-10,,Defensive rebound by W. Ellington
7:57.0,,,0-12,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by W. Ellington)
7:42.0,Shooting foul by H. Sims (drawn by N. Powell),,0-12,,
7:42.0,N. Powell misses free throw 1 of 2,,0-12,,
7:42.0,Offensive rebound by Team,,0-12,,
7:42.0,N. Powell misses free throw 2 of 2,,0-12,,
7:41.0,,,0-12,,Defensive rebound by H. Sims
7:27.0,,,0-12,,B. Bogdanovic misses 2-pt shot from 7 ft (block by B. Caboclo)
7:25.0,Defensive rebound by J. Thompson,,0-12,,
7:14.0,D. Wright makes 2-pt shot from 1 ft (assist by L. Nogueira),2,2-12,,
6:58.0,,,2-12,,W. Ellington misses 2-pt shot from 2 ft (block by L. Nogueira)
6:57.0,,,2-12,,Offensive rebound by C. McCullough
6:56.0,,,2-12,,C. McCullough misses 2-pt shot from 4 ft
6:55.0,,,2-12,,Offensive rebound by Team
6:52.0,,,2-14,2,H. Sims makes 2-pt shot from 2 ft (assist by W. Ellington)
6:38.0,Turnover by D. Wright (lost ball; steal by S. Larkin),,2-14,,
