time,Oklahoma City,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Mozgov (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. T. Mozgov (S. Ibaka gains possession)
11:46.0,K. Durant misses 2-pt shot from 15 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by J. Smith
11:35.0,,,0-0,,J. Smith misses 2-pt shot from 2 ft (block by A. Roberson)
11:33.0,Defensive rebound by S. Adams,,0-0,,
11:30.0,R. Westbrook misses 2-pt shot at rim,,0-0,,
11:30.0,,,0-0,,Defensive rebound by Team
11:07.0,,,0-0,,K. Love misses 2-pt shot from 9 ft (block by K. Durant)
11:06.0,Defensive rebound by S. Ibaka,,0-0,,
10:51.0,K. Durant makes 3-pt shot from 25 ft (assist by A. Roberson),3,3-0,,
10:26.0,,,3-3,3,L. James makes 3-pt shot from 25 ft
10:15.0,Shooting foul by J. Smith (drawn by K. Durant),,3-3,,
10:15.0,K. Durant makes free throw 1 of 2,1,4-3,,
10:15.0,K. Durant makes free throw 2 of 2,1,5-3,,
10:02.0,,,5-3,,K. Love misses 2-pt shot from 7 ft (block by A. Roberson)
10:02.0,,,5-3,,Offensive rebound by Team
9:51.0,,,5-6,3,J. Smith makes 3-pt shot from 25 ft (assist by K. Love)
9:28.0,Turnover by R. Westbrook (bad pass; steal by K. Love),,5-6,,
9:21.0,Personal foul by S. Adams (drawn by T. Mozgov),,5-6,,
9:04.0,,,5-8,2,J. Smith makes 2-pt shot from 21 ft
8:42.0,R. Westbrook makes 2-pt shot from 16 ft,2,7-8,,
8:12.0,,,7-8,,J. Smith misses 2-pt shot from 18 ft
8:11.0,Defensive rebound by Team,,7-8,,
7:45.0,A. Roberson misses 2-pt shot from 8 ft,,7-8,,
7:44.0,,,7-8,,Defensive rebound by L. James
7:35.0,,,7-11,3,L. James makes 3-pt shot from 24 ft
7:23.0,S. Ibaka misses 2-pt shot from 17 ft,,7-11,,
7:23.0,,,7-11,,Defensive rebound by L. James
7:10.0,,,7-11,,L. James misses 3-pt shot from 25 ft
7:09.0,,,7-11,,Offensive rebound by K. Love
7:08.0,,,7-11,,Turnover by K. Love (bad pass; steal by R. Westbrook)
7:03.0,R. Westbrook misses 2-pt shot at rim,,7-11,,
7:03.0,Offensive rebound by S. Ibaka,,7-11,,
7:03.0,Shooting foul by T. Mozgov (drawn by S. Ibaka),,7-11,,
7:03.0,S. Ibaka makes free throw 1 of 2,1,8-11,,
7:03.0,S. Ibaka makes free throw 2 of 2,1,9-11,,
6:52.0,,,9-11,,Turnover by L. James (bad pass)
6:40.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,12-11,,
6:20.0,,,12-13,2,T. Mozgov makes 2-pt shot at rim
6:02.0,R. Westbrook makes 2-pt shot at rim,2,14-13,,
6:02.0,,,14-13,,Cleveland full timeout
6:02.0,,,14-13,,R. Jefferson enters the game for L. James
5:44.0,,,14-15,2,K. Love makes 2-pt shot at rim (assist by M. Dellavedova)
5:44.0,Violation by A. Roberson (def goaltending),,14-15,,
5:31.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,16-15,,
5:16.0,,,16-15,,Turnover by M. Dellavedova (bad pass)
5:04.0,S. Ibaka misses 3-pt shot from 23 ft,,16-15,,
5:04.0,,,16-15,,Defensive rebound by Team
5:04.0,Loose ball foul by S. Adams (drawn by T. Mozgov),,16-15,,
4:54.0,,,16-15,,M. Dellavedova misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by R. Westbrook,,16-15,,
4:45.0,Shooting foul by M. Dellavedova (drawn by R. Westbrook),,16-15,,
4:45.0,R. Westbrook makes free throw 1 of 2,1,17-15,,
4:45.0,D. Waiters enters the game for A. Roberson,,17-15,,
4:45.0,E. Kanter enters the game for S. Adams,,17-15,,
4:45.0,R. Westbrook makes free throw 2 of 2,1,18-15,,
4:21.0,,,18-15,,M. Dellavedova misses 2-pt shot from 17 ft
4:21.0,,,18-15,,Offensive rebound by Team
4:21.0,,,18-15,,Turnover by Team (shot clock)
4:06.0,,,18-15,,Violation by T. Mozgov (def goaltending)
4:06.0,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant),2,20-15,,
3:53.0,,,20-15,,J. Smith misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by E. Kanter,,20-15,,
3:40.0,K. Durant makes 2-pt shot from 1 ft,2,22-15,,
3:17.0,,,22-18,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Mozgov)
2:56.0,S. Ibaka misses 3-pt shot from 23 ft,,22-18,,
2:55.0,,,22-18,,Defensive rebound by M. Dellavedova
2:46.0,,,22-18,,R. Jefferson misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by E. Kanter,,22-18,,
2:39.0,Oklahoma City full timeout,,22-18,,
2:39.0,D. Augustin enters the game for S. Ibaka,,22-18,,
2:39.0,N. Collison enters the game for R. Westbrook,,22-18,,
2:39.0,,,22-18,,J. Cunningham enters the game for T. Mozgov
2:39.0,,,22-18,,T. Thompson enters the game for J. Smith
2:39.0,,,22-18,,L. James enters the game for M. Dellavedova
2:24.0,K. Durant misses 2-pt shot from 13 ft,,22-18,,
2:24.0,,,22-18,,Defensive rebound by R. Jefferson
2:04.0,,,22-18,,L. James misses 2-pt shot from 10 ft
2:03.0,,,22-18,,Offensive rebound by T. Thompson
2:00.0,,,22-18,,T. Thompson misses 2-pt shot from 1 ft
1:58.0,,,22-18,,Offensive rebound by T. Thompson
1:58.0,,,22-20,2,T. Thompson makes 2-pt shot at rim
1:42.0,N. Collison makes 2-pt shot from 5 ft (assist by K. Durant),2,24-20,,
1:23.0,,,24-23,3,R. Jefferson makes 3-pt shot from 24 ft (assist by L. James)
1:04.0,Shooting foul by L. James (drawn by K. Durant),,24-23,,
1:04.0,K. Durant makes free throw 1 of 2,1,25-23,,
1:04.0,,,25-23,,A. Varejao enters the game for K. Love
1:04.0,K. Durant makes free throw 2 of 2,1,26-23,,
0:51.0,,,26-23,,L. James misses 2-pt shot from 2 ft
0:50.0,,,26-23,,Offensive rebound by T. Thompson
0:50.0,,,26-23,,Shooting foul by N. Collison (drawn by T. Thompson)
0:50.0,,,26-23,,T. Thompson misses free throw 1 of 2
0:50.0,,,26-23,,Offensive rebound by Team
0:50.0,,,26-23,,T. Thompson misses free throw 2 of 2
0:50.0,Defensive rebound by K. Durant,,26-23,,
0:38.0,D. Augustin misses 3-pt shot from 25 ft,,26-23,,
0:37.0,,,26-23,,Defensive rebound by L. James
0:28.0,,,26-25,2,L. James makes 2-pt shot at rim
0:28.0,,,26-25,,Shooting foul by N. Collison (drawn by L. James)
0:28.0,,,26-26,1,L. James makes free throw 1 of 1
0:05.0,K. Durant makes 2-pt shot from 16 ft,2,28-26,,
0:01.0,,,28-26,,L. James misses 3-pt shot from 29 ft
0:00.0,Defensive rebound by N. Collison,,28-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,28-26,,A. Varejao misses 2-pt shot from 15 ft
11:39.0,Defensive rebound by E. Kanter,,28-26,,
11:26.0,D. Waiters misses 2-pt shot from 20 ft,,28-26,,
11:26.0,,,28-26,,Defensive rebound by T. Thompson
11:07.0,,,28-26,,Offensive charge foul by J. Cunningham
11:07.0,,,28-26,,Turnover by J. Cunningham (offensive foul)
10:57.0,E. Kanter makes 2-pt shot from 15 ft (assist by D. Augustin),2,30-26,,
10:38.0,,,30-26,,A. Varejao misses 2-pt shot from 16 ft
10:38.0,Defensive rebound by E. Kanter,,30-26,,
10:25.0,D. Augustin makes 2-pt shot from 5 ft,2,32-26,,
10:21.0,Personal foul by N. Collison (drawn by T. Thompson),,32-26,,
10:21.0,,,32-26,,M. Dellavedova enters the game for J. Cunningham
10:10.0,,,32-26,,Turnover by L. James (bad pass)
9:49.0,D. Augustin misses 2-pt shot at rim,,32-26,,
9:47.0,Offensive rebound by N. Collison,,32-26,,
9:47.0,N. Collison misses 2-pt shot from 1 ft,,32-26,,
9:45.0,,,32-26,,Defensive rebound by L. James
9:39.0,,,32-26,,L. James misses 2-pt shot from 17 ft
9:38.0,Defensive rebound by D. Waiters,,32-26,,
9:30.0,,,32-26,,K. Love enters the game for A. Varejao
9:30.0,,,32-26,,J. Smith enters the game for R. Jefferson
9:30.0,S. Adams enters the game for N. Collison,,32-26,,
9:26.0,Shooting foul by K. Love (drawn by D. Waiters),,32-26,,
9:26.0,D. Waiters misses free throw 1 of 2,,32-26,,
9:26.0,Offensive rebound by Team,,32-26,,
9:26.0,S. Ibaka enters the game for E. Kanter,,32-26,,
9:26.0,D. Waiters misses free throw 2 of 2,,32-26,,
9:25.0,,,32-26,,Defensive rebound by J. Smith
9:10.0,,,32-26,,K. Love misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by D. Waiters,,32-26,,
9:02.0,D. Waiters makes 2-pt shot from 1 ft,2,34-26,,
8:52.0,Personal foul by D. Waiters (drawn by J. Smith),,34-26,,
8:52.0,Official timeout,,34-26,,
8:52.0,R. Westbrook enters the game for D. Augustin,,34-26,,
8:44.0,,,34-26,,L. James misses 2-pt shot from 3 ft (block by S. Adams)
8:43.0,Defensive rebound by R. Westbrook,,34-26,,
8:37.0,R. Westbrook makes 2-pt shot from 16 ft,2,36-26,,
8:24.0,,,36-28,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
8:08.0,D. Waiters misses 2-pt shot from 18 ft,,36-28,,
8:08.0,Offensive rebound by S. Adams,,36-28,,
7:53.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,38-28,,
7:42.0,,,38-28,,Offensive foul by K. Love
7:42.0,,,38-28,,Turnover by K. Love (offensive foul)
7:42.0,,,38-28,,T. Mozgov enters the game for K. Love
7:29.0,Jump ball: S. Adams vs. T. Thompson (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. T. Thompson (S. Ibaka gains possession)
7:16.0,D. Waiters misses 3-pt shot from 24 ft,,38-28,,
7:16.0,Offensive rebound by Team,,38-28,,
7:16.0,,,38-28,,Loose ball foul by M. Dellavedova (drawn by K. Singler)
