time,Charlotte,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. C. Zeller (T. Harris gains possession),,,,Jump ball: A. Drummond vs. C. Zeller (T. Harris gains possession)
11:47.0,,,0-0,,R. Jackson misses 2-pt shot from 21 ft
11:45.0,Defensive rebound by C. Lee,,0-0,,
11:31.0,Shooting foul by T. Harris (drawn by M. Williams),,0-0,,
11:31.0,M. Williams makes 2-pt shot from 9 ft (assist by N. Batum),2,2-0,,
11:31.0,M. Williams makes free throw 1 of 1,1,3-0,,
11:16.0,,,3-3,3,M. Morris makes 3-pt shot from 24 ft (assist by T. Harris)
11:02.0,N. Batum misses 2-pt shot from 17 ft,,3-3,,
11:01.0,,,3-3,,Defensive rebound by A. Drummond
10:52.0,,,3-5,2,R. Jackson makes 2-pt shot at rim
10:34.0,C. Zeller misses 2-pt shot from 19 ft,,3-5,,
10:34.0,,,3-5,,Defensive rebound by T. Harris
10:25.0,,,3-5,,Shooting foul by C. Lee (drawn by K. Caldwell-Pope)
10:25.0,,,3-6,1,K. Caldwell-Pope makes free throw 1 of 2
10:25.0,,,3-6,,K. Caldwell-Pope misses free throw 2 of 2
10:25.0,Defensive rebound by N. Batum,,3-6,,
10:02.0,Turnover by C. Lee (lost ball; steal by T. Harris),,3-6,,
9:49.0,,,3-8,2,A. Drummond makes 2-pt shot from 5 ft
9:22.0,M. Williams misses 2-pt shot from 15 ft,,3-8,,
9:21.0,,,3-8,,Defensive rebound by R. Jackson
9:15.0,,,3-8,,K. Caldwell-Pope misses 3-pt shot from 23 ft
9:14.0,,,3-8,,Offensive rebound by A. Drummond
9:12.0,,,3-10,2,A. Drummond makes 2-pt shot from 1 ft
9:06.0,Charlotte full timeout,,3-10,,
8:52.0,K. Walker misses 3-pt shot from 24 ft,,3-10,,
8:52.0,,,3-10,,Defensive rebound by A. Drummond
8:47.0,,,3-12,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
8:29.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,6-12,,
8:08.0,,,6-12,,Turnover by M. Morris (lost ball; steal by C. Lee)
7:53.0,K. Walker makes 2-pt shot from 15 ft,2,8-12,,
7:26.0,,,8-12,,A. Drummond misses 2-pt shot from 5 ft
7:25.0,Defensive rebound by N. Batum,,8-12,,
7:19.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,10-12,,
7:14.0,,,10-12,,Detroit full timeout
7:04.0,,,10-14,2,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by T. Harris)
6:50.0,N. Batum misses 3-pt shot from 27 ft,,10-14,,
6:50.0,Offensive rebound by C. Zeller,,10-14,,
6:46.0,C. Zeller makes 2-pt shot at rim,2,12-14,,
6:28.0,,,12-14,,A. Drummond misses 2-pt shot from 1 ft
6:27.0,,,12-14,,Offensive rebound by A. Drummond
6:24.0,,,12-16,2,A. Drummond makes 2-pt shot at rim
6:10.0,N. Batum misses 2-pt shot from 17 ft,,12-16,,
6:10.0,Offensive rebound by C. Zeller,,12-16,,
6:03.0,C. Lee misses 3-pt shot from 26 ft,,12-16,,
6:02.0,,,12-16,,Defensive rebound by M. Morris
5:49.0,,,12-16,,R. Jackson misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by N. Batum,,12-16,,
5:43.0,Shooting foul by T. Harris (drawn by M. Williams),,12-16,,
5:43.0,M. Williams makes free throw 1 of 2,1,13-16,,
5:43.0,A. Jefferson enters the game for C. Zeller,,13-16,,
5:43.0,,,13-16,,A. Tolliver enters the game for T. Harris
5:43.0,M. Williams makes free throw 2 of 2,1,14-16,,
5:30.0,,,14-16,,R. Jackson misses 2-pt shot from 15 ft
5:29.0,,,14-16,,Offensive rebound by M. Morris
5:21.0,,,14-18,2,M. Morris makes 2-pt shot at rim
5:09.0,K. Walker misses 2-pt shot at rim,,14-18,,
5:08.0,,,14-18,,Defensive rebound by M. Morris
5:02.0,,,14-18,,M. Morris misses 3-pt shot from 27 ft
5:02.0,,,14-18,,Offensive rebound by A. Tolliver
4:58.0,,,14-18,,A. Tolliver misses 2-pt shot at rim
4:56.0,Defensive rebound by N. Batum,,14-18,,
4:45.0,N. Batum misses 2-pt shot from 9 ft,,14-18,,
4:45.0,,,14-18,,Defensive rebound by M. Morris
4:38.0,,,14-18,,Turnover by R. Jackson (lost ball; steal by N. Batum)
4:22.0,K. Walker makes 2-pt shot at rim,2,16-18,,
4:05.0,,,16-21,3,M. Morris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
3:46.0,N. Batum makes 2-pt shot from 9 ft,2,18-21,,
3:34.0,,,18-23,2,R. Jackson makes 2-pt shot from 1 ft
3:34.0,,,18-23,,Shooting foul by K. Walker (drawn by R. Jackson)
3:34.0,J. Lin enters the game for M. Williams,,18-23,,
3:34.0,F. Kaminsky enters the game for N. Batum,,18-23,,
3:34.0,,,18-24,1,R. Jackson makes free throw 1 of 1
3:17.0,A. Jefferson misses 2-pt shot from 14 ft,,18-24,,
3:17.0,,,18-24,,Defensive rebound by R. Jackson
3:15.0,,,18-24,,Shooting foul by F. Kaminsky (drawn by R. Jackson)
3:15.0,,,18-25,1,R. Jackson makes free throw 1 of 2
3:15.0,,,18-25,,S. Johnson enters the game for M. Morris
3:15.0,,,18-26,1,R. Jackson makes free throw 2 of 2
3:03.0,K. Walker misses 2-pt shot from 19 ft,,18-26,,
3:03.0,,,18-26,,Defensive rebound by A. Drummond
2:54.0,,,18-28,2,R. Jackson makes 2-pt shot at rim
2:47.0,Charlotte full timeout,,18-28,,
2:47.0,J. Lamb enters the game for C. Lee,,18-28,,
2:47.0,,,18-28,,S. Blake enters the game for R. Jackson
2:38.0,A. Jefferson misses 2-pt shot from 7 ft,,18-28,,
2:38.0,,,18-28,,Defensive rebound by K. Caldwell-Pope
2:29.0,,,18-31,3,A. Tolliver makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
2:06.0,J. Lin misses 2-pt shot from 17 ft (block by S. Blake),,18-31,,
2:05.0,,,18-31,,Defensive rebound by A. Tolliver
2:00.0,,,18-31,,A. Tolliver misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by A. Jefferson,,18-31,,
1:49.0,F. Kaminsky misses 3-pt shot from 26 ft,,18-31,,
1:49.0,,,18-31,,Defensive rebound by A. Drummond
1:33.0,,,18-34,3,A. Tolliver makes 3-pt shot from 22 ft (assist by K. Caldwell-Pope)
1:21.0,Offensive foul by A. Jefferson,,18-34,,
1:21.0,Turnover by A. Jefferson (offensive foul),,18-34,,
1:21.0,,,18-34,,M. Morris enters the game for K. Caldwell-Pope
1:08.0,,,18-34,,A. Drummond misses 2-pt shot from 7 ft
1:06.0,Defensive rebound by J. Lin,,18-34,,
0:44.0,K. Walker makes 3-pt shot from 25 ft,3,21-34,,
0:32.0,,,21-34,,Turnover by M. Morris (lost ball; steal by J. Lamb)
0:29.0,Shooting foul by S. Johnson (drawn by J. Lamb),,21-34,,
0:29.0,J. Lamb misses free throw 1 of 2,,21-34,,
0:29.0,Offensive rebound by Team,,21-34,,
0:29.0,J. Lamb misses free throw 2 of 2,,21-34,,
0:29.0,,,21-34,,Defensive rebound by A. Tolliver
0:19.0,Personal foul by J. Lamb,,21-34,,
0:07.0,,,21-36,2,M. Morris makes 2-pt shot from 10 ft
0:02.0,K. Walker makes 3-pt shot from 28 ft,3,24-36,,
0:01.0,,,24-36,,S. Blake misses 3-pt shot from 86 ft
0:00.0,,,24-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,A. Jefferson misses 2-pt shot from 5 ft,,24-36,,
11:46.0,,,24-36,,Defensive rebound by A. Baynes
11:40.0,,,24-36,,Offensive foul by M. Morris
11:40.0,,,24-36,,Turnover by M. Morris (offensive foul)
11:27.0,J. Lamb makes 3-pt shot from 26 ft (assist by J. Lin),3,27-36,,
11:04.0,,,27-36,,S. Johnson misses 2-pt shot from 12 ft
11:03.0,,,27-36,,Offensive rebound by A. Baynes
11:00.0,,,27-38,2,A. Baynes makes 2-pt shot at rim
10:38.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by A. Jefferson),3,30-38,,
10:18.0,,,30-38,,A. Baynes misses 2-pt shot from 3 ft
10:17.0,Defensive rebound by N. Batum,,30-38,,
10:16.0,Turnover by N. Batum (lost ball; steal by S. Blake),,30-38,,
10:15.0,,,30-40,2,A. Baynes makes 2-pt shot at rim
9:56.0,J. Lin misses 2-pt shot from 9 ft,,30-40,,
9:55.0,,,30-40,,Defensive rebound by S. Blake
9:46.0,,,30-42,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
9:46.0,,,30-42,,Shooting foul by A. Jefferson (drawn by A. Baynes)
9:46.0,,,30-43,1,A. Baynes makes free throw 1 of 1
9:33.0,N. Batum misses 2-pt shot from 18 ft,,30-43,,
9:33.0,,,30-43,,Defensive rebound by Team
9:15.0,,,30-43,,M. Morris misses 3-pt shot from 22 ft
9:14.0,Defensive rebound by J. Lamb,,30-43,,
8:56.0,F. Kaminsky misses 2-pt shot from 6 ft,,30-43,,
8:54.0,,,30-43,,Defensive rebound by M. Morris
8:46.0,,,30-46,3,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Blake)
8:21.0,A. Jefferson makes 2-pt shot at rim (assist by J. Lin),2,32-46,,
8:09.0,,,32-46,,Turnover by S. Blake (lost ball; steal by J. Lamb)
8:03.0,J. Lamb misses 2-pt shot from 3 ft (block by A. Tolliver),,32-46,,
8:02.0,,,32-46,,Defensive rebound by S. Johnson
7:55.0,,,32-48,2,M. Morris makes 2-pt shot from 8 ft (assist by S. Blake)
7:55.0,,,32-48,,Shooting foul by J. Lamb (drawn by M. Morris)
7:55.0,Official timeout,,32-48,,
7:55.0,C. Zeller enters the game for A. Jefferson,,32-48,,
7:55.0,C. Lee enters the game for J. Lamb,,32-48,,
7:55.0,,,32-48,,M. Morris misses free throw 1 of 1
7:54.0,Defensive rebound by F. Kaminsky,,32-48,,
7:34.0,J. Lin misses 2-pt shot from 18 ft,,32-48,,
7:34.0,,,32-48,,Defensive rebound by M. Morris
7:22.0,,,32-50,2,S. Johnson makes 2-pt shot from 17 ft
7:03.0,C. Lee makes 3-pt shot from 26 ft (assist by N. Batum),3,35-50,,
6:45.0,,,35-50,,A. Tolliver misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by N. Batum,,35-50,,
6:32.0,,,35-50,,Personal foul by S. Johnson
6:32.0,,,35-50,,T. Harris enters the game for A. Tolliver
6:28.0,Turnover by J. Lin (traveling),,35-50,,
6:10.0,,,35-50,,T. Harris misses 2-pt shot from 5 ft
6:10.0,,,35-50,,Offensive rebound by A. Baynes
6:07.0,,,35-52,2,A. Baynes makes 2-pt shot at rim
5:53.0,Turnover by J. Lin (traveling),,35-52,,
5:53.0,,,35-52,,Detroit full timeout
5:53.0,M. Williams enters the game for N. Batum,,35-52,,
5:53.0,K. Walker enters the game for F. Kaminsky,,35-52,,
5:53.0,,,35-52,,K. Caldwell-Pope enters the game for M. Morris
5:53.0,,,35-52,,R. Jackson enters the game for S. Blake
5:39.0,,,35-54,2,R. Jackson makes 2-pt shot from 5 ft
5:27.0,J. Lin makes 2-pt shot from 6 ft (assist by K. Walker),2,37-54,,
5:12.0,,,37-54,,Turnover by R. Jackson (lost ball)
5:12.0,,,37-54,,A. Drummond enters the game for A. Baynes
4:56.0,K. Walker misses 3-pt shot from 25 ft,,37-54,,
4:56.0,,,37-54,,Defensive rebound by A. Drummond
4:49.0,,,37-56,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
4:49.0,,,37-56,,Shooting foul by C. Zeller (drawn by T. Harris)
4:49.0,,,37-57,1,T. Harris makes free throw 1 of 1
4:27.0,J. Lin misses 2-pt shot from 19 ft,,37-57,,
4:26.0,,,37-57,,Defensive rebound by A. Drummond
4:17.0,,,37-57,,R. Jackson misses 3-pt shot from 26 ft
4:16.0,Defensive rebound by M. Williams,,37-57,,
4:07.0,K. Walker misses 2-pt shot from 13 ft,,37-57,,
4:07.0,,,37-57,,Defensive rebound by S. Johnson
3:53.0,,,37-57,,T. Harris misses 3-pt shot from 23 ft
3:53.0,Defensive rebound by K. Walker,,37-57,,
3:45.0,J. Lin misses 3-pt shot from 26 ft,,37-57,,
3:44.0,,,37-57,,Defensive rebound by T. Harris
3:32.0,,,37-59,2,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by T. Harris)
3:16.0,K. Walker makes 2-pt shot from 7 ft (assist by C. Lee),2,39-59,,
3:16.0,Shooting foul by S. Johnson (drawn by K. Walker),,39-59,,
3:16.0,N. Batum enters the game for J. Lin,,39-59,,
3:16.0,,,39-59,,M. Morris enters the game for S. Johnson
3:16.0,K. Walker makes free throw 1 of 1,1,40-59,,
3:02.0,,,40-61,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
2:45.0,K. Walker makes 3-pt shot from 26 ft,3,43-61,,
2:27.0,,,43-63,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:16.0,Turnover by N. Batum (lost ball; steal by K. Caldwell-Pope),,43-63,,
2:10.0,,,43-65,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
2:03.0,Charlotte full timeout,,43-65,,
2:03.0,,,43-65,,A. Tolliver enters the game for T. Harris
1:53.0,N. Batum makes 2-pt shot from 15 ft (assist by K. Walker),2,45-65,,
1:43.0,,,45-65,,K. Caldwell-Pope misses 2-pt shot from 22 ft
1:37.0,,,45-65,,Offensive rebound by M. Morris
1:37.0,Violation by M. Williams (def goaltending),,45-65,,
1:37.0,,,45-67,2,M. Morris makes 2-pt shot from 1 ft
1:25.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,48-67,,
1:07.0,,,48-67,,R. Jackson misses 2-pt shot from 7 ft (block by C. Zeller)
1:06.0,Defensive rebound by K. Walker,,48-67,,
0:58.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,51-67,,
0:45.0,,,51-69,2,M. Morris makes 2-pt shot from 17 ft (assist by R. Jackson)
0:37.0,M. Williams makes 2-pt shot from 15 ft (assist by K. Walker),2,53-69,,
0:19.0,,,53-69,,R. Jackson misses 3-pt shot from 25 ft
0:19.0,,,53-69,,Offensive rebound by Team
0:19.0,Loose ball foul by N. Batum,,53-69,,
0:02.0,,,53-72,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
0:01.0,K. Walker makes 3-pt shot from 48 ft (assist by M. Williams),3,56-72,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,K. Walker misses 2-pt shot from 8 ft,,56-72,,
11:43.0,,,56-72,,Defensive rebound by K. Caldwell-Pope
11:26.0,,,56-72,,T. Harris misses 2-pt shot from 13 ft
11:26.0,Defensive rebound by M. Williams,,56-72,,
11:11.0,N. Batum makes 2-pt shot from 16 ft (assist by K. Walker),2,58-72,,
10:49.0,,,58-72,,T. Harris misses 3-pt shot from 26 ft
10:49.0,Defensive rebound by C. Zeller,,58-72,,
10:40.0,M. Williams misses 3-pt shot from 23 ft,,58-72,,
10:39.0,,,58-72,,Defensive rebound by T. Harris
10:36.0,Violation by K. Walker (kicked ball),,58-72,,
10:30.0,,,58-72,,Shooting foul by C. Zeller (drawn by T. Harris)
10:30.0,,,58-73,1,T. Harris makes free throw 1 of 2
10:30.0,,,58-74,1,T. Harris makes free throw 2 of 2
10:13.0,N. Batum misses 3-pt shot from 24 ft,,58-74,,
10:12.0,,,58-74,,Defensive rebound by A. Drummond
