time,Brooklyn,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. W. Reed (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. W. Reed (R. Jackson gains possession)
11:46.0,,,0-3,3,R. Jackson makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
11:24.0,Shooting foul by M. Morris (drawn by W. Reed),,0-3,,
11:24.0,W. Reed makes free throw 1 of 2,1,1-3,,
11:24.0,W. Reed makes free throw 2 of 2,1,2-3,,
11:03.0,,,2-5,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
10:48.0,B. Bogdanovic makes 2-pt shot at rim (assist by W. Ellington),2,4-5,,
10:30.0,,,4-7,2,T. Harris makes 2-pt shot from 9 ft (assist by R. Jackson)
10:16.0,B. Bogdanovic misses 3-pt shot from 27 ft,,4-7,,
10:15.0,,,4-7,,Defensive rebound by A. Drummond
9:58.0,,,4-7,,R. Jackson misses 3-pt shot from 26 ft
9:58.0,Defensive rebound by W. Reed,,4-7,,
9:51.0,W. Reed makes 2-pt shot at rim (assist by D. Sloan),2,6-7,,
9:35.0,,,6-7,,T. Harris misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by T. Young,,6-7,,
9:21.0,T. Young misses 3-pt shot from 26 ft,,6-7,,
9:21.0,,,6-7,,Defensive rebound by K. Caldwell-Pope
9:13.0,,,6-9,2,R. Jackson makes 2-pt shot from 1 ft
8:57.0,T. Young makes 2-pt shot at rim (assist by D. Sloan),2,8-9,,
8:46.0,,,8-11,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
8:46.0,,,8-11,,Shooting foul by W. Reed (drawn by A. Drummond)
8:46.0,,,8-11,,A. Drummond misses free throw 1 of 1
8:45.0,Defensive rebound by B. Bogdanovic,,8-11,,
8:23.0,B. Bogdanovic misses 2-pt shot from 7 ft (block by T. Harris),,8-11,,
8:22.0,,,8-11,,Defensive rebound by K. Caldwell-Pope
8:19.0,,,8-11,,K. Caldwell-Pope misses 2-pt shot from 1 ft
8:19.0,,,8-11,,Offensive rebound by T. Harris
8:18.0,,,8-13,2,T. Harris makes 2-pt shot at rim
8:10.0,,,8-13,,Personal foul by K. Caldwell-Pope
8:06.0,Offensive foul by W. Reed,,8-13,,
8:06.0,Turnover by W. Reed (offensive foul),,8-13,,
8:06.0,H. Sims enters the game for W. Reed,,8-13,,
7:52.0,,,8-13,,T. Harris misses 2-pt shot at rim
7:52.0,Defensive rebound by H. Sims,,8-13,,
7:42.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Sloan),2,10-13,,
7:22.0,,,10-13,,T. Harris misses 2-pt shot from 4 ft
7:22.0,,,10-13,,Offensive rebound by Team
7:18.0,,,10-13,,T. Harris misses 2-pt shot from 16 ft
7:18.0,Defensive rebound by W. Ellington,,10-13,,
6:58.0,D. Sloan misses 3-pt shot from 26 ft,,10-13,,
6:57.0,,,10-13,,Defensive rebound by K. Caldwell-Pope
6:49.0,,,10-13,,Turnover by A. Drummond (3 sec)
6:30.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Sloan),3,13-13,,
6:15.0,,,13-13,,Shooting foul by T. Young (drawn by A. Drummond)
6:15.0,,,13-13,,A. Drummond misses free throw 1 of 2
6:15.0,,,13-13,,Offensive rebound by Team
6:15.0,,,13-13,,A. Drummond misses free throw 2 of 2
6:14.0,Defensive rebound by T. Young,,13-13,,
5:52.0,H. Sims misses 2-pt shot from 13 ft,,13-13,,
5:50.0,,,13-13,,Defensive rebound by T. Harris
5:38.0,,,13-15,2,A. Drummond makes 2-pt shot from 7 ft (assist by R. Jackson)
5:22.0,D. Sloan makes 2-pt shot from 20 ft,2,15-15,,
5:08.0,Personal foul by H. Sims,,15-15,,
5:08.0,,,15-15,,Detroit full timeout
5:08.0,,,15-15,,S. Johnson enters the game for M. Morris
4:59.0,,,15-15,,T. Harris misses 2-pt shot at rim
4:58.0,Defensive rebound by H. Sims,,15-15,,
