time,New Orleans,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (G. Dragic gains possession)
11:47.0,,,0-0,,L. Deng misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by A. Davis,,0-0,,
11:28.0,A. Davis misses 2-pt shot from 16 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by H. Whiteside
11:14.0,,,0-2,2,C. Bosh makes 2-pt shot from 19 ft (assist by G. Dragic)
11:00.0,T. Evans misses 2-pt shot from 1 ft,,0-2,,
10:59.0,Offensive rebound by A. Davis,,0-2,,
10:40.0,A. Gee misses 3-pt shot from 24 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by L. Deng
10:32.0,,,0-2,,C. Bosh misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by O. Asik,,0-2,,
10:19.0,T. Evans misses 2-pt shot from 22 ft,,0-2,,
10:18.0,,,0-2,,Defensive rebound by H. Whiteside
10:07.0,,,0-5,3,C. Bosh makes 3-pt shot from 24 ft (assist by D. Wade)
9:43.0,A. Davis misses 2-pt shot from 13 ft,,0-5,,
9:42.0,,,0-5,,Defensive rebound by H. Whiteside
9:36.0,,,0-7,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
9:31.0,New Orleans full timeout,,0-7,,
9:22.0,A. Davis makes 2-pt shot from 16 ft (assist by A. Gee),2,2-7,,
9:07.0,,,2-7,,Shooting foul by A. Davis (drawn by C. Bosh)
9:07.0,,,2-8,1,C. Bosh makes free throw 1 of 2
9:07.0,,,2-9,1,C. Bosh makes free throw 2 of 2
8:56.0,A. Davis makes 2-pt shot at rim,2,4-9,,
8:38.0,,,4-9,,C. Bosh misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by O. Asik,,4-9,,
8:29.0,Turnover by E. Gordon (traveling),,4-9,,
8:12.0,,,4-11,2,D. Wade makes 2-pt shot from 1 ft (assist by C. Bosh)
7:58.0,Turnover by E. Gordon (dbl dribble),,4-11,,
7:44.0,,,4-11,,C. Bosh misses 2-pt shot from 17 ft
7:43.0,Defensive rebound by Team,,4-11,,
7:43.0,,,4-11,,Loose ball foul by H. Whiteside (drawn by O. Asik)
7:28.0,A. Davis makes 3-pt shot from 24 ft (assist by T. Evans),3,7-11,,
7:09.0,,,7-11,,C. Bosh misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by O. Asik,,7-11,,
7:00.0,A. Davis misses 2-pt shot from 11 ft,,7-11,,
6:59.0,,,7-11,,Defensive rebound by L. Deng
6:52.0,,,7-13,2,G. Dragic makes 2-pt shot from 17 ft
6:38.0,E. Gordon misses 2-pt shot from 19 ft,,7-13,,
6:37.0,,,7-13,,Defensive rebound by C. Bosh
6:29.0,,,7-13,,G. Dragic misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by A. Gee,,7-13,,
6:26.0,,,7-13,,Personal foul by C. Bosh (drawn by O. Asik)
6:18.0,O. Asik makes 2-pt shot from 1 ft (assist by A. Davis),2,9-13,,
6:00.0,,,9-15,2,D. Wade makes 2-pt shot from 17 ft (assist by C. Bosh)
5:48.0,E. Gordon makes 2-pt shot from 1 ft (assist by A. Davis),2,11-15,,
5:48.0,,,11-15,,Miami full timeout
5:48.0,R. Anderson enters the game for O. Asik,,11-15,,
5:24.0,,,11-15,,D. Wade misses 2-pt shot from 16 ft
5:23.0,Defensive rebound by E. Gordon,,11-15,,
5:03.0,E. Gordon misses 2-pt shot from 16 ft,,11-15,,
5:02.0,,,11-15,,Defensive rebound by D. Wade
4:56.0,,,11-15,,C. Bosh misses 2-pt shot from 2 ft (block by A. Davis)
4:54.0,Defensive rebound by Team,,11-15,,
4:54.0,,,11-15,,Loose ball foul by L. Deng (drawn by A. Davis)
4:54.0,,,11-15,,J. Winslow enters the game for C. Bosh
4:42.0,A. Gee misses 3-pt shot from 23 ft,,11-15,,
4:41.0,Offensive rebound by A. Davis,,11-15,,
4:40.0,A. Davis makes 2-pt shot at rim,2,13-15,,
4:27.0,,,13-15,,Shooting foul by A. Gee (drawn by H. Whiteside)
4:27.0,,,13-16,1,H. Whiteside makes free throw 1 of 2
4:27.0,J. Holiday enters the game for T. Evans,,13-16,,
4:27.0,,,13-17,1,H. Whiteside makes free throw 2 of 2
4:14.0,E. Gordon misses 3-pt shot from 24 ft,,13-17,,
4:13.0,,,13-17,,Defensive rebound by H. Whiteside
4:06.0,,,13-17,,D. Wade misses 2-pt shot from 8 ft
4:05.0,,,13-17,,Offensive rebound by H. Whiteside
4:05.0,,,13-17,,Turnover by H. Whiteside (bad pass)
4:05.0,N. Cole enters the game for E. Gordon,,13-17,,
3:51.0,Turnover by A. Davis (bad pass; steal by L. Deng),,13-17,,
3:41.0,,,13-17,,L. Deng misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by A. Gee,,13-17,,
3:29.0,A. Davis misses 2-pt shot from 2 ft,,13-17,,
3:28.0,,,13-17,,Defensive rebound by H. Whiteside
3:24.0,,,13-17,,Turnover by G. Dragic (traveling)
3:24.0,,,13-17,,G. Green enters the game for D. Wade
3:15.0,Turnover by J. Holiday (bad pass; steal by J. Winslow),,13-17,,
3:12.0,,,13-17,,Shooting foul by R. Anderson (drawn by G. Dragic)
3:12.0,,,13-18,1,G. Dragic makes free throw 1 of 2
3:12.0,,,13-18,,G. Dragic misses free throw 2 of 2
3:11.0,,,13-18,,Offensive rebound by H. Whiteside
3:07.0,,,13-18,,H. Whiteside misses 2-pt shot from 5 ft (block by A. Davis)
3:06.0,,,13-18,,Offensive rebound by G. Dragic
2:57.0,,,13-18,,Turnover by H. Whiteside (lost ball; steal by N. Cole)
2:49.0,Turnover by N. Cole (lost ball; steal by G. Green),,13-18,,
2:46.0,,,13-18,,Shooting foul by J. Holiday (drawn by J. Winslow)
2:46.0,,,13-19,1,J. Winslow makes free throw 1 of 2
2:46.0,,,13-20,1,J. Winslow makes free throw 2 of 2
2:28.0,A. Davis makes 2-pt shot from 12 ft (assist by J. Holiday),2,15-20,,
2:12.0,,,15-20,,H. Whiteside misses 2-pt shot from 4 ft
2:11.0,,,15-20,,Offensive rebound by H. Whiteside
2:10.0,,,15-22,2,H. Whiteside makes 2-pt shot from 1 ft
1:59.0,J. Holiday misses 2-pt shot from 1 ft,,15-22,,
1:58.0,,,15-22,,Defensive rebound by H. Whiteside
1:53.0,,,15-22,,G. Green misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by N. Cole,,15-22,,
1:42.0,A. Davis misses 2-pt shot from 14 ft,,15-22,,
1:41.0,,,15-22,,Defensive rebound by J. Winslow
1:24.0,,,15-22,,G. Dragic misses 2-pt shot from 2 ft
1:23.0,,,15-22,,Offensive rebound by H. Whiteside
1:22.0,,,15-22,,H. Whiteside misses 2-pt shot at rim
1:21.0,,,15-22,,Offensive rebound by H. Whiteside
1:20.0,,,15-24,2,H. Whiteside makes 2-pt shot at rim
1:03.0,A. Davis misses 3-pt shot from 24 ft,,15-24,,
1:01.0,,,15-24,,Defensive rebound by L. Deng
0:46.0,,,15-24,,Turnover by G. Green (traveling)
0:46.0,,,15-24,,B. Udrih enters the game for G. Dragic
0:46.0,,,15-24,,C. Bosh enters the game for H. Whiteside
0:35.0,N. Cole misses 2-pt shot from 17 ft,,15-24,,
0:34.0,,,15-24,,Defensive rebound by C. Bosh
0:26.0,,,15-24,,J. Winslow misses 3-pt shot from 23 ft
0:25.0,,,15-24,,Offensive rebound by C. Bosh
