time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Noel (K. Porzingis gains possession),,,,Jump ball: R. Lopez vs. N. Noel (K. Porzingis gains possession)
11:39.0,,,0-0,,C. Anthony misses 2-pt shot from 14 ft
11:37.0,Defensive rebound by J. Sampson,,0-0,,
11:21.0,N. Noel makes 2-pt shot from 2 ft (assist by I. Smith),2,2-0,,
11:06.0,,,2-0,,K. Porzingis misses 2-pt shot from 14 ft
11:05.0,Defensive rebound by J. Okafor,,2-0,,
10:52.0,N. Noel misses 2-pt shot from 4 ft (block by K. Porzingis),,2-0,,
10:49.0,,,2-0,,Defensive rebound by K. Porzingis
10:30.0,,,2-0,,J. Calderon misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by R. Covington,,2-0,,
10:23.0,I. Smith makes 2-pt shot from 2 ft,2,4-0,,
10:10.0,,,4-3,3,J. Calderon makes 3-pt shot from 24 ft (assist by K. Porzingis)
9:53.0,J. Okafor makes 2-pt shot from 13 ft (assist by I. Smith),2,6-3,,
9:37.0,,,6-5,2,R. Lopez makes 2-pt shot from 4 ft
9:23.0,J. Okafor misses 2-pt shot from 19 ft,,6-5,,
9:22.0,,,6-5,,Defensive rebound by K. Porzingis
9:12.0,,,6-7,2,A. Afflalo makes 2-pt shot from 7 ft
9:12.0,,,6-7,,Shooting foul by J. Sampson (drawn by A. Afflalo)
9:12.0,,,6-8,1,A. Afflalo makes free throw 1 of 1
8:59.0,I. Smith misses 2-pt shot from 5 ft,,6-8,,
8:57.0,,,6-8,,Defensive rebound by R. Lopez
8:47.0,,,6-10,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Calderon)
8:34.0,J. Okafor misses 2-pt shot from 3 ft,,6-10,,
8:32.0,,,6-10,,Defensive rebound by K. Porzingis
8:27.0,,,6-12,2,K. Porzingis makes 2-pt shot at rim (assist by J. Calderon)
8:14.0,R. Covington makes 3-pt shot from 27 ft (assist by I. Smith),3,9-12,,
8:01.0,,,9-14,2,R. Lopez makes 2-pt shot from 1 ft (assist by C. Anthony)
8:00.0,Philadelphia full timeout,,9-14,,
7:46.0,I. Smith misses 2-pt shot from 18 ft,,9-14,,
7:44.0,,,9-14,,Defensive rebound by K. Porzingis
7:31.0,,,9-14,,J. Calderon misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by R. Covington,,9-14,,
7:14.0,I. Smith misses 2-pt shot from 15 ft,,9-14,,
7:12.0,,,9-14,,Defensive rebound by K. Porzingis
6:56.0,,,9-14,,C. Anthony misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by N. Noel,,9-14,,
6:46.0,Turnover by R. Covington (bad pass),,9-14,,
6:32.0,,,9-14,,C. Anthony misses 2-pt shot from 1 ft (block by J. Okafor)
6:30.0,Defensive rebound by J. Okafor,,9-14,,
6:19.0,J. Okafor makes 2-pt shot from 3 ft,2,11-14,,
6:00.0,,,11-14,,A. Afflalo misses 2-pt shot from 13 ft
5:58.0,Defensive rebound by N. Noel,,11-14,,
