time,Atlanta,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: A. Horford vs. R. Lopez (K. Porzingis gains possession)
11:40.0,,,0-2,2,A. Afflalo makes 2-pt shot from 15 ft (assist by R. Lopez)
11:26.0,J. Teague misses 3-pt shot from 24 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by R. Lopez
11:15.0,,,0-5,3,J. Calderon makes 3-pt shot from 24 ft
10:52.0,P. Millsap makes 2-pt shot from 14 ft (assist by K. Korver),2,2-5,,
10:52.0,Shooting foul by R. Lopez (drawn by P. Millsap),,2-5,,
10:52.0,P. Millsap misses free throw 1 of 1,,2-5,,
10:52.0,,,2-5,,Defensive rebound by C. Anthony
10:45.0,Personal foul by J. Teague,,2-5,,
10:38.0,,,2-5,,A. Afflalo misses 2-pt shot from 18 ft
10:37.0,,,2-5,,Offensive rebound by C. Anthony
10:29.0,,,2-5,,K. Porzingis misses 2-pt shot from 2 ft
10:28.0,,,2-5,,Offensive rebound by R. Lopez
10:28.0,,,2-7,2,R. Lopez makes 2-pt shot from 1 ft
10:09.0,Turnover by J. Teague (bad pass),,2-7,,
9:48.0,,,2-9,2,K. Porzingis makes 2-pt shot from 2 ft (assist by R. Lopez)
9:26.0,Turnover by K. Bazemore (bad pass),,2-9,,
9:10.0,,,2-11,2,A. Afflalo makes 2-pt shot from 16 ft
9:10.0,Atlanta full timeout,,2-11,,
8:59.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague),2,4-11,,
8:44.0,,,4-11,,Turnover by R. Lopez (lost ball; steal by K. Bazemore)
8:38.0,K. Bazemore makes 2-pt shot from 2 ft,2,6-11,,
8:21.0,,,6-11,,C. Anthony misses 2-pt shot from 15 ft
8:20.0,,,6-11,,Offensive rebound by Team
8:20.0,Loose ball foul by P. Millsap,,6-11,,
8:12.0,,,6-11,,Turnover by C. Anthony (traveling)
8:04.0,A. Horford misses 3-pt shot from 25 ft,,6-11,,
8:03.0,,,6-11,,Defensive rebound by K. Porzingis
7:53.0,,,6-11,,Turnover by R. Lopez (lost ball; steal by J. Teague)
7:49.0,J. Teague makes 2-pt shot from 2 ft (assist by K. Bazemore),2,8-11,,
7:49.0,Shooting foul by C. Anthony (drawn by J. Teague),,8-11,,
7:49.0,J. Teague makes free throw 1 of 1,1,9-11,,
7:38.0,,,9-13,2,J. Calderon makes 2-pt shot from 15 ft (assist by C. Anthony)
7:24.0,P. Millsap misses 3-pt shot from 25 ft,,9-13,,
7:23.0,,,9-13,,Defensive rebound by R. Lopez
7:02.0,,,9-13,,C. Anthony misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by P. Millsap,,9-13,,
6:51.0,A. Horford makes 2-pt shot from 2 ft,2,11-13,,
6:32.0,,,11-15,2,J. Calderon makes 2-pt shot from 16 ft (assist by R. Lopez)
6:22.0,J. Teague misses 2-pt shot from 2 ft (block by J. Calderon),,11-15,,
6:21.0,Offensive rebound by Team,,11-15,,
6:21.0,T. Sefolosha enters the game for K. Korver,,11-15,,
6:21.0,E. Tavares enters the game for A. Horford,,11-15,,
6:12.0,P. Millsap makes 2-pt shot from 15 ft (assist by T. Sefolosha),2,13-15,,
6:10.0,,,13-15,,New York full timeout
6:10.0,,,13-15,,L. Thomas enters the game for K. Porzingis
5:54.0,,,13-15,,Turnover by R. Lopez (lost ball; steal by P. Millsap)
5:33.0,Turnover by E. Tavares (3 sec),,13-15,,
5:07.0,,,13-17,2,R. Lopez makes 2-pt shot from 4 ft
4:52.0,P. Millsap misses 2-pt shot from 18 ft,,13-17,,
4:51.0,,,13-17,,Defensive rebound by R. Lopez
4:41.0,,,13-17,,R. Lopez misses 2-pt shot from 2 ft (block by E. Tavares)
4:40.0,Defensive rebound by T. Sefolosha,,13-17,,
4:27.0,K. Bazemore misses 2-pt shot from 1 ft,,13-17,,
4:26.0,,,13-17,,Defensive rebound by A. Afflalo
4:17.0,,,13-17,,L. Thomas misses 3-pt shot from 24 ft
4:16.0,Defensive rebound by T. Sefolosha,,13-17,,
4:01.0,E. Tavares misses 2-pt shot at rim (block by R. Lopez),,13-17,,
4:00.0,,,13-17,,Defensive rebound by J. Calderon
3:56.0,,,13-17,,Turnover by J. Calderon (lost ball; steal by P. Millsap)
3:50.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by P. Millsap),2,15-17,,
3:37.0,,,15-17,,Turnover by R. Lopez (lost ball; steal by P. Millsap)
3:33.0,K. Bazemore misses 2-pt shot from 2 ft (block by A. Afflalo),,15-17,,
3:32.0,Offensive rebound by Team,,15-17,,
3:32.0,,,15-17,,L. Galloway enters the game for J. Calderon
3:32.0,S. Mack enters the game for J. Teague,,15-17,,
3:19.0,K. Bazemore makes 3-pt shot from 25 ft (assist by S. Mack),3,18-17,,
3:05.0,,,18-17,,C. Anthony misses 2-pt shot from 2 ft
3:04.0,,,18-17,,Offensive rebound by C. Anthony
3:03.0,,,18-17,,Shooting foul by K. Bazemore (drawn by C. Anthony)
3:03.0,,,18-17,,C. Anthony misses free throw 1 of 2
3:03.0,,,18-17,,Offensive rebound by Team
3:03.0,,,18-18,1,C. Anthony makes free throw 2 of 2
2:45.0,S. Mack misses 3-pt shot from 25 ft,,18-18,,
2:44.0,,,18-18,,Defensive rebound by C. Anthony
2:37.0,,,18-20,2,A. Afflalo makes 2-pt shot from 4 ft
2:26.0,Turnover by S. Mack (lost ball; steal by C. Anthony),,18-20,,
2:22.0,,,18-22,2,A. Afflalo makes 2-pt shot from 2 ft (assist by C. Anthony)
2:03.0,T. Sefolosha misses 2-pt shot from 17 ft,,18-22,,
2:02.0,,,18-22,,Defensive rebound by L. Galloway
1:45.0,,,18-22,,L. Thomas misses 2-pt shot from 20 ft
1:44.0,,,18-22,,Offensive rebound by R. Lopez
1:40.0,,,18-22,,L. Galloway misses 3-pt shot from 24 ft
1:39.0,Defensive rebound by P. Millsap,,18-22,,
1:25.0,Shooting foul by L. Galloway (drawn by P. Millsap),,18-22,,
1:25.0,P. Millsap misses free throw 1 of 2,,18-22,,
1:25.0,Offensive rebound by Team,,18-22,,
1:25.0,A. Horford enters the game for T. Sefolosha,,18-22,,
1:25.0,K. Korver enters the game for K. Bazemore,,18-22,,
1:25.0,,,18-22,,K. Porzingis enters the game for R. Lopez
1:25.0,P. Millsap makes free throw 2 of 2,1,19-22,,
1:17.0,Personal foul by S. Mack,,19-22,,
1:17.0,,,19-22,,J. Grant enters the game for A. Afflalo
1:17.0,M. Scott enters the game for P. Millsap,,19-22,,
1:17.0,T. Sefolosha enters the game for E. Tavares,,19-22,,
1:06.0,,,19-22,,L. Thomas misses 2-pt shot from 5 ft (block by A. Horford)
1:05.0,,,19-22,,Offensive rebound by Team
1:03.0,,,19-22,,J. Grant misses 2-pt shot from 10 ft
1:00.0,Defensive rebound by Team,,19-22,,
0:38.0,M. Scott misses 2-pt shot from 2 ft,,19-22,,
0:37.0,Offensive rebound by Team,,19-22,,
0:37.0,Turnover by M. Scott (traveling),,19-22,,
0:25.0,,,19-22,,J. Grant misses 3-pt shot from 26 ft
0:24.0,,,19-22,,Offensive rebound by K. Porzingis
0:21.0,,,19-22,,Turnover by K. Porzingis (lost ball; steal by T. Sefolosha)
0:04.0,S. Mack makes 2-pt shot from 6 ft,2,21-22,,
0:01.0,,,21-22,,C. Anthony misses 3-pt shot from 26 ft
0:00.0,,,21-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,S. Mack misses 2-pt shot from 10 ft,,21-22,,
11:36.0,,,21-22,,Defensive rebound by D. Williams
11:28.0,,,21-24,2,K. Porzingis makes 2-pt shot from 2 ft (assist by D. Williams)
11:15.0,K. Korver misses 2-pt shot from 3 ft,,21-24,,
11:12.0,Offensive rebound by Team,,21-24,,
11:07.0,K. Korver makes 2-pt shot from 16 ft (assist by S. Mack),2,23-24,,
10:40.0,,,23-27,3,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Grant)
10:29.0,,,23-27,,Personal foul by L. Thomas
10:20.0,M. Scott misses 2-pt shot from 4 ft,,23-27,,
10:19.0,,,23-27,,Defensive rebound by D. Williams
10:02.0,Jump ball: L. Patterson vs. K. Porzingis (L. Galloway gains possession),,,,Jump ball: L. Patterson vs. K. Porzingis (L. Galloway gains possession)
9:57.0,,,23-29,2,L. Galloway makes 2-pt shot from 10 ft
