time,LA Clippers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (M. Harkless gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (M. Harkless gains possession)
11:41.0,,,0-0,,D. Lillard misses 2-pt shot from 17 ft
11:40.0,,,0-0,,Offensive rebound by M. Plumlee
11:21.0,,,0-0,,M. Harkless misses 3-pt shot from 26 ft
11:21.0,Defensive rebound by D. Jordan,,0-0,,
11:01.0,A. Rivers makes 2-pt shot from 1 ft (assist by J. Redick),2,2-0,,
10:42.0,,,2-0,,A. Aminu misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by D. Jordan,,2-0,,
10:35.0,J. Green makes 2-pt shot from 1 ft,2,4-0,,
10:17.0,,,4-2,2,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard)
9:54.0,J. Redick makes 2-pt shot from 19 ft (assist by D. Jordan),2,6-2,,
9:44.0,Personal foul by L. Mbah a Moute,,6-2,,
9:38.0,,,6-4,2,D. Lillard makes 2-pt shot from 17 ft (assist by M. Plumlee)
9:25.0,D. Jordan makes 2-pt shot at rim (assist by A. Rivers),2,8-4,,
9:22.0,Personal foul by J. Redick,,8-4,,
9:14.0,,,8-4,,C. McCollum misses 2-pt shot from 19 ft
9:13.0,,,8-4,,Offensive rebound by M. Plumlee
9:04.0,,,8-6,2,D. Lillard makes 2-pt shot from 2 ft
9:03.0,,,8-6,,Violation by Team (jump ball)
8:45.0,Offensive charge foul by L. Mbah a Moute,,8-6,,
8:45.0,Turnover by L. Mbah a Moute (offensive foul),,8-6,,
8:30.0,,,8-6,,M. Plumlee misses 2-pt shot from 6 ft
8:29.0,,,8-6,,Offensive rebound by M. Plumlee
8:27.0,,,8-6,,Turnover by M. Plumlee (lost ball; steal by D. Jordan)
8:20.0,A. Rivers misses 2-pt shot from 5 ft,,8-6,,
8:19.0,,,8-6,,Defensive rebound by D. Lillard
8:13.0,,,8-9,3,D. Lillard makes 3-pt shot from 26 ft
7:53.0,J. Redick misses 2-pt shot from 18 ft,,8-9,,
7:52.0,Offensive rebound by L. Mbah a Moute,,8-9,,
7:52.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,8-9,,
7:47.0,Offensive rebound by L. Mbah a Moute,,8-9,,
7:46.0,Turnover by J. Redick (lost ball; steal by D. Lillard),,8-9,,
7:45.0,Personal foul by J. Redick,,8-9,,
7:45.0,J. Crawford enters the game for L. Mbah a Moute,,8-9,,
7:45.0,W. Johnson enters the game for J. Redick,,8-9,,
7:34.0,,,8-9,,D. Lillard misses 3-pt shot from 28 ft
7:34.0,Defensive rebound by Team,,8-9,,
7:25.0,A. Rivers makes 2-pt shot from 1 ft,2,10-9,,
7:25.0,Shooting foul by M. Plumlee (drawn by A. Rivers),,10-9,,
7:25.0,A. Rivers makes free throw 1 of 1,1,11-9,,
7:02.0,,,11-9,,M. Harkless misses 2-pt shot from 7 ft (block by W. Johnson)
7:02.0,,,11-9,,Offensive rebound by A. Aminu
7:02.0,,,11-9,,Turnover by Team (shot clock)
6:51.0,A. Rivers misses 2-pt shot from 14 ft,,11-9,,
6:51.0,Offensive rebound by W. Johnson,,11-9,,
6:46.0,LA Clippers full timeout,,11-9,,
6:46.0,P. Prigioni enters the game for A. Rivers,,11-9,,
6:43.0,,,11-9,,Personal foul by C. McCollum
6:37.0,J. Crawford misses 2-pt shot from 13 ft,,11-9,,
6:35.0,,,11-9,,Defensive rebound by C. McCollum
6:27.0,,,11-9,,C. McCollum misses 2-pt shot from 17 ft
6:25.0,Defensive rebound by J. Green,,11-9,,
6:15.0,D. Jordan misses 2-pt shot from 1 ft,,11-9,,
6:14.0,,,11-9,,Defensive rebound by M. Plumlee
6:09.0,Personal foul by P. Prigioni,,11-9,,
6:02.0,,,11-9,,C. McCollum misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by J. Green,,11-9,,
5:48.0,J. Green misses 2-pt shot from 1 ft,,11-9,,
5:47.0,,,11-9,,Defensive rebound by M. Plumlee
5:43.0,Personal foul by J. Crawford,,11-9,,
5:43.0,,,11-9,,M. Harkless misses free throw 1 of 2
5:43.0,,,11-9,,Offensive rebound by Team
5:43.0,,,11-9,,M. Harkless misses free throw 2 of 2
5:42.0,Defensive rebound by D. Jordan,,11-9,,
5:28.0,W. Johnson makes 3-pt shot from 26 ft (assist by P. Prigioni),3,14-9,,
5:10.0,,,14-11,2,C. McCollum makes 2-pt shot from 15 ft
4:56.0,W. Johnson misses 2-pt shot from 20 ft,,14-11,,
4:55.0,,,14-11,,Defensive rebound by M. Plumlee
4:46.0,,,14-13,2,D. Lillard makes 2-pt shot from 2 ft
4:34.0,Shooting foul by A. Aminu (drawn by J. Crawford),,14-13,,
4:34.0,J. Crawford makes free throw 1 of 3,1,15-13,,
4:34.0,J. Crawford makes free throw 2 of 3,1,16-13,,
4:34.0,,,16-13,,G. Henderson enters the game for C. McCollum
4:34.0,,,16-13,,A. Crabbe enters the game for M. Harkless
4:34.0,J. Crawford makes free throw 3 of 3,1,17-13,,
4:23.0,,,17-16,3,D. Lillard makes 3-pt shot from 26 ft
4:08.0,Turnover by J. Crawford (lost ball; steal by M. Plumlee),,17-16,,
4:02.0,,,17-16,,A. Crabbe misses 3-pt shot from 25 ft
4:00.0,,,17-16,,Offensive rebound by G. Henderson
3:59.0,,,17-18,2,G. Henderson makes 2-pt shot at rim
3:45.0,P. Prigioni misses 2-pt shot from 15 ft,,17-18,,
3:43.0,,,17-18,,Defensive rebound by A. Aminu
3:38.0,Personal foul by J. Green,,17-18,,
3:38.0,,,17-19,1,A. Aminu makes free throw 1 of 2
3:38.0,,,17-20,1,A. Aminu makes free throw 2 of 2
3:22.0,Turnover by Team (back court),,17-20,,
3:22.0,P. Pierce enters the game for J. Green,,17-20,,
3:16.0,,,17-20,,D. Lillard misses 3-pt shot from 25 ft
3:16.0,,,17-20,,Offensive rebound by M. Plumlee
3:11.0,,,17-20,,A. Aminu misses 2-pt shot from 2 ft
3:10.0,,,17-20,,Offensive rebound by G. Henderson
3:10.0,,,17-22,2,G. Henderson makes 2-pt shot at rim
2:52.0,P. Prigioni misses 2-pt shot from 12 ft,,17-22,,
2:51.0,Offensive rebound by P. Prigioni,,17-22,,
2:51.0,Turnover by P. Prigioni (step out of bounds),,17-22,,
2:51.0,,,17-22,,Portland full timeout
2:51.0,,,17-22,,E. Davis enters the game for M. Plumlee
2:37.0,,,17-22,,G. Henderson misses 2-pt shot from 16 ft
2:36.0,Defensive rebound by D. Jordan,,17-22,,
2:28.0,,,17-22,,Personal foul by A. Crabbe
2:28.0,C. Wilcox enters the game for P. Prigioni,,17-22,,
2:21.0,J. Crawford makes 2-pt shot from 14 ft,2,19-22,,
1:54.0,,,19-22,,A. Aminu misses 3-pt shot from 23 ft
1:54.0,,,19-22,,Offensive rebound by E. Davis
1:50.0,,,19-22,,E. Davis misses 2-pt shot from 11 ft
1:49.0,,,19-22,,Offensive rebound by Team
1:35.0,,,19-22,,D. Lillard misses 2-pt shot from 3 ft
1:33.0,Defensive rebound by P. Pierce,,19-22,,
1:22.0,W. Johnson misses 3-pt shot from 24 ft,,19-22,,
1:21.0,,,19-22,,Defensive rebound by A. Aminu
1:10.0,,,19-24,2,D. Lillard makes 2-pt shot from 1 ft
0:57.0,J. Crawford makes 2-pt shot from 1 ft,2,21-24,,
0:44.0,,,21-24,,A. Aminu misses 3-pt shot from 26 ft
0:44.0,Defensive rebound by W. Johnson,,21-24,,
0:36.0,P. Pierce makes 3-pt shot from 27 ft (assist by C. Wilcox),3,24-24,,
0:18.0,,,24-24,,D. Lillard misses 2-pt shot from 17 ft
0:17.0,Defensive rebound by D. Jordan,,24-24,,
0:01.0,J. Crawford misses 3-pt shot from 27 ft,,24-24,,
0:01.0,Offensive rebound by Team,,24-24,,
0:01.0,,,24-24,,Loose ball foul by E. Davis
