time,Orlando,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (T. Young gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (T. Young gains possession)
11:37.0,,,0-2,2,T. Young makes 2-pt shot from 17 ft
11:19.0,T. Harris makes 3-pt shot from 23 ft (assist by E. Fournier),3,3-2,,
10:55.0,,,3-4,2,J. Johnson makes 2-pt shot from 12 ft (assist by T. Young)
10:31.0,N. Vucevic misses 2-pt shot from 7 ft,,3-4,,
10:30.0,,,3-4,,Defensive rebound by T. Young
10:17.0,,,3-4,,B. Lopez misses 2-pt shot from 9 ft
10:16.0,Defensive rebound by T. Harris,,3-4,,
10:06.0,Turnover by E. Fournier (lost ball; steal by B. Lopez),,3-4,,
10:00.0,,,3-4,,Turnover by T. Young (bad pass; steal by N. Vucevic)
9:54.0,E. Fournier makes 2-pt shot from 1 ft,2,5-4,,
9:28.0,,,5-4,,B. Bogdanovic misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by C. Frye,,5-4,,
9:05.0,V. Oladipo makes 3-pt shot from 23 ft (assist by T. Harris),3,8-4,,
8:46.0,,,8-4,,Shooting foul by C. Frye (drawn by B. Bogdanovic)
8:46.0,,,8-5,1,B. Bogdanovic makes free throw 1 of 2
8:46.0,,,8-6,1,B. Bogdanovic makes free throw 2 of 2
8:27.0,,,8-6,,Shooting block foul by S. Larkin (drawn by T. Harris)
8:27.0,T. Harris misses free throw 1 of 2,,8-6,,
8:27.0,Offensive rebound by Team,,8-6,,
8:27.0,T. Harris makes free throw 2 of 2,1,9-6,,
8:17.0,,,9-6,,Turnover by B. Bogdanovic (lost ball)
8:04.0,C. Frye misses 3-pt shot from 25 ft,,9-6,,
8:03.0,,,9-6,,Defensive rebound by B. Lopez
7:51.0,,,9-6,,B. Bogdanovic misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by V. Oladipo,,9-6,,
7:39.0,N. Vucevic misses 2-pt shot from 8 ft,,9-6,,
7:38.0,Offensive rebound by V. Oladipo,,9-6,,
7:37.0,V. Oladipo makes 2-pt shot from 1 ft,2,11-6,,
7:16.0,,,11-6,,J. Johnson misses 3-pt shot from 23 ft
7:15.0,Defensive rebound by V. Oladipo,,11-6,,
7:01.0,N. Vucevic misses 2-pt shot from 3 ft,,11-6,,
7:00.0,Offensive rebound by N. Vucevic,,11-6,,
6:59.0,N. Vucevic makes 2-pt shot from 1 ft,2,13-6,,
6:54.0,,,13-6,,Brooklyn full timeout
6:43.0,,,13-6,,Turnover by T. Young (lost ball; steal by V. Oladipo)
6:36.0,T. Harris misses 2-pt shot from 1 ft,,13-6,,
6:35.0,,,13-6,,Defensive rebound by B. Lopez
6:28.0,,,13-8,2,S. Larkin makes 2-pt shot from 1 ft
6:28.0,,,13-8,,Shooting foul by C. Frye (drawn by S. Larkin)
6:28.0,,,13-8,,W. Ellington enters the game for B. Bogdanovic
6:28.0,,,13-9,1,S. Larkin makes free throw 1 of 1
6:04.0,N. Vucevic makes 2-pt shot from 17 ft (assist by C. Frye),2,15-9,,
5:46.0,,,15-9,,B. Lopez misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by V. Oladipo,,15-9,,
5:32.0,T. Harris misses 3-pt shot from 24 ft,,15-9,,
5:31.0,,,15-9,,Defensive rebound by T. Young
5:23.0,,,15-11,2,B. Lopez makes 2-pt shot from 1 ft (assist by T. Young)
5:11.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,17-11,,
5:11.0,Shooting foul by T. Young (drawn by N. Vucevic),,17-11,,
5:11.0,A. Nicholson enters the game for C. Frye,,17-11,,
5:11.0,N. Vucevic makes free throw 1 of 1,1,18-11,,
4:56.0,,,18-11,,Turnover by J. Johnson (traveling)
4:43.0,T. Harris misses 2-pt shot from 19 ft,,18-11,,
4:42.0,Offensive rebound by T. Harris,,18-11,,
4:36.0,A. Nicholson misses 3-pt shot from 22 ft,,18-11,,
4:35.0,,,18-11,,Defensive rebound by B. Lopez
4:28.0,,,18-13,2,S. Larkin makes 2-pt shot from 1 ft
4:13.0,E. Fournier makes 3-pt shot from 25 ft (assist by A. Nicholson),3,21-13,,
4:02.0,,,21-13,,S. Larkin misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by A. Nicholson,,21-13,,
3:46.0,T. Harris makes 2-pt shot at rim (assist by N. Vucevic),2,23-13,,
3:42.0,,,23-13,,Brooklyn full timeout
3:42.0,,,23-13,,B. Bogdanovic enters the game for J. Johnson
3:31.0,,,23-13,,W. Ellington misses 2-pt shot from 19 ft
3:30.0,Defensive rebound by T. Harris,,23-13,,
3:09.0,V. Oladipo makes 3-pt shot from 24 ft (assist by N. Vucevic),3,26-13,,
2:51.0,,,26-13,,Turnover by B. Lopez (bad pass; steal by E. Fournier)
2:39.0,Turnover by V. Oladipo (lost ball; steal by S. Larkin),,26-13,,
2:38.0,Personal foul by V. Oladipo (drawn by T. Young),,26-13,,
2:38.0,Orlando full timeout,,26-13,,
2:38.0,A. Gordon enters the game for T. Harris,,26-13,,
