time,Phoenix,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. T. Chandler (P. Tucker gains possession),,,,Jump ball: A. Ajinca vs. T. Chandler (P. Tucker gains possession)
11:50.0,Turnover by R. Price (discontinued dribble),,0-0,,
11:34.0,,,0-0,,A. Ajinca misses 2-pt shot from 17 ft
11:33.0,Defensive rebound by P. Tucker,,0-0,,
11:11.0,P. Tucker misses 2-pt shot from 7 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by O. Asik
10:57.0,,,0-0,,Turnover by J. Ennis (lost ball; steal by P. Tucker)
10:52.0,D. Booker makes 2-pt shot from 2 ft (assist by P. Tucker),2,2-0,,
10:34.0,,,2-0,,D. Cunningham misses 2-pt shot from 2 ft (block by T. Chandler)
10:33.0,Defensive rebound by T. Chandler,,2-0,,
10:26.0,P. Tucker misses 3-pt shot from 24 ft,,2-0,,
10:25.0,,,2-0,,Defensive rebound by O. Asik
10:17.0,Personal foul by R. Price,,2-0,,
10:08.0,,,2-2,2,J. Ennis makes 2-pt shot from 2 ft (assist by T. Douglas)
9:56.0,D. Booker makes 2-pt shot from 13 ft,2,4-2,,
9:37.0,,,4-2,,A. Ajinca misses 2-pt shot from 19 ft
9:36.0,,,4-2,,Offensive rebound by J. Ennis
9:36.0,,,4-4,2,J. Ennis makes 2-pt shot from 1 ft
9:24.0,D. Booker makes 2-pt shot from 16 ft (assist by A. Len),2,6-4,,
9:09.0,,,6-4,,T. Douglas misses 3-pt shot from 25 ft
9:08.0,,,6-4,,Offensive rebound by A. Ajinca
9:04.0,,,6-6,2,A. Ajinca makes 2-pt shot from 6 ft
8:50.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,8-6,,
8:25.0,,,8-6,,Turnover by A. Ajinca (lost ball)
8:13.0,A. Len misses 2-pt shot from 15 ft,,8-6,,
8:11.0,,,8-6,,Defensive rebound by O. Asik
8:01.0,,,8-6,,Shooting foul by A. Len (drawn by D. Cunningham)
8:01.0,,,8-7,1,D. Cunningham makes free throw 1 of 2
8:01.0,,,8-7,,D. Cunningham misses free throw 2 of 2
8:01.0,Defensive rebound by P. Tucker,,8-7,,
7:54.0,,,8-7,,Personal foul by J. Ennis
7:49.0,Turnover by R. Price (bad pass),,8-7,,
7:31.0,,,8-7,,A. Ajinca misses 2-pt shot from 16 ft
7:29.0,Defensive rebound by Team,,8-7,,
7:21.0,D. Booker misses 2-pt shot from 2 ft,,8-7,,
7:20.0,,,8-7,,Defensive rebound by A. Ajinca
7:14.0,,,8-7,,Turnover by J. Ennis (offensive goaltending)
7:01.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,10-7,,
6:43.0,,,10-7,,Turnover by A. Ajinca (lost ball; steal by P. Tucker)
6:39.0,P. Tucker misses 2-pt shot from 1 ft,,10-7,,
6:38.0,Offensive rebound by D. Booker,,10-7,,
6:38.0,D. Booker misses 2-pt shot from 2 ft,,10-7,,
6:37.0,,,10-7,,Defensive rebound by T. Douglas
6:31.0,,,10-9,2,T. Douglas makes 2-pt shot from 21 ft
6:15.0,D. Booker makes 2-pt shot from 13 ft,2,12-9,,
5:55.0,,,12-9,,Turnover by T. Douglas (lost ball; steal by R. Price)
5:43.0,R. Price makes 3-pt shot from 25 ft (assist by P. Tucker),3,15-9,,
5:14.0,,,15-12,3,J. Ennis makes 3-pt shot from 25 ft (assist by T. Douglas)
5:03.0,,,15-12,,New Orleans full timeout
5:03.0,M. Teletovic enters the game for A. Len,,15-12,,
5:03.0,A. Goodwin enters the game for R. Price,,15-12,,
4:54.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,17-12,,
4:32.0,,,17-12,,D. Cunningham misses 2-pt shot from 19 ft
4:31.0,Defensive rebound by P. Tucker,,17-12,,
4:20.0,M. Teletovic makes 3-pt shot from 25 ft,3,20-12,,
3:56.0,Personal foul by A. Goodwin,,20-12,,
3:56.0,,,20-12,,K. Perkins enters the game for O. Asik
3:50.0,,,20-14,2,T. Douglas makes 2-pt shot from 19 ft
3:42.0,,,20-14,,L. Babbitt enters the game for A. Ajinca
3:38.0,T. Chandler misses 2-pt shot from 15 ft,,20-14,,
3:37.0,Offensive rebound by T. Chandler,,20-14,,
3:35.0,T. Chandler makes 2-pt shot from 1 ft,2,22-14,,
3:11.0,,,22-14,,D. Cunningham misses 2-pt shot from 9 ft
3:09.0,,,22-14,,Offensive rebound by J. Ennis
3:09.0,,,22-14,,J. Ennis misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by M. Teletovic,,22-14,,
3:01.0,Turnover by M. Teletovic (lost ball; steal by J. Ennis),,22-14,,
2:57.0,,,22-16,2,J. Ennis makes 2-pt shot at rim (assist by T. Douglas)
2:43.0,Turnover by M. Teletovic (bad pass),,22-16,,
2:43.0,Phoenix full timeout,,22-16,,
2:43.0,,,22-16,,J. Hamilton enters the game for J. Ennis
2:43.0,A. Williams enters the game for T. Chandler,,22-16,,
2:33.0,,,22-16,,Turnover by K. Perkins (lost ball; steal by P. Tucker)
2:30.0,A. Goodwin makes 2-pt shot at rim (assist by P. Tucker),2,24-16,,
2:08.0,,,24-16,,K. Perkins misses 2-pt shot at rim (block by M. Teletovic)
2:07.0,,,24-16,,Offensive rebound by Team
2:04.0,,,24-18,2,J. Hamilton makes 2-pt shot from 14 ft
1:50.0,M. Teletovic makes 3-pt shot from 26 ft (assist by D. Booker),3,27-18,,
1:50.0,,,27-18,,Loose ball foul by K. Perkins
1:50.0,A. Williams makes free throw 1 of 1,1,28-18,,
1:36.0,,,28-18,,J. Hamilton misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by P. Tucker,,28-18,,
1:20.0,Shooting foul by L. Babbitt (drawn by M. Teletovic),,28-18,,
1:20.0,,,28-18,,Technical foul by K. Perkins
1:20.0,D. Booker makes technical free throw,1,29-18,,
1:20.0,M. Teletovic makes free throw 1 of 2,1,30-18,,
1:20.0,,,30-18,,T. Frazier enters the game for T. Douglas
1:20.0,M. Teletovic makes free throw 2 of 2,1,31-18,,
1:10.0,,,31-18,,Shooting foul by A. Williams (drawn by D. Cunningham)
1:10.0,,,31-19,1,D. Cunningham makes free throw 1 of 2
1:10.0,,,31-20,1,D. Cunningham makes free throw 2 of 2
0:52.0,A. Williams misses 2-pt shot from 9 ft,,31-20,,
0:51.0,,,31-20,,Defensive rebound by J. Hamilton
0:32.0,,,31-22,2,D. Cunningham makes 2-pt shot at rim (assist by K. Perkins)
0:24.0,Shooting foul by T. Frazier (drawn by A. Goodwin),,31-22,,
0:24.0,A. Goodwin makes free throw 1 of 2,1,32-22,,
0:24.0,A. Goodwin misses free throw 2 of 2,,32-22,,
0:23.0,,,32-22,,Defensive rebound by L. Babbitt
0:03.0,,,32-22,,L. Babbitt misses 2-pt shot from 1 ft (block by D. Booker)
0:01.0,Defensive rebound by P. Tucker,,32-22,,
0:00.0,P. Tucker misses 3-pt shot from 47 ft,,32-22,,
0:00.0,Offensive rebound by Team,,32-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,32-22,,T. Frazier misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by A. Len,,32-22,,
11:22.0,M. Teletovic misses 3-pt shot from 25 ft,,32-22,,
11:21.0,,,32-22,,Defensive rebound by K. Perkins
11:12.0,,,32-22,,J. Ennis misses 2-pt shot at rim
11:11.0,,,32-22,,Offensive rebound by J. Ennis
11:11.0,,,32-24,2,J. Ennis makes 2-pt shot at rim
10:59.0,Turnover by J. Jenkins (lost ball; steal by T. Frazier),,32-24,,
10:56.0,,,32-26,2,T. Frazier makes 2-pt shot at rim
10:55.0,Phoenix full timeout,,32-26,,
10:55.0,C. Budinger enters the game for J. Jenkins,,32-26,,
10:39.0,A. Len misses 2-pt shot from 14 ft,,32-26,,
10:38.0,,,32-26,,Defensive rebound by L. Babbitt
10:31.0,,,32-29,3,J. Hamilton makes 3-pt shot from 24 ft
10:15.0,A. Len misses 2-pt shot from 14 ft,,32-29,,
10:15.0,,,32-29,,Defensive rebound by T. Frazier
10:04.0,,,32-29,,T. Frazier misses 2-pt shot from 1 ft (block by A. Goodwin)
10:02.0,,,32-29,,Offensive rebound by T. Frazier
9:55.0,,,32-29,,L. Babbitt misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by J. Leuer,,32-29,,
9:44.0,A. Goodwin misses 3-pt shot from 25 ft,,32-29,,
9:43.0,Offensive rebound by A. Len,,32-29,,
9:40.0,A. Goodwin misses 2-pt shot from 2 ft,,32-29,,
9:40.0,,,32-29,,Defensive rebound by L. Babbitt
9:40.0,Loose ball foul by A. Len,,32-29,,
9:28.0,,,32-31,2,L. Babbitt makes 2-pt shot from 2 ft (assist by T. Frazier)
9:28.0,,,32-31,,Shooting foul by A. Goodwin (drawn by L. Babbitt)
9:28.0,,,32-32,1,L. Babbitt makes free throw 1 of 1
9:17.0,M. Teletovic makes 2-pt shot from 12 ft,2,34-32,,
9:17.0,Shooting foul by J. Hamilton (drawn by M. Teletovic),,34-32,,
9:17.0,M. Teletovic misses free throw 1 of 1,,34-32,,
9:16.0,,,34-32,,Defensive rebound by L. Babbitt
9:09.0,,,34-32,,J. Hamilton misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by M. Teletovic,,34-32,,
9:01.0,J. Leuer misses 2-pt shot from 18 ft,,34-32,,
9:00.0,Offensive rebound by A. Len,,34-32,,
8:59.0,A. Len makes 2-pt shot at rim,2,36-32,,
8:47.0,,,36-34,2,T. Frazier makes 2-pt shot from 19 ft
8:29.0,A. Goodwin misses 3-pt shot from 25 ft,,36-34,,
8:28.0,,,36-34,,Defensive rebound by L. Babbitt
8:06.0,,,36-34,,Turnover by T. Frazier (lost ball; steal by A. Len)
7:55.0,A. Goodwin makes 2-pt shot from 2 ft,2,38-34,,
7:34.0,,,38-36,2,L. Babbitt makes 2-pt shot from 11 ft
7:16.0,A. Goodwin makes 3-pt shot from 25 ft (assist by M. Teletovic),3,41-36,,
7:12.0,,,41-36,,New Orleans full timeout
7:12.0,T. Chandler enters the game for A. Len,,41-36,,
7:12.0,D. Booker enters the game for C. Budinger,,41-36,,
7:12.0,,,41-36,,A. Ajinca enters the game for K. Perkins
6:49.0,,,41-36,,J. Hamilton misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by T. Chandler,,41-36,,
6:39.0,M. Teletovic misses 3-pt shot from 23 ft,,41-36,,
6:38.0,,,41-36,,Defensive rebound by L. Babbitt
6:30.0,,,41-36,,A. Ajinca misses 2-pt shot from 10 ft
6:29.0,Defensive rebound by J. Leuer,,41-36,,
6:14.0,M. Teletovic misses 2-pt shot from 12 ft,,41-36,,
6:14.0,Offensive rebound by T. Chandler,,41-36,,
6:14.0,Shooting foul by A. Ajinca (drawn by T. Chandler),,41-36,,
6:14.0,T. Chandler makes free throw 1 of 2,1,42-36,,
6:14.0,T. Chandler misses free throw 2 of 2,,42-36,,
6:14.0,,,42-36,,Defensive rebound by J. Hamilton
5:58.0,,,42-36,,A. Ajinca misses 2-pt shot from 10 ft
5:57.0,Defensive rebound by A. Goodwin,,42-36,,
5:56.0,,,42-36,,Personal foul by J. Ennis
5:44.0,A. Goodwin makes 2-pt shot from 1 ft,2,44-36,,
5:28.0,,,44-36,,L. Babbitt misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by M. Teletovic,,44-36,,
5:18.0,Turnover by M. Teletovic (lost ball; steal by J. Hamilton),,44-36,,
5:07.0,,,44-36,,J. Ennis misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by J. Leuer,,44-36,,
4:47.0,Turnover by A. Goodwin (offensive goaltending),,44-36,,
4:47.0,P. Tucker enters the game for A. Goodwin,,44-36,,
4:47.0,R. Price enters the game for J. Leuer,,44-36,,
4:37.0,Personal foul by P. Tucker,,44-36,,
4:24.0,,,44-38,2,T. Frazier makes 2-pt shot from 20 ft
3:58.0,R. Price misses 3-pt shot from 24 ft,,44-38,,
3:57.0,,,44-38,,Defensive rebound by J. Hamilton
3:52.0,,,44-38,,T. Frazier misses 2-pt shot from 4 ft
3:51.0,Defensive rebound by D. Booker,,44-38,,
3:34.0,T. Chandler makes 2-pt shot at rim (assist by M. Teletovic),2,46-38,,
3:22.0,,,46-38,,T. Frazier misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by D. Booker,,46-38,,
3:15.0,Turnover by D. Booker (bad pass),,46-38,,
3:15.0,,,46-38,,D. Cunningham enters the game for J. Hamilton
2:53.0,,,46-41,3,J. Ennis makes 3-pt shot from 25 ft (assist by T. Frazier)
2:38.0,M. Teletovic makes 3-pt shot from 24 ft (assist by P. Tucker),3,49-41,,
2:24.0,,,49-41,,J. Ennis misses 3-pt shot from 26 ft
2:22.0,,,49-41,,Offensive rebound by T. Frazier
2:17.0,,,49-43,2,L. Babbitt makes 2-pt shot from 1 ft (assist by T. Frazier)
1:57.0,,,49-43,,Personal foul by J. Ennis
1:57.0,Official timeout,,49-43,,
1:57.0,A. Len enters the game for M. Teletovic,,49-43,,
1:57.0,,,49-43,,T. Douglas enters the game for J. Ennis
1:52.0,,,49-43,,Violation by A. Ajinca (def goaltending)
1:52.0,D. Booker makes 2-pt shot from 4 ft (assist by T. Chandler),2,51-43,,
1:40.0,Personal foul by D. Booker,,51-43,,
1:30.0,,,51-45,2,L. Babbitt makes 2-pt shot from 3 ft
1:10.0,Shooting foul by A. Ajinca (drawn by P. Tucker),,51-45,,
1:10.0,P. Tucker makes free throw 1 of 2,1,52-45,,
1:10.0,,,52-45,,O. Asik enters the game for L. Babbitt
1:10.0,P. Tucker makes free throw 2 of 2,1,53-45,,
0:49.0,,,53-47,2,A. Ajinca makes 2-pt shot from 21 ft (assist by D. Cunningham)
0:40.0,D. Booker misses 3-pt shot from 25 ft,,53-47,,
0:40.0,,,53-47,,Defensive rebound by Team
0:31.0,,,53-47,,Turnover by O. Asik (lost ball)
0:21.0,A. Len misses 2-pt shot from 17 ft,,53-47,,
0:20.0,,,53-47,,Defensive rebound by T. Frazier
0:05.0,,,53-47,,A. Ajinca misses 2-pt shot from 2 ft (block by T. Chandler)
0:04.0,Defensive rebound by D. Booker,,53-47,,
0:00.0,D. Booker makes 2-pt shot from 1 ft,2,55-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,55-47,,O. Asik misses 2-pt shot from 3 ft (block by T. Chandler)
11:51.0,,,55-47,,Offensive rebound by Team
11:37.0,,,55-47,,T. Douglas misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by A. Len,,55-47,,
11:24.0,Turnover by D. Booker (lost ball; steal by J. Ennis),,55-47,,
11:20.0,Personal foul by D. Booker,,55-47,,
11:03.0,,,55-47,,D. Cunningham misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by A. Len,,55-47,,
10:56.0,D. Booker makes 3-pt shot from 24 ft (assist by R. Price),3,58-47,,
10:28.0,,,58-47,,J. Ennis misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by A. Len,,58-47,,
