time,Minnesota,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. K. Towns (B. Griffin gains possession)
11:41.0,,,0-0,,Turnover by J. Redick (bad pass; steal by A. Wiggins)
11:27.0,A. Wiggins makes 2-pt shot from 13 ft (assist by Z. LaVine),2,2-0,,
11:20.0,Personal foul by K. Garnett (drawn by B. Griffin),,2-0,,
11:15.0,,,2-2,2,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin)
11:01.0,K. Towns makes 2-pt shot from 23 ft (assist by K. Garnett),2,4-2,,
10:53.0,,,4-2,,Turnover by C. Paul (bad pass; steal by K. Martin)
10:47.0,Z. LaVine misses 2-pt shot from 1 ft,,4-2,,
10:44.0,,,4-2,,Defensive rebound by B. Griffin
10:34.0,,,4-4,2,C. Paul makes 2-pt shot from 16 ft
10:21.0,A. Wiggins misses 2-pt shot from 22 ft,,4-4,,
10:20.0,,,4-4,,Defensive rebound by D. Jordan
10:09.0,,,4-4,,B. Griffin misses 2-pt shot from 18 ft
10:08.0,Defensive rebound by Z. LaVine,,4-4,,
9:47.0,K. Towns makes 2-pt shot from 12 ft (assist by Z. LaVine),2,6-4,,
9:29.0,,,6-4,,L. Mbah a Moute misses 2-pt shot at rim (block by A. Wiggins)
9:28.0,Defensive rebound by K. Martin,,6-4,,
9:23.0,Z. LaVine misses 3-pt shot from 25 ft,,6-4,,
9:19.0,,,6-4,,Defensive rebound by C. Paul
9:13.0,,,6-4,,Shooting foul by K. Garnett (drawn by D. Jordan)
9:13.0,,,6-4,,D. Jordan misses free throw 1 of 2
9:13.0,,,6-4,,Offensive rebound by Team
9:13.0,,,6-4,,D. Jordan misses free throw 2 of 2
9:12.0,Defensive rebound by K. Towns,,6-4,,
9:01.0,K. Martin misses 2-pt shot from 20 ft,,6-4,,
9:01.0,Offensive rebound by Team,,6-4,,
8:57.0,K. Martin makes 2-pt shot from 17 ft (assist by K. Garnett),2,8-4,,
8:43.0,,,8-4,,J. Redick misses 2-pt shot from 20 ft
8:42.0,Defensive rebound by K. Towns,,8-4,,
8:33.0,A. Wiggins makes 2-pt shot from 21 ft,2,10-4,,
8:11.0,,,10-4,,L. Mbah a Moute misses 2-pt shot from 17 ft
8:10.0,Defensive rebound by K. Towns,,10-4,,
8:01.0,K. Towns misses 2-pt shot from 20 ft,,10-4,,
8:00.0,,,10-4,,Defensive rebound by B. Griffin
7:53.0,,,10-4,,Turnover by B. Griffin (offensive foul)
7:53.0,,,10-4,,Offensive foul by B. Griffin
7:35.0,K. Garnett misses 2-pt shot from 15 ft,,10-4,,
7:35.0,,,10-4,,Defensive rebound by J. Redick
7:35.0,,,10-4,,Turnover by C. Paul (step out of bounds)
7:25.0,K. Martin misses 2-pt shot from 16 ft,,10-4,,
7:25.0,,,10-4,,Defensive rebound by L. Mbah a Moute
7:18.0,,,10-4,,Turnover by C. Paul (bad pass; steal by K. Towns)
7:15.0,Turnover by A. Wiggins (dbl dribble),,10-4,,
7:04.0,,,10-4,,C. Paul misses 2-pt shot from 16 ft
7:03.0,Defensive rebound by K. Martin,,10-4,,
6:44.0,K. Towns misses 2-pt shot from 20 ft,,10-4,,
6:42.0,,,10-4,,Defensive rebound by C. Paul
6:32.0,,,10-7,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by B. Griffin)
6:26.0,Minnesota full timeout,,10-7,,
6:17.0,K. Towns makes 2-pt shot from 22 ft (assist by K. Garnett),2,12-7,,
6:01.0,,,12-9,2,B. Griffin makes 2-pt shot at rim (assist by D. Jordan)
5:48.0,A. Wiggins makes 3-pt shot from 25 ft,3,15-9,,
5:37.0,,,15-9,,Shooting foul by K. Garnett (drawn by B. Griffin)
5:37.0,,,15-10,1,B. Griffin makes free throw 1 of 2
5:37.0,A. Payne enters the game for K. Garnett,,15-10,,
5:37.0,,,15-11,1,B. Griffin makes free throw 2 of 2
5:13.0,A. Payne misses 3-pt shot from 25 ft,,15-11,,
5:13.0,Offensive rebound by Team,,15-11,,
5:13.0,Turnover by Team (shot clock),,15-11,,
4:54.0,,,15-11,,J. Redick misses 3-pt shot from 26 ft
4:54.0,Defensive rebound by A. Wiggins,,15-11,,
4:50.0,Turnover by Z. LaVine (offensive foul),,15-11,,
4:50.0,Offensive charge foul by Z. LaVine,,15-11,,
4:50.0,,,15-11,,W. Johnson enters the game for L. Mbah a Moute
4:40.0,,,15-13,2,C. Paul makes 2-pt shot from 16 ft
4:28.0,K. Martin misses 2-pt shot from 12 ft,,15-13,,
4:27.0,,,15-13,,Defensive rebound by D. Jordan
4:19.0,,,15-15,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:00.0,K. Towns misses 2-pt shot from 4 ft,,15-15,,
4:00.0,,,15-15,,Defensive rebound by B. Griffin
3:43.0,,,15-17,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:26.0,A. Wiggins misses 2-pt shot from 1 ft (block by B. Griffin),,15-17,,
3:25.0,,,15-17,,Defensive rebound by D. Jordan
3:08.0,,,15-17,,B. Griffin misses 2-pt shot from 4 ft
3:06.0,Defensive rebound by K. Towns,,15-17,,
3:02.0,Z. LaVine misses 2-pt shot from 2 ft,,15-17,,
