time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (K. Durant gains possession),,,,Jump ball: S. Adams vs. A. Bogut (K. Durant gains possession)
11:46.0,,,0-0,,Turnover by R. Westbrook (lost ball; steal by D. Green)
11:34.0,S. Curry makes 2-pt shot from 13 ft,2,2-0,,
11:20.0,,,2-2,2,K. Durant makes 2-pt shot from 10 ft (assist by R. Westbrook)
11:06.0,A. Bogut misses 2-pt shot from 5 ft (block by S. Ibaka),,2-2,,
11:05.0,,,2-2,,Defensive rebound by S. Adams
11:01.0,,,2-2,,Shooting foul by S. Curry (drawn by R. Westbrook)
11:01.0,,,2-3,1,R. Westbrook makes free throw 1 of 2
11:01.0,,,2-4,1,R. Westbrook makes free throw 2 of 2
10:43.0,D. Green misses 3-pt shot from 25 ft,,2-4,,
10:42.0,,,2-4,,Defensive rebound by S. Adams
10:32.0,,,2-4,,K. Durant misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by D. Green,,2-4,,
10:19.0,S. Curry misses 3-pt shot from 26 ft (block by S. Adams),,2-4,,
10:18.0,,,2-4,,Defensive rebound by A. Roberson
10:12.0,,,2-6,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
9:58.0,K. Thompson misses 3-pt shot from 24 ft,,2-6,,
9:56.0,,,2-6,,Defensive rebound by R. Westbrook
9:49.0,,,2-6,,R. Westbrook misses 2-pt shot from 4 ft
9:49.0,Defensive rebound by D. Green,,2-6,,
9:41.0,K. Thompson makes 2-pt shot from 1 ft,2,4-6,,
9:15.0,,,4-6,,S. Adams misses 2-pt shot from 4 ft
9:14.0,,,4-6,,Offensive rebound by Team
9:10.0,,,4-8,2,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook)
8:57.0,D. Green makes 2-pt shot from 1 ft (assist by A. Bogut),2,6-8,,
8:45.0,,,6-8,,R. Westbrook misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by A. Bogut,,6-8,,
8:35.0,S. Curry makes 3-pt shot from 24 ft,3,9-8,,
8:13.0,,,9-10,2,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams)
8:05.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,11-10,,
7:54.0,,,11-12,2,K. Durant makes 2-pt shot from 14 ft
7:54.0,,,11-12,,Shooting foul by A. Bogut (drawn by K. Durant)
7:54.0,A. Iguodala enters the game for H. Barnes,,11-12,,
7:54.0,,,11-13,1,K. Durant makes free throw 1 of 1
7:43.0,S. Curry misses 3-pt shot from 25 ft,,11-13,,
7:43.0,,,11-13,,Defensive rebound by S. Adams
7:32.0,,,11-13,,Shooting foul by A. Bogut (drawn by S. Adams)
7:32.0,,,11-13,,S. Adams misses free throw 1 of 2
7:32.0,,,11-13,,Offensive rebound by Team
7:32.0,F. Ezeli enters the game for A. Bogut,,11-13,,
7:32.0,,,11-14,1,S. Adams makes free throw 2 of 2
7:19.0,Turnover by K. Thompson (bad pass),,11-14,,
7:19.0,,,11-14,,D. Waiters enters the game for S. Adams
7:09.0,,,11-14,,R. Westbrook misses 2-pt shot from 14 ft
7:09.0,Defensive rebound by A. Iguodala,,11-14,,
6:56.0,K. Thompson makes 2-pt shot from 2 ft,2,13-14,,
6:37.0,,,13-17,3,A. Roberson makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:22.0,,,13-17,,Personal foul by K. Durant
6:15.0,F. Ezeli misses 2-pt shot at rim,,13-17,,
6:15.0,,,13-17,,Defensive rebound by S. Ibaka
6:11.0,,,13-19,2,R. Westbrook makes 2-pt shot from 2 ft
5:59.0,K. Thompson misses 2-pt shot from 12 ft,,13-19,,
5:58.0,,,13-19,,Defensive rebound by S. Ibaka
5:49.0,,,13-21,2,S. Ibaka makes 2-pt shot at rim (assist by D. Waiters)
5:49.0,Golden State full timeout,,13-21,,
5:32.0,Turnover by D. Green (lost ball; steal by R. Westbrook),,13-21,,
5:27.0,,,13-21,,Shooting foul by D. Green (drawn by K. Durant)
5:27.0,,,13-22,1,K. Durant makes free throw 1 of 2
5:27.0,,,13-23,1,K. Durant makes free throw 2 of 2
5:09.0,K. Thompson misses 2-pt shot from 15 ft,,13-23,,
5:08.0,,,13-23,,Defensive rebound by D. Waiters
5:03.0,,,13-25,2,K. Durant makes 2-pt shot from 2 ft (assist by D. Waiters)
4:53.0,F. Ezeli makes 2-pt shot at rim (assist by S. Curry),2,15-25,,
4:33.0,,,15-28,3,S. Ibaka makes 3-pt shot from 23 ft (assist by A. Roberson)
4:20.0,S. Curry misses 3-pt shot from 25 ft,,15-28,,
4:20.0,Offensive rebound by A. Iguodala,,15-28,,
4:16.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Iguodala),3,18-28,,
4:00.0,,,18-28,,S. Ibaka misses 2-pt shot from 18 ft
4:00.0,Defensive rebound by S. Curry,,18-28,,
3:51.0,K. Thompson misses 3-pt shot from 24 ft,,18-28,,
3:51.0,,,18-28,,Defensive rebound by K. Durant
3:42.0,,,18-30,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
3:26.0,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson),2,20-30,,
3:16.0,,,20-30,,Oklahoma City full timeout
3:16.0,A. Varejao enters the game for K. Thompson,,20-30,,
3:16.0,I. Clark enters the game for F. Ezeli,,20-30,,
3:16.0,,,20-30,,E. Kanter enters the game for K. Durant
3:16.0,,,20-30,,S. Adams enters the game for S. Ibaka
3:16.0,,,20-30,,R. Foye enters the game for A. Roberson
3:01.0,,,20-30,,R. Westbrook misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by S. Curry,,20-30,,
2:52.0,,,20-30,,Personal foul by R. Westbrook
2:40.0,A. Iguodala makes 3-pt shot from 25 ft (assist by D. Green),3,23-30,,
2:22.0,,,23-30,,Turnover by D. Waiters (lost ball; steal by I. Clark)
2:18.0,A. Iguodala makes 2-pt shot at rim (assist by I. Clark),2,25-30,,
2:02.0,,,25-30,,R. Westbrook misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by Team,,25-30,,
2:02.0,,,25-30,,Loose ball foul by S. Adams
2:02.0,,,25-30,,K. Durant enters the game for R. Westbrook
1:48.0,D. Green misses 3-pt shot from 25 ft,,25-30,,
1:47.0,,,25-30,,Defensive rebound by E. Kanter
1:23.0,,,25-30,,E. Kanter misses 2-pt shot from 14 ft
1:22.0,Defensive rebound by I. Clark,,25-30,,
1:16.0,Turnover by D. Green (lost ball),,25-30,,
0:55.0,,,25-30,,S. Adams misses 2-pt shot from 4 ft
0:55.0,,,25-30,,Offensive rebound by E. Kanter
0:55.0,,,25-32,2,E. Kanter makes 2-pt shot from 2 ft
0:42.0,S. Curry makes 3-pt shot from 23 ft,3,28-32,,
0:29.0,,,28-32,,K. Durant misses 2-pt shot from 1 ft
0:28.0,,,28-32,,Offensive rebound by E. Kanter
0:28.0,,,28-34,2,E. Kanter makes 2-pt shot from 2 ft
0:16.0,,,28-34,,Personal foul by D. Waiters
0:16.0,,,28-34,,A. Roberson enters the game for E. Kanter
0:16.0,K. Thompson enters the game for A. Varejao,,28-34,,
0:02.0,A. Iguodala misses 3-pt shot from 22 ft,,28-34,,
0:01.0,,,28-34,,Defensive rebound by A. Roberson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Livingston),3,31-34,,
11:27.0,,,31-34,,Turnover by E. Kanter (lost ball; steal by S. Livingston)
11:17.0,H. Barnes misses 2-pt shot from 6 ft,,31-34,,
11:16.0,,,31-34,,Defensive rebound by E. Kanter
11:04.0,,,31-34,,K. Durant misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by I. Clark,,31-34,,
10:49.0,I. Clark makes 2-pt shot from 1 ft (assist by S. Livingston),2,33-34,,
10:33.0,,,33-34,,Turnover by S. Adams (lost ball; steal by A. Iguodala)
10:27.0,Turnover by A. Iguodala (lost ball; steal by R. Foye),,33-34,,
10:21.0,,,33-34,,D. Waiters misses 3-pt shot from 22 ft
10:21.0,,,33-34,,Offensive rebound by K. Durant
10:17.0,,,33-34,,Shooting foul by I. Clark (drawn by E. Kanter)
10:17.0,,,33-35,1,E. Kanter makes free throw 1 of 2
10:17.0,,,33-36,1,E. Kanter makes free throw 2 of 2
10:11.0,S. Livingston makes 2-pt shot from 14 ft (assist by I. Clark),2,35-36,,
9:42.0,,,35-36,,K. Durant misses 3-pt shot from 24 ft
9:42.0,,,35-36,,Offensive rebound by E. Kanter
9:42.0,,,35-36,,R. Westbrook enters the game for R. Foye
9:42.0,A. Bogut enters the game for M. Speights,,35-36,,
9:39.0,,,35-38,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
9:20.0,I. Clark misses 3-pt shot from 24 ft,,35-38,,
9:20.0,Offensive rebound by A. Iguodala,,35-38,,
9:13.0,H. Barnes makes 3-pt shot from 24 ft (assist by A. Iguodala),3,38-38,,
8:53.0,,,38-38,,Shooting foul by S. Livingston (drawn by K. Durant)
8:53.0,Official timeout,,38-38,,
8:53.0,,,38-38,,S. Ibaka enters the game for E. Kanter
8:53.0,K. Thompson enters the game for A. Iguodala,,38-38,,
8:53.0,D. Green enters the game for I. Clark,,38-38,,
8:53.0,,,38-39,1,K. Durant makes free throw 1 of 2
8:53.0,,,38-40,1,K. Durant makes free throw 2 of 2
8:40.0,H. Barnes misses 2-pt shot from 6 ft,,38-40,,
8:37.0,Offensive rebound by A. Bogut,,38-40,,
8:37.0,A. Bogut makes 2-pt shot from 2 ft,2,40-40,,
8:20.0,,,40-40,,S. Ibaka misses 3-pt shot from 23 ft
8:19.0,,,40-40,,Offensive rebound by Team
8:08.0,,,40-42,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:57.0,K. Thompson misses 3-pt shot from 23 ft,,40-42,,
7:56.0,,,40-42,,Defensive rebound by S. Adams
7:50.0,,,40-44,2,R. Westbrook makes 2-pt shot from 1 ft
7:39.0,,,40-44,,Personal foul by D. Waiters
7:28.0,H. Barnes misses 3-pt shot from 23 ft,,40-44,,
7:27.0,Offensive rebound by A. Bogut,,40-44,,
7:21.0,A. Bogut misses 2-pt shot from 3 ft,,40-44,,
7:21.0,,,40-44,,Defensive rebound by R. Westbrook
7:13.0,,,40-46,2,D. Waiters makes 2-pt shot from 18 ft
7:13.0,Golden State full timeout,,40-46,,
7:13.0,S. Curry enters the game for H. Barnes,,40-46,,
7:01.0,S. Curry misses 3-pt shot from 25 ft,,40-46,,
6:59.0,Offensive rebound by D. Green,,40-46,,
6:59.0,D. Green misses 2-pt shot from 2 ft,,40-46,,
6:59.0,,,40-46,,Defensive rebound by Team
6:43.0,,,40-48,2,D. Waiters makes 2-pt shot from 2 ft
6:35.0,K. Thompson misses 2-pt shot from 4 ft,,40-48,,
6:34.0,,,40-48,,Defensive rebound by S. Adams
6:20.0,,,40-48,,D. Waiters misses 2-pt shot from 15 ft
6:20.0,Defensive rebound by A. Bogut,,40-48,,
6:07.0,S. Livingston misses 2-pt shot from 5 ft,,40-48,,
6:06.0,Offensive rebound by S. Livingston,,40-48,,
5:57.0,Shooting foul by S. Adams (drawn by D. Green),,40-48,,
5:57.0,D. Green makes free throw 1 of 2,1,41-48,,
