time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (J. Dudley gains possession)
11:43.0,J. Dudley makes 2-pt shot from 15 ft (assist by J. Wall),2,2-0,,
11:23.0,Personal foul by G. Temple (drawn by N. Batum),,2-0,,
11:14.0,,,2-0,,N. Batum misses 2-pt shot from 22 ft
11:13.0,Defensive rebound by O. Porter,,2-0,,
11:07.0,O. Porter misses 3-pt shot from 24 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by M. Williams
10:53.0,,,2-3,3,M. Williams makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist)
10:31.0,M. Gortat makes 2-pt shot from 9 ft,2,4-3,,
10:16.0,,,4-3,,Turnover by N. Batum (bad pass; steal by J. Dudley)
10:14.0,,,4-3,,Personal foul by K. Walker (drawn by J. Wall)
10:14.0,J. Wall makes free throw 1 of 2,1,5-3,,
10:14.0,J. Wall makes free throw 2 of 2,1,6-3,,
10:00.0,,,6-6,3,K. Walker makes 3-pt shot from 24 ft (assist by M. Williams)
9:34.0,M. Gortat misses 2-pt shot from 9 ft,,6-6,,
9:32.0,,,6-6,,Defensive rebound by N. Batum
9:20.0,,,6-6,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by M. Gortat,,6-6,,
9:11.0,J. Dudley makes 2-pt shot from 17 ft (assist by J. Wall),2,8-6,,
8:50.0,,,8-6,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by M. Gortat)
8:48.0,Defensive rebound by J. Wall,,8-6,,
8:45.0,Shooting foul by C. Zeller (drawn by O. Porter),,8-6,,
8:45.0,O. Porter misses free throw 1 of 2,,8-6,,
8:45.0,Offensive rebound by Team,,8-6,,
8:45.0,O. Porter makes free throw 2 of 2,1,9-6,,
8:31.0,,,9-6,,K. Walker misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by O. Porter,,9-6,,
8:14.0,J. Wall makes 2-pt shot from 21 ft,2,11-6,,
7:55.0,,,11-6,,M. Williams misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by M. Gortat,,11-6,,
7:48.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall),3,14-6,,
7:28.0,,,14-8,2,N. Batum makes 2-pt shot from 20 ft
7:13.0,J. Wall misses 2-pt shot from 18 ft,,14-8,,
7:12.0,,,14-8,,Defensive rebound by C. Zeller
6:57.0,,,14-8,,Turnover by C. Zeller (bad pass; steal by O. Porter)
6:49.0,G. Temple misses 2-pt shot from 15 ft,,14-8,,
6:48.0,,,14-8,,Defensive rebound by M. Williams
6:39.0,,,14-10,2,K. Walker makes 2-pt shot from 1 ft
6:21.0,Turnover by J. Wall (bad pass; steal by N. Batum),,14-10,,
6:18.0,,,14-12,2,N. Batum makes 2-pt shot at rim (assist by C. Zeller)
5:59.0,Turnover by J. Dudley (bad pass; steal by C. Zeller),,14-12,,
5:54.0,,,14-14,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
5:51.0,Washington full timeout,,14-14,,
5:40.0,J. Wall makes 2-pt shot at rim,2,16-14,,
5:25.0,,,16-17,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
5:07.0,J. Dudley misses 2-pt shot from 17 ft,,16-17,,
5:06.0,,,16-17,,Defensive rebound by C. Zeller
4:55.0,,,16-17,,N. Batum misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by J. Wall,,16-17,,
4:48.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall),3,19-17,,
4:39.0,,,19-17,,Charlotte full timeout
4:39.0,G. Neal enters the game for O. Porter,,19-17,,
4:39.0,,,19-17,,J. Lin enters the game for M. Kidd-Gilchrist
4:24.0,,,19-19,2,J. Lin makes 2-pt shot from 1 ft
4:06.0,J. Wall misses 2-pt shot from 19 ft,,19-19,,
4:05.0,,,19-19,,Defensive rebound by M. Williams
3:55.0,,,19-19,,K. Walker misses 3-pt shot from 26 ft
3:54.0,,,19-19,,Offensive rebound by C. Zeller
3:47.0,,,19-19,,C. Zeller misses 2-pt shot from 19 ft
3:46.0,Defensive rebound by G. Temple,,19-19,,
3:38.0,Turnover by G. Temple (bad pass; steal by K. Walker),,19-19,,
3:29.0,,,19-21,2,M. Williams makes 2-pt shot from 4 ft (assist by K. Walker)
3:15.0,Turnover by J. Wall (bad pass; steal by C. Zeller),,19-21,,
3:09.0,,,19-23,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
2:54.0,G. Temple misses 3-pt shot from 24 ft,,19-23,,
2:53.0,,,19-23,,Defensive rebound by C. Zeller
2:43.0,,,19-23,,Turnover by N. Batum (bad pass; steal by G. Temple)
2:37.0,G. Temple makes 2-pt shot from 1 ft,2,21-23,,
2:20.0,,,21-23,,C. Zeller misses 2-pt shot from 7 ft
2:19.0,Defensive rebound by M. Gortat,,21-23,,
2:11.0,M. Gortat makes 2-pt shot at rim (assist by J. Dudley),2,23-23,,
1:48.0,,,23-23,,Turnover by J. Lin (bad pass; steal by J. Wall)
1:47.0,,,23-23,,Personal foul by M. Williams (drawn by J. Wall)
1:47.0,R. Sessions enters the game for J. Wall,,23-23,,
1:47.0,,,23-23,,J. Lamb enters the game for M. Williams
1:47.0,,,23-23,,S. Hawes enters the game for C. Zeller
1:47.0,,,23-23,,F. Kaminsky enters the game for N. Batum
1:36.0,Turnover by R. Sessions (bad pass; steal by J. Lamb),,23-23,,
1:24.0,,,23-23,,K. Walker misses 2-pt shot from 8 ft (block by J. Dudley)
1:21.0,Defensive rebound by M. Gortat,,23-23,,
1:10.0,G. Neal misses 2-pt shot from 8 ft,,23-23,,
1:08.0,,,23-23,,Defensive rebound by K. Walker
0:48.0,,,23-25,2,S. Hawes makes 2-pt shot from 19 ft (assist by J. Lin)
0:39.0,G. Neal makes 2-pt shot from 20 ft,2,25-25,,
0:33.0,,,25-25,,K. Walker misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by M. Gortat,,25-25,,
0:09.0,G. Neal misses 2-pt shot from 10 ft,,25-25,,
0:08.0,,,25-25,,Defensive rebound by S. Hawes
0:03.0,Personal foul by G. Temple (drawn by J. Lamb),,25-25,,
0:03.0,D. Gooden enters the game for M. Gortat,,25-25,,
0:03.0,B. Beal enters the game for G. Temple,,25-25,,
0:00.0,,,25-25,,J. Lamb misses 2-pt shot from 6 ft
0:00.0,,,25-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-25,,J. Lin misses 2-pt shot from 3 ft (block by R. Sessions)
11:46.0,Defensive rebound by R. Sessions,,25-25,,
11:32.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,28-25,,
11:20.0,,,28-25,,Offensive foul by F. Kaminsky
11:20.0,,,28-25,,Turnover by F. Kaminsky (offensive foul)
11:05.0,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal),3,31-25,,
10:45.0,,,31-27,2,S. Hawes makes 2-pt shot from 14 ft (assist by N. Batum)
10:36.0,,,31-27,,Personal foul by J. Lin (drawn by R. Sessions)
10:19.0,B. Beal misses 2-pt shot from 16 ft,,31-27,,
10:17.0,,,31-27,,Defensive rebound by J. Lamb
10:09.0,,,31-27,,Shooting foul by D. Gooden (drawn by S. Hawes)
10:09.0,,,31-28,1,S. Hawes makes free throw 1 of 2
10:09.0,,,31-28,,S. Hawes misses free throw 2 of 2
10:07.0,Defensive rebound by B. Beal,,31-28,,
9:55.0,B. Beal makes 2-pt shot from 18 ft,2,33-28,,
9:37.0,,,33-28,,F. Kaminsky misses 2-pt shot from 2 ft (block by D. Gooden)
9:36.0,Defensive rebound by B. Beal,,33-28,,
9:26.0,O. Porter misses 3-pt shot from 25 ft,,33-28,,
9:24.0,Offensive rebound by D. Gooden,,33-28,,
9:21.0,D. Gooden misses 2-pt shot at rim,,33-28,,
9:19.0,,,33-28,,Defensive rebound by F. Kaminsky
9:10.0,,,33-28,,J. Lamb misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by R. Sessions,,33-28,,
9:05.0,Offensive charge foul by R. Sessions,,33-28,,
9:05.0,Turnover by R. Sessions (offensive foul),,33-28,,
8:52.0,,,33-30,2,N. Batum makes 2-pt shot from 1 ft (assist by J. Lamb)
8:37.0,B. Beal makes 2-pt shot from 13 ft (assist by D. Gooden),2,35-30,,
8:12.0,,,35-30,,N. Batum misses 2-pt shot from 16 ft
8:11.0,Defensive rebound by R. Sessions,,35-30,,
7:57.0,D. Gooden makes 2-pt shot from 10 ft,2,37-30,,
7:42.0,,,37-30,,S. Hawes misses 2-pt shot from 1 ft
7:40.0,Defensive rebound by D. Gooden,,37-30,,
7:35.0,B. Beal makes 3-pt shot from 25 ft,3,40-30,,
7:28.0,,,40-30,,Charlotte full timeout
7:24.0,,,40-30,,F. Kaminsky misses 2-pt shot from 2 ft (block by O. Porter)
7:24.0,,,40-30,,Offensive rebound by Team
7:15.0,,,40-30,,J. Lamb misses 2-pt shot from 14 ft
7:14.0,Defensive rebound by O. Porter,,40-30,,
6:54.0,O. Porter makes 2-pt shot from 10 ft (assist by D. Gooden),2,42-30,,
6:38.0,,,42-30,,Shooting foul by B. Beal (drawn by N. Batum)
6:38.0,,,42-31,1,N. Batum makes free throw 1 of 3
6:38.0,,,42-32,1,N. Batum makes free throw 2 of 3
6:38.0,,,42-33,1,N. Batum makes free throw 3 of 3
6:19.0,G. Neal misses 3-pt shot from 24 ft,,42-33,,
6:19.0,,,42-33,,Defensive rebound by Team
6:19.0,Loose ball foul by D. Gooden (drawn by S. Hawes),,42-33,,
6:00.0,,,42-33,,N. Batum misses 2-pt shot from 11 ft
5:58.0,Defensive rebound by D. Gooden,,42-33,,
5:40.0,G. Neal misses 3-pt shot from 27 ft,,42-33,,
5:39.0,,,42-33,,Defensive rebound by N. Batum
5:30.0,,,42-33,,Turnover by S. Hawes (bad pass; steal by O. Porter)
5:25.0,R. Sessions misses 2-pt shot at rim (block by N. Batum),,42-33,,
5:25.0,Offensive rebound by O. Porter,,42-33,,
5:25.0,Shooting foul by S. Hawes (drawn by O. Porter),,42-33,,
5:25.0,O. Porter makes 2-pt shot from 1 ft,2,44-33,,
5:25.0,Official timeout,,44-33,,
5:25.0,J. Wall enters the game for G. Neal,,44-33,,
5:25.0,,,44-33,,M. Kidd-Gilchrist enters the game for F. Kaminsky
