time,Minnesota,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. K. Towns (A. Wiggins gains possession),,,,Jump ball: B. Lopez vs. K. Towns (A. Wiggins gains possession)
11:47.0,Turnover by A. Wiggins (lost ball; steal by J. Jack),,0-0,,
11:30.0,Personal foul by K. Towns (drawn by B. Lopez),,0-0,,
11:20.0,,,0-2,2,B. Lopez makes 2-pt shot from 18 ft (assist by J. Jack)
11:05.0,K. Towns makes 2-pt shot from 18 ft (assist by K. Garnett),2,2-2,,
10:50.0,,,2-2,,J. Johnson misses 2-pt shot from 9 ft
10:49.0,Defensive rebound by K. Garnett,,2-2,,
10:46.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,4-2,,
10:46.0,,,4-2,,Violation by B. Bogdanovic (def goaltending)
10:34.0,,,4-2,,B. Lopez misses 2-pt shot from 10 ft
10:33.0,Defensive rebound by R. Rubio,,4-2,,
10:25.0,R. Rubio misses 2-pt shot from 21 ft,,4-2,,
10:24.0,,,4-2,,Defensive rebound by T. Young
10:16.0,,,4-2,,T. Young misses 2-pt shot from 10 ft (block by K. Towns)
10:15.0,Defensive rebound by K. Towns,,4-2,,
10:05.0,R. Rubio misses 3-pt shot from 25 ft,,4-2,,
10:04.0,,,4-2,,Defensive rebound by B. Lopez
9:50.0,,,4-2,,B. Bogdanovic misses 3-pt shot from 22 ft
9:49.0,Defensive rebound by K. Garnett,,4-2,,
9:34.0,K. Towns misses 2-pt shot from 11 ft,,4-2,,
9:33.0,,,4-2,,Defensive rebound by T. Young
9:22.0,,,4-2,,B. Bogdanovic misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by K. Garnett,,4-2,,
9:05.0,A. Wiggins misses 3-pt shot from 24 ft,,4-2,,
9:04.0,,,4-2,,Defensive rebound by T. Young
8:53.0,,,4-2,,J. Jack misses 3-pt shot from 22 ft
8:52.0,Defensive rebound by R. Rubio,,4-2,,
8:42.0,K. Towns misses 2-pt shot from 18 ft,,4-2,,
8:41.0,,,4-2,,Defensive rebound by T. Young
8:29.0,,,4-2,,Shooting foul by K. Garnett (drawn by T. Young)
8:29.0,,,4-3,1,T. Young makes free throw 1 of 2
8:29.0,,,4-4,1,T. Young makes free throw 2 of 2
8:16.0,A. Wiggins makes 2-pt shot from 3 ft (assist by R. Rubio),2,6-4,,
8:08.0,Personal block foul by R. Rubio (drawn by J. Jack),,6-4,,
7:55.0,,,6-6,2,J. Jack makes 2-pt shot from 19 ft (assist by B. Lopez)
7:45.0,,,6-6,,Personal foul by B. Bogdanovic (drawn by A. Wiggins)
7:45.0,G. Dieng enters the game for K. Garnett,,6-6,,
7:35.0,Shooting foul by B. Lopez (drawn by G. Dieng),,6-6,,
7:35.0,G. Dieng makes free throw 1 of 2,1,7-6,,
7:35.0,G. Dieng makes free throw 2 of 2,1,8-6,,
7:14.0,,,8-6,,Turnover by B. Bogdanovic (bad pass; steal by G. Dieng)
7:09.0,,,8-6,,Shooting block foul by J. Jack (drawn by R. Rubio)
7:09.0,R. Rubio makes free throw 1 of 2,1,9-6,,
7:09.0,R. Rubio makes free throw 2 of 2,1,10-6,,
6:51.0,,,10-6,,J. Jack misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by G. Dieng,,10-6,,
6:41.0,K. Towns misses 2-pt shot from 10 ft,,10-6,,
6:40.0,,,10-6,,Defensive rebound by T. Young
6:31.0,,,10-6,,B. Bogdanovic misses 3-pt shot from 22 ft
6:30.0,,,10-6,,Offensive rebound by J. Johnson
6:27.0,,,10-8,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Johnson)
6:08.0,G. Dieng misses 2-pt shot from 3 ft,,10-8,,
6:06.0,Offensive rebound by Team,,10-8,,
6:03.0,A. Wiggins misses 2-pt shot from 5 ft,,10-8,,
5:59.0,Offensive rebound by K. Towns,,10-8,,
5:58.0,Minnesota full timeout,,10-8,,
5:49.0,A. Wiggins misses 2-pt shot from 20 ft,,10-8,,
5:48.0,,,10-8,,Defensive rebound by J. Jack
5:36.0,,,10-10,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
5:18.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,12-10,,
5:05.0,,,12-10,,Turnover by B. Bogdanovic (traveling)
4:51.0,G. Dieng misses 2-pt shot from 1 ft,,12-10,,
4:50.0,,,12-10,,Defensive rebound by T. Young
4:43.0,,,12-10,,T. Young misses 2-pt shot from 1 ft
4:42.0,,,12-10,,Offensive rebound by B. Lopez
4:42.0,Violation by G. Dieng (kicked ball),,12-10,,
4:42.0,,,12-10,,W. Ellington enters the game for B. Bogdanovic
4:28.0,,,12-12,2,B. Lopez makes 2-pt shot from 19 ft (assist by J. Jack)
4:09.0,G. Dieng makes 2-pt shot from 1 ft,2,14-12,,
4:00.0,,,14-12,,Turnover by J. Johnson (bad pass; steal by K. Towns)
3:56.0,R. Rubio makes 2-pt shot from 2 ft,2,16-12,,
3:56.0,Shooting foul by J. Johnson (drawn by R. Rubio),,16-12,,
3:56.0,,,16-12,,A. Bargnani enters the game for B. Lopez
3:56.0,A. Payne enters the game for K. Towns,,16-12,,
3:56.0,R. Rubio makes free throw 1 of 1,1,17-12,,
