time,Milwaukee,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hickson vs. G. Monroe (K. Faried gains possession),,,,Jump ball: J. Hickson vs. G. Monroe (K. Faried gains possession)
11:37.0,,,0-2,2,G. Harris makes 2-pt shot at rim (assist by J. Hickson)
11:11.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,2-2,,
11:01.0,,,2-2,,Shooting foul by G. Antetokounmpo (drawn by D. Gallinari)
11:01.0,,,2-3,1,D. Gallinari makes free throw 1 of 2
11:01.0,,,2-4,1,D. Gallinari makes free throw 2 of 2
10:40.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,5-4,,
10:28.0,,,5-6,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
10:11.0,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,7-6,,
9:58.0,,,7-6,,J. Hickson misses 2-pt shot from 3 ft
9:57.0,Defensive rebound by G. Monroe,,7-6,,
9:44.0,T. Ennis makes 2-pt shot from 1 ft (assist by G. Monroe),2,9-6,,
9:34.0,Personal foul by K. Middleton (drawn by G. Harris),,9-6,,
9:24.0,,,9-8,2,D. Gallinari makes 2-pt shot from 20 ft (assist by G. Harris)
8:57.0,T. Ennis makes 2-pt shot from 21 ft,2,11-8,,
8:36.0,,,11-8,,D. Gallinari misses 2-pt shot from 21 ft
8:35.0,Defensive rebound by J. O'Bryant,,11-8,,
8:18.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,11-8,,
8:17.0,Offensive rebound by J. O'Bryant,,11-8,,
8:12.0,J. O'Bryant misses 2-pt shot from 2 ft,,11-8,,
8:12.0,,,11-8,,Defensive rebound by E. Mudiay
8:07.0,,,11-10,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
7:52.0,T. Ennis misses 3-pt shot from 24 ft,,11-10,,
7:51.0,,,11-10,,Defensive rebound by Team
7:30.0,,,11-10,,D. Gallinari misses 2-pt shot from 21 ft
7:29.0,Defensive rebound by Team,,11-10,,
7:13.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Hickson),,11-10,,
7:03.0,,,11-12,2,K. Faried makes 2-pt shot at rim (assist by G. Harris)
6:49.0,J. O'Bryant makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,13-12,,
6:38.0,,,13-12,,G. Harris misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by G. Antetokounmpo,,13-12,,
6:26.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,13-12,,
6:25.0,,,13-12,,Defensive rebound by J. Hickson
6:16.0,,,13-14,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
5:51.0,J. O'Bryant misses 2-pt shot from 19 ft,,13-14,,
5:51.0,,,13-14,,Defensive rebound by G. Harris
5:41.0,,,13-14,,Turnover by G. Harris (bad pass; steal by K. Middleton)
5:35.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,15-14,,
5:14.0,,,15-14,,D. Gallinari misses 2-pt shot from 20 ft
5:13.0,Defensive rebound by G. Monroe,,15-14,,
5:05.0,Milwaukee full timeout,,15-14,,
5:05.0,J. Henson enters the game for G. Monroe,,15-14,,
5:05.0,R. Vaughn enters the game for K. Middleton,,15-14,,
4:47.0,T. Ennis makes 3-pt shot from 27 ft (assist by J. O'Bryant),3,18-14,,
4:32.0,,,18-14,,D. Gallinari misses 2-pt shot from 2 ft
4:32.0,,,18-14,,Offensive rebound by K. Faried
4:32.0,,,18-14,,K. Faried misses 2-pt shot at rim
4:27.0,,,18-14,,Offensive rebound by K. Faried
4:27.0,,,18-16,2,K. Faried makes 2-pt shot from 2 ft
4:09.0,J. Henson makes 2-pt shot from 7 ft,2,20-16,,
3:51.0,,,20-19,3,E. Mudiay makes 3-pt shot from 24 ft (assist by K. Faried)
3:30.0,J. Henson misses 2-pt shot from 1 ft (block by J. Hickson),,20-19,,
3:25.0,Offensive rebound by G. Antetokounmpo,,20-19,,
3:25.0,G. Antetokounmpo makes 2-pt shot at rim,2,22-19,,
3:12.0,,,22-21,2,E. Mudiay makes 2-pt shot from 18 ft
2:57.0,Turnover by T. Ennis (bad pass; steal by E. Mudiay),,22-21,,
2:51.0,,,22-23,2,E. Mudiay makes 2-pt shot from 2 ft (assist by G. Harris)
2:39.0,,,22-23,,Violation by J. Hickson (def goaltending)
2:39.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,24-23,,
2:26.0,,,24-23,,G. Harris misses 3-pt shot from 23 ft
2:23.0,Defensive rebound by J. Henson,,24-23,,
2:12.0,Turnover by R. Vaughn (traveling),,24-23,,
2:12.0,,,24-23,,Denver full timeout
2:12.0,G. Vasquez enters the game for G. Antetokounmpo,,24-23,,
