time,Cleveland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (K. Love gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (K. Love gains possession)
11:40.0,K. Irving misses 3-pt shot from 24 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. Nowitzki
11:25.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by W. Matthews)
11:11.0,T. Thompson misses 2-pt shot from 7 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by D. Nowitzki
10:59.0,,,0-4,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by D. Nowitzki)
10:40.0,K. Love misses 3-pt shot from 23 ft,,0-4,,
10:40.0,,,0-4,,Defensive rebound by D. Williams
10:31.0,,,0-6,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Williams)
10:13.0,Turnover by L. James (bad pass),,0-6,,
9:52.0,,,0-8,2,C. Parsons makes 2-pt shot from 1 ft
9:46.0,Cleveland full timeout,,0-8,,
9:39.0,K. Irving misses 2-pt shot from 2 ft,,0-8,,
9:38.0,,,0-8,,Defensive rebound by D. Nowitzki
9:23.0,,,0-10,2,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia)
9:12.0,L. James misses 2-pt shot from 1 ft (block by Z. Pachulia),,0-10,,
9:10.0,Offensive rebound by L. James,,0-10,,
9:09.0,L. James makes 2-pt shot from 2 ft,2,2-10,,
8:50.0,,,2-10,,W. Matthews misses 2-pt shot from 14 ft
8:48.0,Defensive rebound by K. Love,,2-10,,
8:34.0,L. James makes 3-pt shot from 24 ft (assist by T. Thompson),3,5-10,,
8:14.0,,,5-13,3,D. Nowitzki makes 3-pt shot from 27 ft (assist by D. Williams)
7:58.0,K. Love misses 3-pt shot from 26 ft,,5-13,,
7:56.0,,,5-13,,Defensive rebound by Z. Pachulia
7:50.0,,,5-15,2,D. Williams makes 2-pt shot from 3 ft
7:33.0,T. Thompson makes 2-pt shot from 6 ft,2,7-15,,
7:12.0,,,7-17,2,Z. Pachulia makes 2-pt shot from 7 ft (assist by D. Nowitzki)
6:50.0,K. Irving misses 3-pt shot from 24 ft (block by D. Williams),,7-17,,
6:49.0,,,7-17,,Defensive rebound by C. Parsons
6:47.0,,,7-17,,Turnover by C. Parsons (bad pass)
6:26.0,,,7-17,,D. Powell enters the game for D. Nowitzki
6:23.0,K. Love misses 3-pt shot from 24 ft,,7-17,,
6:21.0,,,7-17,,Defensive rebound by W. Matthews
6:13.0,,,7-20,3,C. Parsons makes 3-pt shot from 24 ft (assist by Z. Pachulia)
5:48.0,K. Love misses 2-pt shot from 7 ft,,7-20,,
5:46.0,,,7-20,,Defensive rebound by Z. Pachulia
5:35.0,,,7-20,,D. Powell misses 2-pt shot from 19 ft
5:35.0,Defensive rebound by T. Thompson,,7-20,,
5:24.0,K. Love misses 2-pt shot from 15 ft,,7-20,,
5:23.0,,,7-20,,Defensive rebound by Z. Pachulia
5:00.0,,,7-23,3,C. Parsons makes 3-pt shot from 23 ft (assist by Z. Pachulia)
4:51.0,Cleveland full timeout,,7-23,,
4:51.0,,,7-23,,R. Felton enters the game for C. Parsons
4:51.0,M. Dellavedova enters the game for K. Irving,,7-23,,
4:45.0,L. James misses 3-pt shot from 24 ft,,7-23,,
4:45.0,,,7-23,,Defensive rebound by Team
4:32.0,,,7-23,,D. Williams misses 2-pt shot from 17 ft
4:32.0,Defensive rebound by J. Smith,,7-23,,
4:18.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,10-23,,
3:58.0,,,10-23,,D. Powell misses 2-pt shot from 19 ft
3:57.0,Defensive rebound by Team,,10-23,,
3:56.0,T. Mozgov enters the game for T. Thompson,,10-23,,
3:40.0,Shooting foul by D. Powell (drawn by K. Love),,10-23,,
3:40.0,K. Love makes free throw 1 of 2,1,11-23,,
3:40.0,,,11-23,,Dallas full timeout
3:40.0,,,11-23,,J. McGee enters the game for Z. Pachulia
3:40.0,K. Love makes free throw 2 of 2,1,12-23,,
3:18.0,,,12-23,,R. Felton misses 2-pt shot from 19 ft
3:16.0,Defensive rebound by L. James,,12-23,,
3:08.0,M. Dellavedova misses 3-pt shot from 25 ft,,12-23,,
3:06.0,Offensive rebound by T. Mozgov,,12-23,,
2:49.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,15-23,,
2:36.0,,,15-23,,W. Matthews misses 2-pt shot from 3 ft (block by T. Mozgov)
2:34.0,Defensive rebound by T. Mozgov,,15-23,,
2:32.0,,,15-23,,Personal foul by D. Williams (drawn by L. James)
2:32.0,,,15-23,,D. Nowitzki enters the game for D. Powell
2:32.0,,,15-23,,D. Harris enters the game for D. Williams
2:32.0,I. Shumpert enters the game for K. Love,,15-23,,
2:32.0,,,15-23,,C. Parsons enters the game for W. Matthews
2:24.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,17-23,,
2:09.0,Personal foul by I. Shumpert (drawn by C. Parsons),,17-23,,
2:03.0,,,17-23,,Turnover by R. Felton (bad pass; steal by T. Mozgov)
1:54.0,I. Shumpert misses 3-pt shot from 22 ft,,17-23,,
1:52.0,Offensive rebound by T. Mozgov,,17-23,,
1:32.0,L. James misses 2-pt shot from 19 ft,,17-23,,
1:31.0,Offensive rebound by L. James,,17-23,,
1:26.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by I. Shumpert),3,20-23,,
1:12.0,,,20-23,,Turnover by R. Felton (bad pass; steal by L. James)
1:08.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,22-23,,
1:05.0,,,22-23,,Dallas full timeout
1:05.0,,,22-23,,J. Barea enters the game for R. Felton
