time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Withey (C. Capela gains possession),,,,Jump ball: D. Howard vs. J. Withey (C. Capela gains possession)
11:43.0,D. Howard makes 2-pt shot at rim (assist by C. Capela),2,2-0,,
11:18.0,,,2-2,2,T. Lyles makes 2-pt shot from 12 ft
11:02.0,P. Beverley misses 2-pt shot from 5 ft (block by J. Withey),,2-2,,
11:02.0,Offensive rebound by D. Howard,,2-2,,
11:02.0,Shooting foul by T. Lyles (drawn by D. Howard),,2-2,,
11:02.0,Houston full timeout,,2-2,,
11:02.0,D. Howard misses free throw 1 of 2,,2-2,,
11:02.0,Offensive rebound by Team,,2-2,,
11:02.0,D. Howard misses free throw 2 of 2,,2-2,,
11:01.0,,,2-2,,Defensive rebound by T. Lyles
11:01.0,T. Jones enters the game for D. Howard,,2-2,,
10:48.0,,,2-2,,T. Lyles misses 2-pt shot from 11 ft
10:48.0,Defensive rebound by C. Capela,,2-2,,
10:38.0,J. Harden makes 2-pt shot from 17 ft,2,4-2,,
10:19.0,,,4-2,,J. Withey misses 2-pt shot from 3 ft
10:17.0,,,4-2,,Offensive rebound by T. Lyles
10:17.0,,,4-4,2,T. Lyles makes 2-pt shot from 2 ft
10:03.0,T. Jones misses 2-pt shot from 4 ft,,4-4,,
10:02.0,,,4-4,,Defensive rebound by T. Lyles
9:52.0,,,4-4,,Turnover by G. Hayward (lost ball; steal by T. Ariza)
9:46.0,T. Ariza misses 3-pt shot from 24 ft,,4-4,,
9:45.0,,,4-4,,Defensive rebound by J. Withey
9:31.0,,,4-4,,T. Lyles misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by J. Harden,,4-4,,
9:18.0,P. Beverley makes 2-pt shot from 18 ft,2,6-4,,
9:02.0,Personal foul by J. Harden (drawn by R. Hood),,6-4,,
9:02.0,D. Howard enters the game for C. Capela,,6-4,,
8:49.0,,,6-4,,J. Withey misses 2-pt shot from 7 ft
8:48.0,Defensive rebound by D. Howard,,6-4,,
8:38.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,9-4,,
8:19.0,,,9-4,,G. Hayward misses 3-pt shot from 23 ft
8:18.0,,,9-4,,Offensive rebound by J. Withey
8:06.0,,,9-6,2,T. Lyles makes 2-pt shot from 17 ft (assist by R. Hood)
7:43.0,Turnover by D. Howard (step out of bounds),,9-6,,
7:27.0,,,9-6,,Shooting foul by T. Ariza (drawn by J. Withey)
7:27.0,,,9-6,,J. Withey misses free throw 1 of 2
7:27.0,,,9-6,,Offensive rebound by Team
7:27.0,,,9-7,1,J. Withey makes free throw 2 of 2
