time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (D. Green gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (D. Green gains possession)
11:43.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,2-0,,
11:16.0,,,2-2,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
11:03.0,S. Curry makes 3-pt shot from 28 ft,3,5-2,,
10:40.0,,,5-2,,K. Irving misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by H. Barnes,,5-2,,
10:28.0,K. Thompson makes 2-pt shot from 18 ft,2,7-2,,
10:17.0,,,7-2,,K. Love misses 2-pt shot from 22 ft
10:17.0,Defensive rebound by A. Bogut,,7-2,,
10:10.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,10-2,,
10:10.0,,,10-2,,Cleveland full timeout
9:54.0,,,10-2,,Turnover by K. Love (bad pass; steal by S. Curry)
9:49.0,S. Curry makes 2-pt shot from 1 ft,2,12-2,,
9:33.0,,,12-2,,K. Irving misses 2-pt shot from 4 ft
9:32.0,Defensive rebound by A. Bogut,,12-2,,
9:22.0,K. Thompson misses 3-pt shot from 24 ft,,12-2,,
9:20.0,,,12-2,,Defensive rebound by J. Smith
9:02.0,,,12-4,2,T. Mozgov makes 2-pt shot from 5 ft (assist by L. James)
8:51.0,Shooting foul by T. Mozgov (drawn by A. Bogut),,12-4,,
8:51.0,A. Bogut misses free throw 1 of 2,,12-4,,
8:51.0,Offensive rebound by Team,,12-4,,
8:51.0,A. Bogut misses free throw 2 of 2,,12-4,,
8:50.0,,,12-4,,Defensive rebound by T. Mozgov
8:36.0,,,12-4,,L. James misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by A. Bogut,,12-4,,
8:23.0,D. Green misses 3-pt shot from 25 ft,,12-4,,
8:22.0,,,12-4,,Defensive rebound by L. James
8:15.0,,,12-4,,Turnover by L. James (lost ball)
8:06.0,A. Bogut misses 2-pt shot from 5 ft,,12-4,,
8:03.0,,,12-4,,Defensive rebound by K. Love
7:49.0,,,12-4,,Shooting foul by K. Thompson (drawn by J. Smith)
7:49.0,,,12-4,,J. Smith misses free throw 1 of 2
7:49.0,,,12-4,,Offensive rebound by Team
7:49.0,,,12-5,1,J. Smith makes free throw 2 of 2
7:30.0,H. Barnes makes 3-pt shot from 26 ft (assist by D. Green),3,15-5,,
7:15.0,,,15-5,,J. Smith misses 2-pt shot from 4 ft
7:14.0,,,15-5,,Offensive rebound by J. Smith
7:04.0,,,15-7,2,T. Mozgov makes 2-pt shot from 16 ft (assist by J. Smith)
6:46.0,S. Curry misses 3-pt shot from 24 ft,,15-7,,
6:45.0,,,15-7,,Defensive rebound by K. Irving
6:30.0,,,15-9,2,T. Mozgov makes 2-pt shot from 6 ft (assist by L. James)
6:11.0,D. Green misses 2-pt shot from 1 ft,,15-9,,
6:10.0,,,15-9,,Defensive rebound by T. Mozgov
6:02.0,,,15-11,2,J. Smith makes 2-pt shot from 6 ft
5:58.0,Golden State full timeout,,15-11,,
5:58.0,,,15-11,,M. Dellavedova enters the game for K. Irving
5:58.0,A. Iguodala enters the game for H. Barnes,,15-11,,
5:49.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala),3,18-11,,
5:27.0,,,18-11,,T. Mozgov misses 2-pt shot from 2 ft (block by D. Green)
5:25.0,Defensive rebound by Team,,18-11,,
5:00.0,A. Iguodala makes 3-pt shot from 22 ft (assist by D. Green),3,21-11,,
4:45.0,Personal foul by A. Iguodala (drawn by L. James),,21-11,,
4:45.0,,,21-11,,T. Thompson enters the game for T. Mozgov
4:45.0,F. Ezeli enters the game for A. Bogut,,21-11,,
4:32.0,,,21-11,,L. James misses 2-pt shot from 20 ft
4:31.0,Defensive rebound by F. Ezeli,,21-11,,
4:16.0,K. Thompson misses 2-pt shot from 1 ft,,21-11,,
4:15.0,,,21-11,,Defensive rebound by K. Love
4:11.0,Personal foul by S. Curry (drawn by M. Dellavedova),,21-11,,
4:11.0,L. Barbosa enters the game for K. Thompson,,21-11,,
4:03.0,,,21-13,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
3:49.0,F. Ezeli makes 2-pt shot at rim (assist by D. Green),2,23-13,,
3:25.0,,,23-15,2,J. Smith makes 2-pt shot from 17 ft
3:10.0,F. Ezeli makes 2-pt shot at rim (assist by D. Green),2,25-15,,
2:49.0,,,25-15,,M. Dellavedova misses 2-pt shot from 6 ft
2:47.0,,,25-15,,Offensive rebound by K. Love
2:44.0,,,25-15,,K. Love misses 2-pt shot from 8 ft
2:43.0,Defensive rebound by D. Green,,25-15,,
