time,Indiana,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. I. Mahinmi (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. I. Mahinmi (K. Caldwell-Pope gains possession)
11:41.0,,,0-0,,R. Jackson misses 2-pt shot at rim
11:40.0,,,0-0,,Offensive rebound by A. Drummond
11:39.0,,,0-0,,A. Drummond misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by G. Hill,,0-0,,
11:30.0,M. Ellis makes 2-pt shot from 5 ft,2,2-0,,
11:08.0,,,2-2,2,A. Drummond makes 2-pt shot from 6 ft
10:54.0,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis),2,4-2,,
10:39.0,Personal foul by M. Ellis (drawn by E. Ilyasova),,4-2,,
10:31.0,,,4-2,,Shooting foul by M. Ellis (drawn by K. Caldwell-Pope)
10:31.0,,,4-3,1,K. Caldwell-Pope makes free throw 1 of 2
10:31.0,R. Stuckey enters the game for M. Ellis,,4-3,,
10:31.0,,,4-4,1,K. Caldwell-Pope makes free throw 2 of 2
10:19.0,P. George misses 2-pt shot from 2 ft (block by E. Ilyasova),,4-4,,
10:19.0,Offensive rebound by Team,,4-4,,
10:17.0,Turnover by R. Stuckey (bad pass),,4-4,,
10:03.0,,,4-6,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Jackson)
9:49.0,G. Hill makes 2-pt shot at rim,2,6-6,,
9:29.0,,,6-6,,A. Drummond misses 2-pt shot from 6 ft
9:28.0,Defensive rebound by P. George,,6-6,,
9:23.0,Shooting foul by A. Drummond (drawn by P. George),,6-6,,
9:23.0,P. George makes free throw 1 of 2,1,7-6,,
9:23.0,P. George makes free throw 2 of 2,1,8-6,,
9:19.0,,,8-6,,Detroit full timeout
9:10.0,,,8-9,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
8:45.0,I. Mahinmi makes 2-pt shot at rim (assist by R. Stuckey),2,10-9,,
8:32.0,,,10-11,2,R. Jackson makes 2-pt shot from 7 ft
8:16.0,G. Hill makes 2-pt shot from 12 ft,2,12-11,,
8:02.0,,,12-11,,Turnover by M. Morris (step out of bounds)
7:41.0,R. Stuckey misses 2-pt shot from 17 ft,,12-11,,
7:41.0,,,12-11,,Defensive rebound by A. Drummond
7:26.0,,,12-11,,A. Drummond misses 2-pt shot at rim
