time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Johnson (E. Turner gains possession),,,,Jump ball: D. Dedmon vs. A. Johnson (E. Turner gains possession)
11:43.0,,,0-0,,J. Sullinger misses 2-pt shot from 15 ft
11:41.0,,,0-0,,Offensive rebound by A. Johnson
11:39.0,,,0-0,,A. Johnson misses 2-pt shot from 1 ft
11:37.0,,,0-0,,Offensive rebound by I. Thomas
11:31.0,,,0-0,,Turnover by E. Turner (lost ball; steal by D. Dedmon)
11:25.0,D. Dedmon makes 2-pt shot at rim (assist by B. Jennings),2,2-0,,
11:05.0,,,2-0,,I. Thomas misses 2-pt shot from 4 ft
11:04.0,Defensive rebound by V. Oladipo,,2-0,,
10:39.0,A. Gordon misses 3-pt shot from 25 ft,,2-0,,
10:38.0,,,2-0,,Defensive rebound by I. Thomas
10:32.0,,,2-0,,Shooting foul by A. Gordon (drawn by I. Thomas)
10:32.0,,,2-1,1,I. Thomas makes free throw 1 of 2
10:32.0,,,2-2,1,I. Thomas makes free throw 2 of 2
10:17.0,E. Fournier misses 2-pt shot from 1 ft,,2-2,,
10:16.0,,,2-2,,Defensive rebound by E. Turner
10:06.0,,,2-2,,A. Bradley misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by A. Gordon,,2-2,,
9:56.0,E. Fournier misses 3-pt shot from 24 ft,,2-2,,
9:55.0,,,2-2,,Defensive rebound by I. Thomas
9:44.0,,,2-2,,Offensive charge foul by A. Johnson
9:44.0,,,2-2,,Turnover by A. Johnson (offensive foul)
9:34.0,V. Oladipo misses 2-pt shot from 11 ft,,2-2,,
9:33.0,,,2-2,,Defensive rebound by A. Johnson
9:23.0,,,2-2,,J. Sullinger misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by A. Gordon,,2-2,,
9:08.0,D. Dedmon makes 2-pt shot at rim (assist by B. Jennings),2,4-2,,
8:52.0,,,4-2,,I. Thomas misses 2-pt shot from 21 ft
8:51.0,Defensive rebound by A. Gordon,,4-2,,
8:36.0,B. Jennings misses 2-pt shot from 20 ft,,4-2,,
8:35.0,,,4-2,,Defensive rebound by I. Thomas
8:20.0,,,4-2,,A. Bradley misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by D. Dedmon,,4-2,,
8:10.0,E. Fournier misses 2-pt shot from 4 ft,,4-2,,
8:09.0,,,4-2,,Defensive rebound by A. Johnson
8:05.0,,,4-4,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson)
8:05.0,,,4-4,,Shooting foul by V. Oladipo (drawn by I. Thomas)
8:05.0,,,4-5,1,I. Thomas makes free throw 1 of 1
7:52.0,A. Gordon misses 2-pt shot from 2 ft (block by A. Johnson),,4-5,,
7:51.0,,,4-5,,Defensive rebound by A. Bradley
7:46.0,,,4-7,2,E. Turner makes 2-pt shot from 12 ft (assist by A. Bradley)
7:27.0,D. Dedmon misses 2-pt shot from 14 ft,,4-7,,
7:25.0,,,4-7,,Defensive rebound by A. Johnson
7:19.0,,,4-7,,Turnover by I. Thomas (lost ball; steal by E. Fournier)
7:13.0,D. Dedmon misses 2-pt shot from 1 ft,,4-7,,
7:12.0,Offensive rebound by D. Dedmon,,4-7,,
