time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Lauvergne (T. Lyles gains possession),,,,Jump ball: D. Favors vs. J. Lauvergne (T. Lyles gains possession)
11:41.0,,,0-2,2,T. Lyles makes 2-pt shot from 15 ft
11:23.0,D. Gallinari misses 2-pt shot from 14 ft,,0-2,,
11:22.0,Offensive rebound by K. Faried,,0-2,,
11:13.0,J. Nelson makes 3-pt shot from 24 ft (assist by J. Lauvergne),3,3-2,,
10:55.0,,,3-5,3,R. Hood makes 3-pt shot from 23 ft (assist by T. Lyles)
10:42.0,G. Harris misses 3-pt shot from 24 ft,,3-5,,
10:41.0,,,3-5,,Defensive rebound by D. Favors
10:26.0,,,3-7,2,R. Neto makes 2-pt shot from 11 ft
10:15.0,,,3-7,,Violation by T. Lyles (kicked ball)
10:03.0,K. Faried misses 2-pt shot from 18 ft,,3-7,,
10:02.0,,,3-7,,Defensive rebound by T. Lyles
9:48.0,,,3-10,3,R. Neto makes 3-pt shot from 24 ft (assist by R. Hood)
9:38.0,Shooting foul by R. Neto (drawn by J. Nelson),,3-10,,
9:38.0,J. Nelson makes free throw 1 of 2,1,4-10,,
9:38.0,J. Nelson makes free throw 2 of 2,1,5-10,,
9:19.0,,,5-10,,R. Neto misses 3-pt shot from 24 ft
9:19.0,,,5-10,,Offensive rebound by D. Favors
9:06.0,,,5-10,,D. Favors misses 2-pt shot from 15 ft
9:06.0,Defensive rebound by J. Lauvergne,,5-10,,
8:52.0,J. Nelson misses 3-pt shot from 25 ft,,5-10,,
8:51.0,,,5-10,,Defensive rebound by T. Lyles
8:30.0,,,5-13,3,G. Hayward makes 3-pt shot from 23 ft (assist by R. Hood)
8:21.0,,,5-13,,Personal foul by R. Neto (drawn by D. Gallinari)
8:21.0,,,5-13,,T. Burke enters the game for R. Neto
8:06.0,J. Lauvergne makes 3-pt shot from 23 ft (assist by J. Nelson),3,8-13,,
7:51.0,,,8-15,2,T. Lyles makes 2-pt shot from 19 ft (assist by G. Hayward)
7:50.0,Denver full timeout,,8-15,,
7:38.0,D. Gallinari misses 2-pt shot from 16 ft,,8-15,,
7:35.0,Offensive rebound by J. Lauvergne,,8-15,,
7:31.0,G. Harris misses 3-pt shot from 23 ft,,8-15,,
7:29.0,,,8-15,,Defensive rebound by D. Favors
7:19.0,,,8-15,,G. Hayward misses 2-pt shot from 9 ft
7:19.0,Defensive rebound by G. Harris,,8-15,,
7:12.0,Turnover by G. Harris (lost ball; steal by R. Hood),,8-15,,
7:05.0,,,8-15,,T. Burke misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by J. Lauvergne,,8-15,,
6:43.0,J. Lauvergne misses 3-pt shot from 24 ft,,8-15,,
6:41.0,,,8-15,,Defensive rebound by T. Burke
6:25.0,Personal foul by G. Harris (drawn by T. Burke),,8-15,,
6:15.0,,,8-15,,Turnover by T. Burke (traveling)
5:57.0,G. Harris misses 3-pt shot from 24 ft,,8-15,,
5:56.0,,,8-15,,Defensive rebound by T. Lyles
5:41.0,,,8-17,2,R. Hood makes 2-pt shot from 10 ft
5:27.0,J. Lauvergne makes 2-pt shot at rim (assist by G. Harris),2,10-17,,
5:11.0,Def 3 sec tech foul by G. Harris,,10-17,,
5:11.0,,,10-18,1,G. Hayward makes technical free throw
5:11.0,,,10-18,,T. Booker enters the game for T. Lyles
4:59.0,,,10-20,2,D. Favors makes 2-pt shot from 18 ft
4:46.0,G. Harris misses 3-pt shot from 25 ft,,10-20,,
4:45.0,,,10-20,,Defensive rebound by G. Hayward
4:38.0,,,10-20,,R. Hood misses 2-pt shot from 1 ft (block by G. Harris)
4:37.0,Defensive rebound by G. Harris,,10-20,,
4:27.0,G. Harris makes 2-pt shot from 2 ft (assist by J. Nelson),2,12-20,,
4:04.0,,,12-23,3,G. Hayward makes 3-pt shot from 25 ft (assist by R. Hood)
3:51.0,G. Harris makes 2-pt shot from 3 ft,2,14-23,,
3:51.0,Shooting foul by R. Hood (drawn by G. Harris),,14-23,,
3:51.0,D. Arthur enters the game for K. Faried,,14-23,,
3:51.0,N. Jokic enters the game for J. Lauvergne,,14-23,,
3:51.0,,,14-23,,A. Burks enters the game for T. Burke
3:51.0,G. Harris makes free throw 1 of 1,1,15-23,,
3:29.0,,,15-25,2,A. Burks makes 2-pt shot from 6 ft
3:23.0,,,15-25,,Violation by G. Hayward (kicked ball)
3:23.0,W. Barton enters the game for G. Harris,,15-25,,
3:23.0,,,15-25,,E. Millsap enters the game for R. Hood
3:16.0,W. Barton misses 3-pt shot from 24 ft,,15-25,,
3:15.0,Offensive rebound by J. Nelson,,15-25,,
3:06.0,D. Arthur misses 2-pt shot from 20 ft,,15-25,,
3:05.0,,,15-25,,Defensive rebound by A. Burks
2:46.0,,,15-25,,A. Burks misses 2-pt shot from 22 ft
2:45.0,Defensive rebound by N. Jokic,,15-25,,
2:35.0,W. Barton makes 2-pt shot from 4 ft,2,17-25,,
2:14.0,,,17-25,,Shooting foul by N. Jokic (drawn by T. Booker)
2:14.0,,,17-25,,Utah full timeout
2:14.0,R. Foye enters the game for J. Nelson,,17-25,,
2:14.0,,,17-25,,R. Neto enters the game for G. Hayward
2:14.0,,,17-26,1,T. Booker makes free throw 1 of 2
2:14.0,,,17-27,1,T. Booker makes free throw 2 of 2
1:56.0,,,17-27,,Personal foul by E. Millsap (drawn by D. Gallinari)
1:47.0,D. Gallinari makes 2-pt shot from 22 ft (assist by R. Foye),2,19-27,,
1:33.0,,,19-27,,Turnover by D. Favors (bad pass; steal by D. Arthur)
1:25.0,,,19-27,,Personal foul by D. Favors (drawn by D. Gallinari)
1:25.0,D. Gallinari makes free throw 1 of 2,1,20-27,,
1:25.0,D. Gallinari makes free throw 2 of 2,1,21-27,,
1:09.0,,,21-27,,D. Favors misses 2-pt shot from 15 ft
1:08.0,,,21-27,,Offensive rebound by Team
1:06.0,K. Papanikolaou enters the game for D. Gallinari,,21-27,,
1:04.0,,,21-27,,Turnover by E. Millsap (bad pass; steal by N. Jokic)
0:59.0,D. Arthur makes 2-pt shot from 2 ft (assist by W. Barton),2,23-27,,
0:43.0,,,23-30,3,A. Burks makes 3-pt shot from 23 ft (assist by E. Millsap)
0:31.0,R. Foye misses 3-pt shot from 24 ft,,23-30,,
0:30.0,,,23-30,,Defensive rebound by A. Burks
0:11.0,,,23-30,,A. Burks misses 2-pt shot from 5 ft
0:11.0,Defensive rebound by N. Jokic,,23-30,,
0:01.0,W. Barton misses 3-pt shot from 24 ft,,23-30,,
0:00.0,,,23-30,,Defensive rebound by E. Millsap
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Shooting foul by J. Withey (drawn by K. Papanikolaou),,23-30,,
11:43.0,K. Papanikolaou makes free throw 1 of 2,1,24-30,,
11:43.0,K. Papanikolaou misses free throw 2 of 2,,24-30,,
11:42.0,,,24-30,,Defensive rebound by T. Booker
11:20.0,,,24-30,,J. Ingles misses 2-pt shot from 19 ft (block by D. Arthur)
11:19.0,Defensive rebound by N. Jokic,,24-30,,
11:10.0,W. Barton makes 2-pt shot from 2 ft,2,26-30,,
10:49.0,,,26-30,,T. Booker misses 2-pt shot from 2 ft (block by D. Arthur)
10:49.0,,,26-30,,Offensive rebound by Team
10:45.0,,,26-30,,A. Burks misses 3-pt shot from 24 ft
10:45.0,,,26-30,,Offensive rebound by Team
10:45.0,,,26-30,,Turnover by Team (shot clock)
10:27.0,Turnover by N. Jokic (bad pass; steal by J. Ingles),,26-30,,
10:24.0,,,26-30,,Shooting foul by R. Foye (drawn by T. Burke)
10:24.0,,,26-32,2,T. Burke makes 2-pt shot from 1 ft
10:24.0,,,26-33,1,T. Burke makes free throw 1 of 1
10:16.0,,,26-33,,Personal foul by J. Withey (drawn by N. Jokic)
10:16.0,,,26-33,,T. Lyles enters the game for J. Withey
10:14.0,Turnover by K. Papanikolaou (bad pass; steal by T. Booker),,26-33,,
10:11.0,,,26-33,,Shooting foul by N. Jokic (drawn by T. Booker)
10:11.0,,,26-33,,T. Booker misses free throw 1 of 2
10:11.0,,,26-33,,Offensive rebound by Team
10:11.0,,,26-34,1,T. Booker makes free throw 2 of 2
9:53.0,Shooting foul by T. Booker (drawn by N. Jokic),,26-34,,
9:53.0,N. Jokic makes free throw 1 of 2,1,27-34,,
9:53.0,N. Jokic makes free throw 2 of 2,1,28-34,,
9:29.0,,,28-36,2,T. Booker makes 2-pt shot from 4 ft
9:20.0,Turnover by K. Papanikolaou (step out of bounds),,28-36,,
9:20.0,,,28-36,,R. Hood enters the game for A. Burks
9:04.0,,,28-36,,Turnover by T. Burke (bad pass; steal by R. Foye)
8:58.0,W. Barton makes 2-pt shot at rim,2,30-36,,
8:39.0,,,30-36,,Utah full timeout
8:36.0,,,30-36,,T. Lyles misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by K. Papanikolaou,,30-36,,
8:18.0,Shooting foul by T. Booker (drawn by N. Jokic),,30-36,,
