time,Minnesota,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. K. Towns (K. Korver gains possession),,,,Jump ball: A. Horford vs. K. Towns (K. Korver gains possession)
11:43.0,,,0-0,,Turnover by K. Bazemore (bad pass; steal by R. Rubio)
11:36.0,T. Prince misses 2-pt shot from 4 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by A. Horford
11:22.0,,,0-0,,K. Bazemore misses 2-pt shot from 1 ft (block by A. Wiggins)
11:20.0,Defensive rebound by K. Towns,,0-0,,
11:16.0,R. Rubio makes 2-pt shot from 19 ft,2,2-0,,
10:56.0,,,2-2,2,J. Teague makes 2-pt shot at rim (assist by P. Millsap)
10:43.0,Turnover by A. Wiggins (lost ball; steal by K. Bazemore),,2-2,,
10:37.0,,,2-2,,K. Bazemore misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by Team,,2-2,,
10:14.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,4-2,,
10:04.0,,,4-2,,Turnover by P. Millsap (traveling)
9:50.0,R. Rubio makes 2-pt shot from 17 ft,2,6-2,,
9:28.0,,,6-2,,K. Bazemore misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by A. Wiggins,,6-2,,
9:27.0,,,6-2,,Personal foul by K. Bazemore (drawn by A. Wiggins)
9:03.0,K. Garnett misses 2-pt shot from 17 ft,,6-2,,
9:00.0,,,6-2,,Defensive rebound by K. Bazemore
8:47.0,,,6-2,,J. Teague misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by K. Towns,,6-2,,
8:36.0,R. Rubio misses 2-pt shot from 19 ft,,6-2,,
8:34.0,,,6-2,,Defensive rebound by P. Millsap
8:19.0,,,6-2,,A. Horford misses 3-pt shot from 23 ft
8:18.0,Defensive rebound by Team,,6-2,,
8:09.0,A. Wiggins misses 2-pt shot from 18 ft,,6-2,,
8:06.0,,,6-2,,Defensive rebound by K. Bazemore
7:56.0,,,6-2,,K. Korver misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by K. Garnett,,6-2,,
7:50.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,8-2,,
7:50.0,,,8-2,,Atlanta full timeout
7:35.0,,,8-2,,A. Horford misses 2-pt shot from 16 ft
7:33.0,Defensive rebound by K. Garnett,,8-2,,
7:22.0,Turnover by A. Wiggins (lost ball; steal by K. Bazemore),,8-2,,
7:06.0,,,8-2,,A. Horford misses 2-pt shot from 17 ft
7:05.0,Defensive rebound by K. Garnett,,8-2,,
6:44.0,A. Wiggins misses 3-pt shot from 25 ft,,8-2,,
6:43.0,,,8-2,,Defensive rebound by P. Millsap
6:24.0,,,8-2,,Turnover by J. Teague (bad pass; steal by A. Wiggins)
6:17.0,R. Rubio makes 2-pt shot from 17 ft (assist by A. Wiggins),2,10-2,,
5:57.0,Personal foul by K. Garnett (drawn by K. Bazemore),,10-2,,
5:57.0,,,10-2,,T. Splitter enters the game for A. Horford
5:57.0,N. Bjelica enters the game for K. Garnett,,10-2,,
5:45.0,,,10-2,,Turnover by P. Millsap (lost ball; steal by R. Rubio)
5:37.0,R. Rubio misses 2-pt shot from 2 ft,,10-2,,
5:35.0,,,10-2,,Defensive rebound by K. Korver
5:23.0,,,10-4,2,T. Splitter makes 2-pt shot from 6 ft
5:10.0,,,10-4,,Personal foul by K. Bazemore (drawn by A. Wiggins)
5:10.0,K. Martin enters the game for T. Prince,,10-4,,
5:10.0,,,10-4,,T. Sefolosha enters the game for K. Bazemore
5:10.0,,,10-4,,D. Schroder enters the game for J. Teague
5:00.0,R. Rubio makes 2-pt shot from 2 ft,2,12-4,,
4:49.0,,,12-6,2,T. Sefolosha makes 2-pt shot at rim (assist by P. Millsap)
4:25.0,K. Martin misses 2-pt shot from 13 ft,,12-6,,
4:23.0,Offensive rebound by A. Wiggins,,12-6,,
4:23.0,A. Wiggins makes 2-pt shot at rim,2,14-6,,
4:08.0,,,14-8,2,D. Schroder makes 2-pt shot from 2 ft
4:01.0,Minnesota full timeout,,14-8,,
4:01.0,,,14-8,,J. Holiday enters the game for K. Korver
4:01.0,Z. LaVine enters the game for R. Rubio,,14-8,,
3:50.0,N. Bjelica makes 3-pt shot from 24 ft (assist by A. Wiggins),3,17-8,,
3:41.0,,,17-8,,P. Millsap misses 2-pt shot from 1 ft
3:38.0,Defensive rebound by A. Wiggins,,17-8,,
3:32.0,A. Wiggins makes 2-pt shot at rim,2,19-8,,
3:18.0,,,19-11,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
3:06.0,Z. LaVine misses 2-pt shot from 2 ft (block by P. Millsap),,19-11,,
3:06.0,,,19-11,,Defensive rebound by T. Splitter
3:06.0,Personal foul by Z. LaVine (drawn by T. Splitter),,19-11,,
3:06.0,G. Dieng enters the game for K. Towns,,19-11,,
3:06.0,,,19-11,,M. Scott enters the game for P. Millsap
2:52.0,,,19-11,,D. Schroder misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by G. Dieng,,19-11,,
2:33.0,Turnover by N. Bjelica (bad pass; steal by J. Holiday),,19-11,,
2:33.0,Personal foul by N. Bjelica (drawn by M. Scott),,19-11,,
2:33.0,S. Muhammad enters the game for A. Wiggins,,19-11,,
2:15.0,,,19-14,3,T. Sefolosha makes 3-pt shot from 22 ft (assist by T. Splitter)
2:11.0,,,19-14,,Inbound foul by D. Schroder
2:11.0,Z. LaVine makes free throw 1 of 2,1,20-14,,
2:11.0,Z. LaVine makes free throw 2 of 2,1,21-14,,
1:56.0,Personal foul by G. Dieng (drawn by T. Splitter),,21-14,,
1:50.0,,,21-14,,Turnover by J. Holiday (lost ball; steal by Z. LaVine)
1:44.0,Z. LaVine makes 2-pt shot from 1 ft,2,23-14,,
1:36.0,,,23-16,2,D. Schroder makes 2-pt shot at rim (assist by T. Splitter)
1:20.0,G. Dieng misses 2-pt shot from 6 ft,,23-16,,
1:17.0,Offensive rebound by G. Dieng,,23-16,,
1:17.0,G. Dieng makes 2-pt shot at rim,2,25-16,,
0:57.0,,,25-16,,Turnover by T. Splitter (bad pass)
0:45.0,K. Martin makes 3-pt shot from 23 ft (assist by Z. LaVine),3,28-16,,
0:30.0,,,28-19,3,D. Schroder makes 3-pt shot from 24 ft
0:11.0,,,28-19,,Personal foul by J. Holiday (drawn by K. Martin)
0:01.0,K. Martin makes 2-pt shot from 12 ft,2,30-19,,
0:00.0,,,30-19,,T. Splitter misses 3-pt shot from 81 ft
0:00.0,,,30-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Muhammad makes 2-pt shot from 1 ft (assist by N. Bjelica),2,32-19,,
11:20.0,,,32-21,2,M. Scott makes 2-pt shot from 12 ft (assist by J. Holiday)
10:53.0,Z. LaVine makes 2-pt shot at rim,2,34-21,,
10:39.0,,,34-21,,J. Holiday misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by S. Muhammad,,34-21,,
10:33.0,Shooting foul by J. Holiday (drawn by N. Bjelica),,34-21,,
10:33.0,N. Bjelica makes free throw 1 of 2,1,35-21,,
10:33.0,,,35-21,,J. Teague enters the game for D. Schroder
10:33.0,,,35-21,,K. Korver enters the game for J. Holiday
10:33.0,N. Bjelica makes free throw 2 of 2,1,36-21,,
10:22.0,,,36-24,3,M. Scott makes 3-pt shot from 25 ft (assist by T. Sefolosha)
9:56.0,K. Martin misses 3-pt shot from 24 ft,,36-24,,
9:55.0,,,36-24,,Defensive rebound by M. Scott
9:47.0,,,36-24,,Turnover by J. Teague (bad pass)
9:28.0,G. Dieng misses 2-pt shot at rim,,36-24,,
9:26.0,,,36-24,,Defensive rebound by T. Sefolosha
9:20.0,,,36-24,,M. Scott misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by N. Bjelica,,36-24,,
9:11.0,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine),2,38-24,,
8:58.0,,,38-26,2,A. Horford makes 2-pt shot from 13 ft
8:44.0,Z. LaVine makes 2-pt shot from 1 ft,2,40-26,,
8:33.0,,,40-26,,A. Horford misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by Z. LaVine,,40-26,,
8:24.0,S. Muhammad makes 2-pt shot from 11 ft (assist by N. Bjelica),2,42-26,,
8:24.0,,,42-26,,Atlanta full timeout
8:11.0,,,42-28,2,J. Teague makes 2-pt shot from 12 ft
7:57.0,K. Martin makes 2-pt shot at rim (assist by Z. LaVine),2,44-28,,
7:56.0,,,44-28,,Atlanta full timeout
7:56.0,A. Wiggins enters the game for S. Muhammad,,44-28,,
7:42.0,,,44-28,,K. Korver misses 2-pt shot from 19 ft
7:41.0,Defensive rebound by Z. LaVine,,44-28,,
7:28.0,Turnover by A. Wiggins (lost ball; steal by T. Sefolosha),,44-28,,
7:23.0,,,44-30,2,M. Scott makes 2-pt shot at rim (assist by J. Teague)
7:15.0,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine),2,46-30,,
7:05.0,,,46-30,,Turnover by J. Teague (bad pass; steal by G. Dieng)
7:00.0,K. Martin makes 3-pt shot from 23 ft (assist by Z. LaVine),3,49-30,,
7:00.0,Shooting foul by J. Teague (drawn by K. Martin),,49-30,,
7:00.0,,,49-30,,K. Bazemore enters the game for T. Sefolosha
7:00.0,,,49-30,,P. Millsap enters the game for M. Scott
7:00.0,K. Towns enters the game for G. Dieng,,49-30,,
7:00.0,R. Rubio enters the game for Z. LaVine,,49-30,,
7:00.0,K. Martin makes free throw 1 of 1,1,50-30,,
6:52.0,Personal foul by K. Martin (drawn by K. Korver),,50-30,,
6:47.0,,,50-30,,J. Teague misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by K. Towns,,50-30,,
6:28.0,A. Wiggins makes 2-pt shot from 1 ft (assist by N. Bjelica),2,52-30,,
6:15.0,,,52-32,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
6:00.0,K. Martin misses 3-pt shot from 25 ft,,52-32,,
5:59.0,,,52-32,,Defensive rebound by J. Teague
5:52.0,Personal foul by R. Rubio (drawn by J. Teague),,52-32,,
5:52.0,T. Prince enters the game for K. Martin,,52-32,,
5:52.0,K. Garnett enters the game for N. Bjelica,,52-32,,
5:42.0,,,52-32,,K. Bazemore misses 3-pt shot from 23 ft
5:41.0,Defensive rebound by K. Garnett,,52-32,,
5:34.0,R. Rubio misses 2-pt shot from 18 ft (block by J. Teague),,52-32,,
5:31.0,Offensive rebound by K. Towns,,52-32,,
5:27.0,,,52-32,,Personal foul by J. Teague (drawn by R. Rubio)
5:27.0,,,52-32,,D. Schroder enters the game for J. Teague
5:16.0,A. Wiggins makes 2-pt shot from 14 ft,2,54-32,,
5:04.0,,,54-35,3,K. Bazemore makes 3-pt shot from 24 ft
4:48.0,Shooting foul by A. Horford (drawn by K. Towns),,54-35,,
4:48.0,K. Towns makes free throw 1 of 2,1,55-35,,
4:48.0,K. Towns misses free throw 2 of 2,,55-35,,
4:47.0,,,55-35,,Defensive rebound by K. Bazemore
4:29.0,,,55-37,2,K. Bazemore makes 2-pt shot at rim (assist by A. Horford)
4:19.0,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Garnett),2,57-37,,
4:05.0,,,57-37,,D. Schroder misses 2-pt shot from 19 ft
4:03.0,Defensive rebound by K. Garnett,,57-37,,
3:44.0,K. Garnett misses 2-pt shot from 14 ft,,57-37,,
3:43.0,,,57-37,,Defensive rebound by Team
3:43.0,,,57-37,,J. Teague enters the game for K. Korver
3:25.0,,,57-37,,A. Horford misses 2-pt shot from 1 ft
3:23.0,Defensive rebound by K. Garnett,,57-37,,
3:19.0,,,57-37,,Violation by D. Schroder (kicked ball)
3:19.0,,,57-37,,M. Scott enters the game for A. Horford
3:07.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,59-37,,
3:03.0,,,59-37,,Turnover by P. Millsap (bad pass; steal by R. Rubio)
3:01.0,R. Rubio misses 2-pt shot from 4 ft (block by P. Millsap),,59-37,,
3:01.0,Offensive rebound by Team,,59-37,,
3:01.0,Z. LaVine enters the game for T. Prince,,59-37,,
2:57.0,Shooting foul by P. Millsap (drawn by K. Towns),,59-37,,
2:57.0,Official timeout,,59-37,,
2:57.0,K. Martin enters the game for Z. LaVine,,59-37,,
2:57.0,K. Towns makes free throw 1 of 2,1,60-37,,
2:57.0,K. Towns makes free throw 2 of 2,1,61-37,,
2:43.0,,,61-37,,P. Millsap misses 2-pt shot from 7 ft
2:42.0,Defensive rebound by K. Towns,,61-37,,
2:26.0,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio),2,63-37,,
2:11.0,,,63-40,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
1:54.0,K. Garnett misses 2-pt shot from 19 ft,,63-40,,
1:53.0,Offensive rebound by A. Wiggins,,63-40,,
1:50.0,A. Wiggins makes 2-pt shot at rim,2,65-40,,
1:35.0,Personal foul by R. Rubio (drawn by P. Millsap),,65-40,,
1:29.0,,,65-40,,P. Millsap misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by Team,,65-40,,
1:29.0,Z. LaVine enters the game for R. Rubio,,65-40,,
1:17.0,A. Wiggins makes 2-pt shot from 19 ft,2,67-40,,
1:01.0,,,67-40,,Turnover by K. Bazemore (lost ball; steal by Z. LaVine)
0:55.0,Z. LaVine makes 3-pt shot from 24 ft,3,70-40,,
0:31.0,,,70-40,,P. Millsap misses 2-pt shot from 10 ft
0:27.0,Defensive rebound by K. Towns,,70-40,,
0:13.0,Z. LaVine makes 2-pt shot from 16 ft,2,72-40,,
0:08.0,,,72-40,,Shooting foul by Z. LaVine (drawn by J. Teague)
0:08.0,,,72-41,1,J. Teague makes free throw 1 of 2
0:08.0,,,72-41,,T. Sefolosha enters the game for K. Bazemore
0:08.0,,,72-42,1,J. Teague makes free throw 2 of 2
0:05.0,Minnesota full timeout,,72-42,,
0:05.0,,,72-42,,J. Holiday enters the game for J. Teague
0:05.0,,,72-42,,T. Splitter enters the game for M. Scott
0:00.0,K. Towns misses 3-pt shot from 24 ft,,72-42,,
0:00.0,Offensive rebound by Team,,72-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,A. Wiggins makes 2-pt shot from 18 ft (assist by R. Rubio),2,74-42,,
11:36.0,Personal foul by R. Rubio (drawn by J. Teague),,74-42,,
11:28.0,,,74-44,2,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague)
11:17.0,K. Garnett makes 2-pt shot from 20 ft (assist by A. Wiggins),2,76-44,,
11:10.0,Personal foul by K. Garnett (drawn by P. Millsap),,76-44,,
11:03.0,,,76-44,,A. Horford misses 2-pt shot from 19 ft
11:02.0,,,76-44,,Offensive rebound by Team
10:56.0,,,76-47,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
10:41.0,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio),2,78-47,,
10:30.0,,,78-47,,J. Teague misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by K. Garnett,,78-47,,
10:17.0,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio),3,81-47,,
10:04.0,,,81-49,2,J. Teague makes 2-pt shot from 1 ft
10:04.0,,,81-49,,Shooting foul by K. Garnett (drawn by J. Teague)
10:04.0,,,81-50,1,J. Teague makes free throw 1 of 1
9:52.0,Offensive charge foul by A. Wiggins,,81-50,,
9:52.0,Turnover by A. Wiggins (offensive foul),,81-50,,
9:42.0,,,81-50,,J. Teague misses 3-pt shot from 24 ft
9:40.0,,,81-50,,Offensive rebound by A. Horford
9:38.0,,,81-50,,Turnover by K. Bazemore (step out of bounds)
9:27.0,A. Wiggins makes 2-pt shot at rim (assist by K. Towns),2,83-50,,
9:12.0,,,83-50,,A. Horford misses 2-pt shot from 6 ft
9:12.0,,,83-50,,Offensive rebound by Team
9:05.0,,,83-52,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
9:05.0,,,83-52,,Shooting foul by K. Towns (drawn by P. Millsap)
9:05.0,,,83-52,,P. Millsap misses free throw 1 of 1
9:04.0,Defensive rebound by K. Towns,,83-52,,
8:48.0,T. Prince makes 2-pt shot from 18 ft (assist by A. Wiggins),2,85-52,,
8:31.0,,,85-52,,A. Horford misses 2-pt shot from 1 ft
8:30.0,,,85-52,,Offensive rebound by P. Millsap
8:17.0,,,85-54,2,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague)
8:01.0,K. Towns misses 2-pt shot from 3 ft,,85-54,,
8:00.0,,,85-54,,Defensive rebound by K. Korver
7:54.0,,,85-56,2,P. Millsap makes 2-pt shot from 6 ft (assist by K. Bazemore)
7:53.0,Minnesota full timeout,,85-56,,
7:44.0,Offensive foul by K. Towns,,85-56,,
7:44.0,Turnover by K. Towns (offensive foul),,85-56,,
7:34.0,,,85-59,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
