time,Utah,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Horford (K. Bazemore gains possession),,,,Jump ball: R. Gobert vs. A. Horford (K. Bazemore gains possession)
11:40.0,,,0-0,,A. Horford misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by R. Gobert,,0-0,,
11:18.0,Turnover by D. Favors (turnover),,0-0,,
11:07.0,,,0-0,,A. Horford misses 3-pt shot from 24 ft
11:05.0,,,0-0,,Offensive rebound by K. Korver
10:49.0,,,0-0,,D. Schroder misses 2-pt shot at rim (block by D. Favors)
10:46.0,Defensive rebound by G. Hayward,,0-0,,
10:31.0,D. Favors makes 2-pt shot from 12 ft (assist by R. Neto),2,2-0,,
10:16.0,,,2-0,,P. Millsap misses 3-pt shot from 24 ft
10:15.0,,,2-0,,Offensive rebound by A. Horford
10:14.0,,,2-0,,Shooting foul by D. Favors (drawn by P. Millsap)
10:14.0,,,2-1,1,P. Millsap makes free throw 1 of 2
10:14.0,,,2-2,1,P. Millsap makes free throw 2 of 2
9:59.0,D. Favors makes 2-pt shot at rim,2,4-2,,
9:38.0,,,4-4,2,P. Millsap makes 2-pt shot from 10 ft (assist by K. Bazemore)
9:21.0,D. Favors misses 2-pt shot from 18 ft,,4-4,,
9:20.0,,,4-4,,Defensive rebound by K. Korver
9:10.0,,,4-4,,P. Millsap misses 2-pt shot from 17 ft
9:09.0,Defensive rebound by R. Gobert,,4-4,,
8:59.0,R. Gobert makes 2-pt shot at rim,2,6-4,,
8:59.0,Shooting foul by P. Millsap (drawn by R. Gobert),,6-4,,
8:59.0,R. Gobert makes free throw 1 of 1,1,7-4,,
8:46.0,,,7-6,2,K. Korver makes 2-pt shot from 14 ft (assist by D. Schroder)
8:27.0,G. Hayward misses 2-pt shot from 14 ft,,7-6,,
8:25.0,Offensive rebound by R. Gobert,,7-6,,
8:24.0,R. Gobert misses 2-pt shot from 1 ft,,7-6,,
8:22.0,Offensive rebound by D. Favors,,7-6,,
8:21.0,D. Favors makes 2-pt shot at rim,2,9-6,,
8:08.0,,,9-6,,A. Horford misses 2-pt shot from 5 ft
8:07.0,,,9-6,,Offensive rebound by A. Horford
8:04.0,,,9-9,3,D. Schroder makes 3-pt shot from 24 ft (assist by A. Horford)
7:44.0,Turnover by D. Favors (bad pass; steal by A. Horford),,9-9,,
7:27.0,,,9-9,,A. Horford misses 3-pt shot from 22 ft
7:25.0,Defensive rebound by D. Favors,,9-9,,
7:13.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,11-9,,
7:02.0,,,11-9,,Turnover by K. Korver (bad pass; steal by R. Gobert)
6:56.0,R. Hood makes 2-pt shot at rim (assist by R. Gobert),2,13-9,,
6:56.0,,,13-9,,Atlanta full timeout
6:48.0,,,13-9,,Shooting foul by D. Favors (drawn by D. Schroder)
6:48.0,,,13-10,1,D. Schroder makes free throw 1 of 2
6:48.0,T. Booker enters the game for D. Favors,,13-10,,
6:48.0,,,13-10,,D. Schroder misses free throw 2 of 2
6:47.0,Defensive rebound by T. Booker,,13-10,,
6:24.0,Turnover by Team (shot clock),,13-10,,
6:24.0,,,13-10,,T. Splitter enters the game for A. Horford
6:06.0,,,13-13,3,K. Bazemore makes 3-pt shot from 22 ft (assist by K. Korver)
5:53.0,R. Neto makes 2-pt shot from 13 ft,2,15-13,,
5:36.0,,,15-15,2,P. Millsap makes 2-pt shot from 15 ft (assist by D. Schroder)
5:16.0,Turnover by G. Hayward (lost ball),,15-15,,
5:16.0,T. Burke enters the game for R. Neto,,15-15,,
5:00.0,,,15-15,,T. Splitter misses 2-pt shot from 3 ft
4:59.0,Defensive rebound by T. Booker,,15-15,,
4:47.0,R. Hood makes 3-pt shot from 24 ft (assist by T. Booker),3,18-15,,
4:33.0,,,18-17,2,K. Bazemore makes 2-pt shot from 17 ft (assist by D. Schroder)
4:18.0,Turnover by G. Hayward (turnover),,18-17,,
4:18.0,,,18-17,,S. Mack enters the game for K. Bazemore
4:18.0,,,18-17,,T. Sefolosha enters the game for K. Korver
4:18.0,,,18-17,,J. Holiday enters the game for D. Schroder
4:18.0,A. Burks enters the game for R. Hood,,18-17,,
4:06.0,,,18-17,,P. Millsap misses 2-pt shot from 14 ft
4:04.0,Defensive rebound by R. Gobert,,18-17,,
3:53.0,G. Hayward misses 3-pt shot from 23 ft (block by T. Sefolosha),,18-17,,
