time,San Antonio,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Plumlee,,,,Jump ball: T. Duncan vs. M. Plumlee
11:37.0,,,0-0,,C. McCollum misses 2-pt shot from 17 ft
11:37.0,Defensive rebound by T. Parker,,0-0,,
11:27.0,K. Leonard makes 2-pt shot from 17 ft (assist by T. Parker),2,2-0,,
11:11.0,,,2-2,2,A. Aminu makes 2-pt shot from 18 ft (assist by D. Lillard)
10:53.0,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker),2,4-2,,
10:42.0,,,4-2,,D. Lillard misses 2-pt shot from 13 ft
10:41.0,,,4-2,,Offensive rebound by M. Plumlee
10:35.0,,,4-2,,Turnover by C. McCollum (bad pass)
10:16.0,Shooting foul by A. Aminu (drawn by K. Leonard),,4-2,,
10:16.0,K. Leonard makes free throw 1 of 2,1,5-2,,
10:16.0,K. Leonard makes free throw 2 of 2,1,6-2,,
9:56.0,,,6-4,2,C. McCollum makes 2-pt shot from 10 ft (assist by D. Lillard)
9:40.0,L. Aldridge misses 2-pt shot from 19 ft,,6-4,,
9:39.0,,,6-4,,Defensive rebound by M. Plumlee
9:31.0,,,6-4,,D. Lillard misses 2-pt shot from 19 ft
9:30.0,Defensive rebound by T. Duncan,,6-4,,
9:26.0,Turnover by T. Duncan (bad pass; steal by M. Plumlee),,6-4,,
9:22.0,,,6-4,,C. McCollum misses 3-pt shot from 23 ft
9:21.0,Defensive rebound by T. Duncan,,6-4,,
9:10.0,T. Parker makes 2-pt shot from 5 ft (assist by T. Duncan),2,8-4,,
8:43.0,,,8-7,3,M. Leonard makes 3-pt shot from 23 ft (assist by A. Aminu)
8:27.0,T. Parker misses 2-pt shot at rim,,8-7,,
8:26.0,,,8-7,,Defensive rebound by M. Plumlee
8:23.0,Personal foul by T. Duncan (drawn by D. Lillard),,8-7,,
8:10.0,,,8-9,2,C. McCollum makes 2-pt shot from 5 ft (assist by M. Plumlee)
7:57.0,L. Aldridge misses 2-pt shot from 19 ft,,8-9,,
7:56.0,,,8-9,,Defensive rebound by D. Lillard
7:47.0,,,8-11,2,M. Plumlee makes 2-pt shot from 13 ft (assist by D. Lillard)
7:26.0,L. Aldridge makes 2-pt shot from 4 ft,2,10-11,,
7:06.0,,,10-13,2,C. McCollum makes 2-pt shot from 1 ft (assist by A. Aminu)
6:45.0,K. Leonard misses 2-pt shot from 12 ft,,10-13,,
6:44.0,,,10-13,,Defensive rebound by M. Leonard
6:37.0,,,10-16,3,D. Lillard makes 3-pt shot from 23 ft
6:37.0,San Antonio full timeout,,10-16,,
6:16.0,K. Leonard misses 3-pt shot from 25 ft,,10-16,,
6:15.0,,,10-16,,Defensive rebound by D. Lillard
5:54.0,,,10-18,2,C. McCollum makes 2-pt shot from 18 ft (assist by M. Plumlee)
5:33.0,T. Duncan makes 2-pt shot from 21 ft (assist by T. Parker),2,12-18,,
5:19.0,,,12-18,,M. Plumlee misses 2-pt shot from 1 ft (block by T. Duncan)
5:18.0,Defensive rebound by T. Duncan,,12-18,,
5:08.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,14-18,,
4:52.0,,,14-18,,A. Aminu misses 3-pt shot from 23 ft
4:52.0,Defensive rebound by L. Aldridge,,14-18,,
4:38.0,T. Duncan misses 2-pt shot from 16 ft,,14-18,,
4:37.0,,,14-18,,Defensive rebound by Team
4:37.0,M. Ginobili enters the game for T. Duncan,,14-18,,
4:37.0,B. Diaw enters the game for D. Green,,14-18,,
4:37.0,P. Mills enters the game for T. Parker,,14-18,,
4:25.0,,,14-20,2,D. Lillard makes 2-pt shot at rim
4:25.0,,,14-20,,Shooting foul by B. Diaw (drawn by D. Lillard)
4:25.0,,,14-20,,E. Davis enters the game for C. McCollum
4:25.0,,,14-20,,A. Crabbe enters the game for M. Plumlee
4:25.0,,,14-20,,M. Harkless enters the game for A. Aminu
4:25.0,,,14-20,,D. Lillard misses free throw 1 of 1
4:24.0,Defensive rebound by K. Leonard,,14-20,,
4:02.0,L. Aldridge misses 3-pt shot from 23 ft,,14-20,,
4:01.0,,,14-20,,Defensive rebound by D. Lillard
3:49.0,,,14-20,,A. Crabbe misses 3-pt shot from 24 ft
3:48.0,Defensive rebound by L. Aldridge,,14-20,,
3:36.0,B. Diaw misses 2-pt shot from 4 ft,,14-20,,
3:34.0,Offensive rebound by L. Aldridge,,14-20,,
3:34.0,L. Aldridge makes 2-pt shot at rim,2,16-20,,
3:17.0,,,16-20,,D. Lillard misses 2-pt shot from 2 ft
3:17.0,Defensive rebound by P. Mills,,16-20,,
3:11.0,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills),3,19-20,,
2:56.0,,,19-20,,Turnover by D. Lillard (bad pass)
2:56.0,,,19-20,,Portland full timeout
2:44.0,M. Ginobili makes 2-pt shot from 18 ft,2,21-20,,
2:19.0,,,21-20,,Turnover by E. Davis (3 sec)
2:19.0,R. Butler enters the game for K. Leonard,,21-20,,
2:05.0,L. Aldridge misses 2-pt shot at rim,,21-20,,
2:05.0,,,21-20,,Defensive rebound by E. Davis
1:51.0,,,21-22,2,M. Leonard makes 2-pt shot from 14 ft (assist by E. Davis)
1:35.0,P. Mills makes 2-pt shot from 19 ft (assist by B. Diaw),2,23-22,,
1:17.0,,,23-24,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
1:00.0,B. Diaw makes 2-pt shot from 1 ft,2,25-24,,
0:49.0,,,25-24,,M. Leonard misses 2-pt shot from 15 ft
0:48.0,Defensive rebound by L. Aldridge,,25-24,,
0:40.0,L. Aldridge misses 2-pt shot from 3 ft,,25-24,,
0:39.0,Offensive rebound by M. Ginobili,,25-24,,
0:39.0,M. Ginobili misses 2-pt shot from 1 ft,,25-24,,
0:38.0,Offensive rebound by L. Aldridge,,25-24,,
0:37.0,Turnover by L. Aldridge (lost ball; steal by D. Lillard),,25-24,,
0:32.0,,,25-24,,D. Lillard misses 2-pt shot from 1 ft
0:32.0,Defensive rebound by R. Butler,,25-24,,
0:22.0,R. Butler makes 3-pt shot from 24 ft (assist by M. Ginobili),3,28-24,,
0:00.0,,,28-24,,D. Lillard misses 2-pt shot from 8 ft
0:00.0,,,28-24,,Offensive rebound by Team
