time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,,,0-0,,S. Curry misses 2-pt shot from 7 ft
12:00.0,Jump ball: D. Cousins vs. A. Len (R. Rondo gains possession),,,,Jump ball: D. Cousins vs. A. Len (R. Rondo gains possession)
11:34.0,Defensive rebound by A. Len,,0-0,,
11:17.0,A. Len misses 2-pt shot from 15 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by D. Cousins
10:57.0,,,0-0,,S. Curry misses 2-pt shot from 22 ft
10:56.0,Defensive rebound by J. Jenkins,,0-0,,
10:45.0,P. Tucker misses 3-pt shot from 25 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by R. Gay
10:33.0,,,0-0,,Shooting foul by J. Leuer (drawn by D. Cousins)
10:33.0,,,0-1,1,D. Cousins makes free throw 1 of 2
10:33.0,,,0-2,1,D. Cousins makes free throw 2 of 2
10:16.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,2-2,,
9:57.0,,,2-2,,R. Gay misses 2-pt shot from 18 ft
9:56.0,Defensive rebound by J. Leuer,,2-2,,
9:45.0,A. Len misses 2-pt shot from 4 ft (block by Q. Acy),,2-2,,
9:43.0,Offensive rebound by J. Jenkins,,2-2,,
9:42.0,J. Jenkins misses 2-pt shot from 7 ft,,2-2,,
9:42.0,,,2-2,,Defensive rebound by Q. Acy
9:23.0,,,2-5,3,Q. Acy makes 3-pt shot from 23 ft (assist by R. Gay)
9:11.0,J. Leuer misses 2-pt shot from 6 ft,,2-5,,
9:10.0,Offensive rebound by A. Len,,2-5,,
9:10.0,A. Len misses 2-pt shot from 1 ft,,2-5,,
9:09.0,,,2-5,,Defensive rebound by D. Cousins
8:50.0,,,2-7,2,D. Cousins makes 2-pt shot from 20 ft (assist by R. Gay)
8:33.0,D. Booker misses 2-pt shot from 20 ft,,2-7,,
8:33.0,,,2-7,,Defensive rebound by Q. Acy
8:23.0,,,2-7,,Q. Acy misses 2-pt shot from 4 ft
8:22.0,Defensive rebound by P. Tucker,,2-7,,
8:16.0,J. Jenkins misses 2-pt shot from 3 ft (block by S. Curry),,2-7,,
8:15.0,Offensive rebound by J. Jenkins,,2-7,,
8:12.0,J. Jenkins makes 3-pt shot from 23 ft (assist by D. Booker),3,5-7,,
8:02.0,,,5-7,,S. Curry misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by A. Len,,5-7,,
7:57.0,J. Leuer makes 2-pt shot from 7 ft (assist by A. Len),2,7-7,,
7:49.0,,,7-7,,Turnover by R. Rondo (bad pass)
7:33.0,J. Jenkins misses 2-pt shot from 20 ft,,7-7,,
7:32.0,,,7-7,,Defensive rebound by D. Cousins
7:26.0,,,7-7,,Shooting foul by A. Len (drawn by R. Gay)
7:26.0,,,7-8,1,R. Gay makes free throw 1 of 2
7:26.0,,,7-8,,R. Gay misses free throw 2 of 2
7:26.0,Defensive rebound by P. Tucker,,7-8,,
7:06.0,D. Booker misses 3-pt shot from 24 ft,,7-8,,
7:05.0,Offensive rebound by J. Jenkins,,7-8,,
6:59.0,J. Leuer makes 3-pt shot from 25 ft (assist by J. Jenkins),3,10-8,,
6:49.0,,,10-8,,R. Gay misses 2-pt shot from 15 ft
6:48.0,Defensive rebound by D. Booker,,10-8,,
6:42.0,P. Tucker makes 2-pt shot from 4 ft (assist by J. Jenkins),2,12-8,,
6:31.0,Personal foul by D. Booker,,12-8,,
6:23.0,,,12-8,,Q. Acy misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by A. Len,,12-8,,
6:17.0,,,12-8,,Violation by Q. Acy (def goaltending)
6:17.0,D. Booker makes 2-pt shot from 5 ft,2,14-8,,
6:02.0,,,14-8,,D. Cousins misses 2-pt shot from 4 ft
6:01.0,,,14-8,,Offensive rebound by D. Cousins
6:01.0,,,14-8,,Shooting foul by J. Leuer (drawn by D. Cousins)
6:01.0,,,14-8,,D. Cousins misses free throw 1 of 2
6:01.0,,,14-8,,Offensive rebound by Team
6:01.0,A. Williams enters the game for J. Leuer,,14-8,,
6:01.0,,,14-9,1,D. Cousins makes free throw 2 of 2
5:51.0,Turnover by J. Jenkins (lost ball; steal by R. Rondo),,14-9,,
5:47.0,,,14-11,2,R. Rondo makes 2-pt shot from 1 ft
5:35.0,,,14-11,,Sacramento full timeout
5:35.0,M. Teletovic enters the game for A. Williams,,14-11,,
5:35.0,,,14-11,,W. Cauley-Stein enters the game for Q. Acy
5:19.0,M. Teletovic misses 3-pt shot from 25 ft,,14-11,,
5:18.0,,,14-11,,Defensive rebound by R. Rondo
5:09.0,,,14-11,,S. Curry misses 3-pt shot from 23 ft
5:09.0,,,14-11,,Offensive rebound by S. Curry
5:05.0,,,14-13,2,S. Curry makes 2-pt shot from 7 ft
4:55.0,J. Jenkins makes 3-pt shot from 23 ft (assist by D. Booker),3,17-13,,
4:41.0,,,17-13,,D. Cousins misses 2-pt shot from 5 ft
4:40.0,,,17-13,,Offensive rebound by D. Cousins
4:39.0,,,17-15,2,D. Cousins makes 2-pt shot from 4 ft
4:36.0,Turnover by D. Booker (lost ball),,17-15,,
4:36.0,R. Price enters the game for J. Jenkins,,17-15,,
4:36.0,,,17-15,,O. Casspi enters the game for R. Gay
4:25.0,,,17-15,,D. Cousins misses 2-pt shot from 14 ft
4:24.0,Defensive rebound by D. Booker,,17-15,,
4:20.0,Turnover by D. Booker (bad pass),,17-15,,
4:11.0,,,17-17,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by R. Rondo)
3:55.0,Shooting foul by O. Casspi (drawn by A. Len),,17-17,,
3:55.0,A. Len makes free throw 1 of 2,1,18-17,,
3:55.0,,,18-17,,D. Collison enters the game for S. Curry
3:55.0,A. Len makes free throw 2 of 2,1,19-17,,
3:37.0,,,19-17,,D. Cousins misses 2-pt shot from 4 ft
3:35.0,Defensive rebound by R. Price,,19-17,,
3:33.0,D. Booker makes 2-pt shot at rim (assist by R. Price),2,21-17,,
3:19.0,C. Budinger enters the game for A. Len,,21-17,,
3:17.0,Personal foul by P. Tucker,,21-17,,
3:17.0,,,21-17,,D. Cousins misses free throw 1 of 2
3:17.0,,,21-17,,Offensive rebound by Team
3:17.0,,,21-18,1,D. Cousins makes free throw 2 of 2
3:05.0,,,21-18,,Personal foul by D. Cousins
2:51.0,R. Price misses 3-pt shot from 25 ft,,21-18,,
2:51.0,,,21-18,,Defensive rebound by D. Cousins
2:45.0,,,21-18,,Turnover by W. Cauley-Stein (lost ball; steal by D. Booker)
2:40.0,D. Booker misses 2-pt shot from 4 ft,,21-18,,
2:39.0,Offensive rebound by C. Budinger,,21-18,,
2:38.0,C. Budinger makes 2-pt shot from 3 ft,2,23-18,,
2:23.0,,,23-18,,D. Cousins misses 2-pt shot from 6 ft
2:20.0,,,23-18,,Offensive rebound by W. Cauley-Stein
2:20.0,,,23-20,2,W. Cauley-Stein makes 2-pt shot from 1 ft
2:11.0,,,23-20,,Personal foul by D. Cousins
2:11.0,Phoenix full timeout,,23-20,,
2:11.0,A. Goodwin enters the game for D. Booker,,23-20,,
2:11.0,,,23-20,,M. Belinelli enters the game for D. Cousins
2:11.0,,,23-20,,R. Gay enters the game for R. Rondo
2:02.0,Turnover by M. Teletovic (lost ball; steal by W. Cauley-Stein),,23-20,,
1:50.0,,,23-22,2,R. Gay makes 2-pt shot from 5 ft (assist by D. Collison)
1:30.0,M. Teletovic makes 2-pt shot from 8 ft (assist by C. Budinger),2,25-22,,
1:11.0,,,25-22,,Shooting foul by C. Budinger (drawn by O. Casspi)
1:11.0,,,25-22,,O. Casspi misses free throw 1 of 2
1:11.0,,,25-22,,Offensive rebound by Team
1:11.0,,,25-23,1,O. Casspi makes free throw 2 of 2
1:00.0,M. Teletovic misses 3-pt shot from 25 ft,,25-23,,
0:59.0,,,25-23,,Defensive rebound by O. Casspi
0:45.0,,,25-23,,M. Belinelli misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by A. Goodwin,,25-23,,
0:39.0,Offensive charge foul by A. Goodwin,,25-23,,
0:39.0,Turnover by A. Goodwin (offensive foul),,25-23,,
0:31.0,,,25-25,2,D. Collison makes 2-pt shot from 15 ft
0:12.0,R. Price makes 2-pt shot from 8 ft,2,27-25,,
0:00.0,,,27-25,,R. Gay misses 3-pt shot from 25 ft
0:00.0,,,27-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Goodwin misses 3-pt shot from 24 ft,,27-25,,
11:39.0,,,27-25,,Defensive rebound by D. Collison
11:34.0,Violation by C. Budinger (kicked ball),,27-25,,
11:20.0,,,27-27,2,R. Gay makes 2-pt shot from 13 ft
11:05.0,M. Teletovic misses 2-pt shot from 6 ft,,27-27,,
11:04.0,,,27-27,,Defensive rebound by O. Casspi
10:53.0,,,27-29,2,W. Cauley-Stein makes 2-pt shot from 9 ft (assist by M. Belinelli)
10:33.0,A. Williams makes 2-pt shot from 3 ft (assist by R. Price),2,29-29,,
10:26.0,,,29-29,,Shooting foul by M. Teletovic (drawn by O. Casspi)
10:26.0,,,29-30,1,O. Casspi makes free throw 1 of 2
10:26.0,,,29-31,1,O. Casspi makes free throw 2 of 2
10:10.0,M. Teletovic misses 2-pt shot from 9 ft,,29-31,,
10:09.0,,,29-31,,Defensive rebound by R. Gay
9:59.0,,,29-31,,R. Gay misses 2-pt shot from 2 ft
9:58.0,Defensive rebound by M. Teletovic,,29-31,,
9:51.0,M. Teletovic misses 3-pt shot from 25 ft,,29-31,,
9:48.0,Offensive rebound by C. Budinger,,29-31,,
9:47.0,C. Budinger makes 2-pt shot from 2 ft,2,31-31,,
9:35.0,,,31-31,,Shooting foul by A. Williams (drawn by O. Casspi)
