time,Atlanta,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Horford (D. Rose gains possession),,,,Jump ball: P. Gasol vs. A. Horford (D. Rose gains possession)
11:41.0,,,0-2,2,D. Rose makes 2-pt shot from 19 ft
11:30.0,,,0-2,,Violation by P. Gasol (kicked ball)
11:26.0,J. Teague misses 2-pt shot from 14 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by P. Gasol
11:12.0,,,0-2,,T. Gibson misses 2-pt shot from 3 ft
11:11.0,,,0-2,,Offensive rebound by P. Gasol
11:11.0,,,0-2,,P. Gasol misses 2-pt shot at rim
11:10.0,Defensive rebound by P. Millsap,,0-2,,
10:58.0,K. Bazemore misses 2-pt shot from 1 ft (block by T. Gibson),,0-2,,
10:56.0,,,0-2,,Defensive rebound by T. Gibson
10:48.0,,,0-4,2,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose)
10:34.0,A. Horford misses 2-pt shot from 13 ft,,0-4,,
10:33.0,,,0-4,,Defensive rebound by T. Gibson
10:23.0,,,0-4,,Shooting foul by J. Teague (drawn by P. Gasol)
10:23.0,,,0-5,1,P. Gasol makes free throw 1 of 2
10:23.0,,,0-6,1,P. Gasol makes free throw 2 of 2
10:04.0,K. Korver misses 3-pt shot from 23 ft,,0-6,,
10:02.0,,,0-6,,Defensive rebound by M. Dunleavy
9:53.0,,,0-8,2,P. Gasol makes 2-pt shot from 23 ft (assist by D. Rose)
9:32.0,P. Millsap misses 3-pt shot from 23 ft,,0-8,,
9:30.0,,,0-8,,Defensive rebound by J. Butler
9:11.0,,,0-8,,D. Rose misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by A. Horford,,0-8,,
9:00.0,J. Teague makes 2-pt shot from 13 ft (assist by A. Horford),2,2-8,,
8:42.0,,,2-10,2,T. Gibson makes 2-pt shot from 1 ft
8:30.0,Shooting foul by P. Gasol (drawn by A. Horford),,2-10,,
8:30.0,A. Horford misses free throw 1 of 2,,2-10,,
8:30.0,Offensive rebound by Team,,2-10,,
8:30.0,A. Horford makes free throw 2 of 2,1,3-10,,
8:16.0,,,3-12,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler)
8:14.0,Atlanta full timeout,,3-12,,
7:54.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,6-12,,
7:40.0,,,6-14,2,P. Gasol makes 2-pt shot from 21 ft (assist by D. Rose)
7:26.0,J. Teague makes 2-pt shot from 2 ft,2,8-14,,
7:13.0,,,8-14,,D. Rose misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by J. Teague,,8-14,,
7:03.0,K. Bazemore misses 3-pt shot from 24 ft,,8-14,,
7:00.0,Offensive rebound by A. Horford,,8-14,,
6:59.0,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford),3,11-14,,
6:48.0,,,11-14,,P. Gasol misses 2-pt shot from 21 ft
6:48.0,Defensive rebound by Team,,11-14,,
6:48.0,,,11-14,,Loose ball foul by T. Gibson
6:32.0,A. Horford misses 2-pt shot from 9 ft,,11-14,,
6:31.0,,,11-14,,Defensive rebound by D. Rose
6:23.0,,,11-14,,Turnover by M. Dunleavy (lost ball)
6:23.0,T. Sefolosha enters the game for K. Bazemore,,11-14,,
6:13.0,A. Horford misses 2-pt shot from 1 ft,,11-14,,
6:12.0,Offensive rebound by A. Horford,,11-14,,
6:08.0,K. Korver misses 2-pt shot from 1 ft,,11-14,,
6:06.0,,,11-14,,Defensive rebound by P. Gasol
5:58.0,,,11-14,,Turnover by P. Gasol (lost ball; steal by P. Millsap)
5:53.0,A. Horford misses 2-pt shot from 2 ft,,11-14,,
5:52.0,,,11-14,,Defensive rebound by P. Gasol
