time,Charlotte,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Hawes vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: S. Hawes vs. M. Plumlee (N. Vonleh gains possession)
11:42.0,,,0-2,2,D. Lillard makes 2-pt shot from 11 ft
11:24.0,S. Hawes makes 3-pt shot from 24 ft (assist by N. Batum),3,3-2,,
11:05.0,,,3-2,,C. McCollum misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by Team,,3-2,,
10:49.0,M. Williams makes 2-pt shot from 8 ft (assist by N. Batum),2,5-2,,
10:34.0,,,5-4,2,A. Aminu makes 2-pt shot from 22 ft (assist by M. Plumlee)
10:20.0,K. Walker makes 3-pt shot from 23 ft (assist by S. Hawes),3,8-4,,
10:00.0,,,8-4,,M. Plumlee misses 2-pt shot from 5 ft
9:58.0,Defensive rebound by M. Kidd-Gilchrist,,8-4,,
9:44.0,M. Williams misses 2-pt shot from 22 ft,,8-4,,
9:43.0,,,8-4,,Defensive rebound by N. Vonleh
9:36.0,,,8-6,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
9:20.0,Turnover by K. Walker (bad pass),,8-6,,
9:06.0,,,8-6,,C. McCollum misses 2-pt shot from 8 ft
9:04.0,,,8-6,,Offensive rebound by M. Plumlee
9:01.0,,,8-8,2,M. Plumlee makes 2-pt shot from 5 ft
8:35.0,,,8-8,,Violation by M. Plumlee (def goaltending)
8:35.0,S. Hawes makes 2-pt shot from 2 ft,2,10-8,,
8:15.0,,,10-8,,Turnover by C. McCollum (bad pass; steal by S. Hawes)
8:02.0,K. Walker misses 2-pt shot from 2 ft (block by N. Vonleh),,10-8,,
8:01.0,Offensive rebound by K. Walker,,10-8,,
7:54.0,S. Hawes misses 3-pt shot from 25 ft,,10-8,,
7:53.0,,,10-8,,Defensive rebound by A. Aminu
7:45.0,,,10-8,,D. Lillard misses 3-pt shot from 23 ft
7:44.0,,,10-8,,Offensive rebound by C. McCollum
7:41.0,,,10-8,,C. McCollum misses 2-pt shot from 1 ft (block by M. Williams)
7:41.0,,,10-8,,Offensive rebound by Team
7:31.0,,,10-8,,C. McCollum misses 2-pt shot from 3 ft
7:31.0,Defensive rebound by M. Kidd-Gilchrist,,10-8,,
7:15.0,N. Batum misses 2-pt shot from 20 ft,,10-8,,
7:14.0,,,10-8,,Defensive rebound by N. Vonleh
7:05.0,,,10-8,,Turnover by D. Lillard (bad pass; steal by N. Batum)
7:01.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,12-8,,
7:01.0,,,12-8,,Portland full timeout
6:40.0,,,12-8,,D. Lillard misses 2-pt shot from 16 ft
6:39.0,Defensive rebound by M. Williams,,12-8,,
6:21.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,12-8,,
6:20.0,,,12-8,,Defensive rebound by C. McCollum
6:07.0,,,12-8,,C. McCollum misses 2-pt shot from 1 ft
6:06.0,,,12-8,,Offensive rebound by N. Vonleh
5:47.0,,,12-8,,N. Vonleh misses 2-pt shot from 21 ft
5:46.0,Defensive rebound by S. Hawes,,12-8,,
5:27.0,S. Hawes misses 2-pt shot from 3 ft,,12-8,,
5:26.0,,,12-8,,Defensive rebound by N. Vonleh
5:16.0,,,12-8,,C. McCollum misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by S. Hawes,,12-8,,
5:03.0,K. Walker misses 3-pt shot from 24 ft,,12-8,,
5:02.0,,,12-8,,Defensive rebound by M. Plumlee
4:57.0,,,12-10,2,D. Lillard makes 2-pt shot from 22 ft
4:57.0,,,12-10,,Shooting foul by N. Batum (drawn by D. Lillard)
4:57.0,,,12-10,,A. Crabbe enters the game for C. McCollum
4:57.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,12-10,,
4:57.0,P. Hairston enters the game for M. Williams,,12-10,,
4:57.0,,,12-11,1,D. Lillard makes free throw 1 of 1
4:43.0,Turnover by N. Batum (lost ball; steal by A. Aminu),,12-11,,
4:37.0,,,12-13,2,A. Aminu makes 2-pt shot at rim
4:28.0,P. Hairston misses 2-pt shot from 21 ft,,12-13,,
4:28.0,,,12-13,,Defensive rebound by D. Lillard
4:22.0,,,12-13,,D. Lillard misses 2-pt shot from 1 ft
4:20.0,,,12-13,,Offensive rebound by M. Plumlee
4:13.0,,,12-13,,Turnover by M. Plumlee (lost ball; steal by K. Walker)
4:08.0,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker),3,15-13,,
3:50.0,,,15-15,2,A. Crabbe makes 2-pt shot from 11 ft
3:26.0,N. Batum misses 3-pt shot from 25 ft,,15-15,,
3:26.0,T. Daniels enters the game for N. Batum,,15-15,,
3:26.0,,,15-15,,M. Leonard enters the game for N. Vonleh
3:26.0,,,15-15,,E. Davis enters the game for M. Plumlee
3:26.0,Jump ball: A. Aminu vs. S. Hawes (A. Crabbe gains possession),,,,Jump ball: A. Aminu vs. S. Hawes (A. Crabbe gains possession)
3:26.0,,,15-15,,Defensive rebound by Team
3:01.0,,,15-15,,A. Crabbe misses 2-pt shot from 22 ft
2:59.0,,,15-15,,Offensive rebound by A. Aminu
2:48.0,,,15-17,2,M. Leonard makes 2-pt shot from 15 ft (assist by D. Lillard)
2:42.0,Charlotte full timeout,,15-17,,
2:42.0,T. Hansbrough enters the game for S. Hawes,,15-17,,
2:42.0,,,15-17,,G. Henderson enters the game for A. Aminu
2:35.0,K. Walker misses 2-pt shot from 19 ft,,15-17,,
2:34.0,,,15-17,,Defensive rebound by E. Davis
2:09.0,,,15-19,2,G. Henderson makes 2-pt shot from 1 ft (assist by M. Leonard)
1:54.0,T. Daniels makes 3-pt shot from 27 ft (assist by K. Walker),3,18-19,,
1:35.0,,,18-19,,Turnover by D. Lillard (bad pass; steal by T. Hansbrough)
1:32.0,Shooting foul by A. Crabbe (drawn by K. Walker),,18-19,,
1:32.0,K. Walker makes free throw 1 of 2,1,19-19,,
1:32.0,K. Walker makes free throw 2 of 2,1,20-19,,
1:19.0,,,20-21,2,D. Lillard makes 2-pt shot at rim
1:04.0,K. Walker makes 3-pt shot from 24 ft,3,23-21,,
0:43.0,,,23-21,,M. Leonard misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by T. Hansbrough,,23-21,,
0:20.0,F. Kaminsky makes 2-pt shot from 7 ft,2,25-21,,
0:08.0,,,25-21,,Turnover by M. Leonard (bad pass)
0:02.0,K. Walker misses 2-pt shot from 22 ft,,25-21,,
0:01.0,,,25-21,,Defensive rebound by E. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Turnover by N. Batum (bad pass; steal by G. Henderson),,25-21,,
11:29.0,,,25-21,,G. Henderson misses 2-pt shot from 20 ft
11:28.0,Defensive rebound by N. Batum,,25-21,,
11:20.0,B. Roberts makes 2-pt shot from 17 ft,2,27-21,,
11:04.0,,,27-21,,G. Henderson misses 2-pt shot from 21 ft
11:04.0,Defensive rebound by T. Hansbrough,,27-21,,
10:46.0,F. Kaminsky misses 3-pt shot from 22 ft,,27-21,,
10:45.0,,,27-21,,Defensive rebound by C. McCollum
10:36.0,,,27-24,3,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum)
10:12.0,B. Roberts misses 2-pt shot from 19 ft,,27-24,,
10:11.0,,,27-24,,Defensive rebound by G. Henderson
9:59.0,Personal foul by T. Hansbrough (drawn by C. McCollum),,27-24,,
9:51.0,,,27-26,2,M. Leonard makes 2-pt shot from 16 ft (assist by C. McCollum)
9:34.0,Turnover by P. Hairston (lost ball),,27-26,,
9:18.0,,,27-28,2,E. Davis makes 2-pt shot from 5 ft (assist by A. Crabbe)
9:05.0,N. Batum misses 3-pt shot from 24 ft,,27-28,,
9:04.0,,,27-28,,Defensive rebound by M. Leonard
8:55.0,,,27-31,3,C. McCollum makes 3-pt shot from 24 ft
8:48.0,Charlotte full timeout,,27-31,,
8:45.0,,,27-31,,Personal foul by A. Crabbe (drawn by N. Batum)
8:39.0,N. Batum misses 2-pt shot from 18 ft,,27-31,,
8:38.0,,,27-31,,Defensive rebound by G. Henderson
8:28.0,,,27-33,2,C. McCollum makes 2-pt shot from 2 ft
8:11.0,F. Kaminsky misses 3-pt shot from 24 ft,,27-33,,
8:10.0,Offensive rebound by N. Batum,,27-33,,
8:10.0,,,27-33,,Personal foul by E. Davis (drawn by N. Batum)
8:10.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,27-33,,
8:10.0,M. Williams enters the game for P. Hairston,,27-33,,
8:01.0,B. Roberts misses 2-pt shot from 15 ft,,27-33,,
7:59.0,Offensive rebound by T. Hansbrough,,27-33,,
7:56.0,T. Hansbrough misses 2-pt shot at rim (block by G. Henderson),,27-33,,
7:55.0,Offensive rebound by T. Hansbrough,,27-33,,
7:54.0,T. Hansbrough makes 2-pt shot at rim,2,29-33,,
7:29.0,,,29-33,,C. McCollum misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by Team,,29-33,,
7:29.0,,,29-33,,Loose ball foul by E. Davis (drawn by M. Kidd-Gilchrist)
7:12.0,M. Williams misses 3-pt shot from 24 ft,,29-33,,
7:11.0,,,29-33,,Defensive rebound by Team
6:59.0,,,29-33,,C. McCollum misses 2-pt shot from 21 ft
