time,Boston,pts.away,score,pts.home,Denver
6:54.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko),3,104-91,,
6:39.0,,,104-93,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton)
6:25.0,M. Smart makes 2-pt shot from 2 ft (assist by J. Jerebko),2,106-93,,
6:25.0,Technical foul by M. Smart,,106-93,,
6:25.0,,,106-93,,W. Barton misses technical free throw
6:25.0,,,106-93,,Offensive rebound by Team
6:25.0,,,106-93,,D. Gallinari enters the game for D. Arthur
6:25.0,,,106-93,,N. Jokic enters the game for J. Nurkic
6:12.0,Shooting block foul by M. Smart (drawn by D. Gallinari),,106-93,,
6:12.0,,,106-93,,D. Gallinari misses free throw 1 of 2
6:12.0,,,106-93,,Offensive rebound by Team
6:12.0,J. Crowder enters the game for J. Jerebko,,106-93,,
6:12.0,,,106-94,1,D. Gallinari makes free throw 2 of 2
6:03.0,Shooting foul by D. Augustin (drawn by I. Thomas),,106-94,,
6:03.0,I. Thomas makes free throw 1 of 3,1,107-94,,
6:03.0,I. Thomas makes free throw 2 of 3,1,108-94,,
6:03.0,,,108-94,,E. Mudiay enters the game for D. Augustin
6:03.0,I. Thomas makes free throw 3 of 3,1,109-94,,
5:46.0,,,109-94,,Turnover by W. Barton (bad pass; steal by J. Crowder)
5:40.0,I. Thomas misses 3-pt shot from 25 ft,,109-94,,
5:38.0,,,109-94,,Defensive rebound by D. Gallinari
5:28.0,,,109-94,,W. Barton misses 3-pt shot from 23 ft
5:27.0,Defensive rebound by A. Bradley,,109-94,,
5:19.0,Boston full timeout,,109-94,,
5:08.0,J. Crowder misses 2-pt shot from 21 ft,,109-94,,
5:07.0,Offensive rebound by M. Smart,,109-94,,
5:07.0,M. Smart misses 2-pt shot from 1 ft,,109-94,,
5:04.0,,,109-94,,Defensive rebound by N. Jokic
4:53.0,,,109-94,,Turnover by N. Jokic (offensive foul)
4:53.0,,,109-94,,Offensive foul by N. Jokic
4:53.0,J. Sullinger enters the game for T. Zeller,,109-94,,
4:39.0,Turnover by A. Bradley (bad pass; steal by G. Harris),,109-94,,
4:35.0,,,109-94,,Turnover by G. Harris (lost ball; steal by I. Thomas)
4:29.0,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas),2,111-94,,
4:08.0,,,111-94,,D. Gallinari misses 2-pt shot from 16 ft
4:07.0,Defensive rebound by J. Crowder,,111-94,,
3:55.0,,,111-94,,Personal foul by N. Jokic (drawn by J. Sullinger)
3:55.0,J. Sullinger makes free throw 1 of 2,1,112-94,,
3:55.0,,,112-94,,Violation by D. Gallinari (lane)
3:55.0,J. Sullinger misses free throw 2 of 2,,112-94,,
3:54.0,,,112-94,,Defensive rebound by W. Barton
3:45.0,,,112-94,,W. Barton misses 3-pt shot from 26 ft
3:45.0,,,112-94,,Offensive rebound by N. Jokic
3:45.0,,,112-96,2,N. Jokic makes 2-pt shot from 1 ft
3:45.0,,,112-96,,Shooting foul by J. Sullinger (drawn by N. Jokic)
3:45.0,,,112-96,,D. Augustin enters the game for G. Harris
3:45.0,,,112-97,1,N. Jokic makes free throw 1 of 1
3:32.0,A. Bradley makes 2-pt shot from 20 ft (assist by J. Sullinger),2,114-97,,
3:15.0,,,114-97,,Turnover by W. Barton (bad pass)
3:02.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Sullinger),2,116-97,,
3:02.0,Shooting foul by E. Mudiay (drawn by A. Bradley),,116-97,,
3:02.0,,,116-97,,M. Miller enters the game for D. Gallinari
3:02.0,,,116-97,,J. Lauvergne enters the game for N. Jokic
3:02.0,A. Bradley makes free throw 1 of 1,1,117-97,,
2:44.0,,,117-97,,E. Mudiay misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by J. Sullinger,,117-97,,
2:34.0,Turnover by J. Crowder (bad pass; steal by W. Barton),,117-97,,
2:30.0,,,117-97,,Turnover by E. Mudiay (lost ball)
2:30.0,Official timeout,,117-97,,
2:30.0,J. Mickey enters the game for J. Crowder,,117-97,,
2:30.0,R. Hunter enters the game for J. Sullinger,,117-97,,
2:30.0,T. Rozier enters the game for A. Bradley,,117-97,,
2:30.0,J. Jerebko enters the game for I. Thomas,,117-97,,
2:11.0,J. Mickey misses 2-pt shot from 12 ft,,117-97,,
2:09.0,Offensive rebound by Team,,117-97,,
1:58.0,R. Hunter misses 3-pt shot from 25 ft,,117-97,,
1:58.0,,,117-97,,Defensive rebound by Team
1:37.0,,,117-97,,E. Mudiay misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by Team,,117-97,,
1:36.0,J. Young enters the game for M. Smart,,117-97,,
1:28.0,J. Jerebko makes 2-pt shot at rim (assist by R. Hunter),2,119-97,,
1:04.0,,,119-97,,W. Barton misses 2-pt shot from 1 ft
1:03.0,Defensive rebound by J. Young,,119-97,,
0:55.0,J. Mickey misses 2-pt shot from 1 ft,,119-97,,
0:55.0,Offensive rebound by J. Mickey,,119-97,,
0:55.0,J. Mickey makes 2-pt shot from 1 ft,2,121-97,,
0:43.0,,,121-97,,Shooting foul by J. Mickey (drawn by E. Mudiay)
0:43.0,,,121-98,1,E. Mudiay makes free throw 1 of 2
0:43.0,,,121-98,,N. Jokic enters the game for J. Lauvergne
0:43.0,,,121-99,1,E. Mudiay makes free throw 2 of 2
0:30.0,T. Rozier misses 3-pt shot from 25 ft,,121-99,,
0:29.0,,,121-99,,Defensive rebound by M. Miller
0:19.0,,,121-101,2,E. Mudiay makes 2-pt shot from 14 ft (assist by N. Jokic)
0:00.0,End of 4th quarter,,,,End of 4th quarter
