time,Boston,pts.away,score,pts.home,Denver
1:07.0,Shooting foul by J. Nurkic (drawn by E. Turner),,31-14,,
1:07.0,E. Turner makes free throw 1 of 2,1,32-14,,
1:07.0,E. Turner makes free throw 2 of 2,1,33-14,,
0:57.0,,,33-16,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Augustin)
0:51.0,Turnover by M. Smart (lost ball),,33-16,,
0:51.0,A. Bradley enters the game for J. Crowder,,33-16,,
0:43.0,Personal foul by M. Smart (drawn by D. Arthur),,33-16,,
0:35.0,,,33-16,,M. Miller misses 2-pt shot from 20 ft
0:35.0,Defensive rebound by T. Zeller,,33-16,,
0:24.0,E. Turner makes 2-pt shot from 7 ft,2,35-16,,
0:10.0,Personal block foul by M. Smart (drawn by D. Augustin),,35-16,,
0:10.0,,,35-16,,D. Augustin misses free throw 1 of 2
0:10.0,,,35-16,,Offensive rebound by Team
0:10.0,,,35-17,1,D. Augustin makes free throw 2 of 2
0:01.0,M. Smart misses 3-pt shot from 24 ft,,35-17,,
0:00.0,Offensive rebound by J. Jerebko,,35-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,35-17,,Offensive foul by M. Miller
11:51.0,,,35-17,,Turnover by M. Miller (offensive foul)
11:36.0,T. Zeller misses 2-pt shot from 20 ft,,35-17,,
11:36.0,,,35-17,,Defensive rebound by W. Barton
11:20.0,,,35-17,,D. Arthur misses 2-pt shot from 1 ft
11:19.0,Defensive rebound by E. Turner,,35-17,,
11:08.0,Turnover by J. Jerebko (lost ball),,35-17,,
10:56.0,,,35-17,,D. Augustin misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by E. Turner,,35-17,,
10:46.0,E. Turner misses 2-pt shot from 12 ft,,35-17,,
10:45.0,,,35-17,,Defensive rebound by M. Miller
10:41.0,,,35-17,,W. Barton misses 2-pt shot from 6 ft
10:40.0,,,35-17,,Offensive rebound by J. Nurkic
10:38.0,,,35-17,,Shooting foul by T. Zeller (drawn by J. Nurkic)
10:38.0,,,35-18,1,J. Nurkic makes free throw 1 of 2
10:38.0,,,35-19,1,J. Nurkic makes free throw 2 of 2
10:27.0,A. Bradley misses 3-pt shot from 24 ft,,35-19,,
10:27.0,Offensive rebound by J. Jerebko,,35-19,,
10:18.0,A. Bradley misses 2-pt shot from 1 ft (block by J. Nurkic),,35-19,,
10:17.0,Offensive rebound by T. Zeller,,35-19,,
10:14.0,T. Zeller misses 2-pt shot from 1 ft (block by D. Arthur),,35-19,,
10:11.0,Offensive rebound by T. Zeller,,35-19,,
10:11.0,T. Zeller makes 2-pt shot from 1 ft,2,37-19,,
10:00.0,,,37-19,,Turnover by J. Nurkic (lost ball; steal by T. Zeller)
9:58.0,M. Smart misses 2-pt shot from 2 ft (block by M. Miller),,37-19,,
9:57.0,Offensive rebound by J. Jerebko,,37-19,,
9:56.0,J. Jerebko misses 2-pt shot at rim (block by W. Barton),,37-19,,
9:55.0,Offensive rebound by J. Jerebko,,37-19,,
9:54.0,J. Jerebko makes 2-pt shot from 2 ft,2,39-19,,
9:54.0,,,39-19,,Denver full timeout
9:54.0,,,39-19,,G. Harris enters the game for D. Arthur
9:54.0,,,39-19,,N. Jokic enters the game for J. Nurkic
9:41.0,,,39-19,,W. Barton misses 2-pt shot from 17 ft
9:40.0,Defensive rebound by T. Zeller,,39-19,,
9:27.0,Offensive foul by T. Zeller,,39-19,,
9:27.0,Turnover by T. Zeller (offensive foul),,39-19,,
9:11.0,,,39-21,2,W. Barton makes 2-pt shot from 5 ft
9:01.0,T. Zeller misses 2-pt shot from 1 ft,,39-21,,
9:01.0,,,39-21,,Defensive rebound by N. Jokic
8:55.0,,,39-21,,Turnover by W. Barton (lost ball; steal by M. Smart)
8:53.0,,,39-21,,Loose ball foul by N. Jokic (drawn by M. Smart)
8:45.0,,,39-21,,Shooting block foul by M. Miller (drawn by T. Zeller)
8:45.0,T. Zeller misses free throw 1 of 2,,39-21,,
8:45.0,Offensive rebound by Team,,39-21,,
8:45.0,T. Zeller makes free throw 2 of 2,1,40-21,,
8:33.0,,,40-23,2,N. Jokic makes 2-pt shot from 3 ft (assist by D. Augustin)
8:15.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,43-23,,
8:01.0,,,43-23,,D. Augustin misses 2-pt shot from 2 ft
7:59.0,,,43-23,,Offensive rebound by N. Jokic
7:59.0,,,43-25,2,N. Jokic makes 2-pt shot from 1 ft
7:46.0,T. Zeller makes 2-pt shot from 2 ft,2,45-25,,
7:33.0,,,45-25,,W. Barton misses 2-pt shot from 3 ft
7:31.0,Defensive rebound by E. Turner,,45-25,,
7:25.0,,,45-25,,D. Gallinari enters the game for M. Miller
7:17.0,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner),2,47-25,,
6:59.0,,,47-25,,N. Jokic misses 2-pt shot from 14 ft
6:58.0,Defensive rebound by E. Turner,,47-25,,
6:46.0,E. Turner makes 2-pt shot from 1 ft,2,49-25,,
6:26.0,,,49-25,,Turnover by N. Jokic (bad pass; steal by M. Smart)
6:03.0,J. Jerebko misses 2-pt shot from 2 ft,,49-25,,
6:01.0,Offensive rebound by M. Smart,,49-25,,
5:55.0,A. Bradley misses 3-pt shot from 26 ft,,49-25,,
5:54.0,Offensive rebound by Team,,49-25,,
5:54.0,Official timeout,,49-25,,
5:54.0,I. Thomas enters the game for E. Turner,,49-25,,
5:54.0,J. Sullinger enters the game for J. Jerebko,,49-25,,
5:54.0,J. Crowder enters the game for T. Zeller,,49-25,,
5:54.0,,,49-25,,E. Mudiay enters the game for W. Barton
5:44.0,J. Sullinger makes 2-pt shot from 22 ft (assist by I. Thomas),2,51-25,,
5:22.0,,,51-28,3,D. Augustin makes 3-pt shot from 23 ft (assist by D. Gallinari)
5:02.0,J. Sullinger misses 2-pt shot from 14 ft,,51-28,,
5:01.0,,,51-28,,Defensive rebound by N. Jokic
4:51.0,,,51-30,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
4:34.0,J. Crowder misses 3-pt shot from 25 ft,,51-30,,
4:33.0,,,51-30,,Defensive rebound by D. Augustin
4:30.0,,,51-30,,Shooting foul by J. Crowder (drawn by D. Gallinari)
4:30.0,,,51-31,1,D. Gallinari makes free throw 1 of 2
4:30.0,,,51-32,1,D. Gallinari makes free throw 2 of 2
4:14.0,I. Thomas misses 2-pt shot from 5 ft,,51-32,,
4:13.0,,,51-32,,Defensive rebound by E. Mudiay
4:07.0,,,51-35,3,D. Augustin makes 3-pt shot from 24 ft (assist by G. Harris)
3:50.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Thomas),3,54-35,,
3:46.0,,,54-35,,Shooting foul by A. Bradley (drawn by G. Harris)
3:46.0,,,54-37,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
3:46.0,J. Jerebko enters the game for J. Sullinger,,54-37,,
3:46.0,E. Turner enters the game for M. Smart,,54-37,,
3:46.0,A. Johnson enters the game for J. Crowder,,54-37,,
3:46.0,,,54-38,1,G. Harris makes free throw 1 of 1
3:33.0,A. Bradley makes 2-pt shot from 19 ft (assist by A. Johnson),2,56-38,,
3:14.0,,,56-38,,G. Harris misses 3-pt shot from 25 ft (block by J. Jerebko)
3:13.0,Defensive rebound by A. Bradley,,56-38,,
3:06.0,I. Thomas misses 2-pt shot from 15 ft,,56-38,,
3:05.0,,,56-38,,Defensive rebound by N. Jokic
2:59.0,,,56-38,,Turnover by E. Mudiay (bad pass)
2:59.0,Boston full timeout,,56-38,,
2:48.0,E. Turner makes 2-pt shot from 17 ft (assist by I. Thomas),2,58-38,,
2:26.0,,,58-38,,G. Harris misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by J. Jerebko,,58-38,,
2:15.0,Turnover by A. Johnson (bad pass; steal by N. Jokic),,58-38,,
2:12.0,Shooting block foul by J. Jerebko (drawn by D. Augustin),,58-38,,
2:12.0,,,58-39,1,D. Augustin makes free throw 1 of 2
2:12.0,,,58-40,1,D. Augustin makes free throw 2 of 2
2:04.0,Turnover by I. Thomas (bad pass; steal by E. Mudiay),,58-40,,
1:43.0,,,58-40,,Shooting foul by A. Johnson (drawn by N. Jokic)
1:43.0,,,58-42,2,N. Jokic makes 2-pt shot from 3 ft
1:43.0,,,58-42,,W. Barton enters the game for D. Gallinari
1:43.0,J. Crowder enters the game for A. Bradley,,58-42,,
1:43.0,,,58-43,1,N. Jokic makes free throw 1 of 1
1:31.0,E. Turner makes 3-pt shot from 24 ft (assist by I. Thomas),3,61-43,,
1:09.0,,,61-45,2,N. Jokic makes 2-pt shot from 3 ft
0:49.0,E. Turner misses 3-pt shot from 22 ft,,61-45,,
0:49.0,,,61-45,,Defensive rebound by W. Barton
0:39.0,,,61-45,,Shooting foul by J. Crowder (drawn by E. Mudiay)
0:39.0,,,61-46,1,E. Mudiay makes free throw 1 of 2
0:39.0,M. Smart enters the game for J. Jerebko,,61-46,,
0:39.0,T. Zeller enters the game for A. Johnson,,61-46,,
0:39.0,,,61-47,1,E. Mudiay makes free throw 2 of 2
0:32.0,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas),3,64-47,,
0:15.0,Shooting block foul by T. Zeller (drawn by E. Mudiay),,64-47,,
0:15.0,,,64-48,1,E. Mudiay makes free throw 1 of 2
0:15.0,,,64-49,1,E. Mudiay makes free throw 2 of 2
0:10.0,,,64-49,,Personal take foul by D. Augustin (drawn by I. Thomas)
0:03.0,T. Zeller misses 2-pt shot from 17 ft,,64-49,,
0:02.0,,,64-49,,Defensive rebound by N. Jokic
0:01.0,,,64-49,,W. Barton misses 3-pt shot from 51 ft
0:00.0,,,64-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,64-49,,Shooting foul by I. Thomas (drawn by G. Harris)
11:49.0,,,64-49,,G. Harris misses free throw 1 of 2
11:49.0,,,64-49,,Offensive rebound by Team
11:49.0,,,64-50,1,G. Harris makes free throw 2 of 2
11:38.0,J. Sullinger misses 2-pt shot from 19 ft,,64-50,,
11:37.0,,,64-50,,Defensive rebound by D. Gallinari
11:25.0,,,64-52,2,D. Gallinari makes 2-pt shot from 1 ft
11:10.0,J. Crowder makes 3-pt shot from 23 ft (assist by I. Thomas),3,67-52,,
10:48.0,,,67-52,,N. Jokic misses 2-pt shot from 4 ft
10:47.0,Defensive rebound by J. Sullinger,,67-52,,
10:36.0,A. Bradley misses 3-pt shot from 22 ft,,67-52,,
10:35.0,,,67-52,,Defensive rebound by K. Faried
10:29.0,,,67-55,3,E. Mudiay makes 3-pt shot from 24 ft (assist by K. Faried)
10:09.0,Turnover by I. Thomas (lost ball; steal by N. Jokic),,67-55,,
10:05.0,,,67-55,,Turnover by N. Jokic (bad pass)
9:53.0,A. Johnson misses 3-pt shot from 26 ft,,67-55,,
9:51.0,,,67-55,,Defensive rebound by Team
9:34.0,,,67-57,2,N. Jokic makes 2-pt shot from 11 ft (assist by E. Mudiay)
9:16.0,Turnover by J. Crowder (bad pass; steal by E. Mudiay),,67-57,,
9:12.0,,,67-59,2,E. Mudiay makes 2-pt shot from 2 ft
9:12.0,Boston full timeout,,67-59,,
9:02.0,I. Thomas misses 3-pt shot from 25 ft,,67-59,,
9:01.0,,,67-59,,Defensive rebound by E. Mudiay
8:51.0,,,67-62,3,N. Jokic makes 3-pt shot from 26 ft (assist by E. Mudiay)
8:38.0,Turnover by A. Bradley (bad pass; steal by D. Gallinari),,67-62,,
8:31.0,,,67-62,,D. Gallinari misses 2-pt shot from 2 ft (block by I. Thomas)
8:30.0,,,67-62,,Offensive rebound by E. Mudiay
8:24.0,,,67-62,,E. Mudiay misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by I. Thomas,,67-62,,
8:16.0,J. Sullinger makes 2-pt shot at rim (assist by J. Crowder),2,69-62,,
7:58.0,,,69-62,,G. Harris misses 2-pt shot from 19 ft
7:57.0,Defensive rebound by J. Sullinger,,69-62,,
7:46.0,J. Crowder misses 3-pt shot from 25 ft,,69-62,,
7:45.0,,,69-62,,Defensive rebound by N. Jokic
7:34.0,,,69-62,,G. Harris misses 2-pt shot from 16 ft
7:33.0,Defensive rebound by J. Sullinger,,69-62,,
7:27.0,I. Thomas makes 2-pt shot from 6 ft (assist by J. Sullinger),2,71-62,,
7:27.0,Shooting foul by E. Mudiay (drawn by I. Thomas),,71-62,,
7:27.0,E. Turner enters the game for J. Crowder,,71-62,,
7:27.0,M. Smart enters the game for A. Johnson,,71-62,,
7:27.0,I. Thomas makes free throw 1 of 1,1,72-62,,
7:17.0,Personal foul by M. Smart (drawn by K. Faried),,72-62,,
7:17.0,J. Crowder enters the game for A. Bradley,,72-62,,
7:06.0,,,72-64,2,D. Gallinari makes 2-pt shot from 1 ft
6:57.0,Turnover by I. Thomas (bad pass; steal by G. Harris),,72-64,,
6:50.0,,,72-64,,Offensive charge foul by E. Mudiay
6:50.0,,,72-64,,Turnover by E. Mudiay (offensive foul)
6:39.0,M. Smart misses 3-pt shot from 24 ft,,72-64,,
6:39.0,Offensive rebound by J. Sullinger,,72-64,,
6:36.0,J. Sullinger makes 2-pt shot from 1 ft,2,74-64,,
6:31.0,Personal foul by E. Turner (drawn by D. Gallinari),,74-64,,
6:31.0,,,74-64,,W. Barton enters the game for K. Faried
6:23.0,,,74-64,,Turnover by E. Mudiay (bad pass; steal by M. Smart)
6:19.0,J. Crowder makes 2-pt shot at rim (assist by M. Smart),2,76-64,,
6:17.0,,,76-64,,Denver full timeout
5:54.0,,,76-66,2,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton)
5:35.0,M. Smart makes 2-pt shot from 16 ft,2,78-66,,
5:26.0,,,78-66,,Shooting foul by J. Sullinger (drawn by D. Gallinari)
5:26.0,,,78-67,1,D. Gallinari makes free throw 1 of 2
5:26.0,,,78-67,,D. Augustin enters the game for G. Harris
5:26.0,,,78-67,,D. Gallinari misses free throw 2 of 2
5:24.0,Defensive rebound by E. Turner,,78-67,,
5:09.0,J. Crowder misses 2-pt shot from 19 ft,,78-67,,
5:07.0,,,78-67,,Defensive rebound by W. Barton
5:00.0,,,78-67,,N. Jokic misses 2-pt shot from 1 ft
4:59.0,Defensive rebound by J. Sullinger,,78-67,,
