time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Gobert (T. Parker gains possession),,,,Jump ball: T. Duncan vs. R. Gobert (T. Parker gains possession)
11:38.0,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Parker),2,2-0,,
11:16.0,,,2-2,2,S. Mack makes 2-pt shot from 9 ft (assist by G. Hayward)
11:02.0,T. Parker makes 2-pt shot from 5 ft,2,4-2,,
10:46.0,,,4-4,2,G. Hayward makes 2-pt shot from 1 ft (assist by R. Gobert)
10:31.0,T. Parker makes 2-pt shot from 21 ft (assist by D. Green),2,6-4,,
10:06.0,,,6-4,,D. Favors misses 2-pt shot from 15 ft
10:05.0,Defensive rebound by K. Leonard,,6-4,,
9:48.0,L. Aldridge makes 2-pt shot from 15 ft,2,8-4,,
9:27.0,,,8-6,2,S. Mack makes 2-pt shot from 18 ft
9:10.0,D. Green misses 2-pt shot from 16 ft,,8-6,,
9:10.0,,,8-6,,Defensive rebound by R. Gobert
8:54.0,,,8-8,2,R. Hood makes 2-pt shot from 20 ft
8:33.0,L. Aldridge makes 2-pt shot from 18 ft,2,10-8,,
8:15.0,,,10-8,,R. Hood misses 2-pt shot from 2 ft (block by K. Leonard)
8:15.0,,,10-8,,Offensive rebound by Team
8:14.0,,,10-8,,Turnover by R. Hood (lost ball; steal by T. Parker)
8:08.0,T. Parker misses 2-pt shot from 5 ft,,10-8,,
8:08.0,Offensive rebound by K. Leonard,,10-8,,
8:01.0,L. Aldridge misses 2-pt shot from 18 ft,,10-8,,
8:01.0,,,10-8,,Defensive rebound by S. Mack
7:48.0,,,10-8,,G. Hayward misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by T. Duncan,,10-8,,
7:37.0,Turnover by K. Leonard (lost ball; steal by D. Favors),,10-8,,
7:28.0,,,10-8,,G. Hayward misses 2-pt shot from 3 ft
7:28.0,,,10-8,,Offensive rebound by R. Gobert
7:27.0,,,10-8,,Turnover by R. Gobert (traveling)
7:14.0,K. Leonard misses 3-pt shot from 24 ft,,10-8,,
7:13.0,,,10-8,,Defensive rebound by D. Favors
6:53.0,,,10-10,2,G. Hayward makes 2-pt shot at rim
6:53.0,San Antonio full timeout,,10-10,,
6:39.0,T. Parker misses 2-pt shot from 18 ft,,10-10,,
6:38.0,,,10-10,,Defensive rebound by D. Favors
6:21.0,,,10-12,2,R. Hood makes 2-pt shot from 7 ft
6:05.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,12-12,,
5:43.0,,,12-12,,Shooting foul by T. Duncan (drawn by D. Favors)
5:43.0,,,12-13,1,D. Favors makes free throw 1 of 2
5:43.0,M. Ginobili enters the game for D. Green,,12-13,,
5:43.0,,,12-14,1,D. Favors makes free throw 2 of 2
5:26.0,T. Parker misses 2-pt shot from 21 ft,,12-14,,
5:25.0,,,12-14,,Defensive rebound by D. Favors
5:12.0,,,12-16,2,R. Hood makes 2-pt shot from 3 ft
4:45.0,M. Ginobili misses 2-pt shot from 13 ft,,12-16,,
4:45.0,,,12-16,,Defensive rebound by G. Hayward
4:26.0,,,12-18,2,S. Mack makes 2-pt shot from 9 ft
4:04.0,M. Ginobili makes 2-pt shot from 18 ft,2,14-18,,
3:46.0,,,14-18,,Turnover by R. Hood (lost ball)
3:46.0,P. Mills enters the game for T. Parker,,14-18,,
3:46.0,K. Anderson enters the game for K. Leonard,,14-18,,
3:46.0,,,14-18,,J. Ingles enters the game for G. Hayward
3:46.0,D. West enters the game for T. Duncan,,14-18,,
3:32.0,L. Aldridge makes 2-pt shot from 8 ft (assist by M. Ginobili),2,16-18,,
3:13.0,,,16-18,,S. Mack misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by M. Ginobili,,16-18,,
3:03.0,Turnover by P. Mills (lost ball; steal by J. Ingles),,16-18,,
2:59.0,,,16-18,,Turnover by R. Hood (lost ball; steal by K. Anderson)
2:49.0,,,16-18,,Utah full timeout
2:49.0,,,16-18,,T. Lyles enters the game for D. Favors
2:34.0,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Anderson),2,18-18,,
2:19.0,,,18-18,,R. Hood misses 3-pt shot from 24 ft
2:18.0,,,18-18,,Offensive rebound by R. Gobert
2:16.0,,,18-18,,Turnover by R. Gobert (lost ball; steal by P. Mills)
2:10.0,,,18-18,,Personal foul by R. Gobert
2:01.0,L. Aldridge misses 2-pt shot from 1 ft,,18-18,,
2:01.0,,,18-18,,Defensive rebound by T. Lyles
1:39.0,,,18-18,,R. Hood misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by K. Anderson,,18-18,,
1:19.0,M. Ginobili misses 3-pt shot from 23 ft,,18-18,,
1:18.0,Offensive rebound by L. Aldridge,,18-18,,
1:08.0,M. Ginobili makes 2-pt shot from 3 ft,2,20-18,,
0:48.0,,,20-20,2,T. Lyles makes 2-pt shot from 11 ft
0:29.0,Shooting foul by R. Gobert (drawn by K. Anderson),,20-20,,
0:29.0,K. Anderson makes free throw 1 of 2,1,21-20,,
0:29.0,,,21-20,,D. Favors enters the game for R. Gobert
0:29.0,D. Green enters the game for L. Aldridge,,21-20,,
0:29.0,K. Anderson makes free throw 2 of 2,1,22-20,,
0:11.0,,,22-20,,R. Hood misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by D. West,,22-20,,
0:02.0,D. West makes 3-pt shot from 24 ft (assist by P. Mills),3,25-20,,
0:01.0,,,25-20,,D. Favors misses 3-pt shot from 52 ft
0:00.0,,,25-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by P. Mills,,25-20,,
11:33.0,,,25-20,,T. Lyles misses 2-pt shot from 7 ft
11:32.0,Defensive rebound by D. Green,,25-20,,
11:23.0,Shooting foul by T. Lyles (drawn by K. Leonard),,25-20,,
11:23.0,K. Leonard makes free throw 1 of 2,1,26-20,,
11:23.0,K. Leonard makes free throw 2 of 2,1,27-20,,
11:04.0,,,27-20,,C. Johnson misses 3-pt shot from 23 ft
11:03.0,Defensive rebound by K. Anderson,,27-20,,
10:49.0,K. Anderson makes 2-pt shot from 13 ft,2,29-20,,
10:42.0,,,29-20,,Utah full timeout
10:42.0,,,29-20,,G. Hayward enters the game for J. Ingles
10:23.0,,,29-20,,C. Johnson misses 3-pt shot from 22 ft
10:23.0,Defensive rebound by P. Mills,,29-20,,
10:18.0,Offensive foul by K. Leonard,,29-20,,
10:18.0,Turnover by K. Leonard (offensive foul),,29-20,,
10:08.0,,,29-20,,T. Lyles misses 3-pt shot from 23 ft
10:07.0,Defensive rebound by K. Leonard,,29-20,,
9:54.0,K. Leonard makes 2-pt shot from 10 ft,2,31-20,,
9:42.0,Personal foul by P. Mills,,31-20,,
9:42.0,,,31-20,,J. Ingles enters the game for C. Johnson
9:27.0,,,31-20,,R. Neto misses 2-pt shot from 22 ft
9:27.0,Defensive rebound by D. West,,31-20,,
9:08.0,,,31-20,,T. Booker enters the game for D. Favors
9:03.0,K. Anderson misses 2-pt shot from 16 ft,,31-20,,
9:02.0,,,31-20,,Defensive rebound by G. Hayward
