time,Minnesota,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. K. Towns (G. Dieng gains possession),,,,Jump ball: A. Ajinca vs. K. Towns (G. Dieng gains possession)
11:44.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,2-0,,
11:31.0,,,2-0,,Turnover by D. Cunningham (bad pass)
11:18.0,R. Rubio misses 3-pt shot from 25 ft,,2-0,,
11:16.0,,,2-0,,Defensive rebound by R. Anderson
11:07.0,,,2-0,,R. Anderson misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by Z. LaVine,,2-0,,
10:57.0,Shooting foul by N. Cole (drawn by R. Rubio),,2-0,,
10:57.0,R. Rubio makes free throw 1 of 2,1,3-0,,
10:57.0,,,3-0,,A. Gee enters the game for D. Cunningham
10:57.0,R. Rubio makes free throw 2 of 2,1,4-0,,
10:43.0,,,4-0,,Shooting foul by K. Towns (drawn by R. Anderson)
10:43.0,,,4-1,1,R. Anderson makes free throw 1 of 2
10:43.0,,,4-1,,D. Cunningham enters the game for A. Gee
10:43.0,,,4-2,1,R. Anderson makes free throw 2 of 2
10:26.0,K. Towns makes 2-pt shot from 1 ft,2,6-2,,
10:19.0,,,6-4,2,E. Gordon makes 2-pt shot from 1 ft (assist by N. Cole)
10:02.0,Z. LaVine makes 2-pt shot from 20 ft (assist by G. Dieng),2,8-4,,
9:41.0,,,8-4,,E. Gordon misses 2-pt shot from 2 ft
9:40.0,Defensive rebound by A. Wiggins,,8-4,,
9:26.0,G. Dieng makes 2-pt shot from 6 ft (assist by A. Wiggins),2,10-4,,
9:10.0,,,10-7,3,R. Anderson makes 3-pt shot from 24 ft (assist by N. Cole)
8:45.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,12-7,,
8:32.0,,,12-7,,A. Ajinca misses 2-pt shot from 19 ft
8:32.0,Defensive rebound by G. Dieng,,12-7,,
8:22.0,G. Dieng misses 2-pt shot from 17 ft,,12-7,,
8:21.0,,,12-7,,Defensive rebound by N. Cole
8:16.0,,,12-7,,D. Cunningham misses 2-pt shot from 8 ft
8:15.0,Defensive rebound by K. Towns,,12-7,,
8:01.0,A. Wiggins misses 3-pt shot from 23 ft,,12-7,,
7:58.0,,,12-7,,Defensive rebound by N. Cole
7:52.0,,,12-7,,R. Anderson misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by K. Towns,,12-7,,
7:42.0,R. Rubio misses 2-pt shot from 1 ft,,12-7,,
7:41.0,,,12-7,,Defensive rebound by N. Cole
7:30.0,,,12-7,,N. Cole misses 2-pt shot from 21 ft
7:29.0,Defensive rebound by K. Towns,,12-7,,
7:16.0,Turnover by Z. LaVine (step out of bounds),,12-7,,
7:05.0,,,12-7,,E. Gordon misses 3-pt shot from 22 ft
7:04.0,Defensive rebound by R. Rubio,,12-7,,
6:52.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,14-7,,
