time,Portland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Plumlee (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. M. Plumlee (R. Westbrook gains possession)
12:00.0,,,0-0,,Violation by Team (delay of game)
11:52.0,,,0-0,,Turnover by S. Ibaka (offensive foul)
11:52.0,,,0-0,,Offensive foul by S. Ibaka
11:36.0,A. Aminu misses 2-pt shot from 2 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by S. Adams
11:26.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by A. Aminu)
11:22.0,A. Aminu misses 2-pt shot from 1 ft (block by R. Westbrook),,0-0,,
11:21.0,Offensive rebound by M. Plumlee,,0-0,,
11:09.0,D. Lillard misses 2-pt shot from 14 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by Team
10:54.0,,,0-0,,K. Durant misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by N. Vonleh,,0-0,,
10:36.0,C. McCollum makes 2-pt shot from 15 ft,2,2-0,,
10:23.0,,,2-2,2,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook)
10:10.0,C. McCollum makes 2-pt shot from 20 ft,2,4-2,,
9:54.0,,,4-2,,S. Adams misses 2-pt shot at rim
9:52.0,Defensive rebound by D. Lillard,,4-2,,
9:41.0,A. Aminu makes 3-pt shot from 23 ft (assist by M. Plumlee),3,7-2,,
9:28.0,,,7-4,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
9:01.0,M. Plumlee misses 2-pt shot from 5 ft,,7-4,,
9:00.0,Offensive rebound by N. Vonleh,,7-4,,
8:56.0,C. McCollum misses 2-pt shot from 16 ft,,7-4,,
8:55.0,,,7-4,,Defensive rebound by K. Durant
8:44.0,,,7-6,2,R. Westbrook makes 2-pt shot from 6 ft
8:33.0,M. Plumlee misses 2-pt shot from 9 ft,,7-6,,
8:32.0,,,7-6,,Defensive rebound by K. Durant
8:14.0,,,7-6,,A. Roberson misses 3-pt shot from 23 ft
8:12.0,,,7-6,,Offensive rebound by S. Adams
8:11.0,,,7-6,,Turnover by S. Adams (lost ball)
7:57.0,,,7-6,,Personal foul by A. Roberson (drawn by M. Plumlee)
7:50.0,D. Lillard misses 2-pt shot from 14 ft,,7-6,,
7:50.0,,,7-6,,Defensive rebound by K. Durant
7:41.0,,,7-8,2,S. Adams makes 2-pt shot from 3 ft (assist by K. Durant)
7:41.0,,,7-8,,Shooting foul by N. Vonleh (drawn by S. Adams)
7:41.0,,,7-9,1,S. Adams makes free throw 1 of 1
7:26.0,C. McCollum makes 3-pt shot from 24 ft,3,10-9,,
