time,Charlotte,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:52.0,,,0-0,,M. Morris misses 2-pt shot from 2 ft
12:00.0,Jump ball: M. Gortat vs. C. Zeller (M. Morris gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (M. Morris gains possession)
11:51.0,Defensive rebound by M. Williams,,0-0,,
11:41.0,,,0-0,,Flagrant foul type 1 by M. Morris
11:41.0,C. Zeller makes flagrant free throw 1 of 2,1,1-0,,
11:41.0,C. Zeller makes flagrant free throw 2 of 2,1,2-0,,
11:35.0,N. Batum misses 2-pt shot from 14 ft,,2-0,,
11:34.0,,,2-0,,Defensive rebound by M. Gortat
11:18.0,,,2-0,,M. Morris misses 2-pt shot from 16 ft
11:16.0,,,2-0,,Offensive rebound by M. Gortat
11:14.0,,,2-2,2,M. Gortat makes 2-pt shot from 7 ft
11:04.0,Offensive foul by M. Williams,,2-2,,
11:04.0,Turnover by M. Williams (offensive foul),,2-2,,
10:45.0,,,2-2,,B. Beal misses 2-pt shot from 6 ft (block by K. Walker)
10:42.0,,,2-2,,Offensive rebound by B. Beal
10:40.0,,,2-2,,M. Morris misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by N. Batum,,2-2,,
10:18.0,Turnover by K. Walker (lost ball; steal by M. Morris),,2-2,,
10:13.0,,,2-2,,O. Porter misses 2-pt shot from 14 ft
10:12.0,Defensive rebound by C. Zeller,,2-2,,
10:05.0,K. Walker makes 2-pt shot from 6 ft,2,4-2,,
9:52.0,,,4-5,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Sessions)
9:32.0,C. Lee makes 3-pt shot from 24 ft (assist by M. Williams),3,7-5,,
9:16.0,,,7-7,2,M. Gortat makes 2-pt shot from 9 ft
8:51.0,C. Lee misses 2-pt shot from 5 ft,,7-7,,
8:50.0,,,7-7,,Defensive rebound by M. Gortat
8:41.0,Personal foul by C. Lee,,7-7,,
8:37.0,,,7-7,,O. Porter misses 2-pt shot from 19 ft
8:35.0,Defensive rebound by M. Williams,,7-7,,
8:23.0,M. Williams misses 3-pt shot from 27 ft,,7-7,,
8:22.0,,,7-7,,Defensive rebound by R. Sessions
8:14.0,,,7-9,2,M. Morris makes 2-pt shot from 1 ft (assist by R. Sessions)
8:01.0,M. Williams makes 3-pt shot from 28 ft (assist by K. Walker),3,10-9,,
7:44.0,,,10-11,2,O. Porter makes 2-pt shot at rim (assist by M. Morris)
7:27.0,Turnover by M. Williams (offensive foul),,10-11,,
7:27.0,Offensive charge foul by M. Williams,,10-11,,
7:27.0,F. Kaminsky enters the game for M. Williams,,10-11,,
7:08.0,,,10-11,,R. Sessions misses 2-pt shot from 2 ft
7:06.0,Defensive rebound by C. Zeller,,10-11,,
6:59.0,C. Zeller makes 2-pt shot from 20 ft (assist by K. Walker),2,12-11,,
6:44.0,,,12-13,2,M. Gortat makes 2-pt shot from 12 ft
6:19.0,K. Walker misses 3-pt shot from 26 ft,,12-13,,
6:18.0,,,12-13,,Defensive rebound by M. Gortat
6:02.0,,,12-15,2,M. Gortat makes 2-pt shot from 12 ft
5:45.0,Turnover by N. Batum (traveling),,12-15,,
5:45.0,,,12-15,,Washington full timeout
5:45.0,A. Jefferson enters the game for C. Zeller,,12-15,,
5:27.0,,,12-18,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Morris)
5:04.0,C. Lee misses 2-pt shot from 12 ft,,12-18,,
5:03.0,Offensive rebound by C. Lee,,12-18,,
5:01.0,Turnover by C. Lee (lost ball; steal by B. Beal),,12-18,,
4:57.0,,,12-18,,Turnover by B. Beal (bad pass)
4:51.0,C. Lee misses 2-pt shot from 19 ft,,12-18,,
4:50.0,Offensive rebound by A. Jefferson,,12-18,,
4:48.0,A. Jefferson makes 2-pt shot from 2 ft,2,14-18,,
4:26.0,,,14-18,,R. Sessions misses 2-pt shot from 20 ft
4:25.0,,,14-18,,Offensive rebound by M. Morris
4:24.0,,,14-20,2,M. Morris makes 2-pt shot from 2 ft
4:17.0,Charlotte full timeout,,14-20,,
4:17.0,J. Lin enters the game for C. Lee,,14-20,,
4:17.0,,,14-20,,M. Thornton enters the game for B. Beal
4:07.0,Shooting foul by O. Porter (drawn by N. Batum),,14-20,,
4:07.0,N. Batum makes free throw 1 of 2,1,15-20,,
4:07.0,N. Batum makes free throw 2 of 2,1,16-20,,
3:48.0,,,16-20,,Turnover by M. Gortat (lost ball; steal by N. Batum)
3:35.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by N. Batum),2,18-20,,
3:35.0,Shooting foul by M. Gortat (drawn by F. Kaminsky),,18-20,,
3:35.0,F. Kaminsky makes free throw 1 of 1,1,19-20,,
3:20.0,,,19-22,2,M. Morris makes 2-pt shot from 9 ft
2:58.0,N. Batum makes 2-pt shot from 21 ft,2,21-22,,
2:45.0,,,21-24,2,M. Gortat makes 2-pt shot at rim (assist by M. Thornton)
2:19.0,A. Jefferson makes 2-pt shot from 7 ft,2,23-24,,
2:07.0,,,23-26,2,R. Sessions makes 2-pt shot at rim
1:48.0,J. Lin misses 3-pt shot from 26 ft,,23-26,,
1:47.0,,,23-26,,Defensive rebound by M. Gortat
1:42.0,Personal foul by N. Batum,,23-26,,
1:42.0,T. Daniels enters the game for N. Batum,,23-26,,
1:42.0,,,23-26,,A. Anderson enters the game for O. Porter
1:36.0,,,23-26,,M. Thornton misses 2-pt shot from 14 ft
1:34.0,Defensive rebound by J. Lin,,23-26,,
1:28.0,K. Walker misses 3-pt shot from 26 ft,,23-26,,
1:27.0,,,23-26,,Defensive rebound by M. Gortat
1:12.0,,,23-28,2,R. Sessions makes 2-pt shot at rim (assist by M. Gortat)
0:52.0,Shooting foul by M. Morris (drawn by F. Kaminsky),,23-28,,
0:52.0,F. Kaminsky misses free throw 1 of 2,,23-28,,
0:52.0,Offensive rebound by Team,,23-28,,
0:52.0,,,23-28,,J. Dudley enters the game for M. Morris
0:52.0,,,23-28,,G. Temple enters the game for R. Sessions
0:52.0,F. Kaminsky makes free throw 2 of 2,1,24-28,,
0:40.0,,,24-28,,Turnover by G. Temple (bad pass)
0:34.0,,,24-28,,Personal foul by G. Temple
0:34.0,K. Walker misses free throw 1 of 2,,24-28,,
0:34.0,Offensive rebound by Team,,24-28,,
0:34.0,K. Walker misses free throw 2 of 2,,24-28,,
0:34.0,,,24-28,,Defensive rebound by M. Gortat
0:15.0,,,24-28,,A. Anderson misses 2-pt shot from 12 ft
0:14.0,Defensive rebound by A. Jefferson,,24-28,,
0:01.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lin),3,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Lin misses 2-pt shot from 2 ft (block by J. Dudley),,27-28,,
11:40.0,,,27-28,,Defensive rebound by N. Hilario
11:26.0,,,27-28,,J. Dudley misses 2-pt shot from 15 ft
11:25.0,Defensive rebound by A. Jefferson,,27-28,,
11:17.0,A. Jefferson misses 2-pt shot from 16 ft,,27-28,,
11:16.0,,,27-28,,Defensive rebound by A. Anderson
11:07.0,,,27-28,,N. Hilario misses 2-pt shot from 5 ft
11:06.0,Defensive rebound by A. Jefferson,,27-28,,
10:55.0,C. Lee misses 2-pt shot from 16 ft,,27-28,,
10:54.0,,,27-28,,Defensive rebound by M. Thornton
10:46.0,,,27-28,,Shooting foul by A. Jefferson (drawn by M. Thornton)
10:46.0,,,27-29,1,M. Thornton makes free throw 1 of 2
10:46.0,,,27-30,1,M. Thornton makes free throw 2 of 2
10:25.0,Turnover by A. Jefferson (lost ball; steal by J. Dudley),,27-30,,
10:20.0,,,27-32,2,G. Temple makes 2-pt shot at rim (assist by J. Dudley)
10:20.0,,,27-32,,Shooting foul by T. Daniels (drawn by G. Temple)
10:20.0,,,27-33,1,G. Temple makes free throw 1 of 1
10:05.0,J. Lin misses 2-pt shot from 1 ft (block by N. Hilario),,27-33,,
10:04.0,,,27-33,,Defensive rebound by A. Anderson
10:01.0,,,27-35,2,A. Anderson makes 2-pt shot from 1 ft
10:00.0,Charlotte full timeout,,27-35,,
9:44.0,Turnover by T. Daniels (lost ball; steal by M. Thornton),,27-35,,
9:27.0,,,27-35,,M. Thornton misses 2-pt shot from 1 ft (block by C. Lee)
9:25.0,Defensive rebound by F. Kaminsky,,27-35,,
9:17.0,T. Daniels makes 3-pt shot from 25 ft (assist by J. Lin),3,30-35,,
9:05.0,,,30-37,2,J. Dudley makes 2-pt shot from 11 ft (assist by G. Temple)
8:44.0,T. Daniels misses 3-pt shot from 28 ft,,30-37,,
8:43.0,,,30-37,,Defensive rebound by Team
8:29.0,,,30-37,,N. Hilario misses 2-pt shot from 14 ft
8:28.0,Defensive rebound by A. Jefferson,,30-37,,
8:19.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lin),3,33-37,,
8:10.0,,,33-37,,Shooting foul by C. Lee (drawn by N. Hilario)
8:10.0,,,33-37,,N. Hilario misses free throw 1 of 2
8:10.0,,,33-37,,Offensive rebound by Team
8:10.0,,,33-38,1,N. Hilario makes free throw 2 of 2
7:56.0,A. Jefferson makes 2-pt shot from 17 ft (assist by T. Daniels),2,35-38,,
7:50.0,,,35-40,2,N. Hilario makes 2-pt shot from 2 ft (assist by G. Temple)
7:50.0,,,35-40,,Shooting foul by A. Jefferson (drawn by N. Hilario)
7:50.0,N. Batum enters the game for C. Lee,,35-40,,
7:50.0,C. Zeller enters the game for A. Jefferson,,35-40,,
7:50.0,,,35-41,1,N. Hilario makes free throw 1 of 1
7:35.0,Turnover by J. Lin (lost ball; steal by J. Dudley),,35-41,,
7:28.0,Personal foul by C. Zeller,,35-41,,
7:28.0,,,35-42,1,A. Anderson makes free throw 1 of 2
7:28.0,,,35-43,1,A. Anderson makes free throw 2 of 2
7:08.0,N. Batum misses 2-pt shot from 17 ft,,35-43,,
7:07.0,,,35-43,,Defensive rebound by J. Dudley
6:55.0,,,35-43,,Turnover by N. Hilario (lost ball; steal by T. Daniels)
6:48.0,J. Lin misses 3-pt shot from 25 ft,,35-43,,
6:47.0,Offensive rebound by C. Zeller,,35-43,,
6:47.0,,,35-43,,Personal foul by G. Temple
6:47.0,K. Walker enters the game for J. Lin,,35-43,,
6:41.0,N. Batum misses 3-pt shot from 25 ft,,35-43,,
6:38.0,,,35-43,,Defensive rebound by M. Thornton
6:31.0,,,35-45,2,M. Thornton makes 2-pt shot from 1 ft
6:17.0,T. Daniels misses 3-pt shot from 27 ft,,35-45,,
6:16.0,,,35-45,,Defensive rebound by N. Hilario
6:06.0,,,35-45,,M. Thornton misses 3-pt shot from 30 ft
6:05.0,Defensive rebound by C. Zeller,,35-45,,
5:49.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,37-45,,
5:42.0,,,37-45,,Washington full timeout
5:42.0,S. Hawes enters the game for F. Kaminsky,,37-45,,
5:42.0,,,37-45,,R. Sessions enters the game for G. Temple
5:42.0,M. Williams enters the game for C. Zeller,,37-45,,
5:31.0,,,37-45,,A. Anderson misses 3-pt shot from 26 ft
5:29.0,Defensive rebound by K. Walker,,37-45,,
5:20.0,,,37-45,,K. Oubre enters the game for A. Anderson
5:13.0,K. Walker misses 2-pt shot at rim (block by J. Dudley),,37-45,,
5:11.0,Offensive rebound by Team,,37-45,,
5:08.0,S. Hawes misses 2-pt shot from 15 ft,,37-45,,
5:07.0,,,37-45,,Defensive rebound by M. Thornton
5:01.0,,,37-47,2,N. Hilario makes 2-pt shot from 1 ft (assist by M. Thornton)
4:42.0,Offensive foul by S. Hawes,,37-47,,
4:42.0,Turnover by S. Hawes (offensive foul),,37-47,,
4:28.0,,,37-47,,M. Thornton misses 2-pt shot from 11 ft
4:27.0,Defensive rebound by S. Hawes,,37-47,,
4:21.0,,,37-47,,Violation by K. Oubre (kicked ball)
4:13.0,S. Hawes makes 2-pt shot from 1 ft (assist by K. Walker),2,39-47,,
4:04.0,,,39-47,,Shooting foul by S. Hawes (drawn by N. Hilario)
4:04.0,,,39-48,1,N. Hilario makes free throw 1 of 2
4:04.0,,,39-49,1,N. Hilario makes free throw 2 of 2
3:50.0,N. Batum misses 2-pt shot from 16 ft,,39-49,,
3:49.0,,,39-49,,Defensive rebound by J. Dudley
3:40.0,,,39-51,2,J. Dudley makes 2-pt shot at rim (assist by M. Thornton)
3:30.0,M. Williams misses 3-pt shot from 26 ft,,39-51,,
3:29.0,,,39-51,,Defensive rebound by N. Hilario
3:15.0,,,39-53,2,J. Dudley makes 2-pt shot from 6 ft (assist by R. Sessions)
3:09.0,Charlotte full timeout,,39-53,,
3:09.0,,,39-53,,M. Gortat enters the game for N. Hilario
3:01.0,M. Williams makes 3-pt shot from 22 ft (assist by S. Hawes),3,42-53,,
2:46.0,,,42-53,,M. Gortat misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by S. Hawes,,42-53,,
2:33.0,K. Walker misses 3-pt shot from 24 ft,,42-53,,
2:32.0,,,42-53,,Defensive rebound by K. Oubre
2:21.0,,,42-53,,K. Oubre misses 2-pt shot from 9 ft
2:19.0,Defensive rebound by M. Williams,,42-53,,
2:18.0,,,42-53,,Personal foul by K. Oubre
2:18.0,Official timeout,,42-53,,
2:18.0,F. Kaminsky enters the game for M. Williams,,42-53,,
2:03.0,T. Daniels makes 3-pt shot from 24 ft (assist by K. Walker),3,45-53,,
1:41.0,,,45-53,,K. Oubre misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by K. Walker,,45-53,,
1:26.0,S. Hawes misses 2-pt shot from 14 ft,,45-53,,
1:25.0,,,45-53,,Defensive rebound by K. Oubre
1:18.0,,,45-53,,Turnover by R. Sessions (lost ball)
1:08.0,Offensive foul by S. Hawes,,45-53,,
1:08.0,Turnover by S. Hawes (offensive foul),,45-53,,
1:08.0,C. Zeller enters the game for S. Hawes,,45-53,,
0:59.0,,,45-53,,M. Thornton misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by C. Zeller,,45-53,,
0:51.0,K. Walker misses 3-pt shot from 26 ft,,45-53,,
0:50.0,,,45-53,,Defensive rebound by J. Dudley
0:44.0,Personal foul by F. Kaminsky,,45-53,,
0:44.0,,,45-54,1,R. Sessions makes free throw 1 of 2
0:44.0,,,45-54,,R. Sessions misses free throw 2 of 2
0:43.0,Defensive rebound by N. Batum,,45-54,,
0:28.0,C. Zeller misses 2-pt shot from 10 ft (block by M. Gortat),,45-54,,
0:26.0,,,45-54,,Defensive rebound by M. Gortat
0:24.0,,,45-54,,Shooting foul by C. Zeller (drawn by M. Thornton)
0:24.0,,,45-55,1,M. Thornton makes free throw 1 of 2
0:24.0,,,45-55,,M. Thornton misses free throw 2 of 2
0:23.0,Defensive rebound by F. Kaminsky,,45-55,,
0:06.0,Shooting foul by R. Sessions (drawn by K. Walker),,45-55,,
0:06.0,K. Walker makes free throw 1 of 3,1,46-55,,
0:06.0,K. Walker makes free throw 2 of 3,1,47-55,,
0:06.0,K. Walker makes free throw 3 of 3,1,48-55,,
0:02.0,,,48-55,,R. Sessions misses 2-pt shot at rim
0:00.0,Defensive rebound by F. Kaminsky,,48-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,N. Batum misses 2-pt shot from 17 ft,,48-55,,
11:46.0,,,48-55,,Defensive rebound by M. Gortat
11:32.0,,,48-55,,Turnover by M. Thornton (lost ball; steal by C. Lee)
11:32.0,,,48-55,,Personal foul by M. Thornton
11:20.0,Turnover by N. Batum (lost ball; steal by R. Sessions),,48-55,,
11:11.0,,,48-55,,Turnover by M. Gortat (traveling)
10:59.0,Shooting foul by M. Gortat (drawn by K. Walker),,48-55,,
10:59.0,K. Walker makes free throw 1 of 2,1,49-55,,
10:59.0,K. Walker makes free throw 2 of 2,1,50-55,,
10:45.0,,,50-55,,Turnover by M. Morris (lost ball; steal by N. Batum)
10:39.0,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum),3,53-55,,
10:37.0,,,53-55,,Washington full timeout
10:18.0,,,53-55,,M. Morris misses 3-pt shot from 27 ft
10:18.0,,,53-55,,Offensive rebound by Team
10:18.0,Loose ball foul by C. Zeller,,53-55,,
10:09.0,,,53-55,,M. Thornton misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by C. Lee,,53-55,,
9:55.0,M. Williams misses 2-pt shot from 8 ft,,53-55,,
9:54.0,,,53-55,,Defensive rebound by R. Sessions
9:51.0,Violation by N. Batum (def goaltending),,53-55,,
9:51.0,,,53-57,2,M. Thornton makes 2-pt shot at rim (assist by R. Sessions)
