time,LA Clippers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. C. Zeller (C. Paul gains possession),,,,Jump ball: D. Jordan vs. C. Zeller (C. Paul gains possession)
11:38.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,3-0,,
11:20.0,,,3-0,,P. Hairston misses 3-pt shot from 27 ft
11:19.0,Defensive rebound by D. Jordan,,3-0,,
11:10.0,P. Pierce makes 3-pt shot from 25 ft (assist by C. Paul),3,6-0,,
10:44.0,,,6-3,3,K. Walker makes 3-pt shot from 24 ft
10:30.0,,,6-3,,Personal foul by P. Hairston (drawn by D. Jordan)
10:21.0,Turnover by L. Mbah a Moute (bad pass; steal by K. Walker),,6-3,,
10:14.0,,,6-3,,K. Walker misses 2-pt shot from 3 ft (block by C. Paul)
10:12.0,Defensive rebound by J. Redick,,6-3,,
10:07.0,P. Pierce misses 3-pt shot from 23 ft,,6-3,,
10:06.0,Offensive rebound by C. Paul,,6-3,,
9:53.0,C. Paul misses 3-pt shot from 24 ft,,6-3,,
9:53.0,,,6-3,,Defensive rebound by Team
9:31.0,,,6-3,,C. Zeller misses 2-pt shot from 3 ft
9:30.0,Defensive rebound by D. Jordan,,6-3,,
9:22.0,C. Paul misses 2-pt shot from 14 ft,,6-3,,
9:21.0,,,6-3,,Defensive rebound by M. Williams
9:16.0,,,6-3,,K. Walker misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by P. Pierce,,6-3,,
9:10.0,,,6-3,,Technical foul by K. Walker
9:10.0,C. Paul makes technical free throw,1,7-3,,
8:54.0,C. Paul makes 2-pt shot from 8 ft (assist by P. Pierce),2,9-3,,
8:54.0,Shooting foul by K. Walker (drawn by C. Paul),,9-3,,
8:54.0,C. Paul makes free throw 1 of 1,1,10-3,,
8:35.0,,,10-3,,N. Batum misses 2-pt shot from 11 ft
8:34.0,Defensive rebound by L. Mbah a Moute,,10-3,,
8:08.0,J. Redick makes 3-pt shot from 30 ft,3,13-3,,
8:03.0,,,13-3,,Charlotte full timeout
7:56.0,,,13-3,,M. Williams misses 2-pt shot from 19 ft
7:54.0,,,13-3,,Offensive rebound by C. Zeller
7:54.0,,,13-3,,Shooting foul by D. Jordan (drawn by C. Zeller)
7:54.0,,,13-4,1,C. Zeller makes free throw 1 of 2
7:54.0,,,13-5,1,C. Zeller makes free throw 2 of 2
7:40.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by M. Williams),,13-5,,
7:37.0,Offensive rebound by D. Jordan,,13-5,,
7:37.0,D. Jordan makes 2-pt shot at rim,2,15-5,,
7:32.0,,,15-7,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
7:10.0,Shooting foul by P. Hairston (drawn by D. Jordan),,15-7,,
7:10.0,D. Jordan misses free throw 1 of 2,,15-7,,
7:10.0,Offensive rebound by Team,,15-7,,
7:10.0,D. Jordan makes free throw 2 of 2,1,16-7,,
6:53.0,,,16-7,,M. Williams misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by D. Jordan,,16-7,,
6:42.0,P. Pierce misses 2-pt shot from 1 ft (block by C. Zeller),,16-7,,
6:41.0,,,16-7,,Defensive rebound by C. Zeller
6:30.0,,,16-7,,M. Williams misses 2-pt shot from 1 ft
6:29.0,,,16-7,,Offensive rebound by M. Williams
6:29.0,,,16-7,,M. Williams misses 2-pt shot from 1 ft
6:28.0,Defensive rebound by P. Pierce,,16-7,,
6:20.0,C. Paul misses 2-pt shot from 19 ft,,16-7,,
6:19.0,Offensive rebound by L. Mbah a Moute,,16-7,,
6:15.0,P. Pierce misses 3-pt shot from 25 ft,,16-7,,
6:14.0,,,16-7,,Defensive rebound by C. Zeller
6:09.0,,,16-7,,P. Hairston misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by P. Pierce,,16-7,,
