time,Oklahoma City,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Jokic (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. N. Jokic (S. Ibaka gains possession)
11:46.0,Shooting foul by J. Sampson (drawn by K. Durant),,0-0,,
11:46.0,K. Durant makes free throw 1 of 2,1,1-0,,
11:46.0,K. Durant makes free throw 2 of 2,1,2-0,,
11:23.0,,,2-0,,J. Sampson misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by A. Roberson,,2-0,,
11:06.0,K. Durant misses 2-pt shot from 15 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by E. Mudiay
10:54.0,,,2-3,3,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris)
10:30.0,Turnover by S. Adams (bad pass),,2-3,,
10:15.0,,,2-6,3,G. Harris makes 3-pt shot from 23 ft (assist by N. Jokic)
9:59.0,S. Ibaka misses 3-pt shot from 25 ft,,2-6,,
9:58.0,Offensive rebound by Team,,2-6,,
9:58.0,,,2-6,,Loose ball foul by N. Jokic
9:49.0,R. Westbrook misses 2-pt shot from 1 ft (block by N. Jokic),,2-6,,
9:48.0,Offensive rebound by R. Westbrook,,2-6,,
9:45.0,Turnover by R. Westbrook (lost ball; steal by J. Sampson),,2-6,,
9:43.0,,,2-6,,Turnover by E. Mudiay (lost ball)
9:38.0,Shooting foul by N. Jokic (drawn by R. Westbrook),,2-6,,
9:38.0,R. Westbrook makes free throw 1 of 2,1,3-6,,
9:38.0,,,3-6,,J. Nurkic enters the game for N. Jokic
9:38.0,R. Westbrook misses free throw 2 of 2,,3-6,,
9:36.0,,,3-6,,Defensive rebound by K. Faried
9:20.0,,,3-6,,Turnover by E. Mudiay (lost ball; steal by K. Durant)
9:16.0,K. Durant makes 2-pt shot at rim,2,5-6,,
8:54.0,,,5-8,2,G. Harris makes 2-pt shot from 1 ft
8:37.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Adams),3,8-8,,
8:14.0,,,8-11,3,G. Harris makes 3-pt shot from 23 ft (assist by E. Mudiay)
8:01.0,R. Westbrook misses 2-pt shot from 22 ft,,8-11,,
8:01.0,,,8-11,,Defensive rebound by G. Harris
7:55.0,,,8-13,2,J. Sampson makes 2-pt shot from 1 ft (assist by G. Harris)
7:36.0,S. Ibaka misses 2-pt shot from 18 ft,,8-13,,
7:34.0,Offensive rebound by S. Adams,,8-13,,
7:31.0,S. Adams misses 2-pt shot from 2 ft (block by J. Nurkic),,8-13,,
7:29.0,Offensive rebound by S. Ibaka,,8-13,,
7:26.0,Turnover by A. Roberson (traveling),,8-13,,
7:06.0,,,8-13,,K. Faried misses 2-pt shot from 20 ft
7:05.0,Defensive rebound by K. Durant,,8-13,,
7:00.0,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Durant),3,11-13,,
6:39.0,,,11-13,,E. Mudiay misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by R. Westbrook,,11-13,,
6:18.0,S. Adams misses 2-pt shot from 7 ft,,11-13,,
6:18.0,Offensive rebound by S. Ibaka,,11-13,,
6:16.0,,,11-13,,Personal foul by J. Nurkic
6:02.0,S. Ibaka makes 2-pt shot from 17 ft (assist by A. Roberson),2,13-13,,
5:54.0,Def 3 sec tech foul by S. Adams,,13-13,,
5:54.0,,,13-13,,Denver full timeout
5:54.0,K. Singler enters the game for K. Durant,,13-13,,
5:54.0,,,13-14,1,G. Harris makes technical free throw
5:39.0,,,13-14,,K. Faried misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by R. Westbrook,,13-14,,
5:34.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,15-14,,
5:34.0,Shooting foul by J. Nurkic (drawn by S. Adams),,15-14,,
5:34.0,,,15-14,,W. Barton enters the game for J. Sampson
5:34.0,D. Waiters enters the game for A. Roberson,,15-14,,
5:34.0,S. Adams makes free throw 1 of 1,1,16-14,,
5:21.0,,,16-16,2,J. Nurkic makes 2-pt shot from 2 ft (assist by E. Mudiay)
5:21.0,,,16-16,,Shooting foul by S. Ibaka (drawn by J. Nurkic)
5:21.0,,,16-17,1,J. Nurkic makes free throw 1 of 1
5:02.0,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Waiters),3,19-17,,
4:45.0,,,19-17,,G. Harris misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by R. Westbrook,,19-17,,
4:38.0,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook),3,22-17,,
4:18.0,,,22-17,,Turnover by E. Mudiay (lost ball; steal by D. Waiters)
4:14.0,S. Ibaka makes 2-pt shot at rim (assist by D. Waiters),2,24-17,,
4:14.0,,,24-17,,Denver full timeout
4:14.0,,,24-17,,J. Lauvergne enters the game for K. Faried
4:00.0,Personal foul by S. Adams,,24-17,,
3:44.0,,,24-19,2,J. Lauvergne makes 2-pt shot from 16 ft
3:19.0,R. Westbrook misses 2-pt shot from 14 ft,,24-19,,
3:19.0,,,24-19,,Defensive rebound by J. Nurkic
3:03.0,,,24-19,,E. Mudiay misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by S. Adams,,24-19,,
2:56.0,Shooting foul by J. Nurkic (drawn by S. Ibaka),,24-19,,
2:56.0,S. Ibaka misses free throw 1 of 2,,24-19,,
2:56.0,Offensive rebound by Team,,24-19,,
2:56.0,E. Kanter enters the game for S. Adams,,24-19,,
2:56.0,R. Foye enters the game for R. Westbrook,,24-19,,
2:56.0,,,24-19,,D. Augustin enters the game for E. Mudiay
2:56.0,,,24-19,,K. Faried enters the game for J. Nurkic
2:56.0,S. Ibaka misses free throw 2 of 2,,24-19,,
2:53.0,,,24-19,,Defensive rebound by J. Lauvergne
2:39.0,,,24-19,,W. Barton misses 2-pt shot from 16 ft
2:38.0,,,24-19,,Offensive rebound by J. Lauvergne
2:35.0,,,24-19,,W. Barton misses 3-pt shot from 25 ft
2:35.0,,,24-19,,Offensive rebound by Team
2:35.0,Loose ball foul by E. Kanter,,24-19,,
2:35.0,K. Durant enters the game for S. Ibaka,,24-19,,
2:18.0,,,24-19,,K. Faried misses 2-pt shot from 2 ft
