time,Sacramento,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. M. Gortat (J. Dudley gains possession),,,,Jump ball: D. Cousins vs. M. Gortat (J. Dudley gains possession)
11:39.0,,,0-3,3,G. Temple makes 3-pt shot from 25 ft (assist by M. Gortat)
11:25.0,D. Cousins makes 2-pt shot from 1 ft (assist by O. Casspi),2,2-3,,
11:20.0,,,2-5,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
11:09.0,D. Cousins misses 2-pt shot from 2 ft,,2-5,,
11:08.0,,,2-5,,Defensive rebound by M. Gortat
11:00.0,,,2-5,,J. Wall misses 3-pt shot from 27 ft
10:59.0,Defensive rebound by B. McLemore,,2-5,,
10:48.0,D. Cousins misses 3-pt shot from 25 ft,,2-5,,
10:48.0,,,2-5,,Defensive rebound by M. Gortat
10:36.0,,,2-7,2,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall)
10:09.0,R. Rondo misses 2-pt shot from 19 ft,,2-7,,
10:08.0,,,2-7,,Defensive rebound by G. Temple
10:00.0,,,2-7,,Shooting foul by R. Rondo (drawn by M. Gortat)
10:00.0,,,2-7,,M. Gortat misses free throw 1 of 2
10:00.0,,,2-7,,Offensive rebound by Team
10:00.0,,,2-8,1,M. Gortat makes free throw 2 of 2
9:43.0,O. Casspi misses 2-pt shot at rim,,2-8,,
9:42.0,Offensive rebound by D. Cousins,,2-8,,
9:41.0,D. Cousins makes 2-pt shot from 1 ft,2,4-8,,
9:24.0,,,4-8,,G. Temple misses 2-pt shot from 15 ft
9:23.0,Defensive rebound by R. Gay,,4-8,,
9:13.0,D. Cousins misses 2-pt shot at rim (block by M. Gortat),,4-8,,
9:11.0,Offensive rebound by Team,,4-8,,
9:09.0,,,4-8,,Violation by J. Dudley (kicked ball)
8:56.0,D. Cousins misses 2-pt shot from 1 ft,,4-8,,
8:55.0,Offensive rebound by R. Rondo,,4-8,,
8:51.0,Offensive foul by O. Casspi,,4-8,,
8:51.0,Turnover by O. Casspi (offensive foul),,4-8,,
8:40.0,,,4-10,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
8:24.0,D. Cousins misses 2-pt shot from 20 ft,,4-10,,
8:23.0,,,4-10,,Defensive rebound by K. Oubre
8:20.0,Personal foul by R. Rondo (drawn by K. Oubre),,4-10,,
8:03.0,,,4-10,,K. Oubre misses 2-pt shot from 17 ft
8:02.0,Defensive rebound by R. Rondo,,4-10,,
7:57.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,6-10,,
7:34.0,,,6-12,2,M. Gortat makes 2-pt shot from 17 ft (assist by K. Oubre)
7:24.0,,,6-12,,Def 3 sec tech foul by K. Oubre
7:24.0,R. Gay makes technical free throw,1,7-12,,
7:12.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins),3,10-12,,
6:58.0,,,10-12,,G. Temple misses 3-pt shot from 26 ft
6:58.0,Defensive rebound by R. Rondo,,10-12,,
6:53.0,B. McLemore misses 2-pt shot at rim,,10-12,,
6:51.0,,,10-12,,Defensive rebound by Team
6:41.0,Personal foul by O. Casspi (drawn by G. Temple),,10-12,,
6:35.0,K. Koufos enters the game for O. Casspi,,10-12,,
6:28.0,,,10-15,3,K. Oubre makes 3-pt shot from 27 ft (assist by G. Temple)
6:14.0,R. Gay misses 2-pt shot from 2 ft,,10-15,,
6:13.0,,,10-15,,Defensive rebound by Team
6:02.0,,,10-15,,J. Wall misses 2-pt shot from 18 ft
6:00.0,Defensive rebound by R. Rondo,,10-15,,
5:58.0,Turnover by R. Rondo (bad pass),,10-15,,
5:58.0,,,10-15,,Washington full timeout
5:42.0,,,10-17,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
5:26.0,Shooting foul by J. Wall (drawn by D. Cousins),,10-17,,
5:26.0,,,10-17,,Technical foul by M. Gortat
5:26.0,Technical foul by R. Rondo,,10-17,,
5:26.0,D. Cousins misses free throw 1 of 2,,10-17,,
5:26.0,Offensive rebound by Team,,10-17,,
5:26.0,D. Cousins makes free throw 2 of 2,1,11-17,,
5:16.0,,,11-17,,J. Wall misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by R. Rondo,,11-17,,
5:10.0,R. Rondo misses 2-pt shot from 2 ft,,11-17,,
5:09.0,Offensive rebound by K. Koufos,,11-17,,
5:07.0,K. Koufos misses 2-pt shot from 1 ft,,11-17,,
5:06.0,Offensive rebound by R. Gay,,11-17,,
5:05.0,R. Gay misses 2-pt shot from 2 ft,,11-17,,
5:04.0,Offensive rebound by R. Gay,,11-17,,
5:04.0,R. Gay makes 2-pt shot from 2 ft,2,13-17,,
5:03.0,,,13-17,,Turnover by M. Gortat (bad pass; steal by B. McLemore)
4:54.0,R. Gay misses 2-pt shot from 2 ft,,13-17,,
4:53.0,Offensive rebound by Team,,13-17,,
4:52.0,D. Collison enters the game for B. McLemore,,13-17,,
4:52.0,,,13-17,,K. Humphries enters the game for J. Dudley
4:46.0,D. Cousins misses 2-pt shot at rim,,13-17,,
4:45.0,,,13-17,,Defensive rebound by M. Gortat
4:32.0,,,13-20,3,K. Humphries makes 3-pt shot from 27 ft (assist by K. Oubre)
4:21.0,D. Cousins makes 3-pt shot from 26 ft (assist by R. Rondo),3,16-20,,
4:07.0,,,16-22,2,M. Gortat makes 2-pt shot from 13 ft (assist by J. Wall)
3:53.0,R. Rondo misses 2-pt shot from 5 ft,,16-22,,
3:53.0,Offensive rebound by Team,,16-22,,
3:53.0,,,16-22,,R. Sessions enters the game for G. Temple
3:53.0,M. Belinelli enters the game for D. Cousins,,16-22,,
3:45.0,R. Gay makes 2-pt shot from 14 ft,2,18-22,,
3:33.0,,,18-22,,R. Sessions misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by R. Rondo,,18-22,,
3:29.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,20-22,,
3:15.0,,,20-24,2,R. Sessions makes 2-pt shot from 3 ft (assist by J. Wall)
2:58.0,R. Gay misses 2-pt shot from 2 ft (block by M. Gortat),,20-24,,
2:57.0,Offensive rebound by R. Gay,,20-24,,
2:56.0,Shooting foul by M. Gortat (drawn by R. Gay),,20-24,,
2:56.0,Sacramento full timeout,,20-24,,
2:56.0,B. McLemore enters the game for R. Rondo,,20-24,,
2:56.0,R. Gay makes free throw 1 of 2,1,21-24,,
2:56.0,R. Gay makes free throw 2 of 2,1,22-24,,
