time,Utah,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Lopez (D. Sloan gains possession),,,,Jump ball: R. Gobert vs. B. Lopez (D. Sloan gains possession)
11:45.0,,,0-2,2,B. Lopez makes 2-pt shot from 5 ft (assist by J. Johnson)
11:26.0,Turnover by R. Hood (bad pass; steal by B. Lopez),,0-2,,
11:14.0,,,0-4,2,T. Young makes 2-pt shot from 7 ft
10:51.0,R. Neto makes 2-pt shot from 17 ft (assist by R. Gobert),2,2-4,,
10:35.0,,,2-7,3,W. Ellington makes 3-pt shot from 23 ft (assist by D. Sloan)
10:16.0,R. Gobert misses 2-pt shot at rim,,2-7,,
10:15.0,Offensive rebound by T. Lyles,,2-7,,
10:05.0,R. Gobert misses 2-pt shot from 1 ft,,2-7,,
10:04.0,,,2-7,,Defensive rebound by B. Lopez
9:43.0,,,2-9,2,W. Ellington makes 2-pt shot at rim (assist by D. Sloan)
9:43.0,Utah full timeout,,2-9,,
9:32.0,G. Hayward misses 2-pt shot from 11 ft,,2-9,,
9:31.0,,,2-9,,Defensive rebound by T. Young
9:14.0,,,2-12,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Sloan)
9:00.0,,,2-12,,Personal foul by D. Sloan (drawn by R. Neto)
8:48.0,G. Hayward makes 2-pt shot from 3 ft,2,4-12,,
8:39.0,,,4-12,,Shooting foul by R. Gobert (drawn by T. Young)
8:39.0,,,4-12,,T. Young misses free throw 1 of 2
8:39.0,,,4-12,,Offensive rebound by Team
8:39.0,,,4-12,,T. Young misses free throw 2 of 2
8:38.0,Defensive rebound by R. Gobert,,4-12,,
8:21.0,T. Lyles misses 3-pt shot from 23 ft,,4-12,,
8:19.0,,,4-12,,Defensive rebound by J. Johnson
8:13.0,,,4-12,,W. Ellington misses 2-pt shot from 18 ft
8:13.0,Defensive rebound by R. Neto,,4-12,,
7:58.0,R. Neto misses 3-pt shot from 23 ft,,4-12,,
7:57.0,,,4-12,,Defensive rebound by J. Johnson
7:47.0,,,4-12,,D. Sloan misses 2-pt shot from 21 ft
7:46.0,Defensive rebound by R. Hood,,4-12,,
7:35.0,Shooting foul by B. Lopez (drawn by R. Hood),,4-12,,
7:35.0,R. Hood makes free throw 1 of 2,1,5-12,,
7:35.0,R. Hood makes free throw 2 of 2,1,6-12,,
7:16.0,,,6-12,,B. Lopez misses 2-pt shot from 10 ft
7:15.0,Defensive rebound by T. Lyles,,6-12,,
7:08.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,8-12,,
6:50.0,,,8-14,2,W. Ellington makes 2-pt shot from 1 ft (assist by J. Johnson)
6:29.0,Turnover by T. Lyles (lost ball),,8-14,,
6:17.0,,,8-17,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
5:57.0,,,8-17,,Personal foul by J. Johnson (drawn by R. Gobert)
5:57.0,T. Booker enters the game for T. Lyles,,8-17,,
5:57.0,C. Johnson enters the game for R. Hood,,8-17,,
5:47.0,Turnover by R. Neto (bad pass; steal by J. Johnson),,8-17,,
5:40.0,Personal foul by G. Hayward (drawn by J. Johnson),,8-17,,
5:34.0,Personal foul by R. Neto (drawn by B. Lopez),,8-17,,
5:26.0,,,8-17,,B. Lopez misses 2-pt shot from 17 ft
5:25.0,Defensive rebound by T. Booker,,8-17,,
5:11.0,T. Booker misses 2-pt shot from 2 ft,,8-17,,
5:10.0,,,8-17,,Defensive rebound by J. Johnson
5:02.0,,,8-19,2,B. Lopez makes 2-pt shot from 4 ft (assist by D. Sloan)
4:43.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,11-19,,
4:24.0,,,11-19,,W. Ellington misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by T. Booker,,11-19,,
4:04.0,T. Booker makes 2-pt shot from 2 ft (assist by C. Johnson),2,13-19,,
4:04.0,,,13-19,,Brooklyn full timeout
3:52.0,,,13-19,,T. Young misses 2-pt shot from 19 ft
3:51.0,Defensive rebound by C. Johnson,,13-19,,
3:35.0,Turnover by G. Hayward (lost ball),,13-19,,
3:35.0,T. Burke enters the game for R. Neto,,13-19,,
3:35.0,,,13-19,,W. Reed enters the game for B. Lopez
3:20.0,,,13-19,,W. Reed misses 2-pt shot from 8 ft
3:19.0,,,13-19,,Offensive rebound by Team
3:13.0,,,13-19,,D. Sloan misses 2-pt shot from 1 ft
3:12.0,Defensive rebound by T. Booker,,13-19,,
2:56.0,G. Hayward makes 3-pt shot from 22 ft (assist by C. Johnson),3,16-19,,
2:42.0,,,16-19,,W. Ellington misses 2-pt shot from 2 ft (block by R. Gobert)
2:40.0,,,16-19,,Offensive rebound by D. Sloan
2:36.0,,,16-19,,W. Ellington misses 3-pt shot from 23 ft
2:35.0,Defensive rebound by T. Booker,,16-19,,
2:27.0,G. Hayward makes 2-pt shot from 1 ft,2,18-19,,
2:14.0,Violation by T. Booker (kicked ball),,18-19,,
2:14.0,J. Withey enters the game for R. Gobert,,18-19,,
2:14.0,,,18-19,,B. Bogdanovic enters the game for J. Johnson
2:06.0,,,18-19,,W. Reed misses 2-pt shot from 7 ft
2:06.0,Defensive rebound by T. Booker,,18-19,,
1:50.0,T. Burke misses 2-pt shot from 1 ft,,18-19,,
1:49.0,Offensive rebound by T. Booker,,18-19,,
1:48.0,T. Booker misses 2-pt shot from 1 ft,,18-19,,
1:46.0,,,18-19,,Defensive rebound by W. Reed
1:33.0,,,18-21,2,T. Young makes 2-pt shot from 7 ft
1:17.0,J. Withey makes 2-pt shot from 11 ft (assist by C. Johnson),2,20-21,,
1:02.0,,,20-21,,D. Sloan misses 2-pt shot from 5 ft
1:01.0,,,20-21,,Offensive rebound by W. Reed
1:01.0,,,20-21,,W. Reed misses 2-pt shot from 2 ft
0:59.0,Defensive rebound by T. Burke,,20-21,,
0:52.0,Turnover by Team (back court),,20-21,,
0:52.0,R. Hood enters the game for G. Hayward,,20-21,,
0:40.0,,,20-23,2,B. Bogdanovic makes 2-pt shot from 12 ft (assist by W. Reed)
0:33.0,J. Withey makes 2-pt shot at rim (assist by T. Booker),2,22-23,,
0:19.0,,,22-23,,Turnover by W. Ellington (lost ball)
0:05.0,,,22-23,,Personal foul by B. Bogdanovic (drawn by R. Hood)
0:04.0,R. Hood misses 2-pt shot from 17 ft,,22-23,,
0:02.0,Offensive rebound by T. Booker,,22-23,,
0:00.0,T. Booker misses 2-pt shot at rim,,22-23,,
0:00.0,Offensive rebound by Team,,22-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,22-23,,Shooting block foul by M. Brown (drawn by C. Johnson)
11:39.0,C. Johnson misses free throw 1 of 2,,22-23,,
11:39.0,Offensive rebound by Team,,22-23,,
11:39.0,C. Johnson makes free throw 2 of 2,1,23-23,,
11:26.0,,,23-25,2,S. Larkin makes 2-pt shot from 8 ft
11:12.0,Turnover by R. Hood (traveling),,23-25,,
11:01.0,,,23-25,,S. Larkin misses 2-pt shot from 13 ft
11:00.0,Defensive rebound by R. Hood,,23-25,,
10:52.0,Shooting foul by B. Bogdanovic (drawn by R. Hood),,23-25,,
10:52.0,R. Hood makes free throw 1 of 2,1,24-25,,
10:52.0,J. Ingles enters the game for C. Johnson,,24-25,,
10:52.0,R. Hood makes free throw 2 of 2,1,25-25,,
10:39.0,,,25-27,2,W. Reed makes 2-pt shot from 5 ft (assist by S. Larkin)
10:18.0,Turnover by J. Ingles (bad pass; steal by M. Brown),,25-27,,
10:10.0,,,25-27,,A. Bargnani misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by T. Booker,,25-27,,
9:55.0,R. Hood misses 2-pt shot from 13 ft,,25-27,,
9:54.0,Offensive rebound by T. Booker,,25-27,,
9:50.0,T. Booker misses 2-pt shot from 1 ft,,25-27,,
9:49.0,,,25-27,,Defensive rebound by M. Brown
9:35.0,R. Neto enters the game for T. Burke,,25-27,,
9:35.0,,,25-27,,T. Robinson enters the game for W. Reed
9:32.0,,,25-27,,S. Larkin misses 2-pt shot from 17 ft
9:31.0,Defensive rebound by R. Hood,,25-27,,
9:15.0,R. Hood makes 3-pt shot from 23 ft (assist by R. Neto),3,28-27,,
8:59.0,,,28-30,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by A. Bargnani)
