time,Denver,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:47.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 14 ft
12:00.0,Jump ball: N. Jokic vs. G. Monroe (G. Antetokounmpo gains possession),,,,Jump ball: N. Jokic vs. G. Monroe (G. Antetokounmpo gains possession)
11:46.0,Defensive rebound by N. Jokic,,0-0,,
11:42.0,Turnover by E. Mudiay (bad pass),,0-0,,
11:22.0,,,0-0,,Turnover by G. Antetokounmpo (lost ball; steal by D. Gallinari)
11:09.0,Turnover by D. Gallinari (bad pass; steal by J. Bayless),,0-0,,
11:00.0,Def 3 sec tech foul by D. Gallinari,,0-0,,
11:00.0,,,0-1,1,K. Middleton makes technical free throw
10:52.0,,,0-4,3,K. Middleton makes 3-pt shot from 26 ft (assist by J. Bayless)
10:32.0,Turnover by K. Faried (lost ball),,0-4,,
10:20.0,,,0-4,,J. Bayless misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by K. Faried,,0-4,,
10:07.0,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic),2,2-4,,
9:54.0,,,2-4,,Turnover by K. Middleton (lost ball)
9:32.0,N. Jokic makes 2-pt shot from 10 ft (assist by E. Mudiay),2,4-4,,
9:11.0,,,4-6,2,G. Monroe makes 2-pt shot from 4 ft
9:00.0,K. Faried makes 2-pt shot from 5 ft (assist by R. Foye),2,6-6,,
9:00.0,Shooting foul by G. Monroe (drawn by K. Faried),,6-6,,
9:00.0,K. Faried makes free throw 1 of 1,1,7-6,,
8:51.0,,,7-6,,K. Middleton misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by N. Jokic,,7-6,,
8:45.0,,,7-6,,Personal foul by G. Antetokounmpo (drawn by K. Faried)
8:39.0,K. Faried misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,7-6,,
8:39.0,,,7-6,,Defensive rebound by O. Mayo
8:39.0,Personal foul by N. Jokic (drawn by J. Bayless),,7-6,,
8:25.0,,,7-6,,G. Monroe misses 2-pt shot from 4 ft
8:23.0,Defensive rebound by R. Foye,,7-6,,
