time,Portland,pts.away,score,pts.home,LA Clippers
11:01.0,G. Henderson makes 3-pt shot from 26 ft (assist by A. Aminu),3,23-22,,
10:49.0,Personal foul by E. Davis,,23-22,,
10:39.0,,,23-22,,W. Johnson misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by A. Aminu,,23-22,,
10:29.0,C. McCollum makes 2-pt shot from 17 ft,2,25-22,,
10:16.0,,,25-22,,Turnover by W. Johnson (lost ball; steal by G. Henderson)
10:10.0,A. Crabbe makes 3-pt shot from 26 ft (assist by G. Henderson),3,28-22,,
10:08.0,,,28-22,,LA Clippers full timeout
10:08.0,,,28-22,,P. Prigioni enters the game for A. Rivers
10:08.0,,,28-22,,J. Crawford enters the game for C. Aldrich
10:08.0,,,28-22,,D. Jordan enters the game for W. Johnson
9:54.0,,,28-24,2,J. Redick makes 2-pt shot from 19 ft (assist by D. Jordan)
9:36.0,G. Henderson makes 2-pt shot from 2 ft (assist by A. Aminu),2,30-24,,
9:32.0,,,30-24,,Shooting foul by E. Davis (drawn by D. Jordan)
9:32.0,,,30-24,,D. Jordan misses free throw 1 of 2
9:32.0,,,30-24,,Offensive rebound by Team
9:32.0,,,30-25,1,D. Jordan makes free throw 2 of 2
9:15.0,A. Crabbe misses 2-pt shot from 18 ft,,30-25,,
9:14.0,,,30-25,,Defensive rebound by D. Jordan
9:08.0,,,30-25,,Shooting foul by A. Aminu (drawn by J. Green)
9:08.0,,,30-26,1,J. Green makes free throw 1 of 2
9:08.0,,,30-26,,J. Green misses free throw 2 of 2
9:07.0,,,30-26,,Offensive rebound by D. Jordan
8:59.0,,,30-26,,J. Redick misses 3-pt shot from 27 ft
8:58.0,Defensive rebound by A. Aminu,,30-26,,
8:53.0,Turnover by C. McCollum (lost ball; steal by J. Green),,30-26,,
8:48.0,,,30-29,3,J. Redick makes 3-pt shot from 24 ft (assist by P. Prigioni)
8:28.0,C. McCollum misses 3-pt shot from 26 ft,,30-29,,
8:27.0,,,30-29,,Defensive rebound by Team
8:14.0,,,30-29,,D. Jordan misses 2-pt shot from 2 ft
8:13.0,,,30-29,,Offensive rebound by D. Jordan
8:13.0,,,30-31,2,D. Jordan makes 2-pt shot from 2 ft
8:03.0,,,30-31,,Personal foul by J. Crawford
8:03.0,M. Harkless enters the game for A. Aminu,,30-31,,
7:56.0,C. McCollum makes 2-pt shot from 15 ft (assist by A. Crabbe),2,32-31,,
7:42.0,Personal foul by C. McCollum,,32-31,,
7:33.0,,,32-31,,J. Crawford misses 2-pt shot from 9 ft
7:32.0,,,32-31,,Offensive rebound by P. Prigioni
7:27.0,,,32-33,2,J. Green makes 2-pt shot from 22 ft (assist by J. Redick)
7:13.0,C. McCollum misses 2-pt shot from 18 ft,,32-33,,
7:10.0,,,32-33,,Defensive rebound by D. Jordan
7:04.0,,,32-33,,J. Green misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by E. Davis,,32-33,,
6:48.0,Shooting foul by P. Prigioni (drawn by E. Davis),,32-33,,
6:48.0,E. Davis misses free throw 1 of 2,,32-33,,
6:48.0,Offensive rebound by Team,,32-33,,
6:48.0,D. Lillard enters the game for G. Henderson,,32-33,,
