time,Utah,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. H. Whiteside (J. Richardson gains possession),,,,Jump ball: D. Favors vs. H. Whiteside (J. Richardson gains possession)
11:40.0,,,0-2,2,G. Dragic makes 2-pt shot from 2 ft
11:23.0,D. Favors misses 2-pt shot from 16 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by L. Deng
11:12.0,,,0-2,,C. Bosh misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by T. Lyles,,0-2,,
11:01.0,T. Lyles misses 3-pt shot from 24 ft,,0-2,,
11:00.0,,,0-2,,Defensive rebound by H. Whiteside
10:50.0,,,0-5,3,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic)
10:36.0,R. Hood misses 3-pt shot from 23 ft,,0-5,,
10:35.0,,,0-5,,Defensive rebound by Team
10:19.0,,,0-7,2,C. Bosh makes 2-pt shot from 16 ft
10:00.0,Turnover by T. Lyles (lost ball; steal by L. Deng),,0-7,,
9:55.0,,,0-9,2,G. Dragic makes 2-pt shot from 1 ft
9:55.0,Utah full timeout,,0-9,,
9:43.0,R. Hood misses 3-pt shot from 24 ft,,0-9,,
9:42.0,,,0-9,,Defensive rebound by C. Bosh
9:35.0,Personal foul by R. Neto (drawn by G. Dragic),,0-9,,
9:16.0,,,0-9,,H. Whiteside misses 2-pt shot from 14 ft (block by D. Favors)
9:15.0,Defensive rebound by D. Favors,,0-9,,
9:11.0,Shooting foul by L. Deng (drawn by G. Hayward),,0-9,,
9:11.0,G. Hayward makes free throw 1 of 2,1,1-9,,
9:11.0,G. Hayward makes free throw 2 of 2,1,2-9,,
8:54.0,,,2-9,,C. Bosh misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by T. Lyles,,2-9,,
8:47.0,R. Neto misses 2-pt shot from 1 ft (block by C. Bosh),,2-9,,
8:46.0,,,2-9,,Defensive rebound by G. Dragic
8:33.0,,,2-9,,C. Bosh misses 2-pt shot from 1 ft (block by D. Favors)
8:32.0,,,2-9,,Offensive rebound by C. Bosh
8:28.0,,,2-9,,L. Deng misses 2-pt shot from 18 ft
8:27.0,Defensive rebound by T. Lyles,,2-9,,
8:16.0,Shooting foul by H. Whiteside (drawn by D. Favors),,2-9,,
8:16.0,D. Favors misses free throw 1 of 2,,2-9,,
8:16.0,Offensive rebound by Team,,2-9,,
8:16.0,D. Favors makes free throw 2 of 2,1,3-9,,
8:00.0,,,3-9,,C. Bosh misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by G. Hayward,,3-9,,
7:46.0,R. Hood makes 2-pt shot from 9 ft,2,5-9,,
7:33.0,,,5-9,,C. Bosh misses 2-pt shot from 18 ft
7:32.0,Defensive rebound by G. Hayward,,5-9,,
7:23.0,G. Hayward misses 2-pt shot from 15 ft,,5-9,,
7:22.0,,,5-9,,Defensive rebound by C. Bosh
7:12.0,,,5-9,,Turnover by C. Bosh (bad pass; steal by D. Favors)
7:07.0,Shooting foul by J. Richardson (drawn by R. Hood),,5-9,,
7:07.0,R. Hood makes free throw 1 of 2,1,6-9,,
7:07.0,,,6-9,,J. Winslow enters the game for C. Bosh
7:07.0,R. Hood misses free throw 2 of 2,,6-9,,
7:06.0,,,6-9,,Defensive rebound by H. Whiteside
6:49.0,,,6-9,,G. Dragic misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by G. Hayward,,6-9,,
6:37.0,D. Favors makes 2-pt shot from 18 ft (assist by G. Hayward),2,8-9,,
6:20.0,,,8-11,2,J. Richardson makes 2-pt shot from 1 ft (assist by G. Dragic)
6:05.0,G. Hayward makes 2-pt shot from 13 ft,2,10-11,,
5:40.0,,,10-14,3,J. Richardson makes 3-pt shot from 25 ft (assist by L. Deng)
5:26.0,G. Hayward misses 3-pt shot from 22 ft,,10-14,,
5:25.0,,,10-14,,Defensive rebound by H. Whiteside
5:10.0,,,10-14,,J. Winslow misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by R. Hood,,10-14,,
5:01.0,,,10-14,,Personal foul by J. Richardson (drawn by T. Lyles)
5:01.0,,,10-14,,Miami full timeout
5:01.0,,,10-14,,T. Johnson enters the game for J. Richardson
5:01.0,T. Booker enters the game for T. Lyles,,10-14,,
5:01.0,T. Burke enters the game for R. Neto,,10-14,,
5:01.0,Violation by Team (delay of game),,10-14,,
4:55.0,G. Hayward makes 2-pt shot from 1 ft (assist by R. Hood),2,12-14,,
