time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. T. Duncan (T. Parker gains possession),,,,Jump ball: C. Andersen vs. T. Duncan (T. Parker gains possession)
11:49.0,,,0-0,,Turnover by L. Aldridge (lost ball; steal by J. Farmar)
11:24.0,J. Farmar misses 2-pt shot from 17 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by T. Duncan
11:02.0,,,0-2,2,L. Aldridge makes 2-pt shot from 22 ft (assist by T. Parker)
10:38.0,V. Carter makes 2-pt shot from 20 ft (assist by M. Barnes),2,2-2,,
10:19.0,,,2-2,,K. Leonard misses 2-pt shot from 18 ft
10:18.0,Defensive rebound by C. Andersen,,2-2,,
10:06.0,V. Carter misses 2-pt shot from 1 ft (block by L. Aldridge),,2-2,,
10:03.0,,,2-2,,Defensive rebound by T. Duncan
9:57.0,,,2-2,,D. Green misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by M. Barnes,,2-2,,
9:32.0,Z. Randolph misses 2-pt shot from 14 ft,,2-2,,
9:31.0,,,2-2,,Defensive rebound by L. Aldridge
9:14.0,,,2-5,3,D. Green makes 3-pt shot from 23 ft
9:04.0,Turnover by C. Andersen (lost ball; steal by T. Duncan),,2-5,,
8:50.0,,,2-7,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
8:35.0,Z. Randolph misses 2-pt shot from 20 ft,,2-7,,
8:34.0,,,2-7,,Defensive rebound by D. Green
8:19.0,,,2-7,,L. Aldridge misses 2-pt shot from 17 ft
8:19.0,Defensive rebound by C. Andersen,,2-7,,
8:10.0,,,2-7,,Personal foul by L. Aldridge
7:59.0,Z. Randolph makes 2-pt shot from 18 ft,2,4-7,,
7:28.0,,,4-7,,D. Green misses 2-pt shot from 1 ft
7:27.0,,,4-7,,Offensive rebound by L. Aldridge
7:24.0,,,4-7,,L. Aldridge misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by Z. Randolph,,4-7,,
7:15.0,J. Farmar makes 2-pt shot from 16 ft,2,6-7,,
6:55.0,,,6-7,,T. Parker misses 2-pt shot from 11 ft
6:55.0,Defensive rebound by C. Andersen,,6-7,,
6:43.0,V. Carter misses 3-pt shot from 25 ft,,6-7,,
6:43.0,,,6-7,,Defensive rebound by Team
6:43.0,Loose ball foul by Z. Randolph,,6-7,,
6:24.0,,,6-9,2,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Duncan)
5:59.0,Z. Randolph misses 2-pt shot from 6 ft (block by T. Duncan),,6-9,,
5:57.0,,,6-9,,Defensive rebound by D. Green
5:49.0,,,6-9,,T. Parker misses 2-pt shot from 16 ft
5:46.0,Defensive rebound by C. Andersen,,6-9,,
5:38.0,Turnover by J. Farmar (lost ball; steal by K. Leonard),,6-9,,
5:30.0,,,6-9,,K. Leonard misses 2-pt shot from 21 ft
5:29.0,Defensive rebound by Z. Randolph,,6-9,,
5:18.0,J. Farmar misses 2-pt shot from 9 ft,,6-9,,
5:17.0,,,6-9,,Defensive rebound by D. Green
5:15.0,,,6-9,,San Antonio full timeout
5:15.0,T. Allen enters the game for V. Carter,,6-9,,
5:15.0,,,6-9,,M. Ginobili enters the game for D. Green
5:15.0,,,6-9,,D. West enters the game for T. Duncan
5:03.0,Violation by T. Allen (kicked ball),,6-9,,
4:54.0,,,6-9,,K. Leonard misses 2-pt shot from 3 ft
4:54.0,Defensive rebound by Z. Randolph,,6-9,,
4:33.0,T. Allen makes 2-pt shot from 17 ft (assist by Z. Randolph),2,8-9,,
4:25.0,,,8-9,,Turnover by D. West (lost ball; steal by M. Barnes)
4:18.0,Z. Randolph misses 2-pt shot from 2 ft (block by D. West),,8-9,,
4:15.0,Offensive rebound by M. Barnes,,8-9,,
4:14.0,Turnover by M. Barnes (bad pass),,8-9,,
4:14.0,,,8-9,,P. Mills enters the game for T. Parker
4:14.0,X. Munford enters the game for J. Farmar,,8-9,,
3:52.0,,,8-11,2,L. Aldridge makes 2-pt shot from 15 ft
3:30.0,Z. Randolph makes 2-pt shot at rim,2,10-11,,
3:14.0,,,10-11,,L. Aldridge misses 2-pt shot from 17 ft
3:13.0,Defensive rebound by C. Andersen,,10-11,,
3:12.0,Turnover by C. Andersen (lost ball; steal by K. Leonard),,10-11,,
3:11.0,,,10-11,,Shooting foul by C. Andersen (drawn by K. Leonard)
3:11.0,,,10-12,1,K. Leonard makes free throw 1 of 2
3:11.0,J. Martin enters the game for C. Andersen,,10-12,,
3:11.0,,,10-13,1,K. Leonard makes free throw 2 of 2
2:57.0,Shooting foul by K. Leonard (drawn by J. Martin),,10-13,,
2:57.0,Memphis full timeout,,10-13,,
2:57.0,,,10-13,,K. Anderson enters the game for K. Leonard
2:57.0,J. Martin makes free throw 1 of 2,1,11-13,,
2:57.0,J. Martin misses free throw 2 of 2,,11-13,,
2:56.0,,,11-13,,Defensive rebound by L. Aldridge
2:33.0,,,11-13,,K. Anderson misses 2-pt shot from 1 ft
2:30.0,Defensive rebound by Z. Randolph,,11-13,,
2:10.0,M. Barnes misses 3-pt shot from 26 ft,,11-13,,
2:10.0,,,11-13,,Defensive rebound by Team
1:59.0,Personal foul by J. Martin,,11-13,,
1:59.0,L. Stephenson enters the game for M. Barnes,,11-13,,
1:51.0,,,11-15,2,D. West makes 2-pt shot from 1 ft (assist by P. Mills)
