time,Memphis,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. P. Gasol (T. Gibson gains possession),,,,Jump ball: M. Gasol vs. P. Gasol (T. Gibson gains possession)
11:44.0,,,0-0,,Turnover by T. Snell (bad pass; steal by J. Green)
11:23.0,M. Barnes misses 2-pt shot from 3 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by P. Gasol
11:01.0,,,0-2,2,D. Rose makes 2-pt shot from 2 ft (assist by T. Gibson)
10:43.0,C. Lee misses 2-pt shot from 17 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by T. Snell
10:27.0,,,0-2,,Turnover by P. Gasol (bad pass; steal by M. Barnes)
10:21.0,M. Barnes misses 2-pt shot from 23 ft,,0-2,,
10:20.0,,,0-2,,Defensive rebound by P. Gasol
10:11.0,,,0-2,,D. Rose misses 2-pt shot from 21 ft
10:10.0,Defensive rebound by C. Lee,,0-2,,
9:57.0,J. Green makes 2-pt shot from 15 ft,2,2-2,,
9:42.0,,,2-2,,P. Gasol misses 2-pt shot from 16 ft
9:41.0,Defensive rebound by C. Lee,,2-2,,
9:24.0,M. Gasol misses 2-pt shot from 18 ft,,2-2,,
9:23.0,,,2-2,,Defensive rebound by T. Snell
9:11.0,,,2-4,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
8:58.0,M. Gasol misses 2-pt shot from 18 ft,,2-4,,
8:57.0,,,2-4,,Defensive rebound by P. Gasol
8:51.0,,,2-6,2,D. Rose makes 2-pt shot from 18 ft
8:30.0,C. Lee makes 2-pt shot from 3 ft,2,4-6,,
8:18.0,,,4-8,2,D. Rose makes 2-pt shot from 1 ft (assist by P. Gasol)
8:18.0,,,4-8,,Shooting foul by M. Conley (drawn by D. Rose)
8:18.0,,,4-8,,D. Rose misses free throw 1 of 1
8:15.0,Defensive rebound by M. Barnes,,4-8,,
8:06.0,M. Gasol makes 2-pt shot from 11 ft (assist by C. Lee),2,6-8,,
7:53.0,,,6-10,2,D. Rose makes 2-pt shot from 1 ft
7:37.0,M. Gasol makes 2-pt shot from 18 ft (assist by C. Lee),2,8-10,,
7:29.0,,,8-12,2,J. Butler makes 2-pt shot from 19 ft
7:15.0,Shooting foul by T. Gibson (drawn by M. Barnes),,8-12,,
7:15.0,M. Barnes makes free throw 1 of 2,1,9-12,,
7:15.0,M. Barnes misses free throw 2 of 2,,9-12,,
7:13.0,,,9-12,,Defensive rebound by T. Gibson
6:55.0,,,9-12,,T. Gibson misses 2-pt shot from 15 ft
6:54.0,Defensive rebound by C. Lee,,9-12,,
6:44.0,J. Green misses 2-pt shot from 6 ft,,9-12,,
6:43.0,,,9-12,,Defensive rebound by P. Gasol
6:31.0,,,9-14,2,J. Butler makes 2-pt shot from 16 ft
6:16.0,Shooting foul by J. Butler (drawn by J. Green),,9-14,,
6:16.0,J. Green misses free throw 1 of 2,,9-14,,
6:16.0,Offensive rebound by Team,,9-14,,
6:16.0,J. Green makes free throw 2 of 2,1,10-14,,
6:03.0,,,10-14,,J. Butler misses 2-pt shot from 3 ft
6:02.0,Defensive rebound by C. Lee,,10-14,,
5:46.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Gasol),2,12-14,,
5:35.0,,,12-14,,Turnover by T. Gibson (traveling)
5:35.0,,,12-14,,Chicago full timeout
5:35.0,,,12-14,,J. Noah enters the game for T. Gibson
5:35.0,Z. Randolph enters the game for M. Barnes,,12-14,,
5:21.0,C. Lee makes 2-pt shot from 7 ft (assist by Z. Randolph),2,14-14,,
5:01.0,,,14-14,,D. Rose misses 2-pt shot from 18 ft
5:01.0,,,14-14,,Offensive rebound by P. Gasol
5:01.0,Personal foul by M. Gasol (drawn by P. Gasol),,14-14,,
4:50.0,,,14-14,,Turnover by P. Gasol (bad pass)
4:33.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Gasol),2,16-14,,
4:16.0,,,16-16,2,T. Snell makes 2-pt shot from 20 ft (assist by D. Rose)
4:04.0,,,16-16,,Violation by D. Rose (kicked ball)
4:04.0,,,16-16,,D. McDermott enters the game for T. Snell
4:04.0,M. Chalmers enters the game for M. Conley,,16-16,,
3:55.0,C. Lee makes 2-pt shot from 1 ft (assist by M. Chalmers),2,18-16,,
3:39.0,,,18-18,2,D. Rose makes 2-pt shot from 2 ft
3:22.0,J. Green misses 2-pt shot from 14 ft (block by D. McDermott),,18-18,,
3:20.0,,,18-18,,Defensive rebound by P. Gasol
3:17.0,,,18-20,2,J. Butler makes 2-pt shot from 1 ft (assist by D. Rose)
3:05.0,,,18-20,,K. Hinrich enters the game for D. Rose
2:51.0,M. Chalmers misses 3-pt shot from 24 ft (block by J. Butler),,18-20,,
2:51.0,Offensive rebound by Team,,18-20,,
2:51.0,Turnover by Team (shot clock),,18-20,,
2:51.0,Memphis full timeout,,18-20,,
2:43.0,,,18-20,,Shooting foul by M. Chalmers (drawn by J. Noah)
2:43.0,,,18-20,,J. Noah misses free throw 1 of 2
2:43.0,,,18-20,,Offensive rebound by Team
2:43.0,,,18-20,,J. Noah misses free throw 2 of 2
2:41.0,Defensive rebound by M. Gasol,,18-20,,
2:27.0,J. Green misses 2-pt shot from 2 ft (block by P. Gasol),,18-20,,
2:25.0,,,18-20,,Defensive rebound by J. Noah
2:16.0,,,18-22,2,J. Butler makes 2-pt shot from 6 ft
2:16.0,,,18-22,,Shooting foul by M. Gasol (drawn by J. Butler)
2:16.0,,,18-23,1,J. Butler makes free throw 1 of 1
