time,Boston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. D. Jordan (A. Bradley gains possession),,,,Jump ball: A. Johnson vs. D. Jordan (A. Bradley gains possession)
11:44.0,A. Bradley makes 2-pt shot from 2 ft (assist by I. Thomas),2,2-0,,
11:21.0,,,2-0,,D. Jordan misses 2-pt shot from 6 ft
11:20.0,,,2-0,,Offensive rebound by L. Mbah a Moute
11:11.0,,,2-0,,P. Pierce misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by J. Sullinger,,2-0,,
11:03.0,A. Bradley makes 3-pt shot from 24 ft,3,5-0,,
10:44.0,,,5-2,2,C. Paul makes 2-pt shot from 15 ft
10:31.0,A. Bradley misses 3-pt shot from 23 ft,,5-2,,
10:30.0,,,5-2,,Defensive rebound by D. Jordan
10:23.0,,,5-4,2,C. Paul makes 2-pt shot from 19 ft
9:59.0,J. Sullinger misses 2-pt shot from 6 ft,,5-4,,
9:59.0,,,5-4,,Defensive rebound by P. Pierce
9:50.0,,,5-6,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:29.0,I. Thomas misses 3-pt shot from 24 ft,,5-6,,
9:29.0,Offensive rebound by Team,,5-6,,
9:25.0,Turnover by A. Johnson (lost ball; steal by C. Paul),,5-6,,
9:21.0,,,5-6,,C. Paul misses 2-pt shot from 1 ft (block by I. Thomas)
9:21.0,,,5-6,,Offensive rebound by Team
9:17.0,,,5-8,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
9:03.0,I. Thomas makes 2-pt shot from 1 ft,2,7-8,,
8:59.0,,,7-8,,Turnover by C. Paul (offensive foul)
8:59.0,,,7-8,,Offensive charge foul by C. Paul
8:43.0,J. Sullinger makes 2-pt shot from 8 ft (assist by A. Bradley),2,9-8,,
8:32.0,,,9-11,3,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul)
8:32.0,,,9-11,,Technical foul by C. Paul
8:32.0,I. Thomas makes technical free throw,1,10-11,,
