time,Detroit,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. C. Zeller (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. C. Zeller (R. Jackson gains possession)
11:36.0,M. Morris misses 2-pt shot from 15 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by P. Hairston
11:17.0,,,0-0,,C. Zeller misses 2-pt shot from 1 ft
11:16.0,Defensive rebound by E. Ilyasova,,0-0,,
11:11.0,Shooting foul by P. Hairston (drawn by E. Ilyasova),,0-0,,
11:11.0,E. Ilyasova misses free throw 1 of 2,,0-0,,
11:11.0,Offensive rebound by Team,,0-0,,
11:11.0,E. Ilyasova misses free throw 2 of 2,,0-0,,
11:09.0,,,0-0,,Defensive rebound by N. Batum
10:57.0,,,0-3,3,P. Hairston makes 3-pt shot from 22 ft (assist by N. Batum)
10:42.0,E. Ilyasova misses 2-pt shot from 2 ft,,0-3,,
10:41.0,Offensive rebound by A. Drummond,,0-3,,
10:41.0,A. Drummond makes 2-pt shot at rim,2,2-3,,
10:17.0,,,2-3,,K. Walker misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by E. Ilyasova,,2-3,,
10:07.0,R. Jackson makes 2-pt shot from 1 ft,2,4-3,,
9:49.0,,,4-3,,K. Walker misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by A. Drummond,,4-3,,
9:31.0,Shooting foul by P. Hairston (drawn by K. Caldwell-Pope),,4-3,,
9:31.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,6-3,,
9:31.0,K. Caldwell-Pope makes free throw 1 of 1,1,7-3,,
9:17.0,,,7-3,,N. Batum misses 2-pt shot from 13 ft
9:16.0,Defensive rebound by E. Ilyasova,,7-3,,
9:06.0,E. Ilyasova misses 3-pt shot from 25 ft,,7-3,,
9:05.0,,,7-3,,Defensive rebound by N. Batum
8:56.0,,,7-5,2,N. Batum makes 2-pt shot from 7 ft
8:39.0,R. Jackson misses 3-pt shot from 25 ft,,7-5,,
8:38.0,,,7-5,,Defensive rebound by P. Hairston
8:30.0,,,7-8,3,K. Walker makes 3-pt shot from 25 ft (assist by C. Zeller)
8:02.0,M. Morris misses 2-pt shot from 9 ft,,7-8,,
7:59.0,,,7-8,,Defensive rebound by M. Williams
7:39.0,,,7-8,,N. Batum misses 2-pt shot from 18 ft
7:38.0,Defensive rebound by A. Drummond,,7-8,,
7:26.0,E. Ilyasova misses 2-pt shot from 1 ft (block by C. Zeller),,7-8,,
7:24.0,,,7-8,,Defensive rebound by N. Batum
7:19.0,,,7-8,,Turnover by N. Batum (lost ball; steal by E. Ilyasova)
6:58.0,A. Drummond misses 2-pt shot from 9 ft,,7-8,,
6:58.0,Offensive rebound by Team,,7-8,,
6:58.0,,,7-8,,J. Lin enters the game for K. Walker
6:54.0,Turnover by M. Morris (bad pass; steal by J. Lin),,7-8,,
6:51.0,Personal foul by K. Caldwell-Pope (drawn by N. Batum),,7-8,,
6:38.0,,,7-8,,N. Batum misses 2-pt shot from 15 ft
6:37.0,Defensive rebound by K. Caldwell-Pope,,7-8,,
6:28.0,M. Morris makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,10-8,,
6:13.0,,,10-8,,P. Hairston misses 2-pt shot from 9 ft (block by M. Morris)
6:11.0,Defensive rebound by M. Morris,,10-8,,
