time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. K. Towns (K. Garnett gains possession),,,,Jump ball: R. Hibbert vs. K. Towns (K. Garnett gains possession)
11:37.0,R. Rubio makes 3-pt shot from 23 ft (assist by T. Prince),3,3-0,,
11:17.0,,,3-0,,K. Bryant misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by K. Towns,,3-0,,
11:07.0,R. Rubio misses 2-pt shot from 14 ft (block by R. Hibbert),,3-0,,
11:07.0,,,3-0,,Defensive rebound by Team
10:51.0,,,3-2,2,J. Clarkson makes 2-pt shot from 2 ft (assist by J. Randle)
10:36.0,A. Wiggins makes 2-pt shot from 3 ft (assist by K. Garnett),2,5-2,,
10:19.0,,,5-2,,R. Hibbert misses 2-pt shot from 13 ft
10:15.0,Defensive rebound by K. Garnett,,5-2,,
10:02.0,K. Towns misses 2-pt shot from 3 ft,,5-2,,
10:02.0,,,5-2,,Defensive rebound by J. Randle
9:56.0,,,5-2,,J. Randle misses 2-pt shot from 17 ft
9:55.0,,,5-2,,Offensive rebound by Team
9:43.0,,,5-2,,J. Randle misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by K. Garnett,,5-2,,
9:40.0,Shooting foul by D. Russell (drawn by R. Rubio),,5-2,,
9:40.0,R. Rubio makes free throw 1 of 2,1,6-2,,
9:40.0,R. Rubio makes free throw 2 of 2,1,7-2,,
9:23.0,,,7-4,2,J. Clarkson makes 2-pt shot from 9 ft
9:14.0,R. Rubio misses 2-pt shot from 2 ft,,7-4,,
9:09.0,Offensive rebound by K. Towns,,7-4,,
9:09.0,K. Towns makes 2-pt shot at rim,2,9-4,,
8:54.0,,,9-6,2,K. Bryant makes 2-pt shot from 15 ft (assist by R. Hibbert)
8:44.0,Turnover by A. Wiggins (traveling),,9-6,,
8:31.0,,,9-6,,K. Bryant misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by T. Prince,,9-6,,
8:16.0,K. Garnett misses 2-pt shot from 18 ft,,9-6,,
8:15.0,,,9-6,,Defensive rebound by J. Clarkson
8:07.0,,,9-6,,K. Bryant misses 2-pt shot from 19 ft
8:07.0,,,9-6,,Offensive rebound by D. Russell
8:04.0,,,9-6,,D. Russell misses 2-pt shot from 2 ft
8:02.0,Defensive rebound by K. Garnett,,9-6,,
7:56.0,R. Rubio makes 2-pt shot from 1 ft (assist by K. Garnett),2,11-6,,
7:40.0,,,11-6,,J. Clarkson misses 2-pt shot from 4 ft
7:39.0,Defensive rebound by K. Garnett,,11-6,,
7:25.0,A. Wiggins misses 2-pt shot from 5 ft,,11-6,,
7:24.0,,,11-6,,Defensive rebound by J. Randle
7:15.0,,,11-6,,K. Bryant misses 2-pt shot from 15 ft
7:14.0,Defensive rebound by K. Towns,,11-6,,
7:09.0,Minnesota full timeout,,11-6,,
7:09.0,N. Bjelica enters the game for K. Garnett,,11-6,,
7:02.0,K. Towns misses 2-pt shot from 17 ft,,11-6,,
7:01.0,,,11-6,,Defensive rebound by K. Bryant
6:50.0,,,11-6,,Shooting foul by N. Bjelica (drawn by J. Randle)
6:50.0,,,11-7,1,J. Randle makes free throw 1 of 2
6:50.0,,,11-8,1,J. Randle makes free throw 2 of 2
6:35.0,A. Wiggins misses 2-pt shot from 15 ft,,11-8,,
6:33.0,,,11-8,,Defensive rebound by K. Bryant
6:23.0,,,11-8,,K. Bryant misses 3-pt shot from 22 ft
6:22.0,,,11-8,,Offensive rebound by R. Hibbert
6:17.0,,,11-8,,Turnover by R. Hibbert (traveling)
6:17.0,K. Martin enters the game for T. Prince,,11-8,,
6:04.0,,,11-8,,Personal foul by D. Russell (drawn by R. Rubio)
6:04.0,,,11-8,,L. Williams enters the game for D. Russell
5:49.0,R. Rubio makes 3-pt shot from 25 ft,3,14-8,,
5:39.0,,,14-10,2,K. Bryant makes 2-pt shot from 6 ft (assist by J. Clarkson)
5:22.0,A. Wiggins misses 3-pt shot from 25 ft,,14-10,,
5:22.0,Offensive rebound by Team,,14-10,,
5:22.0,,,14-10,,N. Young enters the game for K. Bryant
