time,Dallas,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (K. Garnett gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (K. Garnett gains possession)
11:47.0,,,0-2,2,A. Wiggins makes 2-pt shot from 13 ft (assist by K. Garnett)
11:47.0,,,0-2,,Shooting foul by W. Matthews (drawn by A. Wiggins)
11:47.0,,,0-2,,A. Wiggins misses free throw 1 of 1
11:47.0,Defensive rebound by C. Parsons,,0-2,,
11:30.0,D. Nowitzki makes 2-pt shot at rim (assist by W. Matthews),2,2-2,,
11:10.0,,,2-4,2,R. Rubio makes 2-pt shot from 1 ft
11:10.0,,,2-4,,Shooting foul by D. Nowitzki (drawn by R. Rubio)
11:10.0,,,2-4,,R. Rubio misses free throw 1 of 1
11:10.0,Defensive rebound by Z. Pachulia,,2-4,,
10:56.0,C. Parsons makes 2-pt shot at rim,2,4-4,,
10:42.0,,,4-6,2,R. Rubio makes 2-pt shot from 21 ft (assist by T. Prince)
10:25.0,Z. Pachulia misses 2-pt shot from 9 ft,,4-6,,
10:24.0,,,4-6,,Defensive rebound by R. Rubio
10:15.0,,,4-8,2,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio)
10:03.0,Turnover by D. Williams (step out of bounds),,4-8,,
9:42.0,,,4-10,2,T. Prince makes 2-pt shot from 19 ft (assist by R. Rubio)
9:19.0,W. Matthews misses 3-pt shot from 24 ft,,4-10,,
9:18.0,,,4-10,,Defensive rebound by R. Rubio
9:07.0,,,4-10,,A. Wiggins misses 3-pt shot from 25 ft
9:05.0,,,4-10,,Offensive rebound by T. Prince
9:01.0,,,4-10,,R. Rubio misses 3-pt shot from 24 ft
9:00.0,,,4-10,,Offensive rebound by A. Wiggins
8:59.0,,,4-10,,Shooting foul by C. Parsons (drawn by A. Wiggins)
8:59.0,,,4-11,1,A. Wiggins makes free throw 1 of 2
8:59.0,,,4-12,1,A. Wiggins makes free throw 2 of 2
8:51.0,,,4-12,,Personal foul by K. Garnett (drawn by D. Nowitzki)
8:45.0,D. Williams misses 2-pt shot from 1 ft,,4-12,,
8:44.0,Offensive rebound by D. Nowitzki,,4-12,,
8:43.0,D. Nowitzki misses 2-pt shot at rim (block by K. Towns),,4-12,,
8:42.0,Offensive rebound by Team,,4-12,,
8:39.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Williams),2,6-12,,
8:23.0,,,6-12,,R. Rubio misses 2-pt shot from 20 ft
8:22.0,Defensive rebound by Z. Pachulia,,6-12,,
8:17.0,,,6-12,,Personal foul by K. Garnett (drawn by D. Nowitzki)
8:17.0,,,6-12,,G. Dieng enters the game for K. Garnett
8:07.0,D. Nowitzki makes 3-pt shot from 22 ft (assist by D. Williams),3,9-12,,
7:41.0,,,9-12,,T. Prince misses 2-pt shot from 22 ft
7:38.0,Defensive rebound by W. Matthews,,9-12,,
7:26.0,D. Nowitzki misses 2-pt shot from 17 ft,,9-12,,
7:25.0,Offensive rebound by Z. Pachulia,,9-12,,
7:24.0,Shooting foul by K. Towns (drawn by Z. Pachulia),,9-12,,
7:24.0,Z. Pachulia makes free throw 1 of 2,1,10-12,,
7:24.0,Z. Pachulia makes free throw 2 of 2,1,11-12,,
7:10.0,,,11-14,2,A. Wiggins makes 2-pt shot from 3 ft
6:50.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams),2,13-14,,
6:50.0,Shooting foul by K. Towns (drawn by Z. Pachulia),,13-14,,
6:50.0,D. Powell enters the game for D. Nowitzki,,13-14,,
6:50.0,Z. Pachulia makes free throw 1 of 1,1,14-14,,
6:46.0,,,14-14,,Minnesota full timeout
6:46.0,,,14-14,,N. Pekovic enters the game for K. Towns
6:46.0,R. Felton enters the game for C. Parsons,,14-14,,
6:29.0,,,14-16,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
6:00.0,D. Williams misses 3-pt shot from 23 ft,,14-16,,
5:59.0,Offensive rebound by Team,,14-16,,
5:59.0,Turnover by Team (shot clock),,14-16,,
5:47.0,,,14-16,,Turnover by G. Dieng (bad pass)
5:38.0,Z. Pachulia misses 2-pt shot from 12 ft,,14-16,,
5:37.0,,,14-16,,Defensive rebound by G. Dieng
5:31.0,Personal foul by Z. Pachulia (drawn by N. Pekovic),,14-16,,
5:22.0,,,14-16,,A. Wiggins misses 2-pt shot from 12 ft
5:19.0,,,14-16,,Offensive rebound by G. Dieng
5:01.0,,,14-18,2,T. Prince makes 2-pt shot from 21 ft (assist by A. Wiggins)
4:48.0,,,14-18,,Personal foul by N. Pekovic (drawn by Z. Pachulia)
4:48.0,Z. Pachulia makes free throw 1 of 2,1,15-18,,
4:48.0,Z. Pachulia makes free throw 2 of 2,1,16-18,,
4:28.0,,,16-18,,A. Wiggins misses 2-pt shot from 19 ft
4:27.0,Defensive rebound by D. Powell,,16-18,,
4:18.0,Turnover by W. Matthews (bad pass; steal by R. Rubio),,16-18,,
4:00.0,,,16-18,,N. Pekovic misses 2-pt shot from 5 ft
3:58.0,Defensive rebound by D. Powell,,16-18,,
3:46.0,W. Matthews misses 2-pt shot at rim,,16-18,,
3:44.0,Offensive rebound by Z. Pachulia,,16-18,,
